comparison,dataset,delta_any_evidence,delta_chain_completion,delta_evidence_coverage,delta_exact_evidence_identity,delta_native_qk_dot_products,delta_routing_seconds,delta_semantic_gist_comparisons,fraction,pairs
native_qk_max_threshold1_p20_minus_local_gist_closure,qasper,-0.0625,-0.0625,-0.034999999999999996,-0.0375,1949958.4,0.0070354787516407665,0.0,0.2,80
native_qk_max_topk_p10_minus_one_shot_parent,qasper,-0.0375,-0.0375,-0.0025,0.0125,1198553.6,0.04080191625325824,521.8125,0.2,80
native_qk_max_topk_p10_minus_local_gist_closure,qasper,-0.025,-0.025,-0.01875,-0.0125,1198553.6,0.0004244075025781058,0.0,0.2,80
native_qk_max_topk_p20_minus_one_shot_parent,qasper,-0.075,-0.075,-0.01875,-0.0125,1949958.4,0.048298780000186524,521.8125,0.2,80
native_qk_max_topk_p20_minus_local_gist_closure,qasper,-0.0625,-0.0625,-0.034999999999999996,-0.0375,1949958.4,0.00792127124950639,0.0,0.2,80
native_qk_top4_topk_p10_minus_one_shot_parent,qasper,-0.0625,-0.0625,-0.021249999999999998,0.0,1198553.6,0.04665782000301988,521.8125,0.2,80
native_qk_top4_topk_p10_minus_local_gist_closure,qasper,-0.05,-0.05,-0.0375,-0.025,1198553.6,0.006280311252339743,0.0,0.2,80
native_qk_top4_topk_p20_minus_one_shot_parent,qasper,-0.1,-0.1,-0.042499999999999996,-0.025,1949958.4,0.05646373750205384,521.8125,0.2,80
native_qk_top4_topk_p20_minus_local_gist_closure,qasper,-0.0875,-0.0875,-0.058750000000000004,-0.05,1949958.4,0.01608622875137371,0.0,0.2,80
native_qk_max_threshold1_p10_minus_one_shot_parent,qasper,-0.025,-0.025,0.0025,0.025,1863443.2,0.05710761625305168,671.1875,0.3,80
native_qk_max_threshold1_p10_minus_local_gist_closure,qasper,-0.0125,-0.0125,0.01625,0.0375,1863443.2,0.0018428625000524335,0.0,0.3,80
native_qk_max_threshold1_p20_minus_one_shot_parent,qasper,-0.025,-0.025,-0.026250000000000002,-0.025,2971942.4,0.06719184250177931,671.1875,0.3,80
native_qk_max_threshold1_p20_minus_local_gist_closure,qasper,-0.0125,-0.0125,-0.0125,-0.0125,2971942.4,0.011927088748780078,0.0,0.3,80
native_qk_max_topk_p10_minus_one_shot_parent,qasper,-0.025,-0.025,0.0025,0.025,1863443.2,0.0548873937499593,671.1875,0.3,80
native_qk_max_topk_p10_minus_local_gist_closure,qasper,-0.0125,-0.0125,0.01625,0.0375,1863443.2,-0.0003773600030399393,0.0,0.3,80
native_qk_max_topk_p20_minus_one_shot_parent,qasper,-0.025,-0.025,-0.026250000000000002,-0.025,2971942.4,0.06392803125563659,671.1875,0.3,80
native_qk_max_topk_p20_minus_local_gist_closure,qasper,-0.0125,-0.0125,-0.0125,-0.0125,2971942.4,0.008663277502637356,0.0,0.3,80
native_qk_top4_topk_p10_minus_one_shot_parent,qasper,-0.025,-0.025,0.0025,0.025,1863443.2,0.061658390006050466,671.1875,0.3,80
native_qk_top4_topk_p10_minus_local_gist_closure,qasper,-0.0125,-0.0125,0.01625,0.0375,1863443.2,0.006393636253051227,0.0,0.3,80
native_qk_top4_topk_p20_minus_one_shot_parent,qasper,-0.0375,-0.0375,-0.03625,-0.0375,2971942.4,0.07560570875139092,671.1875,0.3,80
native_qk_top4_topk_p20_minus_local_gist_closure,qasper,-0.025,-0.025,-0.0225,-0.025,2971942.4,0.02034095499839168,0.0,0.3,80
native_qk_max_topk_p75_minus_one_shot_parent,synthetic_native_bridge,0.0,1.0,0.5,1.0,48.0,0.005112876564635371,8.0,0.5,320
native_qk_max_topk_p75_minus_local_gist_closure,synthetic_native_bridge,0.0,1.0,0.5,1.0,48.0,0.00019250406367063989,0.0,0.5,320
