split,dataset,example_id,selected_set_jaccard,rank_overlap_top10,score_disagreement,root_disagreement,selection_headroom
test,qasper,1912.13337:e97186c51d4af490dba6faaf833d269c8256426c,0.16666666666666666,0.18442259494891072,0.3231806032587142,3,0.0
test,qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,0.4,0.3824588809882927,0.3120239150770507,3,0.0
test,qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,0.09999999999999999,0.24448124974440763,0.3374539329028596,3,0.0
test,qasper,1910.14599:ee2c9bc24d70daa0c87e38e0558e09ab97feb4f2,0.3,0.18245614035087718,0.3367390031639853,3,0.0
test,qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,0.19999999999999998,0.44992670727964845,0.3237562809941781,3,0.0
test,qasper,1703.04001:4e1a67f8dc68b55a5ce18e6cd385ae9ab90d891f,0.4,0.24824958323410334,0.331872553826272,2,0.0
test,qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,0.09999999999999999,0.35008675534991324,0.30923393877607636,3,0.0
test,qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,0.6,0.19782790309106096,0.3284917777345478,3,0.0
test,qasper,2004.04721:664b3eadc12c8dde309e8bbd59e9af961a433cde,0.09999999999999999,0.4444444444444444,0.31544027837265126,5,0.0
test,2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,0.19999999999999998,0.2865725777490483,0.2969116890128837,3,0.0
test,2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,0.5333333333333333,0.42646520146520145,0.2554076501549865,3,0.0
validation,2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,0.5333333333333333,0.6346986346986346,0.2660152367394777,3,0.0
test,2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,0.3,0.5379953379953379,0.2869831172406874,4,0.25
test,2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,0.6,0.5101295763060469,0.29944955520687017,3,0.25
validation,2wikimultihopqa,002e925e0bde11eba7f7acde48001122,0.3333333333333333,0.5000222000222,0.2906987724208163,2,0.0
test,2wikimultihopqa,002f12240bde11eba7f7acde48001122,0.39999999999999997,0.531729055258467,0.2605753781984147,2,0.0
test,2wikimultihopqa,00310dc8094611ebbdaeac1f6bf848b6,0.16666666666666666,0.5665667665667665,0.2987374628145481,5,0.2
test,2wikimultihopqa,003285a80bde11eba7f7acde48001122,0.16666666666666666,0.39157509157509157,0.30595389209550844,5,0.0
validation,2wikimultihopqa,003f41f80bde11eba7f7acde48001122,0.26666666666666666,0.5971944721944722,0.27301147762028144,3,0.0
validation,2wikimultihopqa,004430780bde11eba7f7acde48001122,0.3333333333333333,0.21196817458427364,0.2753937809406701,2,0.0
validation,2wikimultihopqa,0051fad20bde11eba7f7acde48001122,0.13333333333333333,0.18341441839893852,0.26559344966320864,3,0.0
test,2wikimultihopqa,005238da0bde11eba7f7acde48001122,0.3333333333333333,0.5677655677655677,0.3056635569437076,3,0.0
test,2wikimultihopqa,0056b9ff08e711ebbda5ac1f6bf848b6,0.09999999999999999,0.37544563279857396,0.288781855982985,4,0.0
validation,2wikimultihopqa,0063e31f08eb11ebbda7ac1f6bf848b6,0.2333333333333333,0.6480186480186481,0.23112738784758788,2,0.0
validation,2wikimultihopqa,0069c0220bde11eba7f7acde48001122,0.6,0.33669467787114843,0.28913900561671335,3,0.0
test,2wikimultihopqa,006b525c08e111ebbda2ac1f6bf848b6,0.26666666666666666,0.382051282051282,0.29278908839019024,3,0.0
test,2wikimultihopqa,006d81bc0bde11eba7f7acde48001122,0.6,0.48398905016552074,0.31160148679456845,1,0.0
validation,2wikimultihopqa,007b76e80bdc11eba7f7acde48001122,0.19999999999999998,0.3694444444444444,0.29631039633251594,4,0.0
test,2wikimultihopqa,0083038e0bde11eba7f7acde48001122,0.2333333333333333,0.41456043956043953,0.26798443326376586,2,0.0
test,2wikimultihopqa,008af56e0bdc11eba7f7acde48001122,0.3333333333333333,0.4554720133667502,0.26735944952842217,3,0.0
test,2wikimultihopqa,008b58060baf11ebab90acde48001122,0.4666666666666667,0.5865384615384616,0.2811255809828237,3,0.0
test,2wikimultihopqa,008c393e088411ebbd6dac1f6bf848b6,0.7333333333333333,0.5228438228438228,0.29125803556034957,2,0.0
validation,2wikimultihopqa,0098436208e011ebbda1ac1f6bf848b6,0.4,0.6189393939393939,0.31012908067496836,3,0.0
test,2wikimultihopqa,00a6129c085611ebbd59ac1f6bf848b6,0.4,0.5509803921568628,0.28364874639716964,3,0.25
validation,2wikimultihopqa,00a68bf208cc11ebbd93ac1f6bf848b6,0.4,0.6619047619047619,0.29159057744463807,2,0.0
validation,2wikimultihopqa,00c2089e089911ebbd77ac1f6bf848b6,0.4666666666666667,0.7714285714285715,0.2922745337199237,1,0.0
validation,2wikimultihopqa,00ce250d095f11ebbdafac1f6bf848b6,0.16666666666666666,0.4484432234432234,0.2837760894074404,4,0.0
validation,2wikimultihopqa,00dd3bd608ac11ebbd82ac1f6bf848b6,0.7333333333333333,0.6424242424242425,0.29260847504294907,1,0.0
validation,2wikimultihopqa,00de046a0bb011ebab90acde48001122,0.13333333333333333,0.30151400886695007,0.28916218813672173,3,0.0
validation,2wikimultihopqa,00efceca0bb011ebab90acde48001122,0.5333333333333333,0.5514152514152514,0.26123413088486125,2,0.0
test,2wikimultihopqa,00fc38720bb011ebab90acde48001122,0.4,0.616017316017316,0.3172185229279637,2,0.0
test,2wikimultihopqa,00fe8ebc08e311ebbda4ac1f6bf848b6,0.23333333333333334,0.5179281502810915,0.2867320840338758,4,0.0
test,2wikimultihopqa,01057cde0bb011ebab90acde48001122,0.4,0.3938375350140056,0.30897601921864914,2,0.0
validation,2wikimultihopqa,0105fd120bb011ebab90acde48001122,0.23333333333333334,0.42898294515941576,0.2547566842757164,3,0.0
validation,2wikimultihopqa,010bdf4408df11ebbd9fac1f6bf848b6,0.3333333333333333,0.5184629096393802,0.27934121159893677,2,0.0
validation,2wikimultihopqa,010d6cab08c711ebbd91ac1f6bf848b6,0.5333333333333333,0.5126706626706626,0.2696515762276541,1,0.0
validation,2wikimultihopqa,0120a36108d611ebbd98ac1f6bf848b6,0.26666666666666666,0.670995670995671,0.28136718276373074,2,0.0
test,2wikimultihopqa,01245b60088411ebbd6dac1f6bf848b6,0.5,0.5752247752247752,0.30956659556253385,2,0.0
validation,2wikimultihopqa,016c84f508ab11ebbd81ac1f6bf848b6,0.5,0.7498501498501499,0.3088842288057673,2,0.0
validation,2wikimultihopqa,01a204d20bb011ebab90acde48001122,0.19999999999999998,0.32198879551820725,0.2796650591163743,4,0.0
validation,2wikimultihopqa,024207d40bb011ebab90acde48001122,0.16666666666666666,0.4143079143079143,0.2954969594008642,3,0.0
test,2wikimultihopqa,024761e80bb011ebab90acde48001122,0.39999999999999997,0.5791855203619909,0.2852867706595441,2,0.0
validation,2wikimultihopqa,0290cd840baf11ebab90acde48001122,0.6,0.36147443028247983,0.2869443349549747,3,0.0
test,2wikimultihopqa,0360770a0baf11ebab90acde48001122,0.26666666666666666,0.3416666666666667,0.3225052925308886,2,0.3333333333333333
test,2wikimultihopqa,036c82480baf11ebab90acde48001122,0.26666666666666666,0.4161319073083779,0.3028016646661101,2,0.0
test,2wikimultihopqa,03e971d208d911ebbd9cac1f6bf848b6,0.4666666666666667,0.45932009167303284,0.2932970752815169,1,0.0
validation,2wikimultihopqa,06326df2088611ebbd6dac1f6bf848b6,0.4,0.6172077922077922,0.30790093306433525,2,0.0
validation,musique,2hop__10017_18974,0.16666666666666666,0.30206398348813207,0.2913530564962781,4,0.0
test,musique,2hop__10114_599630,0.2333333333333333,0.4926237161531279,0.31313467875457923,5,0.0
validation,musique,2hop__10122_18974,0.3,0.3159774436090225,0.3065799666695533,2,0.0
test,musique,2hop__103889_86452,0.6,0.28845732870500673,0.28697146215439656,2,0.0
test,musique,2hop__104095_40501,0.26666666666666666,0.28619786646102435,0.3068766257822491,3,0.0
test,musique,2hop__104095_40502,0.4,0.2851776878092667,0.31497298317734246,3,0.0
validation,musique,2hop__10515_21567,0.13333333333333333,0.29708305969915877,0.27314333136961977,3,0.0
test,musique,2hop__10620_49084,0.19999999999999998,0.5087789661319073,0.2808770941002098,4,0.0
validation,musique,2hop__10620_79092,0.23333333333333334,0.37668997668997667,0.3056030211204979,3,0.0
validation,musique,2hop__106864_80460,0.3,0.17339379746500488,0.2572867079906254,3,0.0
validation,musique,2hop__107185_64006,0.4,0.26209150326797387,0.28625636659390535,3,0.0
test,musique,2hop__107238_64918,0.16666666666666666,0.3491830065359477,0.3053092930211412,4,0.0
test,musique,3hop1__102087_214799_259594,0.19999999999999998,0.261109882549511,0.31076246886865777,2,0.0
validation,musique,3hop1__102461_24918_24991,0.2333333333333333,0.1879895817976313,0.31086400575436124,2,0.0
validation,musique,3hop1__103180_214799_259594,0.13333333333333333,0.29711656592461544,0.2919453554260873,3,0.0
test,musique,3hop1__103197_214799_259594,0.4,0.33986928104575165,0.3018159648489898,3,0.0
test,musique,3hop1__103254_214799_259594,0.5333333333333333,0.2749646552278131,0.2976810382101881,1,0.0
validation,musique,3hop1__103440_443779_52195,0.43333333333333335,0.41126373626373625,0.3028414311275738,3,0.0
test,musique,3hop2__101809_30152_20999,0.6,0.25503540147502995,0.31669529362022886,2,0.0
validation,musique,3hop2__101905_30152_20999,0.3333333333333333,0.4092404327698445,0.3274590027287223,2,0.0
validation,musique,3hop2__103871_20335_9331,0.3,0.5493006993006992,0.263321165967531,3,0.0
validation,musique,3hop2__103889_30152_20999,0.4,0.28150060294023144,0.3236573865465029,2,0.0
test,musique,3hop2__106842_30645_84681,0.19999999999999998,0.24944005942457953,0.30795944963847516,3,0.058823529411764705
test,musique,3hop2__11282_57233_56883,0.26666666666666666,0.2216374269005848,0.30061520730767227,2,0.16666666666666666
validation,musique,4hop1__105002_17130_70784_61381,0.06666666666666667,0.31511050009502023,0.29035165060883306,4,0.0
test,musique,4hop1__105401_17130_70784_61381,0.16666666666666666,0.39621848739495796,0.29000762691097476,3,0.0
validation,musique,4hop1__105401_17130_70784_79935,0.16666666666666666,0.28333210477173326,0.28730384772141354,3,0.0
test,musique,4hop1__105688_17130_70784_61381,0.3,0.27981638244796136,0.2902842690815935,4,0.0
test,musique,4hop1__105688_17130_70784_79935,0.4,0.26456043956043956,0.2857185188178427,4,0.0
validation,musique,4hop1__105773_457883_650651_7262,0.16666666666666666,0.29649826437752136,0.28666061106413343,4,0.0
validation,musique,4hop2__103790_14670_8987_8529,0.5333333333333333,0.34893048128342247,0.28405745737315424,2,0.0
test,musique,4hop2__103790_14670_8987_8974,0.5333333333333333,0.3505336167100873,0.3149675706389927,2,0.0
test,musique,4hop2__103790_39078_8987_8529,0.5,0.4434065934065934,0.29755671674171436,2,0.0
test,musique,4hop2__105527_14670_8987_8529,0.4666666666666667,0.525,0.28208097026218437,1,0.0
validation,musique,4hop2__105527_14670_8987_8974,0.39999999999999997,0.3010273610118811,0.30113752893831075,2,0.0
validation,musique,4hop2__161324_14670_8987_8974,0.5333333333333333,0.2561804208863032,0.2940511634900739,1,0.0
