dataset,split,example_id,authored_evidence_items,positive_routing_chunks,four_chunk_authored_chain_feasible,four_chunk_full_span_feasible,positive_chunk_ids,source_tokens,candidate_chunks,source_segments
2wikimultihopqa,test,1f8a07d20bde11eba7f7acde48001122,2,4,True,True,5 6 41 42,1444,46,32
2wikimultihopqa,test,20396bdc0bde11eba7f7acde48001122,2,9,True,False,16 17 18 19 20 47 48 49 50,2333,73,40
2wikimultihopqa,test,2151e72a0bb011ebab90acde48001122,2,4,True,True,5 6 21 22,1524,48,37
2wikimultihopqa,test,22dd11fe0bde11eba7f7acde48001122,2,5,True,False,3 4 22 23 24,1069,34,26
2wikimultihopqa,test,22f9ba0c0bde11eba7f7acde48001122,2,4,True,True,12 13 32 33,1160,37,28
2wikimultihopqa,test,24f101ba0bdb11eba7f7acde48001122,2,4,True,True,4 5 62 63,2654,83,57
2wikimultihopqa,test,25072e8e0bdd11eba7f7acde48001122,2,6,True,False,14 15 16 24 25 26,3134,98,62
2wikimultihopqa,test,252307240bda11eba7f7acde48001122,2,4,True,True,18 19 45 46,1502,47,30
2wikimultihopqa,test,27051c6a0baf11ebab90acde48001122,2,5,True,False,18 19 20 43 44,1652,52,33
2wikimultihopqa,test,283419940bda11eba7f7acde48001122,2,5,True,False,22 23 24 33 34,1962,62,52
2wikimultihopqa,test,3148e384097811ebbdb0ac1f6bf848b6,2,5,True,False,41 42 43 48 49,1596,50,36
2wikimultihopqa,test,3215fe5608cf11ebbd94ac1f6bf848b6,2,4,True,True,0 1 22 23,992,31,26
2wikimultihopqa,test,332132e80bde11eba7f7acde48001122,2,5,True,False,8 9 10 22 23,1183,37,27
2wikimultihopqa,test,351a24b40bda11eba7f7acde48001122,2,4,True,True,0 1 18 19,2002,63,36
2wikimultihopqa,test,370b63600bde11eba7f7acde48001122,2,4,True,True,30 31 34 35,1294,41,29
2wikimultihopqa,test,3bba836a0bb011ebab90acde48001122,2,7,True,False,2 3 4 5 39 40 41,3235,102,49
2wikimultihopqa,test,3cd79ef40bdd11eba7f7acde48001122,2,3,True,True,23 33 34,1116,35,27
2wikimultihopqa,test,3ed581120bdd11eba7f7acde48001122,2,4,True,True,16 17 41 42,1729,55,35
2wikimultihopqa,test,40dff7a00bdb11eba7f7acde48001122,2,6,True,False,5 6 7 14 15 16,693,22,17
2wikimultihopqa,test,4175aadc0bdd11eba7f7acde48001122,2,5,True,False,10 11 26 27 28,1062,34,23
2wikimultihopqa,test,4295a058091511ebbdadac1f6bf848b6,2,6,True,False,0 1 2 3 19 20,658,21,18
2wikimultihopqa,test,439a6dec0bde11eba7f7acde48001122,2,6,True,False,7 8 9 27 28 29,1082,34,23
2wikimultihopqa,test,43d20e340baf11ebab90acde48001122,2,9,True,False,4 5 6 7 8 9 15 16 17,1485,47,31
2wikimultihopqa,test,43fedada095511ebbdaeac1f6bf848b6,2,5,True,False,2 3 8 9 10,569,18,16
2wikimultihopqa,test,45df5d7c0bdb11eba7f7acde48001122,2,4,True,True,2 3 9 10,1092,35,25
2wikimultihopqa,test,464cfa460bd911eba7f7acde48001122,2,6,True,False,16 17 18 19 20 21,806,26,17
2wikimultihopqa,test,49831c3008c411ebbd8eac1f6bf848b6,2,7,True,False,2 3 4 19 20 21 22,1104,35,20
2wikimultihopqa,test,4ce7cb8e0bdd11eba7f7acde48001122,2,5,True,False,12 13 20 21 22,1538,49,35
2wikimultihopqa,test,547835de087f11ebbd6bac1f6bf848b6,2,7,True,False,10 11 12 13 18 19 20,849,27,18
2wikimultihopqa,test,57e10b360bb011ebab90acde48001122,2,5,True,False,3 4 75 76 77,3030,95,64
2wikimultihopqa,test,5a8cbfba0bb011ebab90acde48001122,2,5,True,False,5 6 7 14 15,1283,41,23
2wikimultihopqa,test,5b168cd8089811ebbd77ac1f6bf848b6,2,6,True,False,8 9 10 19 20 21,872,28,21
2wikimultihopqa,test,5b8ff9cc08d111ebbd95ac1f6bf848b6,2,5,True,False,2 3 32 33 34,1831,58,42
2wikimultihopqa,test,5eed803f08a511ebbd7dac1f6bf848b6,2,5,True,False,5 6 11 12 13,525,17,14
2wikimultihopqa,test,60c46c100bde11eba7f7acde48001122,2,5,True,False,0 1 2 3 4,917,29,19
2wikimultihopqa,test,6638110e0bdb11eba7f7acde48001122,2,6,True,False,9 10 32 33 34 35,1649,52,37
2wikimultihopqa,test,734d9f0408a111ebbd79ac1f6bf848b6,2,5,True,False,24 25 26 27 28,922,29,22
2wikimultihopqa,test,8a6eec600bda11eba7f7acde48001122,2,6,True,False,9 10 11 29 30 31,1097,35,25
2wikimultihopqa,test,8b16280408ce11ebbd94ac1f6bf848b6,2,6,True,False,8 9 10 32 33 34,1178,37,25
2wikimultihopqa,test,8b2b74a40bb011ebab90acde48001122,2,6,True,False,2 3 4 11 12 13,942,30,18
2wikimultihopqa,test,8ba63ce8098f11ebbdb0ac1f6bf848b6,2,6,True,False,6 7 8 22 23 24,1071,34,26
2wikimultihopqa,test,8d9cddcc0bb011ebab90acde48001122,2,5,True,False,4 5 21 22 23,994,32,24
2wikimultihopqa,test,8fd3ff820bdb11eba7f7acde48001122,2,4,True,True,12 13 35 36,1272,40,29
2wikimultihopqa,test,91919890092411ebbdaeac1f6bf848b6,2,4,True,True,2 3 18 19,1096,35,26
2wikimultihopqa,test,941303a00bda11eba7f7acde48001122,2,6,True,False,1 2 3 13 14 15,1444,46,33
2wikimultihopqa,test,941b72e40bb011ebab90acde48001122,2,7,True,False,17 18 19 44 45 46 47,3746,118,66
2wikimultihopqa,test,9724141c0bda11eba7f7acde48001122,2,5,True,False,0 1 15 16 17,1131,36,27
2wikimultihopqa,test,98389ca708e211ebbda4ac1f6bf848b6,2,5,True,False,3 4 6 7 8,713,23,17
2wikimultihopqa,test,990dabb40bdd11eba7f7acde48001122,2,4,True,True,0 1 69 70,2814,88,63
2wikimultihopqa,test,99abc1cc085511ebbd59ac1f6bf848b6,2,4,True,True,24 25 26 27,2090,66,45
2wikimultihopqa,test,a0a12e3c0bdd11eba7f7acde48001122,2,5,True,False,1 2 3 14 15,1089,35,28
2wikimultihopqa,test,a1c998940bdd11eba7f7acde48001122,2,5,True,False,18 19 20 30 31,1317,42,30
2wikimultihopqa,test,a4f646340bdd11eba7f7acde48001122,2,5,True,False,1 2 3 31 32,1583,50,36
2wikimultihopqa,test,a5f7d55508f211ebbdaaac1f6bf848b6,2,6,True,False,18 19 20 31 32 33,1273,40,25
2wikimultihopqa,test,a8b90372089211ebbd73ac1f6bf848b6,2,6,True,False,0 1 24 25 26 27,1694,53,30
2wikimultihopqa,test,a8f4816708ad11ebbd83ac1f6bf848b6,2,6,True,False,8 9 10 11 40 41,1566,49,33
2wikimultihopqa,test,abba19f80bda11eba7f7acde48001122,2,6,True,False,4 5 6 7 44 45,2124,67,55
2wikimultihopqa,test,addcd4880bd911eba7f7acde48001122,2,6,True,False,9 10 11 22 23 24,2243,71,49
2wikimultihopqa,test,ae08cb4a0bdb11eba7f7acde48001122,2,4,True,True,0 1 7 8,1033,33,23
2wikimultihopqa,test,b597a2a40baf11ebab90acde48001122,2,7,True,False,13 14 15 16 27 28 29,1571,50,29
2wikimultihopqa,test,b5dfb818089011ebbd72ac1f6bf848b6,2,5,True,False,61 62 134 135 136,4884,153,98
2wikimultihopqa,test,b642318c0bdd11eba7f7acde48001122,2,5,True,False,5 6 10 11 12,973,31,20
2wikimultihopqa,test,b7393e6a084911ebbd55ac1f6bf848b6,2,5,True,False,13 14 23 24 25,819,26,17
2wikimultihopqa,test,bf67b3e7089e11ebbd78ac1f6bf848b6,2,7,True,False,3 4 5 38 39 40 41,1830,58,38
2wikimultihopqa,test,c34451720bdc11eba7f7acde48001122,2,7,True,False,2 3 4 5 11 12 13,641,21,15
2wikimultihopqa,test,c4f1253a0bdd11eba7f7acde48001122,2,7,True,False,19 20 21 48 49 50 51,1933,61,36
2wikimultihopqa,test,c789d1a20bdd11eba7f7acde48001122,2,4,True,True,0 1 28 29,929,30,22
2wikimultihopqa,test,cb035c3c0bdc11eba7f7acde48001122,2,5,True,False,0 1 45 46 47,2469,78,57
2wikimultihopqa,test,ccf4967c0bdd11eba7f7acde48001122,2,6,True,False,3 4 5 16 17 18,1018,32,23
2wikimultihopqa,test,cd3131380bdb11eba7f7acde48001122,2,5,True,False,22 23 33 34 35,1225,39,30
2wikimultihopqa,test,d10e511a0bda11eba7f7acde48001122,2,6,True,False,11 12 13 21 22 23,1368,43,24
2wikimultihopqa,test,d20fdacc0bdd11eba7f7acde48001122,2,4,True,True,0 1 64 65,3031,95,63
2wikimultihopqa,test,d277d83e0bdd11eba7f7acde48001122,2,7,True,False,5 6 7 8 9 10 11,1647,52,25
2wikimultihopqa,test,d27933600baf11ebab90acde48001122,2,7,True,False,12 13 14 16 17 18 19,1509,48,29
2wikimultihopqa,test,d3f31923087111ebbd63ac1f6bf848b6,2,5,True,False,0 1 14 15 16,753,24,14
2wikimultihopqa,test,da177f520bda11eba7f7acde48001122,2,4,True,True,0 1 3 4,1737,55,37
2wikimultihopqa,test,dc5b9266091f11ebbdaeac1f6bf848b6,2,5,True,False,4 5 6 11 12,861,27,23
2wikimultihopqa,test,dc69969e0bdc11eba7f7acde48001122,2,6,True,False,11 12 13 21 22 23,993,32,23
2wikimultihopqa,test,df90c8440bda11eba7f7acde48001122,2,6,True,False,0 1 2 38 39 40,2269,71,44
2wikimultihopqa,test,e172d3b20baf11ebab90acde48001122,2,5,True,False,6 7 8 15 16,3119,98,55
2wikimultihopqa,test,e38e55b40bdb11eba7f7acde48001122,2,6,True,False,4 5 6 58 59 60,2065,65,47
2wikimultihopqa,test,eaeffe520bae11ebab90acde48001122,2,7,True,False,43 44 45 46 49 50 51,1702,54,31
2wikimultihopqa,test,eecbf0620bdb11eba7f7acde48001122,2,6,True,False,21 22 23 29 30 31,1236,39,28
2wikimultihopqa,test,f2987f240bdd11eba7f7acde48001122,2,5,True,False,13 14 17 18 19,659,21,15
2wikimultihopqa,test,f6b058440bdc11eba7f7acde48001122,2,4,True,True,14 15 23 24,795,25,19
2wikimultihopqa,test,fa3a75300baf11ebab90acde48001122,2,4,True,True,3 4 32 33,1843,58,29
2wikimultihopqa,test,fb2e3c99089811ebbd77ac1f6bf848b6,2,6,True,False,14 15 16 21 22 23,890,28,17
2wikimultihopqa,test,fb9c5cb208c411ebbd8eac1f6bf848b6,2,6,True,False,0 1 2 10 11 12,916,29,16
musique,validation,2hop__131275_72870,2,9,True,False,20 21 22 23 26 27 28 29 30,2179,69,20
musique,validation,2hop__160292_23241,2,13,True,False,32 33 34 35 36 37 97 98 99 100 101 102 103,4039,127,20
musique,validation,2hop__271045_68633,2,8,True,False,2 3 4 5 6 38 39 40,1503,47,20
musique,validation,2hop__31995_8583,2,18,True,False,9 10 11 12 13 14 15 16 17 18 19 20 71 72 73 74 75 76,3042,96,20
musique,validation,2hop__46550_85990,2,12,True,False,10 11 12 13 14 15 16 60 61 62 63 64,2417,76,20
musique,validation,2hop__485221_544917,2,8,True,False,0 1 2 3 46 47 48 49,2207,69,19
musique,validation,2hop__5658_25002,2,11,True,False,52 53 54 55 56 57 58 76 77 78 79,2614,82,20
musique,validation,2hop__57638_615257,2,12,True,False,60 61 62 63 64 65 95 96 97 98 99 100,4001,126,20
musique,validation,2hop__635187_861533,2,7,True,False,0 1 2 66 67 68 69,2619,82,20
musique,validation,2hop__731584_700117,2,5,True,False,2 3 4 19 20,1791,56,20
musique,validation,2hop__77263_84616,2,11,True,False,42 43 44 48 49 50 51 52 53 54 55,2167,68,20
musique,validation,3hop1__103890_10659_83548,3,17,True,False,41 42 43 45 46 47 48 49 50 51 52 59 60 61 62 63 64,3895,122,20
musique,validation,3hop1__106042_64399_52278,3,17,True,False,13 14 15 16 17 18 19 20 48 49 50 51 89 90 91 92 93,3430,108,20
musique,validation,3hop1__532517_214799_259594,3,11,True,False,3 4 5 6 7 8 9 10 44 45 46,2056,65,18
musique,validation,3hop1__857_846_7821,3,18,True,False,41 42 43 44 45 65 66 67 68 69 70 71 74 75 76 77 78 79,2779,87,20
musique,validation,3hop2__27069_92991_76291,3,13,True,False,0 1 2 61 62 63 64 79 80 81 82 83 84,2855,90,20
musique,validation,3hop2__326964_7719_7713,3,22,True,False,8 9 10 11 12 13 24 25 26 27 51 52 53 54 55 56 57 58 59 60 61 62,3503,110,20
musique,validation,4hop1__777217_32392_823060_610794,4,14,True,False,3 4 5 21 22 23 24 25 61 62 63 90 91 92,3105,98,20
musique,validation,4hop3__131775_29339_508306_70744,4,14,True,False,0 1 2 19 20 21 37 38 39 40 41 67 68 69,2442,77,20
musique,validation,4hop3__857_846_326964_7713,4,26,True,False,17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 34 35 36 37 74 75 76 77 78 79 80,3710,116,20
musique,test,2hop__107905_110222,2,11,True,False,3 4 5 6 7 8 26 27 28 29 30,2443,77,20
musique,test,2hop__115515_779396,2,8,True,False,17 18 19 80 81 82 83 84,2903,91,20
musique,test,2hop__128945_47686,2,10,True,False,0 1 2 3 4 5 43 44 45 46,2185,69,20
musique,test,2hop__131951_643670,2,7,True,False,14 15 16 21 22 23 24,1450,46,20
musique,test,2hop__133116_533882,2,5,True,False,4 5 6 23 24,2081,66,20
musique,test,2hop__13353_85402,2,23,True,False,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,2931,92,20
musique,test,2hop__159741_161674,2,19,True,False,17 18 19 20 21 22 23 24 25 26 27 83 84 85 86 87 88 89 90,2981,94,20
musique,test,2hop__16581_16569,2,15,True,False,14 15 16 17 18 19 20 36 37 38 39 40 41 42 43,2958,93,20
musique,test,2hop__170341_43945,2,10,True,False,0 1 2 3 4 5 70 71 72 73,3026,95,20
musique,test,2hop__196348_150107,2,5,True,False,0 1 29 30 31,1920,60,20
musique,test,2hop__216959_204037,2,6,True,False,57 58 59 60 61 62,2161,68,20
musique,test,2hop__22930_23241,2,13,True,False,4 5 6 7 8 9 10 70 71 72 73 74 75,3984,125,20
musique,test,2hop__230022_68489,2,8,True,False,10 11 12 43 44 45 46 47,2092,66,20
musique,test,2hop__242045_2684,2,6,True,False,23 24 56 57 58 59,2908,91,20
musique,test,2hop__243084_523417,2,8,True,False,8 9 10 11 58 59 60 61,2194,69,20
musique,test,2hop__252311_366220,2,8,True,False,20 21 22 33 34 35 36 37,2128,67,20
musique,test,2hop__278022_71701,2,10,True,False,28 29 30 31 45 46 47 48 49 50,1925,61,20
musique,test,2hop__301587_233146,2,8,True,False,34 35 36 37 38 39 68 69,2298,72,20
musique,test,2hop__30390_92972,2,11,True,False,5 6 7 8 9 10 53 54 55 56 57,3451,108,20
musique,test,2hop__30905_213732,2,7,True,False,0 1 5 6 7 8 9,2498,79,20
musique,test,2hop__311694_129669,2,9,True,False,16 17 18 19 20 21 22 23 24,1891,60,20
musique,test,2hop__33288_157788,2,12,True,False,0 1 2 3 4 5 6 23 24 25 26 27,2820,89,20
musique,test,2hop__35173_17335,2,18,True,False,0 1 2 3 4 5 6 7 8 29 30 31 32 33 34 35 36 37,2976,93,20
musique,test,2hop__36269_73244,2,17,True,False,38 39 40 41 42 43 44 45 46 52 53 54 55 56 57 58 59,2380,75,20
musique,test,2hop__36747_18974,2,15,True,False,33 34 35 36 37 38 39 93 94 95 96 97 98 99 100,3738,117,20
musique,test,2hop__39063_212301,2,9,True,False,21 22 23 24 25 60 61 62 63,2461,77,20
musique,test,2hop__417937_158105,2,8,True,False,1 2 3 50 51 52 53 54,2218,70,20
musique,test,2hop__418941_429437,2,10,True,False,4 5 6 7 8 29 30 31 32 33,1530,48,20
musique,test,2hop__446324_620302,2,6,True,False,22 23 24 25 26 27,1826,58,20
musique,test,2hop__452580_70131,2,10,True,False,2 3 4 5 23 24 25 26 27 28,3016,95,20
musique,test,2hop__458672_20057,2,10,True,False,62 63 64 65 66 67 68 69 70 71,2278,72,20
musique,test,2hop__51113_84616,2,14,True,False,8 9 10 11 12 13 14 15 35 36 37 38 39 40,2251,71,20
musique,test,2hop__551235_310309,2,9,True,False,27 28 29 30 45 46 47 48 49,2452,77,20
musique,test,2hop__569582_304416,2,11,True,False,21 22 23 24 25 26 29 30 31 32 33,1787,56,20
musique,test,2hop__581084_828685,2,7,True,False,30 31 32 33 42 43 44,2128,67,20
musique,test,2hop__58939_213732,2,7,True,False,36 37 38 85 86 87 88,3217,101,20
musique,test,2hop__623501_297043,2,6,True,False,29 30 31 32 38 39,1306,41,20
musique,test,2hop__646573_83769,2,12,True,False,14 15 16 17 18 19 20 21 29 30 31 32,2198,69,20
musique,test,2hop__686395_141338,2,5,True,False,29 30 31 32 33,1861,59,20
musique,test,2hop__708145_30351,2,12,True,False,8 9 10 11 12 13 14 15 16 17 18 19,3129,98,20
musique,test,2hop__709357_136043,2,12,True,False,25 26 27 28 29 30 31 34 35 36 37 38,2567,81,20
musique,test,2hop__71016_75184,2,7,True,False,29 30 31 32 33 52 53,2641,83,20
musique,test,2hop__713299_55227,2,19,True,False,7 8 9 10 11 12 13 14 15 16 17 18 19 20 24 25 26 27 28,3642,114,20
musique,test,2hop__71871_494136,2,10,True,False,4 5 6 7 8 10 11 12 13 14,2216,70,20
musique,test,2hop__731956_126089,2,8,True,False,22 23 24 25 80 81 82 83,2759,87,20
musique,test,2hop__75207_46837,2,12,True,False,27 28 29 30 31 32 76 77 78 79 80 81,2995,94,20
musique,test,2hop__75207_53316,2,10,True,False,10 11 12 13 63 64 65 66 67 68,2864,90,20
musique,test,2hop__77601_814677,2,16,True,False,53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68,3067,96,20
musique,test,2hop__781079_9237,2,11,True,False,30 31 32 33 34 35 36 37 38 39 40,2735,86,20
musique,test,2hop__799936_20273,2,14,True,False,24 25 26 27 28 29 30 31 32 33 77 78 79 80,2561,81,20
musique,test,2hop__802991_443552,2,11,True,False,23 24 25 26 61 62 63 64 65 66 67,2520,79,20
musique,test,2hop__814856_110882,2,9,True,False,15 16 17 18 19 20 21 22 23,2508,79,20
musique,test,2hop__846415_88165,2,7,True,False,29 30 31 32 58 59 60,2153,68,20
musique,test,2hop__853227_68633,2,7,True,False,5 6 7 39 40 41 42,2361,74,20
musique,test,2hop__87589_362941,2,8,True,False,25 26 27 59 60 61 62 63,3472,109,20
musique,test,2hop__9223_9237,2,14,True,False,62 63 64 65 66 67 68 69 70 71 72 73 74 75,2534,80,20
musique,test,2hop__9_59409,2,12,True,False,19 20 69 70 71 72 73 74 75 76 77 78,2502,79,20
musique,test,3hop1__103890_10659_67187,3,19,True,False,47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 107 108 109,3774,118,20
musique,test,3hop1__106864_160713_77246,3,25,True,False,54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 89 90 91 92 93 94,4094,128,20
musique,test,3hop1__108881_720914_41132,3,18,True,False,23 24 25 39 40 41 42 61 62 63 64 65 66 67 68 69 70 71,2842,89,20
musique,test,3hop1__109422_720914_41132,3,18,True,False,0 1 2 37 38 39 40 41 42 43 44 45 46 47 48 69 70 71,2926,92,20
musique,test,3hop1__127716_157828_239539,3,10,True,False,28 29 30 31 32 33 34 68 69 70,2956,93,20
musique,test,3hop1__131820_59747_90139,3,17,True,False,12 13 14 15 16 17 18 19 24 25 26 27 28 57 58 59 60,2978,94,20
musique,test,3hop1__132795_40769_64047,3,15,True,False,0 1 2 3 4 5 6 7 8 34 35 36 37 38 39,2432,76,20
musique,test,3hop1__132798_40769_64047,3,20,True,False,45 46 47 48 49 50 51 57 58 59 60 61 62 63 69 70 71 72 73 74,2542,80,20
musique,test,3hop1__136016_87694_64412,3,10,True,False,24 25 26 27 28 29 30 31 32 33,2410,76,20
musique,test,3hop1__136083_87694_124169,3,14,True,False,7 8 9 10 11 43 44 45 46 73 74 75 76 77,2694,85,20
musique,test,3hop1__140345_2053_5289,3,10,True,False,4 5 6 9 10 38 39 40 41 42,1737,55,20
musique,test,3hop1__160324_131905_41948,3,16,True,False,16 17 18 19 20 21 37 38 39 40 41 73 74 75 76 77,2490,78,20
musique,test,3hop1__222979_40769_64047,3,20,True,False,6 7 8 9 10 11 12 39 40 41 42 43 44 45 55 56 57 58 59 60,2762,87,20
musique,test,3hop1__275261_443779_52195,3,28,True,False,12 13 14 15 16 17 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52,3404,107,20
musique,test,3hop1__326941_366209_84283,3,12,True,False,0 1 2 3 14 15 16 17 18 20 21 22,1457,46,20
musique,test,3hop1__572324_568433_47686,3,12,True,False,0 1 5 6 7 8 28 29 30 31 32 33,2198,69,20
musique,test,3hop1__593597_40769_64047,3,17,True,False,12 13 14 22 23 24 25 26 27 28 52 53 54 55 56 57 58,2388,75,20
musique,test,3hop1__603558_87694_64412,3,11,True,False,8 9 10 86 87 88 89 90 91 92 93,3126,98,20
musique,test,3hop1__617062_127905_92225,3,13,True,False,12 13 14 15 16 17 26 27 28 29 69 70 71,2657,84,20
musique,test,3hop1__68981_91191_16530,3,60,True,False,34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 95 96 97 120 121 122 123 124 125 126 127 128 129 130 131,4897,154,20
musique,test,3hop1__751782_2053_5289,3,11,True,False,3 4 5 6 7 30 31 32 50 51 52,1811,57,20
musique,test,3hop1__79462_91850_685675,3,21,True,False,18 19 20 21 22 23 24 25 41 42 43 44 45 76 77 78 79 80 81 82 83,2739,86,20
musique,test,3hop1__801799_547811_80702,3,14,True,False,0 1 2 3 4 5 6 27 28 29 30 31 32 33,2608,82,20
musique,test,3hop1__857241_503371_21711,3,11,True,False,40 41 42 43 44 45 51 52 53 54 55,2569,81,20
musique,test,3hop1__857_846_7770,3,21,True,False,34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 83 84 85 86,2943,92,20
musique,test,3hop2__127483_79978_10557,3,17,True,False,37 38 39 40 41 42 43 44 45 46 47 48 87 88 89 90 91,3242,102,20
musique,test,3hop2__132957_132967_40768,3,14,True,False,14 15 16 17 18 19 42 43 59 60 61 62 63 64,2783,87,20
musique,test,3hop2__49541_121067_51068,3,13,True,False,9 10 11 12 13 17 18 19 65 66 67 68 69,2424,76,20
musique,test,3hop2__569322_467331_162182,3,14,True,False,0 1 2 3 9 10 11 12 13 14 22 23 24 25,1982,62,20
musique,test,3hop2__607269_467331_162182,3,12,True,False,2 3 4 5 17 18 19 20 43 44 45 46,1916,60,20
musique,test,3hop2__655849_467331_162182,3,13,True,False,0 1 2 16 17 18 19 30 31 32 33 34 35,2036,64,20
musique,test,4hop1__129721_32392_823060_610794,4,17,True,False,3 4 5 7 8 9 10 11 21 22 23 50 51 52 53 54 55,1924,61,20
musique,test,4hop1__152562_5274_458768_33633,4,20,True,False,22 23 24 25 26 27 28 29 30 31 32 33 34 66 67 68 69 70 71 72,2322,73,20
musique,test,4hop1__152562_5274_458768_33637,4,17,True,False,0 1 2 3 4 33 34 35 36 41 42 43 44 45 46 47 48,2505,79,20
musique,test,4hop1__3496_5274_458768_33677,4,19,True,False,8 9 10 11 12 13 16 17 18 19 20 42 43 44 60 61 62 63 64,2286,72,20
musique,test,4hop1__61681_53706_795904_580996,4,15,True,False,2 3 4 5 10 11 12 16 17 18 19 31 32 33 34,2216,70,20
musique,test,4hop1__636860_49925_13759_736921,4,28,True,False,18 19 20 21 22 23 24 25 26 27 28 29 30 72 73 74 75 76 77 78 79 80 81 82 86 87 88 89,2980,94,20
musique,test,4hop2__161602_474028_88460_126088,4,17,True,False,25 26 27 28 31 32 33 61 62 63 64 65 66 67 74 75 76,2685,84,20
