catalog_size,max_candidates,policy,condition,examples,catalog_seeds,target_in_palette,capability_choice_correct,schema_valid_call,required_argument_coverage,argument_semantic_correct,enum_type_valid,execution_acceptance,host_rejection,task_success,unsafe_tool_choice,phase_a_capability_tokens,phase_b_capability_tokens,total_capability_tokens,native_kv_bytes,full_schemas_materialized,full_schema_tokens_avoided,disclosure_ratio_a,disclosure_ratio_total,total_ttft_seconds,wall_clock_seconds,materialization_seconds
512,8,A2_raw_union,C2_compact_to_full,4,1,0.25,0.25,0.75,0.5,0.5,1.0,0.75,0.25,0.25,0.0,1167.0,322.5,1489.5,170827776.0,1.0,2237.25,0.45579747689028016,0.5818097439703263,3.86958632490132,11.058404949784745,0.004299324820749462
512,8,A2_raw_union,C3_oracle_to_full,4,1,0.25,1.0,1.0,1.0,0.75,1.0,1.0,0.0,0.75,0.0,277.5,0.0,277.5,31825920.0,1.0,2559.75,0.10848049125790178,0.10848049125790178,0.5737199250143021,5.021922699932475,0.00027739995857700706
512,10,A1_fused,C0_full_all_one_pass,4,1,1.0,0.5,0.75,0.75,0.75,1.0,0.75,0.25,0.5,0.0,3196.25,0.0,3196.25,366571520.0,10.0,3187.25,1.002824421918358,1.002824421918358,4.194752249983139,10.484691824996844,0.0005222249310463667
512,10,A1_fused,C1_compact_only,4,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1457.5,0.0,1457.5,167157760.0,0.0,3187.25,0.45720372540130394,0.45720372540130394,4.701959150028415,8.48177862499142,0.0002797250053845346
512,10,A1_fused,C2_compact_to_full,4,1,1.0,0.25,0.75,0.25,0.25,1.0,0.75,0.25,0.25,0.0,1457.5,322.5,1780.0,204144640.0,1.0,2864.75,0.45720372540130394,0.5584595863975108,5.011242000211496,12.176530425203964,0.0032693750108592212
512,10,A1_fused,C3_oracle_to_full,4,1,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.0,0.75,0.0,277.5,0.0,277.5,31825920.0,1.0,3187.25,0.0870692025452093,0.0870692025452093,0.5583893749280833,4.776822974963579,0.0001734749530442059
512,10,A2_raw_union,C0_full_all_one_pass,4,1,0.25,0.25,0.75,0.25,0.25,1.0,0.75,0.25,0.25,0.0,3227.5,0.0,3227.5,370155520.0,10.0,3218.5,1.0027970117490739,1.0027970117490739,4.289273874950595,9.961283300013747,0.0006192500004544854
512,10,A2_raw_union,C1_compact_only,4,1,0.25,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1472.75,0.0,1472.75,168906752.0,0.0,3218.5,0.4575243901321886,0.4575243901321886,4.5583224250003695,7.90703832503641,0.00039017503149807453
512,10,A2_raw_union,C2_compact_to_full,4,1,0.25,0.25,0.75,0.5,0.5,1.0,0.75,0.25,0.25,0.0,1472.75,322.5,1795.25,205893632.0,1.0,2896.0,0.4575243901321886,0.5577322233713388,5.095674675132614,12.395597575232387,0.00260040006833151
512,10,A2_raw_union,C3_oracle_to_full,4,1,0.25,1.0,1.0,1.0,0.75,1.0,1.0,0.0,0.75,0.0,277.5,0.0,277.5,31825920.0,1.0,3218.5,0.08626339189972038,0.08626339189972038,0.595333874982316,5.060238100006245,0.00014640000881627202
2048,4,A1_fused,C0_full_all_one_pass,4,1,0.25,0.25,0.75,0.5,0.5,1.0,0.75,0.25,0.25,0.0,1295.75,0.0,1295.75,148606976.0,4.0,1292.75,1.002321178571886,1.002321178571886,1.658575950015802,7.574247800104786,0.0002309750416316092
2048,4,A1_fused,C1_compact_only,4,1,0.25,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,592.0,0.0,592.0,67895296.0,0.0,1292.75,0.4578258223152538,0.4578258223152538,1.5803045249776915,5.318310374976136,0.00018569995881989598
2048,4,A1_fused,C2_compact_to_full,4,1,0.25,0.25,0.75,0.5,0.5,1.0,0.75,0.25,0.25,0.0,592.0,319.5,911.5,104538112.0,1.0,973.25,0.4578258223152538,0.705050092997006,2.0742970250430517,9.043615650036372,0.0028062250348739326
2048,4,A1_fused,C3_oracle_to_full,4,1,0.25,1.0,1.0,1.0,0.75,1.0,1.0,0.0,0.75,0.0,277.5,0.0,277.5,31825920.0,1.0,1292.75,0.214856562768142,0.214856562768142,0.5739573999890126,5.061822999967262,0.0001575250062160194
2048,4,A2_raw_union,C0_full_all_one_pass,4,1,0.25,0.25,0.75,0.5,0.5,1.0,0.75,0.25,0.25,0.0,1260.25,0.0,1260.25,144535552.0,4.0,1257.25,1.0023886650883387,1.0023886650883387,1.5168659499031492,7.135858599795029,0.00027849990874528885
2048,4,A2_raw_union,C1_compact_only,4,1,0.25,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,564.5,0.0,564.5,64741376.0,0.0,1257.25,0.4487558351916817,0.4487558351916817,1.4849941750289872,4.028948699997272,0.0002270250115543604
2048,4,A2_raw_union,C2_compact_to_full,4,1,0.25,0.25,0.75,0.25,0.25,1.0,0.75,0.25,0.25,0.0,564.5,321.5,886.0,101613568.0,1.0,935.75,0.4487558351916817,0.7044816128553648,1.9656311250291765,9.093742125027347,0.002494349959306419
2048,4,A2_raw_union,C3_oracle_to_full,4,1,0.25,1.0,1.0,1.0,0.75,1.0,1.0,0.0,0.75,0.0,277.5,0.0,277.5,31825920.0,1.0,1257.25,0.22133036181319113,0.22133036181319113,0.5915693000424653,4.987239650101401,0.00017727509839460254
2048,8,A1_fused,C0_full_all_one_pass,4,1,0.5,0.25,0.75,0.5,0.5,1.0,0.75,0.25,0.25,0.0,2597.5,0.0,2597.5,297902080.0,8.0,2590.5,1.0027025198436097,1.0027025198436097,3.311044799920637,9.335947524989024,0.0005511250346899033
2048,8,A1_fused,C1_compact_only,4,1,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1194.25,0.0,1194.25,136966144.0,0.0,2590.5,0.4609810965724064,0.4609810965724064,3.447001825028565,6.930402099969797,0.00024809985188767314
2048,8,A1_fused,C2_compact_to_full,4,1,0.5,0.25,0.5,0.25,0.25,1.0,0.5,0.5,0.25,0.0,1194.25,229.75,1424.0,163315712.0,1.0,2360.75,0.4609810965724064,0.5497011184733068,3.798247624945361,8.61750274989754,0.0021722499513998628
2048,8,A1_fused,C3_oracle_to_full,4,1,0.5,1.0,1.0,1.0,0.75,1.0,1.0,0.0,0.75,0.0,277.5,0.0,277.5,31825920.0,1.0,2590.5,0.10712939878485123,0.10712939878485123,0.5834254249930382,5.007861124991905,0.0005123000009916723
2048,8,A2_raw_union,C0_full_all_one_pass,4,1,0.25,0.25,0.75,0.5,0.5,1.0,0.75,0.25,0.25,0.0,2560.0,0.0,2560.0,293601280.0,8.0,2553.0,1.0027428829748226,1.0027428829748226,3.2415819749585353,9.605794099974446,0.0006391749484464526
2048,8,A2_raw_union,C1_compact_only,4,1,0.25,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1160.0,0.0,1160.0,133038080.0,0.0,2553.0,0.4542679947230224,0.4542679947230224,3.3130899000097997,6.306893049972132,0.00033077498665079474
2048,8,A2_raw_union,C2_compact_to_full,4,1,0.25,0.25,0.25,0.25,0.25,1.0,0.25,0.75,0.25,0.0,1160.0,157.25,1317.25,151072768.0,1.0,2395.75,0.4542679947230224,0.516068453332299,3.620626949996222,7.797580475045834,0.0017491750768385828
2048,8,A2_raw_union,C3_oracle_to_full,4,1,0.25,1.0,1.0,1.0,0.75,1.0,1.0,0.0,0.75,0.0,277.5,0.0,277.5,31825920.0,1.0,2553.0,0.1087653926376419,0.1087653926376419,0.6020510999951512,5.004801724979188,0.0002280999324284494
2048,10,A1_fused,C0_full_all_one_pass,4,1,0.5,0.25,0.75,0.5,0.5,1.0,0.75,0.25,0.25,0.0,3266.0,0.0,3266.0,374571008.0,10.0,3257.0,1.0027634790988027,1.0027634790988027,4.45992865000153,12.153398125024978,0.0006160000339150429
2048,10,A1_fused,C1_compact_only,4,1,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1505.0,0.0,1505.0,172605440.0,0.0,3257.0,0.4620660610228696,0.4620660610228696,4.824299424944911,8.65810459991917,0.00028882501646876335
2048,10,A1_fused,C2_compact_to_full,4,1,0.5,0.5,0.75,0.5,0.5,1.0,0.75,0.25,0.5,0.0,1505.0,305.25,1810.25,207613952.0,1.0,2951.75,0.4620660610228696,0.5557444592804905,5.32244182494469,11.635261575109325,0.002882625034544617
2048,10,A1_fused,C3_oracle_to_full,4,1,0.5,1.0,1.0,1.0,0.75,1.0,1.0,0.0,0.75,0.0,277.5,0.0,277.5,31825920.0,1.0,3257.0,0.08519377999350941,0.08519377999350941,0.6107116749626584,5.107144724868704,0.00021942495368421078
2048,10,A2_raw_union,C0_full_all_one_pass,4,1,0.25,0.25,0.75,0.5,0.5,1.0,0.75,0.25,0.25,0.0,3215.25,0.0,3215.25,368750592.0,10.0,3206.25,1.002807628275137,1.002807628275137,4.295923000085168,10.193690875021275,0.0005856499774381518
2048,10,A2_raw_union,C1_compact_only,4,1,0.25,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1464.0,0.0,1464.0,167903232.0,0.0,3206.25,0.456550274629764,0.456550274629764,4.612221750081517,7.70639469998423,0.0003411249490454793
2048,10,A2_raw_union,C2_compact_to_full,4,1,0.25,0.0,0.5,0.0,0.0,1.0,0.5,0.5,0.0,0.0,1464.0,243.25,1707.25,195801088.0,1.0,2963.0,0.456550274629764,0.5329833366832848,5.041980275069363,11.739408574998379,0.0020450499723665416
2048,10,A2_raw_union,C3_oracle_to_full,4,1,0.25,1.0,1.0,1.0,0.75,1.0,1.0,0.0,0.75,0.0,277.5,0.0,277.5,31825920.0,1.0,3206.25,0.08658338473655527,0.08658338473655527,0.5886007251101546,5.005335650057532,0.00016962498193606734
8192,4,A1_fused,C0_full_all_one_pass,20,5,0.2,0.1,0.75,0.25,0.25,1.0,0.75,0.25,0.1,0.0,1296.75,0.0,1296.75,148721664.0,4.0,1293.75,1.0023197471101137,1.0023197471101137,1.6483304650289938,7.81566248505842,0.00029534000204876063
8192,4,A1_fused,C1_compact_only,20,5,0.2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,593.0,0.0,593.0,68009984.0,0.0,1293.75,0.4582538017618029,0.4582538017618029,1.6128791649709455,4.912635760009289,0.0002758700051344931
8192,4,A1_fused,C2_compact_to_full,20,5,0.2,0.15,0.6,0.35,0.35,1.0,0.6,0.4,0.15,0.0,593.0,275.05,868.05,99554918.4,1.0,1018.7,0.4582538017618029,0.6716982675635025,1.9915599799947814,8.481400260026566,0.0022644100128673015
8192,4,A1_fused,C3_oracle_to_full,20,5,0.2,1.0,1.0,1.0,0.75,1.0,1.0,0.0,0.75,0.0,277.5,0.0,277.5,31825920.0,1.0,1293.75,0.21475540729779274,0.21475540729779274,0.5736277700052597,5.064601940009743,0.00014902499970048666
8192,4,A2_raw_union,C0_full_all_one_pass,20,5,0.0,0.0,0.75,0.25,0.25,1.0,0.75,0.25,0.0,0.0,1275.85,0.0,1275.85,146324684.8,4.0,1272.85,1.0023585833071416,1.0023585833071416,1.5356791700120085,7.8067692500073465,0.00030089999781921504
8192,4,A2_raw_union,C1_compact_only,20,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,579.1,0.0,579.1,66415820.8,0.0,1272.85,0.45481859403305736,0.45481859403305736,1.5228055050247349,4.424323444976471,0.00020948000019416213
8192,4,A2_raw_union,C2_compact_to_full,20,5,0.0,0.0,0.7,0.25,0.25,1.0,0.7,0.3,0.0,0.0,579.1,311.95,891.05,102192742.4,1.0,960.9,0.45481859403305736,0.6998295166238301,1.9807227900135331,9.534441949997563,0.0025349399773404004
8192,4,A2_raw_union,C3_oracle_to_full,20,5,0.0,1.0,1.0,1.0,0.75,1.0,1.0,0.0,0.75,0.0,277.5,0.0,277.5,31825920.0,1.0,1272.85,0.21831483245793107,0.21831483245793107,0.5824865699396469,5.108649309945759,0.00017117998795583843
8192,4,A3_diversity_union,C0_full_all_one_pass,20,5,0.0,0.0,0.75,0.25,0.25,1.0,0.75,0.25,0.0,0.0,1274.05,0.0,1274.05,146118246.4,4.0,1271.05,1.0023618874891183,1.0023618874891183,1.5477091550128534,6.307675614987966,0.00023685498163104058
8192,4,A3_diversity_union,C1_compact_only,20,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,578.4,0.0,578.4,66335539.2,0.0,1271.05,0.4549067371667587,0.4549067371667587,1.5328878949978388,4.456807565048803,0.00016307000769302248
8192,4,A3_diversity_union,C2_compact_to_full,20,5,0.0,0.0,0.3,0.15,0.15,1.0,0.3,0.7,0.0,0.0,578.4,174.3,752.7,86325657.6,1.0,1096.75,0.4549067371667587,0.5910472371865525,1.8045298349810763,5.682235839928035,0.0015342399943619966
8192,4,A3_diversity_union,C3_oracle_to_full,20,5,0.0,1.0,1.0,1.0,0.75,1.0,1.0,0.0,0.75,0.0,277.5,0.0,277.5,31825920.0,1.0,1271.05,0.21860009350190937,0.21860009350190937,0.5871701699914411,4.2427053699619135,0.0001371449907310307
8192,8,A1_fused,C0_full_all_one_pass,20,5,0.3,0.1,0.75,0.3,0.3,1.0,0.75,0.25,0.1,0.0,2615.1,0.0,2615.1,299920588.8,8.0,2608.1,1.0026842825095554,1.0026842825095554,3.3299342400045133,9.316315839951859,0.0005698499619029463
8192,8,A1_fused,C1_compact_only,20,5,0.3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1203.4,0.0,1203.4,138015539.2,0.0,2608.1,0.46137617610814324,0.46137617610814324,3.497622509987559,6.92556073499145,0.00029787999810650947
8192,8,A1_fused,C2_compact_to_full,20,5,0.3,0.1,0.65,0.25,0.25,1.0,0.65,0.35,0.1,0.0,1203.4,291.3,1494.7,171424153.6,1.0,2316.8,0.46137617610814324,0.5731643018147627,3.9926632200018504,11.048877720022574,0.002858454990200698
8192,8,A1_fused,C3_oracle_to_full,20,5,0.3,1.0,1.0,1.0,0.75,1.0,1.0,0.0,0.75,0.0,277.5,0.0,277.5,31825920.0,1.0,2608.1,0.10645382451441204,0.10645382451441204,0.5738998550456017,5.062888414983172,0.00016808498185127974
8192,8,A2_raw_union,C0_full_all_one_pass,20,5,0.25,0.15,0.7,0.4,0.4,1.0,0.7,0.3,0.15,0.0,2560.55,0.0,2560.55,293664358.4,8.0,2553.55,1.0027425504790102,1.0027425504790102,3.2339352449751457,9.590282594948075,0.0008282549562864006
8192,8,A2_raw_union,C1_compact_only,20,5,0.25,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1163.1,0.0,1163.1,133393612.8,0.0,2553.55,0.4553763181338438,0.4553763181338438,3.388910080050118,6.38651180001907,0.0003035199944861233
8192,8,A2_raw_union,C2_compact_to_full,20,5,0.25,0.05,0.6,0.3,0.3,1.0,0.6,0.4,0.05,0.0,1163.1,278.25,1441.35,165305548.8,1.0,2275.3,0.4553763181338438,0.5640863064042454,3.8375787700293587,10.525289800041355,0.002554545016027987
8192,8,A2_raw_union,C3_oracle_to_full,20,5,0.25,1.0,1.0,1.0,0.75,1.0,1.0,0.0,0.75,0.0,277.5,0.0,277.5,31825920.0,1.0,2553.55,0.10874619370454963,0.10874619370454963,0.5887732700211927,5.030186000012327,0.00015986497746780514
8192,8,A3_diversity_union,C0_full_all_one_pass,20,5,0.25,0.0,0.5,0.25,0.25,1.0,0.5,0.5,0.0,0.0,2557.85,0.0,2557.85,293354700.8,8.0,2550.85,1.002745456392954,1.002745456392954,3.2183762749657037,8.921846335020382,0.00038924501277506354
8192,8,A3_diversity_union,C1_compact_only,20,5,0.25,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1161.9,0.0,1161.9,133255987.2,0.0,2550.85,0.455395215116487,0.455395215116487,3.3620717400102875,6.952229700016323,0.0003417450119741261
8192,8,A3_diversity_union,C2_compact_to_full,20,5,0.25,0.25,0.55,0.45,0.45,1.0,0.55,0.45,0.25,0.0,1161.9,256.9,1418.8,162719334.4,1.0,2293.95,0.455395215116487,0.5557509033871855,3.787123875005636,8.988149820058606,0.0019632150186225774
8192,8,A3_diversity_union,C3_oracle_to_full,20,5,0.25,1.0,1.0,1.0,0.75,1.0,1.0,0.0,0.75,0.0,277.5,0.0,277.5,31825920.0,1.0,2550.85,0.10884801469654914,0.10884801469654914,0.5870728050358593,4.236007919989061,0.00013039498589932917
8192,10,A1_fused,C0_full_all_one_pass,4,1,0.25,0.0,0.75,0.25,0.25,1.0,0.75,0.25,0.0,0.0,3275.25,0.0,3275.25,375631872.0,10.0,3266.25,1.0027556125616752,1.0027556125616752,4.473421849892475,12.198123374895658,0.00058970000827685
8192,10,A1_fused,C1_compact_only,4,1,0.25,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1509.0,0.0,1509.0,173064192.0,0.0,3266.25,0.4619796938778989,0.4619796938778989,4.844977050088346,9.440691225172486,0.0006482250755652785
8192,10,A1_fused,C2_compact_to_full,4,1,0.25,0.0,0.5,0.25,0.25,1.0,0.5,0.5,0.0,0.0,1509.0,245.75,1754.75,201248768.0,1.0,3020.5,0.4619796938778989,0.5371981397702259,5.249456800054759,11.820662450045347,0.0027439999976195395
8192,10,A1_fused,C3_oracle_to_full,4,1,0.25,1.0,1.0,1.0,0.75,1.0,1.0,0.0,0.75,0.0,277.5,0.0,277.5,31825920.0,1.0,3266.25,0.08499281623183919,0.08499281623183919,0.5880169749143533,5.072842900000978,0.0002298750914633274
8192,10,A2_raw_union,C0_full_all_one_pass,4,1,0.25,0.25,0.75,0.5,0.5,1.0,0.75,0.25,0.25,0.0,3212.75,0.0,3212.75,368463872.0,10.0,3203.75,1.0028098888822576,1.0028098888822576,4.3327993000275455,10.158369925047737,0.0005096500390209258
8192,10,A2_raw_union,C1_compact_only,4,1,0.25,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1463.25,0.0,1463.25,167817216.0,0.0,3203.75,0.4566733877225688,0.4566733877225688,4.650750675005838,7.744104174955282,0.00038442498771473765
8192,10,A2_raw_union,C2_compact_to_full,4,1,0.25,0.0,0.75,0.25,0.25,1.0,0.75,0.25,0.0,0.0,1463.25,326.0,1789.25,205205504.0,1.0,2877.75,0.4566733877225688,0.5584389375449368,5.200578900054097,13.495801525074057,0.00325262505793944
8192,10,A2_raw_union,C3_oracle_to_full,4,1,0.25,1.0,1.0,1.0,0.75,1.0,1.0,0.0,0.75,0.0,277.5,0.0,277.5,31825920.0,1.0,3203.75,0.08665769396683386,0.08665769396683386,0.6037076250067912,5.0407065249746665,0.00022124993847683072
