all_evidence_recall,any_evidence_recall,cohort,fraction,mechanism,recall,selected_chunk_fraction,selected_kv_token_fraction
0.5,0.5,centered-rope-stage1-16,0.2,Centered-RoPE segment mean G=2,0.5,0.20793118173942704,
0.5,0.5,centered-rope-stage1-16,0.25,Centered-RoPE segment mean G=2,0.5,0.26032958819776997,
0.75,0.75,centered-rope-stage1-16,0.3,Centered-RoPE segment mean G=2,0.75,0.3080271399552582,
0.875,0.875,centered-rope-stage1-16,0.5,Centered-RoPE segment mean G=2,0.875,0.5058530960503892,
1.0,1.0,centered-rope-stage1-16,1.0,Centered-RoPE segment mean G=2,1.0,1.0,
0.0,0.0,centered-rope-stage1-16,0.01,Centered-RoPE segment mean G=4,0.0,0.01979639042267014,
0.0,0.0,centered-rope-stage1-16,0.02,Centered-RoPE segment mean G=4,0.0,0.0279011613348181,
0.375,0.375,centered-rope-stage1-16,0.05,Centered-RoPE segment mean G=4,0.375,0.06212113516261451,
0.5,0.5,centered-rope-stage1-16,0.1,Centered-RoPE segment mean G=4,0.5,0.10981868692010276,
0.5,0.5,centered-rope-stage1-16,0.15,Centered-RoPE segment mean G=4,0.5,0.157516238677591,
0.5,0.5,centered-rope-stage1-16,0.2,Centered-RoPE segment mean G=4,0.5,0.20793118173942704,
0.875,0.875,centered-rope-stage1-16,0.25,Centered-RoPE segment mean G=4,0.875,0.26032958819776997,
0.875,0.875,centered-rope-stage1-16,0.3,Centered-RoPE segment mean G=4,0.875,0.3080271399552582,
1.0,1.0,centered-rope-stage1-16,0.5,Centered-RoPE segment mean G=4,1.0,0.5058530960503892,
1.0,1.0,centered-rope-stage1-16,1.0,Centered-RoPE segment mean G=4,1.0,1.0,
0.125,0.125,centered-rope-stage1-16,0.01,Centered-RoPE segment mean G=8,0.125,0.01979639042267014,
0.125,0.125,centered-rope-stage1-16,0.02,Centered-RoPE segment mean G=8,0.125,0.0279011613348181,
0.5,0.5,centered-rope-stage1-16,0.05,Centered-RoPE segment mean G=8,0.5,0.06212113516261451,
0.625,0.625,centered-rope-stage1-16,0.1,Centered-RoPE segment mean G=8,0.625,0.10981868692010276,
0.75,0.75,centered-rope-stage1-16,0.15,Centered-RoPE segment mean G=8,0.75,0.157516238677591,
0.875,0.875,centered-rope-stage1-16,0.2,Centered-RoPE segment mean G=8,0.875,0.20793118173942704,
0.875,0.875,centered-rope-stage1-16,0.25,Centered-RoPE segment mean G=8,0.875,0.26032958819776997,
0.875,0.875,centered-rope-stage1-16,0.3,Centered-RoPE segment mean G=8,0.875,0.3080271399552582,
1.0,1.0,centered-rope-stage1-16,0.5,Centered-RoPE segment mean G=8,1.0,0.5058530960503892,
1.0,1.0,centered-rope-stage1-16,1.0,Centered-RoPE segment mean G=8,1.0,1.0,
0.3125,0.3125,segment-confirmation-64,0.01,Hidden-state segment mean G=2,0.3125,0.02147718183144011,
0.3125,0.3125,segment-confirmation-64,0.02,Hidden-state segment mean G=2,0.3125,0.027161962669909473,
0.4375,0.4375,segment-confirmation-64,0.05,Hidden-state segment mean G=2,0.4375,0.05814508302930955,
0.6875,0.6875,segment-confirmation-64,0.1,Hidden-state segment mean G=2,0.6875,0.10728025927669088,
0.75,0.75,segment-confirmation-64,0.15,Hidden-state segment mean G=2,0.75,0.15771751885740554,
0.8125,0.8125,segment-confirmation-64,0.2,Hidden-state segment mean G=2,0.8125,0.20757105886662888,
0.875,0.875,segment-confirmation-64,0.25,Hidden-state segment mean G=2,0.875,0.25732055135332643,
0.9375,0.9375,segment-confirmation-64,0.3,Hidden-state segment mean G=2,0.9375,0.30775781093404114,
1.0,1.0,segment-confirmation-64,0.5,Hidden-state segment mean G=2,1.0,0.5050972939459405,
1.0,1.0,segment-confirmation-64,1.0,Hidden-state segment mean G=2,1.0,1.0,
0.25,0.25,segment-confirmation-64,0.01,Hidden-state segment mean G=4,0.25,0.02147718183144011,
0.25,0.25,segment-confirmation-64,0.02,Hidden-state segment mean G=4,0.25,0.027161962669909473,
0.375,0.375,segment-confirmation-64,0.05,Hidden-state segment mean G=4,0.375,0.05814508302930955,
0.5,0.5,segment-confirmation-64,0.1,Hidden-state segment mean G=4,0.5,0.10728025927669088,
0.625,0.625,segment-confirmation-64,0.15,Hidden-state segment mean G=4,0.625,0.15771751885740554,
0.75,0.75,segment-confirmation-64,0.2,Hidden-state segment mean G=4,0.75,0.20757105886662888,
0.875,0.875,segment-confirmation-64,0.25,Hidden-state segment mean G=4,0.875,0.25732055135332643,
0.9375,0.9375,segment-confirmation-64,0.3,Hidden-state segment mean G=4,0.9375,0.30775781093404114,
1.0,1.0,segment-confirmation-64,0.5,Hidden-state segment mean G=4,1.0,0.5050972939459405,
1.0,1.0,segment-confirmation-64,1.0,Hidden-state segment mean G=4,1.0,1.0,
0.1875,0.1875,segment-confirmation-64,0.01,Hidden-state segment mean G=8,0.1875,0.02147718183144011,
0.25,0.25,segment-confirmation-64,0.02,Hidden-state segment mean G=8,0.25,0.027161962669909473,
0.4375,0.4375,segment-confirmation-64,0.05,Hidden-state segment mean G=8,0.4375,0.05814508302930955,
0.6875,0.6875,segment-confirmation-64,0.1,Hidden-state segment mean G=8,0.6875,0.10728025927669088,
0.8125,0.8125,segment-confirmation-64,0.15,Hidden-state segment mean G=8,0.8125,0.15771751885740554,
0.875,0.875,segment-confirmation-64,0.2,Hidden-state segment mean G=8,0.875,0.20757105886662888,
0.875,0.875,segment-confirmation-64,0.25,Hidden-state segment mean G=8,0.875,0.25732055135332643,
0.9375,0.9375,segment-confirmation-64,0.3,Hidden-state segment mean G=8,0.9375,0.30775781093404114,
1.0,1.0,segment-confirmation-64,0.5,Hidden-state segment mean G=8,1.0,0.5050972939459405,
1.0,1.0,segment-confirmation-64,1.0,Hidden-state segment mean G=8,1.0,1.0,
0.25,0.25,token-diagnostic-16,0.01,Hidden-state token maximum,0.25,0.01979639042267014,
0.625,0.625,token-diagnostic-16,0.02,Hidden-state token maximum,0.625,0.0279011613348181,
0.625,0.625,token-diagnostic-16,0.05,Hidden-state token maximum,0.625,0.06212113516261451,
0.625,0.625,token-diagnostic-16,0.1,Hidden-state token maximum,0.625,0.10981868692010276,
0.75,0.75,token-diagnostic-16,0.15,Hidden-state token maximum,0.75,0.157516238677591,
0.75,0.75,token-diagnostic-16,0.2,Hidden-state token maximum,0.75,0.20793118173942704,
0.75,0.75,token-diagnostic-16,0.25,Hidden-state token maximum,0.75,0.26032958819776997,
0.875,0.875,token-diagnostic-16,0.3,Hidden-state token maximum,0.875,0.3080271399552582,
1.0,1.0,token-diagnostic-16,0.5,Hidden-state token maximum,1.0,0.5058530960503892,
1.0,1.0,token-diagnostic-16,1.0,Hidden-state token maximum,1.0,1.0,
0.5,0.5,query-confirmation-32,0.01,Last-state query,0.5,0.022576151850554352,
0.5,0.5,query-confirmation-32,0.02,Last-state query,0.5,0.02757846558152083,
0.6875,0.6875,query-confirmation-32,0.05,Last-state query,0.6875,0.05736640324168615,
0.8125,0.8125,query-confirmation-32,0.1,Last-state query,0.8125,0.10586188000599997,
0.9375,0.9375,query-confirmation-32,0.15,Last-state query,0.9375,0.16049869678944692,
1.0,1.0,query-confirmation-32,0.2,Last-state query,1.0,0.20721747802706522,
1.0,1.0,query-confirmation-32,0.25,Last-state query,1.0,0.2561565258979826,
1.0,1.0,query-confirmation-32,0.3,Last-state query,1.0,0.30861366046371486,
1.0,1.0,query-confirmation-32,0.5,Last-state query,1.0,0.505759046277906,
1.0,1.0,query-confirmation-32,1.0,Last-state query,1.0,1.0,
0.4375,0.4375,query-confirmation-32,0.01,Uniform query W=32,0.4375,0.022576151850554352,
0.4375,0.4375,query-confirmation-32,0.02,Uniform query W=32,0.4375,0.02757846558152083,
0.5625,0.5625,query-confirmation-32,0.05,Uniform query W=32,0.5625,0.05736640324168615,
0.625,0.625,query-confirmation-32,0.1,Uniform query W=32,0.625,0.10586188000599997,
0.9375,0.9375,query-confirmation-32,0.15,Uniform query W=32,0.9375,0.16049869678944692,
0.9375,0.9375,query-confirmation-32,0.2,Uniform query W=32,0.9375,0.20721747802706522,
1.0,1.0,query-confirmation-32,0.25,Uniform query W=32,1.0,0.2561565258979826,
1.0,1.0,query-confirmation-32,0.3,Uniform query W=32,1.0,0.30861366046371486,
1.0,1.0,query-confirmation-32,0.5,Uniform query W=32,1.0,0.505759046277906,
1.0,1.0,query-confirmation-32,1.0,Uniform query W=32,1.0,1.0,
0.1875,0.1875,query-confirmation-32,0.01,Question decay H=2,0.1875,0.022576151850554352,
0.1875,0.1875,query-confirmation-32,0.02,Question decay H=2,0.1875,0.02757846558152083,
0.3125,0.3125,query-confirmation-32,0.05,Question decay H=2,0.3125,0.05736640324168615,
0.6875,0.6875,query-confirmation-32,0.1,Question decay H=2,0.6875,0.10586188000599997,
1.0,1.0,query-confirmation-32,0.15,Question decay H=2,1.0,0.16049869678944692,
1.0,1.0,query-confirmation-32,0.2,Question decay H=2,1.0,0.20721747802706522,
1.0,1.0,query-confirmation-32,0.25,Question decay H=2,1.0,0.2561565258979826,
1.0,1.0,query-confirmation-32,0.3,Question decay H=2,1.0,0.30861366046371486,
1.0,1.0,query-confirmation-32,0.5,Question decay H=2,1.0,0.505759046277906,
1.0,1.0,query-confirmation-32,1.0,Question decay H=2,1.0,1.0,
0.25,0.25,learned-test-32x5-seeds,0.01,Learned margin adapter,0.25,0.022576151850554352,
0.3125,0.3125,learned-test-32x5-seeds,0.02,Learned margin adapter,0.3125,0.027578465581520835,
0.4875,0.4875,learned-test-32x5-seeds,0.05,Learned margin adapter,0.4875,0.05736640324168615,
0.7,0.7,learned-test-32x5-seeds,0.1,Learned margin adapter,0.7,0.10586188000599997,
0.8375,0.8375,learned-test-32x5-seeds,0.15,Learned margin adapter,0.8375,0.1604986967894469,
0.925,0.925,learned-test-32x5-seeds,0.2,Learned margin adapter,0.925,0.2072174780270652,
0.9875,0.9875,learned-test-32x5-seeds,0.25,Learned margin adapter,0.9875,0.2561565258979826,
1.0,1.0,learned-test-32x5-seeds,0.3,Learned margin adapter,1.0,0.30861366046371486,
1.0,1.0,learned-test-32x5-seeds,0.5,Learned margin adapter,1.0,0.505759046277906,
1.0,1.0,learned-test-32x5-seeds,1.0,Learned margin adapter,1.0,1.0,
