seed,variant,dataset,example_id,condition,answer,prompt_tokens,full_context_complete,gold_sequence_logprob,gold_mean_token_logprob,gold_first_token_probability,gold_first_token_rank,gold_first_token_margin,em,f1,answer_contained,generated_answer,teacher_forced_seconds,generation_seconds
,context_baseline,hotpotqa,5a714b645542994082a3e78b,none,2010,35,True,-9.5045747756958,-2.37614369392395,0.0014669063966721296,3,-6.5,0.0,0.0,0.0,Lindsey Broad starred in the movie,0.15974169998662546,0.7400067999842577
,context_baseline,hotpotqa,5a714b645542994082a3e78b,direct_text,2010,103,True,-1.0813201665878296,-0.2703300416469574,0.362368106842041,2,-0.21875,0.0,0.0,0.0,Lindsey Broad starred in *Get,0.22643099998822436,0.8008655000012368
,context_baseline,hotpotqa,5a714b645542994082a3e78b,full_context,2010,1298,True,-1.385190725326538,-0.3462976813316345,0.30359992384910583,3,-0.1875,0.0,0.0,0.0,The movie with Russell Brand and Jonah Hill,3.514342700014822,4.32801960001234
,context_baseline,hotpotqa,5abce85755429959677d6b3e,none,O,44,True,-12.01561450958252,-12.01561450958252,6.04901561018778e-06,100,-11.7890625,0.0,0.0,0.0,Le Rêve was created by the,0.14448799996171147,0.7473696999950334
,context_baseline,hotpotqa,5abce85755429959677d6b3e,direct_text,O,162,True,-4.755311012268066,-4.755311012268066,0.008605867624282837,3,-4.578125,0.0,0.0,0.0,Le Rêve was created by the,0.3219070000341162,0.9327100000227802
,context_baseline,hotpotqa,5abce85755429959677d6b3e,full_context,O,2008,True,-6.114725589752197,-6.114725589752197,0.0022100822534412146,5,-5.484375,0.0,0.0,0.0,"The director behind ""Le Rêve",6.029957299993839,6.450463200046215
,context_baseline,qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,none,yes,30,False,-6.596622943878174,-6.596622943878174,0.0013649699976667762,4,-6.28125,0.0,0.2857142857142857,1.0,"Yes, both skip-gram and c",0.13321820000419393,0.7565849999664351
,context_baseline,qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,direct_text,yes,44,False,-6.992628574371338,-6.992628574371338,0.0009186284733004868,9,-6.3125,0.0,0.0,0.0,"No, they test both skipgram and",0.14352129999315366,0.7615416999906301
,context_baseline,qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,none,yes,28,False,-7.5044264793396,-7.5044264793396,0.0005506416200660169,22,-6.75,0.0,0.0,0.0,"No, they report results only on English",0.13331170001765713,0.735259999986738
,context_baseline,qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,direct_text,yes,455,False,-7.548590183258057,-7.548590183258057,0.0005268524400889874,18,-7.078125,0.0,0.0,0.0,"No, they report results on both English",0.8299771000165492,1.457115899946075
,context_baseline,qasper,1910.14599:ee2c9bc24d70daa0c87e38e0558e09ab97feb4f2,none,yes,29,False,-8.264192581176758,-8.264192581176758,0.0002575767575763166,14,-8.046875,0.0,0.25,1.0,"Yes, active learning is used to create",0.13460789999226108,0.7483096999931149
,context_baseline,qasper,1910.14599:ee2c9bc24d70daa0c87e38e0558e09ab97feb4f2,direct_text,yes,163,False,-9.082483291625977,-9.082483291625977,0.00011363910016370937,21,-8.875,0.0,0.0,0.0,"No, they do not use active learning",0.3250666999956593,0.9375650999718346
,context_baseline,qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,none,no,26,False,-12.09101676940918,-12.09101676940918,5.609681466012262e-06,79,-12.046875,0.0,0.0,0.0,"Yes, datasets for sentiment analysis are typically",0.13175420003244653,0.7301303999847732
,context_baseline,qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,direct_text,no,156,False,-13.160594940185547,-13.160594940185547,1.9249791876063682e-06,81,-13.1171875,0.0,0.0,0.0,"Yes, datasets for sentiment analysis are balanced",0.3221682000439614,0.9345599000225775
,context_baseline,qasper,1703.04001:4e1a67f8dc68b55a5ce18e6cd385ae9ab90d891f,none,no,28,False,-8.171531677246094,-8.171531677246094,0.0002825849805958569,22,-7.8671875,0.0,0.0,0.0,"Yes, the experiments focus on a specific",0.13290319999214262,0.74936620000517
,context_baseline,qasper,1703.04001:4e1a67f8dc68b55a5ce18e6cd385ae9ab90d891f,direct_text,no,208,False,-7.757839679718018,-7.757839679718018,0.0004273788654245436,15,-6.796875,0.0,0.25,1.0,"No, the experiments focus on a specific",0.3674616999924183,0.9782224000082351
,context_baseline,qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,none,yes,32,False,-6.260946750640869,-6.260946750640869,0.001909437240101397,8,-6.015625,0.0,0.25,1.0,"Yes, the student reflection data is different",0.1383361000334844,0.7477534000063315
,context_baseline,qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,direct_text,yes,178,False,-8.079825401306152,-8.079825401306152,0.0003097249718848616,13,-7.9375,0.0,0.25,1.0,"Yes, the student reflection data is very",0.3258261000155471,0.9379430999979377
,context_baseline,qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,none,no,26,False,-9.571822166442871,-9.571822166442871,6.966433284105733e-05,19,-9.53125,0.0,0.0,0.0,"Yes, they collected the two datasets.",0.13032220001332462,0.7547190999612212
,context_baseline,qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,direct_text,no,265,False,-14.003335952758789,-14.003335952758789,8.287597665912472e-07,149,-13.9765625,0.0,0.0,0.0,"Yes, they collected the two datasets.",0.5016037999885157,1.1149317999952473
,context_baseline,qasper,2004.04721:664b3eadc12c8dde309e8bbd59e9af961a433cde,none,yes,30,False,-9.525127410888672,-9.525127410888672,7.299441494978964e-05,91,-7.7421875,0.0,0.0,0.0,"No, the improvement is not statistically significant",0.13211409997893497,0.7332539000199176
,context_baseline,qasper,2004.04721:664b3eadc12c8dde309e8bbd59e9af961a433cde,direct_text,yes,172,False,-10.817413330078125,-10.817413330078125,2.004736234084703e-05,80,-9.7421875,0.0,0.0,0.0,"No, the improvement is not statistically significant",0.3166501999949105,0.9330515000037849
