case_class,case_id,controller_fingerprint,controller_protocol,decision_correct,description_level,expected_action,fixed_description_token_estimate,generated_tokens,insufficiency_correct,latency_seconds,model,model_passes,need_more_predicted,need_more_target,omission_stratum,operation_correct,predicted_action,prompt_tokens,protocol_revision,raw,seed,sufficiency_output,thinking
C2_MORE,c2-billing,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,0,D0,MATERIALIZE_MORE,124,12,0,1.6822001999244094,qwen3:0.6b,1,0,1,semantic_omission,0,CONTINUE,584,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""CONTINUE""}",11,flat,0
C2_MORE,c2-billing,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,0,D0,MATERIALIZE_MORE,124,12,0,0.9798329998739064,qwen3:0.6b,1,0,1,semantic_omission,0,CONTINUE,584,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""CONTINUE""}",23,flat,0
C2_MORE,c2-billing,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,0,D0,MATERIALIZE_MORE,124,12,0,0.9804081001784652,qwen3:0.6b,1,0,1,semantic_omission,0,CONTINUE,584,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""CONTINUE""}",37,flat,0
C2_MORE,c2-billing,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,0,D0,MATERIALIZE_MORE,124,12,0,0.7448585000820458,qwen3:0.6b,1,0,1,semantic_omission,0,CONTINUE,584,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""CONTINUE""}",53,flat,0
C2_MORE,c2-billing,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,0,D0,MATERIALIZE_MORE,124,12,0,0.9043976000975817,qwen3:0.6b,1,0,1,semantic_omission,0,CONTINUE,584,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""CONTINUE""}",71,flat,0
C3_CURSOR,c3-billing,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,0,D0,CURSOR_NEXT,124,12,0,1.4156255999114364,qwen3:0.6b,1,0,1,semantic_omission,0,CONTINUE,580,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""CONTINUE""}",11,flat,0
C3_CURSOR,c3-billing,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,0,D0,CURSOR_NEXT,124,12,0,1.0063670000527054,qwen3:0.6b,1,0,1,semantic_omission,0,CONTINUE,580,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""CONTINUE""}",23,flat,0
C3_CURSOR,c3-billing,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,0,D0,CURSOR_NEXT,124,12,0,0.9898490000050515,qwen3:0.6b,1,0,1,semantic_omission,0,CONTINUE,580,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""CONTINUE""}",37,flat,0
C3_CURSOR,c3-billing,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,0,D0,CURSOR_NEXT,124,12,0,0.7387898000888526,qwen3:0.6b,1,0,1,semantic_omission,0,CONTINUE,580,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""CONTINUE""}",53,flat,0
C3_CURSOR,c3-billing,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,0,D0,CURSOR_NEXT,124,12,0,0.8946265999693424,qwen3:0.6b,1,0,1,semantic_omission,0,CONTINUE,580,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""CONTINUE""}",71,flat,0
C4_SEARCH,c4-billing,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,0,D0,SEARCH_RECORD,124,12,0,1.539355200016871,qwen3:0.6b,1,0,1,semantic_omission,0,CONTINUE,477,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""CONTINUE""}",11,flat,0
C4_SEARCH,c4-billing,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,0,D0,SEARCH_RECORD,124,12,0,0.7192875999026,qwen3:0.6b,1,0,1,semantic_omission,0,CONTINUE,477,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""CONTINUE""}",23,flat,0
C4_SEARCH,c4-billing,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,0,D0,SEARCH_RECORD,124,12,0,0.7435012999922037,qwen3:0.6b,1,0,1,semantic_omission,0,CONTINUE,477,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""CONTINUE""}",37,flat,0
C4_SEARCH,c4-billing,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,0,D0,SEARCH_RECORD,124,12,0,0.7349126001354307,qwen3:0.6b,1,0,1,semantic_omission,0,CONTINUE,477,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""CONTINUE""}",53,flat,0
C4_SEARCH,c4-billing,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,0,D0,SEARCH_RECORD,124,12,0,0.9713441000785679,qwen3:0.6b,1,0,1,semantic_omission,0,CONTINUE,477,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""CONTINUE""}",71,flat,0
C5_TOOL,c5-billing,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,0,D0,CALL_TOOL,124,12,0,1.4180360999889672,qwen3:0.6b,1,0,1,absent_from_backing,0,CONTINUE,438,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""CONTINUE""}",11,flat,0
C5_TOOL,c5-billing,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,1,D0,CALL_TOOL,124,13,1,0.7769573000259697,qwen3:0.6b,1,1,1,absent_from_backing,1,CALL_TOOL,438,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"": ""CALL_TOOL""}",23,flat,0
C5_TOOL,c5-billing,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,1,D0,CALL_TOOL,124,13,1,0.9519803998991847,qwen3:0.6b,1,1,1,absent_from_backing,1,CALL_TOOL,438,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"": ""CALL_TOOL""}",37,flat,0
C5_TOOL,c5-billing,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,1,D0,CALL_TOOL,124,13,1,0.737199499970302,qwen3:0.6b,1,1,1,absent_from_backing,1,CALL_TOOL,438,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"": ""CALL_TOOL""}",53,flat,0
C5_TOOL,c5-billing,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,1,D0,CALL_TOOL,124,13,1,1.19904790003784,qwen3:0.6b,1,1,1,absent_from_backing,1,CALL_TOOL,438,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"": ""CALL_TOOL""}",71,flat,0
C0_CONTINUE,c0-deployment,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,0,D0,CONTINUE,124,14,0,2.080871800193563,qwen3:0.6b,1,1,0,compact_explicit,0,MATERIALIZE_FULL,605,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""MATERIALIZE_FULL""}",11,flat,0
C0_CONTINUE,c0-deployment,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,1,D0,CONTINUE,124,13,1,0.944700000109151,qwen3:0.6b,1,0,0,compact_explicit,1,CONTINUE,605,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"": ""CONTINUE""}",23,flat,0
C0_CONTINUE,c0-deployment,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,1,D0,CONTINUE,124,13,1,0.96527129993774,qwen3:0.6b,1,0,0,compact_explicit,1,CONTINUE,605,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"": ""CONTINUE""}",37,flat,0
C0_CONTINUE,c0-deployment,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,1,D0,CONTINUE,124,13,1,0.9943938998039812,qwen3:0.6b,1,0,0,compact_explicit,1,CONTINUE,605,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"": ""CONTINUE""}",53,flat,0
C0_CONTINUE,c0-deployment,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,1,D0,CONTINUE,124,13,1,0.9756692999508232,qwen3:0.6b,1,0,0,compact_explicit,1,CONTINUE,605,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"": ""CONTINUE""}",71,flat,0
C1_FULL,c1-deployment,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,0,D0,MATERIALIZE_FULL,124,13,0,1.4010145999491215,qwen3:0.6b,1,0,1,opaque_hidden,0,CONTINUE,437,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"": ""CONTINUE""}",11,flat,0
C1_FULL,c1-deployment,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,0,D0,MATERIALIZE_FULL,124,13,0,1.0187198999337852,qwen3:0.6b,1,0,1,opaque_hidden,0,CONTINUE,437,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"": ""CONTINUE""}",23,flat,0
C1_FULL,c1-deployment,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,0,D0,MATERIALIZE_FULL,124,13,0,1.148106899810955,qwen3:0.6b,1,0,1,opaque_hidden,0,CONTINUE,437,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"": ""CONTINUE""}",37,flat,0
C1_FULL,c1-deployment,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,0,D0,MATERIALIZE_FULL,124,13,0,0.999699599808082,qwen3:0.6b,1,0,1,opaque_hidden,0,CONTINUE,437,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"": ""CONTINUE""}",53,flat,0
C1_FULL,c1-deployment,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,0,D0,MATERIALIZE_FULL,124,13,0,0.9791713999584317,qwen3:0.6b,1,0,1,opaque_hidden,0,CONTINUE,437,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"": ""CONTINUE""}",71,flat,0
C2_MORE,c2-deployment,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,0,D0,MATERIALIZE_MORE,124,14,1,1.85511410003528,qwen3:0.6b,1,1,1,opaque_hidden,0,MATERIALIZE_FULL,591,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""MATERIALIZE_FULL""}",11,flat,0
C2_MORE,c2-deployment,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,0,D0,MATERIALIZE_MORE,124,14,1,0.8336736001074314,qwen3:0.6b,1,1,1,opaque_hidden,0,MATERIALIZE_FULL,591,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""MATERIALIZE_FULL""}",23,flat,0
C2_MORE,c2-deployment,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,0,D0,MATERIALIZE_MORE,124,14,1,0.8288054999429733,qwen3:0.6b,1,1,1,opaque_hidden,0,MATERIALIZE_FULL,591,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""MATERIALIZE_FULL""}",37,flat,0
C2_MORE,c2-deployment,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,0,D0,MATERIALIZE_MORE,124,14,1,1.1135452999733388,qwen3:0.6b,1,1,1,opaque_hidden,0,MATERIALIZE_FULL,591,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""MATERIALIZE_FULL""}",53,flat,0
C2_MORE,c2-deployment,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,0,D0,MATERIALIZE_MORE,124,14,1,0.8557895000558347,qwen3:0.6b,1,1,1,opaque_hidden,0,MATERIALIZE_FULL,591,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""MATERIALIZE_FULL""}",71,flat,0
C3_CURSOR,c3-deployment,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,0,D0,CURSOR_QUERY,124,12,0,1.6786829000338912,qwen3:0.6b,1,0,1,opaque_hidden,0,CONTINUE,587,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""CONTINUE""}",11,flat,0
C3_CURSOR,c3-deployment,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,0,D0,CURSOR_QUERY,124,12,0,0.9720143000595272,qwen3:0.6b,1,0,1,opaque_hidden,0,CONTINUE,587,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""CONTINUE""}",23,flat,0
C3_CURSOR,c3-deployment,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,0,D0,CURSOR_QUERY,124,12,0,0.9799671000801027,qwen3:0.6b,1,0,1,opaque_hidden,0,CONTINUE,587,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""CONTINUE""}",37,flat,0
C3_CURSOR,c3-deployment,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,0,D0,CURSOR_QUERY,124,12,0,0.9893863999750465,qwen3:0.6b,1,0,1,opaque_hidden,0,CONTINUE,587,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""CONTINUE""}",53,flat,0
C3_CURSOR,c3-deployment,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,0,D0,CURSOR_QUERY,124,12,0,0.9663501000031829,qwen3:0.6b,1,0,1,opaque_hidden,0,CONTINUE,587,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""CONTINUE""}",71,flat,0
C4_SEARCH,c4-deployment,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,0,D0,SEARCH_RECORD,124,12,0,1.5475674998015165,qwen3:0.6b,1,0,1,opaque_hidden,0,CONTINUE,483,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""CONTINUE""}",11,flat,0
C4_SEARCH,c4-deployment,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,0,D0,SEARCH_RECORD,124,12,0,0.7400821000337601,qwen3:0.6b,1,0,1,opaque_hidden,0,CONTINUE,483,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""CONTINUE""}",23,flat,0
C4_SEARCH,c4-deployment,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,0,D0,SEARCH_RECORD,124,12,0,0.9775471999309957,qwen3:0.6b,1,0,1,opaque_hidden,0,CONTINUE,483,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""CONTINUE""}",37,flat,0
C4_SEARCH,c4-deployment,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,0,D0,SEARCH_RECORD,124,12,0,0.7458277000114322,qwen3:0.6b,1,0,1,opaque_hidden,0,CONTINUE,483,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""CONTINUE""}",53,flat,0
C4_SEARCH,c4-deployment,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,0,D0,SEARCH_RECORD,124,12,0,0.8936050999909639,qwen3:0.6b,1,0,1,opaque_hidden,0,CONTINUE,483,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""CONTINUE""}",71,flat,0
C5_TOOL,c5-deployment,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,0,D0,CALL_TOOL,124,13,0,1.4596772999502718,qwen3:0.6b,1,0,1,absent_from_backing,0,CONTINUE,445,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"": ""CONTINUE""}",11,flat,0
C5_TOOL,c5-deployment,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,0,D0,CALL_TOOL,124,14,1,1.0816089001018554,qwen3:0.6b,1,1,1,absent_from_backing,0,MATERIALIZE_FULL,445,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""MATERIALIZE_FULL""}",23,flat,0
C5_TOOL,c5-deployment,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,0,D0,CALL_TOOL,124,14,1,0.9828427999746054,qwen3:0.6b,1,1,1,absent_from_backing,0,MATERIALIZE_FULL,445,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""MATERIALIZE_FULL""}",37,flat,0
C5_TOOL,c5-deployment,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,0,D0,CALL_TOOL,124,14,1,0.9891619998961687,qwen3:0.6b,1,1,1,absent_from_backing,0,MATERIALIZE_FULL,445,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""MATERIALIZE_FULL""}",53,flat,0
C5_TOOL,c5-deployment,ac0ebf895105972f0ce4de45bcb3b2430f77b2509b5d4ae440546268ec4c73fc,flat,0,D0,CALL_TOOL,124,14,1,0.9850949000101537,qwen3:0.6b,1,1,1,absent_from_backing,0,MATERIALIZE_FULL,445,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""MATERIALIZE_FULL""}",71,flat,0
C0_CONTINUE,c0-billing,b966d213ae709ae9a5f8117b686b8e24a2638f5bd8ba64979284907c59d8d198,flat,1,D2,CONTINUE,460,12,1,2.4593366999179125,qwen3:0.6b,1,0,0,compact_explicit,1,CONTINUE,845,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""CONTINUE""}",11,flat,0
C0_CONTINUE,c0-billing,b966d213ae709ae9a5f8117b686b8e24a2638f5bd8ba64979284907c59d8d198,flat,1,D2,CONTINUE,460,12,1,0.9974026000127196,qwen3:0.6b,1,0,0,compact_explicit,1,CONTINUE,845,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""CONTINUE""}",23,flat,0
C0_CONTINUE,c0-billing,b966d213ae709ae9a5f8117b686b8e24a2638f5bd8ba64979284907c59d8d198,flat,1,D2,CONTINUE,460,12,1,1.1058702000882477,qwen3:0.6b,1,0,0,compact_explicit,1,CONTINUE,845,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""CONTINUE""}",37,flat,0
C0_CONTINUE,c0-billing,b966d213ae709ae9a5f8117b686b8e24a2638f5bd8ba64979284907c59d8d198,flat,1,D2,CONTINUE,460,12,1,1.001149500021711,qwen3:0.6b,1,0,0,compact_explicit,1,CONTINUE,845,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""CONTINUE""}",53,flat,0
C0_CONTINUE,c0-billing,b966d213ae709ae9a5f8117b686b8e24a2638f5bd8ba64979284907c59d8d198,flat,1,D2,CONTINUE,460,12,1,0.8416714000049978,qwen3:0.6b,1,0,0,compact_explicit,1,CONTINUE,845,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""CONTINUE""}",71,flat,0
C1_FULL,c1-billing,b966d213ae709ae9a5f8117b686b8e24a2638f5bd8ba64979284907c59d8d198,flat,0,D2,MATERIALIZE_FULL,460,12,0,1.5759940000716597,qwen3:0.6b,1,0,1,semantic_omission,0,CONTINUE,678,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""CONTINUE""}",11,flat,0
C1_FULL,c1-billing,b966d213ae709ae9a5f8117b686b8e24a2638f5bd8ba64979284907c59d8d198,flat,0,D2,MATERIALIZE_FULL,460,12,0,1.1162841999903321,qwen3:0.6b,1,0,1,semantic_omission,0,CONTINUE,678,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""CONTINUE""}",23,flat,0
C1_FULL,c1-billing,b966d213ae709ae9a5f8117b686b8e24a2638f5bd8ba64979284907c59d8d198,flat,0,D2,MATERIALIZE_FULL,460,12,0,0.9925350998528302,qwen3:0.6b,1,0,1,semantic_omission,0,CONTINUE,678,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""CONTINUE""}",37,flat,0
C1_FULL,c1-billing,b966d213ae709ae9a5f8117b686b8e24a2638f5bd8ba64979284907c59d8d198,flat,0,D2,MATERIALIZE_FULL,460,12,0,0.9770667999982834,qwen3:0.6b,1,0,1,semantic_omission,0,CONTINUE,678,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""CONTINUE""}",53,flat,0
C1_FULL,c1-billing,b966d213ae709ae9a5f8117b686b8e24a2638f5bd8ba64979284907c59d8d198,flat,0,D2,MATERIALIZE_FULL,460,12,0,0.9791449999902397,qwen3:0.6b,1,0,1,semantic_omission,0,CONTINUE,678,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""CONTINUE""}",71,flat,0
C2_MORE,c2-billing,b966d213ae709ae9a5f8117b686b8e24a2638f5bd8ba64979284907c59d8d198,flat,1,D2,MATERIALIZE_MORE,460,14,1,2.0059587999712676,qwen3:0.6b,1,1,1,semantic_omission,1,MATERIALIZE_MORE,832,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""MATERIALIZE_MORE""}",11,flat,0
C2_MORE,c2-billing,b966d213ae709ae9a5f8117b686b8e24a2638f5bd8ba64979284907c59d8d198,flat,1,D2,MATERIALIZE_MORE,460,14,1,0.942494299961254,qwen3:0.6b,1,1,1,semantic_omission,1,MATERIALIZE_MORE,832,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""MATERIALIZE_MORE""}",23,flat,0
C2_MORE,c2-billing,b966d213ae709ae9a5f8117b686b8e24a2638f5bd8ba64979284907c59d8d198,flat,1,D2,MATERIALIZE_MORE,460,14,1,1.2218017999548465,qwen3:0.6b,1,1,1,semantic_omission,1,MATERIALIZE_MORE,832,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""MATERIALIZE_MORE""}",37,flat,0
C2_MORE,c2-billing,b966d213ae709ae9a5f8117b686b8e24a2638f5bd8ba64979284907c59d8d198,flat,1,D2,MATERIALIZE_MORE,460,14,1,1.2359046000055969,qwen3:0.6b,1,1,1,semantic_omission,1,MATERIALIZE_MORE,832,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""MATERIALIZE_MORE""}",53,flat,0
C2_MORE,c2-billing,b966d213ae709ae9a5f8117b686b8e24a2638f5bd8ba64979284907c59d8d198,flat,1,D2,MATERIALIZE_MORE,460,14,1,1.1451997000258416,qwen3:0.6b,1,1,1,semantic_omission,1,MATERIALIZE_MORE,832,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""MATERIALIZE_MORE""}",71,flat,0
C3_CURSOR,c3-billing,b966d213ae709ae9a5f8117b686b8e24a2638f5bd8ba64979284907c59d8d198,flat,0,D2,CURSOR_NEXT,460,12,0,1.7306689000688493,qwen3:0.6b,1,0,1,semantic_omission,0,CONTINUE,828,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""CONTINUE""}",11,flat,0
C3_CURSOR,c3-billing,b966d213ae709ae9a5f8117b686b8e24a2638f5bd8ba64979284907c59d8d198,flat,0,D2,CURSOR_NEXT,460,12,0,1.0868537998758256,qwen3:0.6b,1,0,1,semantic_omission,0,CONTINUE,828,paper7-controller-calibration-v1,"<think>

</think>

{""context_action"":""CONTINUE""}",23,flat,0
