split,dataset,example_id,condition,evidence_recall,precision,mrr,ndcg,any_hit,path_completion,missed_evidence,requested_chunks,requested_token_budget,materialized_chunks,materialized_tokens,selected_chunk_ids,positive_chunk_ids,positive_indices,graph_facets,graph_edges,graph_memory_bytes,graph_ms,cluster_ms,score_ms,selection_ms,routing_ms,cluster_iterations,cluster_converged,peak_graph_gpu_bytes,device
test,hotpotqa,5ab56db7554299494045efc6,global_semantic,0.25,0.25,0.25,0.16812753627111746,1.0,0.0,0.75,4,128,0,0,benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=20|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=29|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=26|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=2,benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=0|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=1|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=2|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=25,0|1|12|18,0,0,0,0.0,0.0,0.7268998306244612,0.731700100004673,1.4585999306291342,0,0,0,cuda
test,hotpotqa,5ab56db7554299494045efc6,paper25_multiscale,0.25,0.25,1.0,0.3903800499921017,1.0,0.0,0.75,4,128,0,0,benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=0|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=22|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=36|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=32,benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=0|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=1|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=2|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=25,0|1|12|18,0,0,0,0.0,0.0,0.6941000465303659,0.637599965557456,1.331700012087822,0,0,0,cuda
test,hotpotqa,5ab56db7554299494045efc6,paper25_clause,0.5,0.5,0.5,0.44149241373678083,1.0,0.0,0.5,4,128,0,0,benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=22|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=1|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=2|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=21,benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=0|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=1|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=2|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=25,0|1|12|18,0,0,0,0.0,0.0,0.6415999960154295,0.7038998883217573,1.3454998843371868,0,0,0,cuda
test,hotpotqa,5ab56db7554299494045efc6,embedding_kmeans,0.25,0.25,0.3333333333333333,0.19519002499605084,1.0,0.0,0.75,4,128,0,0,benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=29|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=20|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=0|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=36,benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=0|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=1|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=2|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=25,0|1|12|18,0,0,0,0.0,0.0,0.5270999390631914,0.6680998485535383,1.1951997876167297,0,0,0,cuda
test,hotpotqa,5ab56db7554299494045efc6,graph_cc,0.25,0.25,0.3333333333333333,0.19519002499605084,1.0,0.0,0.75,4,128,0,0,benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=29|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=20|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=0|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=36,benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=0|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=1|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=2|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=25,0|1|12|18,3,54,1992,5.153500009328127,6.68049999512732,0.7736999541521072,0.5636001005768776,13.171300059184432,5,1,9300480,cuda
test,hotpotqa,5ab56db7554299494045efc6,graph_label_propagation,0.25,0.25,1.0,0.3903800499921017,1.0,0.0,0.75,4,128,0,0,benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=0|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=36|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=29|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=21,benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=0|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=1|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=2|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=25,0|1|12|18,5,54,1992,5.166799994185567,29.98049999587238,0.7056999020278454,0.5680001340806484,36.42100002616644,6,1,9318400,cuda
test,hotpotqa,5ab56db7554299494045efc6,paper26_bm25,0.25,0.25,1.0,0.3903800499921017,1.0,0.0,0.75,4,128,0,0,benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=25|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=26|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=18|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=21,benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=0|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=1|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=2|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=25,0|1|12|18,0,0,0,0.0,0.0,0.0,13.42609990388155,13.42609990388155,0,0,0,cuda
test,hotpotqa,5ab56db7554299494045efc6,paper26_hybrid,0.75,0.75,1.0,0.8318724637288826,1.0,0.0,0.25,4,128,0,0,benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=2|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=1|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=0|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=21,benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=0|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=1|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=2|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=25,0|1|12|18,0,0,0,0.0,0.0,0.0,23.615800077095628,23.615800077095628,0,0,0,cuda
test,hotpotqa,5ab56db7554299494045efc6,graph_cc_hybrid,0.75,0.75,1.0,0.8318724637288826,1.0,0.0,0.25,4,128,0,0,benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=0|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=1|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=2|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=21,benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=0|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=1|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=2|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=25,0|1|12|18,3,54,1992,5.153500009328127,6.68049999512732,0.7736999541521072,23.32490007393062,35.932600032538176,5,1,9300480,cuda
test,hotpotqa,5ab56db7554299494045efc6,graph_label_propagation_hybrid,0.75,0.75,1.0,0.8318724637288826,1.0,0.0,0.25,4,128,0,0,benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=0|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=1|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=2|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=21,benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=0|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=1|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=2|benchmark://hotpotqa/5ab56db7554299494045efc6#chunk=25,0|1|12|18,5,54,1992,5.166799994185567,29.98049999587238,0.7056999020278454,14.314299914985895,50.167299807071686,6,1,9318400,cuda
test,hotpotqa,5ab2b863554299295394685a,global_semantic,0.3333333333333333,0.25,0.25,0.20210734650054757,1.0,0.0,0.6666666666666667,4,128,0,0,benchmark://hotpotqa/5ab2b863554299295394685a#chunk=40|benchmark://hotpotqa/5ab2b863554299295394685a#chunk=8|benchmark://hotpotqa/5ab2b863554299295394685a#chunk=9|benchmark://hotpotqa/5ab2b863554299295394685a#chunk=28,benchmark://hotpotqa/5ab2b863554299295394685a#chunk=28|benchmark://hotpotqa/5ab2b863554299295394685a#chunk=31|benchmark://hotpotqa/5ab2b863554299295394685a#chunk=32,21|25|26,0,0,0,0.0,0.0,0.6681999657303095,0.7197000086307526,1.387899974361062,0,0,0,cuda
test,hotpotqa,5ab2b863554299295394685a,paper25_multiscale,0.3333333333333333,0.25,0.3333333333333333,0.23463936301137822,1.0,0.0,0.6666666666666667,4,128,0,0,benchmark://hotpotqa/5ab2b863554299295394685a#chunk=40|benchmark://hotpotqa/5ab2b863554299295394685a#chunk=44|benchmark://hotpotqa/5ab2b863554299295394685a#chunk=32|benchmark://hotpotqa/5ab2b863554299295394685a#chunk=20,benchmark://hotpotqa/5ab2b863554299295394685a#chunk=28|benchmark://hotpotqa/5ab2b863554299295394685a#chunk=31|benchmark://hotpotqa/5ab2b863554299295394685a#chunk=32,21|25|26,0,0,0,0.0,0.0,0.6033999379724264,0.6264999974519014,1.2298999354243279,0,0,0,cuda
test,hotpotqa,5ab2b863554299295394685a,paper25_clause,0.3333333333333333,0.25,0.25,0.20210734650054757,1.0,0.0,0.6666666666666667,4,128,0,0,benchmark://hotpotqa/5ab2b863554299295394685a#chunk=40|benchmark://hotpotqa/5ab2b863554299295394685a#chunk=20|benchmark://hotpotqa/5ab2b863554299295394685a#chunk=9|benchmark://hotpotqa/5ab2b863554299295394685a#chunk=32,benchmark://hotpotqa/5ab2b863554299295394685a#chunk=28|benchmark://hotpotqa/5ab2b863554299295394685a#chunk=31|benchmark://hotpotqa/5ab2b863554299295394685a#chunk=32,21|25|26,0,0,0,0.0,0.0,0.6167001556605101,0.6159001495689154,1.2326003052294254,0,0,0,cuda
test,hotpotqa,5ab2b863554299295394685a,embedding_kmeans,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,128,0,0,benchmark://hotpotqa/5ab2b863554299295394685a#chunk=44|benchmark://hotpotqa/5ab2b863554299295394685a#chunk=8|benchmark://hotpotqa/5ab2b863554299295394685a#chunk=40|benchmark://hotpotqa/5ab2b863554299295394685a#chunk=0,benchmark://hotpotqa/5ab2b863554299295394685a#chunk=28|benchmark://hotpotqa/5ab2b863554299295394685a#chunk=31|benchmark://hotpotqa/5ab2b863554299295394685a#chunk=32,21|25|26,0,0,0,0.0,0.0,0.5781000945717096,0.5771999713033438,1.1553000658750534,0,0,0,cuda
test,hotpotqa,5ab2b863554299295394685a,graph_cc,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,128,0,0,benchmark://hotpotqa/5ab2b863554299295394685a#chunk=40|benchmark://hotpotqa/5ab2b863554299295394685a#chunk=37|benchmark://hotpotqa/5ab2b863554299295394685a#chunk=5|benchmark://hotpotqa/5ab2b863554299295394685a#chunk=17,benchmark://hotpotqa/5ab2b863554299295394685a#chunk=28|benchmark://hotpotqa/5ab2b863554299295394685a#chunk=31|benchmark://hotpotqa/5ab2b863554299295394685a#chunk=32,21|25|26,2,58,2104,3.3370000310242176,4.434000002220273,0.9868999477475882,0.7406999357044697,9.498599916696548,5,1,9361920,cuda
test,hotpotqa,5ab2b863554299295394685a,graph_label_propagation,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,128,0,0,benchmark://hotpotqa/5ab2b863554299295394685a#chunk=44|benchmark://hotpotqa/5ab2b863554299295394685a#chunk=40|benchmark://hotpotqa/5ab2b863554299295394685a#chunk=3|benchmark://hotpotqa/5ab2b863554299295394685a#chunk=46,benchmark://hotpotqa/5ab2b863554299295394685a#chunk=28|benchmark://hotpotqa/5ab2b863554299295394685a#chunk=31|benchmark://hotpotqa/5ab2b863554299295394685a#chunk=32,21|25|26,5,58,2104,4.719099961221218,12.714400188997388,0.5244000349193811,0.8306000381708145,18.7885002233088,3,1,9375744,cuda
test,hotpotqa,5ab2b863554299295394685a,paper26_bm25,0.3333333333333333,0.25,0.5,0.2960819109658652,1.0,0.0,0.6666666666666667,4,128,0,0,benchmark://hotpotqa/5ab2b863554299295394685a#chunk=27|benchmark://hotpotqa/5ab2b863554299295394685a#chunk=28|benchmark://hotpotqa/5ab2b863554299295394685a#chunk=47|benchmark://hotpotqa/5ab2b863554299295394685a#chunk=20,benchmark://hotpotqa/5ab2b863554299295394685a#chunk=28|benchmark://hotpotqa/5ab2b863554299295394685a#chunk=31|benchmark://hotpotqa/5ab2b863554299295394685a#chunk=32,21|25|26,0,0,0,0.0,0.0,0.0,17.142900032922626,17.142900032922626,0,0,0,cuda
test,hotpotqa,5ab2b863554299295394685a,paper26_hybrid,0.3333333333333333,0.25,1.0,0.46927872602275644,1.0,0.0,0.6666666666666667,4,128,0,0,benchmark://hotpotqa/5ab2b863554299295394685a#chunk=31|benchmark://hotpotqa/5ab2b863554299295394685a#chunk=30|benchmark://hotpotqa/5ab2b863554299295394685a#chunk=40|benchmark://hotpotqa/5ab2b863554299295394685a#chunk=9,benchmark://hotpotqa/5ab2b863554299295394685a#chunk=28|benchmark://hotpotqa/5ab2b863554299295394685a#chunk=31|benchmark://hotpotqa/5ab2b863554299295394685a#chunk=32,21|25|26,0,0,0,0.0,0.0,0.0,17.051100032404065,17.051100032404065,0,0,0,cuda
test,hotpotqa,5ab2b863554299295394685a,graph_cc_hybrid,0.3333333333333333,0.25,1.0,0.46927872602275644,1.0,0.0,0.6666666666666667,4,128,0,0,benchmark://hotpotqa/5ab2b863554299295394685a#chunk=31|benchmark://hotpotqa/5ab2b863554299295394685a#chunk=30|benchmark://hotpotqa/5ab2b863554299295394685a#chunk=40|benchmark://hotpotqa/5ab2b863554299295394685a#chunk=37,benchmark://hotpotqa/5ab2b863554299295394685a#chunk=28|benchmark://hotpotqa/5ab2b863554299295394685a#chunk=31|benchmark://hotpotqa/5ab2b863554299295394685a#chunk=32,21|25|26,2,58,2104,3.3370000310242176,4.434000002220273,0.9868999477475882,16.794800059869885,25.552700040861964,5,1,9361920,cuda
test,hotpotqa,5ab2b863554299295394685a,graph_label_propagation_hybrid,0.3333333333333333,0.25,1.0,0.46927872602275644,1.0,0.0,0.6666666666666667,4,128,0,0,benchmark://hotpotqa/5ab2b863554299295394685a#chunk=31|benchmark://hotpotqa/5ab2b863554299295394685a#chunk=30|benchmark://hotpotqa/5ab2b863554299295394685a#chunk=40|benchmark://hotpotqa/5ab2b863554299295394685a#chunk=3,benchmark://hotpotqa/5ab2b863554299295394685a#chunk=28|benchmark://hotpotqa/5ab2b863554299295394685a#chunk=31|benchmark://hotpotqa/5ab2b863554299295394685a#chunk=32,21|25|26,5,58,2104,4.719099961221218,12.714400188997388,0.5244000349193811,15.780300134792924,33.73820031993091,3,1,9375744,cuda
test,hotpotqa,5a710a915542994082a3e504,global_semantic,0.5,0.5,1.0,0.5855700749881525,1.0,0.0,0.5,4,128,0,0,benchmark://hotpotqa/5a710a915542994082a3e504#chunk=13|benchmark://hotpotqa/5a710a915542994082a3e504#chunk=4|benchmark://hotpotqa/5a710a915542994082a3e504#chunk=25|benchmark://hotpotqa/5a710a915542994082a3e504#chunk=17,benchmark://hotpotqa/5a710a915542994082a3e504#chunk=12|benchmark://hotpotqa/5a710a915542994082a3e504#chunk=13|benchmark://hotpotqa/5a710a915542994082a3e504#chunk=24|benchmark://hotpotqa/5a710a915542994082a3e504#chunk=25,4|5|17|18,0,0,0,0.0,0.0,0.5154998507350683,0.5836999043822289,1.0991997551172972,0,0,0,cuda
test,hotpotqa,5a710a915542994082a3e504,paper25_multiscale,0.25,0.25,0.25,0.16812753627111746,1.0,0.0,0.75,4,128,0,0,benchmark://hotpotqa/5a710a915542994082a3e504#chunk=4|benchmark://hotpotqa/5a710a915542994082a3e504#chunk=16|benchmark://hotpotqa/5a710a915542994082a3e504#chunk=6|benchmark://hotpotqa/5a710a915542994082a3e504#chunk=25,benchmark://hotpotqa/5a710a915542994082a3e504#chunk=12|benchmark://hotpotqa/5a710a915542994082a3e504#chunk=13|benchmark://hotpotqa/5a710a915542994082a3e504#chunk=24|benchmark://hotpotqa/5a710a915542994082a3e504#chunk=25,4|5|17|18,0,0,0,0.0,0.0,0.4779999144375324,0.5267001688480377,1.0047000832855701,0,0,0,cuda
test,hotpotqa,5a710a915542994082a3e504,paper25_clause,0.25,0.25,0.25,0.16812753627111746,1.0,0.0,0.75,4,128,0,0,benchmark://hotpotqa/5a710a915542994082a3e504#chunk=4|benchmark://hotpotqa/5a710a915542994082a3e504#chunk=32|benchmark://hotpotqa/5a710a915542994082a3e504#chunk=6|benchmark://hotpotqa/5a710a915542994082a3e504#chunk=13,benchmark://hotpotqa/5a710a915542994082a3e504#chunk=12|benchmark://hotpotqa/5a710a915542994082a3e504#chunk=13|benchmark://hotpotqa/5a710a915542994082a3e504#chunk=24|benchmark://hotpotqa/5a710a915542994082a3e504#chunk=25,4|5|17|18,0,0,0,0.0,0.0,0.4531999584287405,0.5192002281546593,0.9724001865833998,0,0,0,cuda
test,hotpotqa,5a710a915542994082a3e504,embedding_kmeans,0.5,0.5,0.5,0.4144299250118475,1.0,0.0,0.5,4,128,0,0,benchmark://hotpotqa/5a710a915542994082a3e504#chunk=4|benchmark://hotpotqa/5a710a915542994082a3e504#chunk=13|benchmark://hotpotqa/5a710a915542994082a3e504#chunk=17|benchmark://hotpotqa/5a710a915542994082a3e504#chunk=25,benchmark://hotpotqa/5a710a915542994082a3e504#chunk=12|benchmark://hotpotqa/5a710a915542994082a3e504#chunk=13|benchmark://hotpotqa/5a710a915542994082a3e504#chunk=24|benchmark://hotpotqa/5a710a915542994082a3e504#chunk=25,4|5|17|18,0,0,0,0.0,0.0,0.4298000130802393,0.5162002053111792,0.9460002183914185,0,0,0,cuda
test,hotpotqa,5a710a915542994082a3e504,graph_cc,0.5,0.5,0.3333333333333333,0.36331756126716835,1.0,0.0,0.5,4,128,0,0,benchmark://hotpotqa/5a710a915542994082a3e504#chunk=4|benchmark://hotpotqa/5a710a915542994082a3e504#chunk=6|benchmark://hotpotqa/5a710a915542994082a3e504#chunk=13|benchmark://hotpotqa/5a710a915542994082a3e504#chunk=25,benchmark://hotpotqa/5a710a915542994082a3e504#chunk=12|benchmark://hotpotqa/5a710a915542994082a3e504#chunk=13|benchmark://hotpotqa/5a710a915542994082a3e504#chunk=24|benchmark://hotpotqa/5a710a915542994082a3e504#chunk=25,4|5|17|18,4,62,2312,4.816900007426739,7.719199871644378,0.8099998813122511,0.5122998263686895,13.858399586752057,8,1,9358848,cuda
