depth,evidence_span_tokens,example_id,hop_over_window,max_hop_distance_tokens,query_pooling,query_token_count,seed,span_over_window,window,query_state_layer,fact_token_count,W
1,20,chain-937836-d1,0.078125,5,final query token,5,17,0.3125,w64,pre-consumer-layer final-token state,5,w64
1,42,chain-1042565-d1,0.109375,7,final query token,5,17,0.65625,w64,pre-consumer-layer final-token state,5,w64
2,28,chain-1147294-d2,0.109375,7,final query token,6,17,0.4375,w64,pre-consumer-layer final-token state,5,w64
4,11,chain-1252023-d4,0.171875,11,final query token,8,17,0.171875,w64,pre-consumer-layer final-token state,5,w64
1,35,chain-1356752-d1,0.078125,5,final query token,5,17,0.546875,w64,pre-consumer-layer final-token state,5,w64
2,44,chain-1461481-d2,0.171875,11,final query token,6,17,0.6875,w64,pre-consumer-layer final-token state,5,w64
2,15,chain-1566210-d2,0.078125,5,final query token,6,17,0.234375,w64,pre-consumer-layer final-token state,5,w64
1,55,chain-1670939-d1,0.171875,11,final query token,5,17,0.859375,w64,pre-consumer-layer final-token state,5,w64
1,22,chain-100004-d1,0.171875,11,final query token,5,29,0.34375,w64,pre-consumer-layer final-token state,5,w64
3,22,chain-204733-d3,0.171875,11,final query token,7,29,0.34375,w64,pre-consumer-layer final-token state,5,w64
4,7,chain-309462-d4,0.109375,7,final query token,8,29,0.109375,w64,pre-consumer-layer final-token state,5,w64
2,22,chain-414191-d2,0.171875,11,final query token,6,29,0.34375,w64,pre-consumer-layer final-token state,5,w64
1,35,chain-518920-d1,0.078125,5,final query token,5,29,0.546875,w64,pre-consumer-layer final-token state,5,w64
1,33,chain-623649-d1,0.171875,11,final query token,5,29,0.515625,w64,pre-consumer-layer final-token state,5,w64
2,14,chain-728378-d2,0.109375,7,final query token,6,29,0.21875,w64,pre-consumer-layer final-token state,5,w64
1,35,chain-833107-d1,0.109375,7,final query token,5,29,0.546875,w64,pre-consumer-layer final-token state,5,w64
1,20,chain-937836-d1,0.078125,5,final query token,5,29,0.3125,w64,pre-consumer-layer final-token state,5,w64
1,42,chain-1042565-d1,0.109375,7,final query token,5,29,0.65625,w64,pre-consumer-layer final-token state,5,w64
2,28,chain-1147294-d2,0.109375,7,final query token,6,29,0.4375,w64,pre-consumer-layer final-token state,5,w64
4,11,chain-1252023-d4,0.171875,11,final query token,8,29,0.171875,w64,pre-consumer-layer final-token state,5,w64
1,35,chain-1356752-d1,0.078125,5,final query token,5,29,0.546875,w64,pre-consumer-layer final-token state,5,w64
2,44,chain-1461481-d2,0.171875,11,final query token,6,29,0.6875,w64,pre-consumer-layer final-token state,5,w64
2,15,chain-1566210-d2,0.078125,5,final query token,6,29,0.234375,w64,pre-consumer-layer final-token state,5,w64
1,55,chain-1670939-d1,0.171875,11,final query token,5,29,0.859375,w64,pre-consumer-layer final-token state,5,w64
1,22,chain-100004-d1,0.171875,11,final query token,5,41,0.34375,w64,pre-consumer-layer final-token state,5,w64
3,22,chain-204733-d3,0.171875,11,final query token,7,41,0.34375,w64,pre-consumer-layer final-token state,5,w64
4,7,chain-309462-d4,0.109375,7,final query token,8,41,0.109375,w64,pre-consumer-layer final-token state,5,w64
2,22,chain-414191-d2,0.171875,11,final query token,6,41,0.34375,w64,pre-consumer-layer final-token state,5,w64
1,35,chain-518920-d1,0.078125,5,final query token,5,41,0.546875,w64,pre-consumer-layer final-token state,5,w64
1,33,chain-623649-d1,0.171875,11,final query token,5,41,0.515625,w64,pre-consumer-layer final-token state,5,w64
2,14,chain-728378-d2,0.109375,7,final query token,6,41,0.21875,w64,pre-consumer-layer final-token state,5,w64
1,35,chain-833107-d1,0.109375,7,final query token,5,41,0.546875,w64,pre-consumer-layer final-token state,5,w64
1,20,chain-937836-d1,0.078125,5,final query token,5,41,0.3125,w64,pre-consumer-layer final-token state,5,w64
1,42,chain-1042565-d1,0.109375,7,final query token,5,41,0.65625,w64,pre-consumer-layer final-token state,5,w64
2,28,chain-1147294-d2,0.109375,7,final query token,6,41,0.4375,w64,pre-consumer-layer final-token state,5,w64
4,11,chain-1252023-d4,0.171875,11,final query token,8,41,0.171875,w64,pre-consumer-layer final-token state,5,w64
1,35,chain-1356752-d1,0.078125,5,final query token,5,41,0.546875,w64,pre-consumer-layer final-token state,5,w64
2,44,chain-1461481-d2,0.171875,11,final query token,6,41,0.6875,w64,pre-consumer-layer final-token state,5,w64
2,15,chain-1566210-d2,0.078125,5,final query token,6,41,0.234375,w64,pre-consumer-layer final-token state,5,w64
1,55,chain-1670939-d1,0.171875,11,final query token,5,41,0.859375,w64,pre-consumer-layer final-token state,5,w64
1,22,chain-100004-d1,0.171875,11,final query token,5,53,0.34375,w64,pre-consumer-layer final-token state,5,w64
3,22,chain-204733-d3,0.171875,11,final query token,7,53,0.34375,w64,pre-consumer-layer final-token state,5,w64
4,7,chain-309462-d4,0.109375,7,final query token,8,53,0.109375,w64,pre-consumer-layer final-token state,5,w64
2,22,chain-414191-d2,0.171875,11,final query token,6,53,0.34375,w64,pre-consumer-layer final-token state,5,w64
1,35,chain-518920-d1,0.078125,5,final query token,5,53,0.546875,w64,pre-consumer-layer final-token state,5,w64
1,33,chain-623649-d1,0.171875,11,final query token,5,53,0.515625,w64,pre-consumer-layer final-token state,5,w64
2,14,chain-728378-d2,0.109375,7,final query token,6,53,0.21875,w64,pre-consumer-layer final-token state,5,w64
1,35,chain-833107-d1,0.109375,7,final query token,5,53,0.546875,w64,pre-consumer-layer final-token state,5,w64
1,20,chain-937836-d1,0.078125,5,final query token,5,53,0.3125,w64,pre-consumer-layer final-token state,5,w64
1,42,chain-1042565-d1,0.109375,7,final query token,5,53,0.65625,w64,pre-consumer-layer final-token state,5,w64
2,28,chain-1147294-d2,0.109375,7,final query token,6,53,0.4375,w64,pre-consumer-layer final-token state,5,w64
4,11,chain-1252023-d4,0.171875,11,final query token,8,53,0.171875,w64,pre-consumer-layer final-token state,5,w64
1,35,chain-1356752-d1,0.078125,5,final query token,5,53,0.546875,w64,pre-consumer-layer final-token state,5,w64
2,44,chain-1461481-d2,0.171875,11,final query token,6,53,0.6875,w64,pre-consumer-layer final-token state,5,w64
2,15,chain-1566210-d2,0.078125,5,final query token,6,53,0.234375,w64,pre-consumer-layer final-token state,5,w64
1,55,chain-1670939-d1,0.171875,11,final query token,5,53,0.859375,w64,pre-consumer-layer final-token state,5,w64
1,22,chain-100004-d1,0.171875,11,final query token,5,67,0.34375,w64,pre-consumer-layer final-token state,5,w64
3,22,chain-204733-d3,0.171875,11,final query token,7,67,0.34375,w64,pre-consumer-layer final-token state,5,w64
4,7,chain-309462-d4,0.109375,7,final query token,8,67,0.109375,w64,pre-consumer-layer final-token state,5,w64
2,22,chain-414191-d2,0.171875,11,final query token,6,67,0.34375,w64,pre-consumer-layer final-token state,5,w64
1,35,chain-518920-d1,0.078125,5,final query token,5,67,0.546875,w64,pre-consumer-layer final-token state,5,w64
1,33,chain-623649-d1,0.171875,11,final query token,5,67,0.515625,w64,pre-consumer-layer final-token state,5,w64
2,14,chain-728378-d2,0.109375,7,final query token,6,67,0.21875,w64,pre-consumer-layer final-token state,5,w64
1,35,chain-833107-d1,0.109375,7,final query token,5,67,0.546875,w64,pre-consumer-layer final-token state,5,w64
1,20,chain-937836-d1,0.078125,5,final query token,5,67,0.3125,w64,pre-consumer-layer final-token state,5,w64
1,42,chain-1042565-d1,0.109375,7,final query token,5,67,0.65625,w64,pre-consumer-layer final-token state,5,w64
2,28,chain-1147294-d2,0.109375,7,final query token,6,67,0.4375,w64,pre-consumer-layer final-token state,5,w64
4,11,chain-1252023-d4,0.171875,11,final query token,8,67,0.171875,w64,pre-consumer-layer final-token state,5,w64
1,35,chain-1356752-d1,0.078125,5,final query token,5,67,0.546875,w64,pre-consumer-layer final-token state,5,w64
2,44,chain-1461481-d2,0.171875,11,final query token,6,67,0.6875,w64,pre-consumer-layer final-token state,5,w64
2,15,chain-1566210-d2,0.078125,5,final query token,6,67,0.234375,w64,pre-consumer-layer final-token state,5,w64
1,55,chain-1670939-d1,0.171875,11,final query token,5,67,0.859375,w64,pre-consumer-layer final-token state,5,w64
1,22,chain-100004-d1,0.0859375,11,final query token,5,17,0.171875,w128,pre-consumer-layer final-token state,5,w128
3,22,chain-204733-d3,0.0859375,11,final query token,7,17,0.171875,w128,pre-consumer-layer final-token state,5,w128
4,7,chain-309462-d4,0.0546875,7,final query token,8,17,0.0546875,w128,pre-consumer-layer final-token state,5,w128
2,22,chain-414191-d2,0.0859375,11,final query token,6,17,0.171875,w128,pre-consumer-layer final-token state,5,w128
1,35,chain-518920-d1,0.0390625,5,final query token,5,17,0.2734375,w128,pre-consumer-layer final-token state,5,w128
1,33,chain-623649-d1,0.0859375,11,final query token,5,17,0.2578125,w128,pre-consumer-layer final-token state,5,w128
2,14,chain-728378-d2,0.0546875,7,final query token,6,17,0.109375,w128,pre-consumer-layer final-token state,5,w128
1,35,chain-833107-d1,0.0546875,7,final query token,5,17,0.2734375,w128,pre-consumer-layer final-token state,5,w128
1,20,chain-937836-d1,0.0390625,5,final query token,5,17,0.15625,w128,pre-consumer-layer final-token state,5,w128
1,42,chain-1042565-d1,0.0546875,7,final query token,5,17,0.328125,w128,pre-consumer-layer final-token state,5,w128
