split,dataset,example_id,root_method,successor_method,recall,precision
test,qasper,1910.14599:ee2c9bc24d70daa0c87e38e0558e09ab97feb4f2,bm25,bm25_state,0.0,0.0
test,qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,exact,bm25_state,0.08333333333333333,0.5
test,qasper,1912.13337:e97186c51d4af490dba6faaf833d269c8256426c,exact,bm25_state,0.0273972602739726,1.0
test,qasper,2001.02885:96b07373756d7854bccc3c12e8d41454ab8741f5,bm25,bm25_state,0.0,0.0
test,qasper,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,approx,exact_new_address,0.07692307692307693,0.5
test,qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,approx,exact_new_address,0.2,0.5
test,qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,hybrid,native_semantic,0.3333333333333333,0.5
test,qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,semantic,exact_new_address,0.0,0.0
test,qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,exact,exact_new_address,0.0,0.0
test,qasper,2004.04721:664b3eadc12c8dde309e8bbd59e9af961a433cde,hybrid,exact_new_address,0.2,0.5
validation,2wikimultihopqa,002e925e0bde11eba7f7acde48001122,exact,approximate_new_address,0.3333333333333333,0.5
validation,2wikimultihopqa,003f41f80bde11eba7f7acde48001122,approx,bm25_state,0.5,0.5
validation,2wikimultihopqa,004430780bde11eba7f7acde48001122,exact,exact_new_address,0.5,0.5
validation,2wikimultihopqa,0051fad20bde11eba7f7acde48001122,approx,native_semantic,0.5,0.5
validation,2wikimultihopqa,0069c0220bde11eba7f7acde48001122,exact,native_semantic,1.0,0.5
validation,2wikimultihopqa,007b76e80bdc11eba7f7acde48001122,bm25,native_semantic,0.5,0.5
validation,2wikimultihopqa,0098436208e011ebbda1ac1f6bf848b6,bm25,native_semantic,0.3333333333333333,1.0
validation,2wikimultihopqa,00a68bf208cc11ebbd93ac1f6bf848b6,semantic,approximate_new_address,0.3333333333333333,0.5
validation,2wikimultihopqa,00dd3bd608ac11ebbd82ac1f6bf848b6,semantic,native_semantic,0.2,0.5
validation,2wikimultihopqa,00de046a0bb011ebab90acde48001122,exact,native_semantic,0.0,0.0
validation,2wikimultihopqa,00efceca0bb011ebab90acde48001122,approx,bm25_state,0.0,0.0
validation,2wikimultihopqa,0105fd120bb011ebab90acde48001122,approx,bm25_state,0.0,0.0
validation,2wikimultihopqa,010bdf4408df11ebbd9fac1f6bf848b6,hybrid,exact_new_address,0.5,1.0
validation,2wikimultihopqa,010d6cab08c711ebbd91ac1f6bf848b6,hybrid,native_semantic,0.16666666666666666,0.5
validation,2wikimultihopqa,01a204d20bb011ebab90acde48001122,exact,exact_new_address,0.5,0.5
validation,2wikimultihopqa,024207d40bb011ebab90acde48001122,exact,bm25_state,0.3333333333333333,0.5
validation,2wikimultihopqa,0290cd840baf11ebab90acde48001122,semantic,native_semantic,0.0,0.0
validation,2wikimultihopqa,06326df2088611ebbd6dac1f6bf848b6,semantic,approximate_new_address,0.3333333333333333,1.0
validation,hotpotqa,5a7415cf55429979e28828a6,semantic,approximate_new_address,0.125,0.5
validation,hotpotqa,5a8a1a975542992e4fca8505,exact,native_semantic,0.2,0.5
validation,hotpotqa,5a8cefc155429941ae14df55,bm25,approximate_new_address,0.0,0.0
validation,hotpotqa,5abcd77755429965836004ce,bm25,hybrid_state,0.0,0.0
validation,hotpotqa,5ac4f8705542995c82c4ad8d,exact,approximate_new_address,0.0,0.0
validation,hotpotqa,5adf5cd25542992d7e9f9320,bm25,approximate_new_address,0.2857142857142857,1.0
validation,hotpotqa,5ae0d5335542990adbacf674,bm25,native_semantic,0.0,0.0
validation,hotpotqa,5ae4be5c5542995ad6573e3a,semantic,hybrid_state,0.16666666666666666,0.5
validation,musique,2hop__10017_18974,bm25,native_semantic,0.3333333333333333,1.0
validation,musique,2hop__10122_18974,bm25,native_semantic,0.14285714285714285,0.5
validation,musique,2hop__10515_21567,hybrid,native_semantic,0.0,0.0
validation,musique,2hop__10620_79092,exact,native_semantic,0.2,0.5
validation,musique,2hop__106864_80460,semantic,bm25_state,0.2,0.5
validation,musique,2hop__107185_64006,semantic,bm25_state,0.0,0.0
validation,musique,3hop1__102461_24918_24991,bm25,native_semantic,0.07142857142857142,0.5
validation,musique,3hop1__103180_214799_259594,bm25,native_semantic,0.25,1.0
validation,musique,3hop1__103440_443779_52195,semantic,bm25_state,0.037037037037037035,0.5
validation,musique,3hop2__101905_30152_20999,semantic,native_semantic,0.14285714285714285,0.5
validation,musique,3hop2__103871_20335_9331,bm25,native_semantic,0.08333333333333333,0.5
validation,musique,3hop2__103889_30152_20999,semantic,native_semantic,0.2857142857142857,1.0
validation,musique,4hop1__105002_17130_70784_61381,exact,bm25_state,0.06896551724137931,1.0
validation,musique,4hop1__105401_17130_70784_79935,bm25,native_semantic,0.041666666666666664,0.5
validation,musique,4hop1__105773_457883_650651_7262,semantic,bm25_state,0.13333333333333333,1.0
validation,musique,4hop2__103790_14670_8987_8529,exact,approximate_new_address,0.0,0.0
validation,musique,4hop2__105527_14670_8987_8974,hybrid,native_semantic,0.1111111111111111,0.5
validation,musique,4hop2__161324_14670_8987_8974,approx,native_semantic,0.1111111111111111,0.5
validation,qasper,1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36,hybrid,native_semantic,0.125,0.5
validation,qasper,1802.08636:f03112b868b658c954db62fc64430bebbaa7d9e0,approx,exact_new_address,0.2,0.5
validation,qasper,1804.07789:cb6a8c642575d3577d1840ca2f4cd2cc2c3397c5,semantic,exact_new_address,0.2857142857142857,1.0
validation,qasper,1809.00540:a99fdd34422f4231442c220c97eafc26c76508dd,bm25,exact_new_address,0.3333333333333333,0.5
validation,qasper,1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b,semantic,hybrid_state,0.0,0.0
validation,qasper,1810.08699:1f085b9bb7bfd0d6c8cba1a9d73f08fcf2da7590,exact,bm25_state,0.125,0.5
validation,qasper,1907.09369:fd2c6c26fd0ab3c10aae4f2550c5391576a77491,hybrid,exact_new_address,0.0,0.0
validation,qasper,1909.03405:7b4fb6da74e6bd1baea556788a02969134cf0800,exact,native_semantic,0.125,0.5
