partition,dataset,example_id,seed,root_method,successor_method,search_parent_budget,kv_parent_budget,materialized_kv_tokens,conceptual_chain_complete,physical_chain_complete,paper2_6_method_materialization_performed
validation,qasper,1808.10245:da9c0637623885afaf023a319beee87898948fe9,23,exact,exact_new_address,2,2,256.0,1.0,1.0,0
validation,qasper,1808.10245:da9c0637623885afaf023a319beee87898948fe9,37,exact,exact_new_address,2,2,256.0,1.0,1.0,0
validation,qasper,1808.10245:da9c0637623885afaf023a319beee87898948fe9,53,exact,exact_new_address,2,2,512.0,1.0,1.0,0
validation,qasper,1808.10245:da9c0637623885afaf023a319beee87898948fe9,71,exact,exact_new_address,2,2,512.0,1.0,1.0,0
validation,qasper,2001.02885:96b07373756d7854bccc3c12e8d41454ab8741f5,11,bm25,bm25_state,4,4,1024.0,1.0,1.0,0
validation,qasper,2001.02885:96b07373756d7854bccc3c12e8d41454ab8741f5,23,bm25,bm25_state,2,2,256.0,1.0,1.0,0
validation,qasper,2001.02885:96b07373756d7854bccc3c12e8d41454ab8741f5,37,bm25,bm25_state,2,2,256.0,1.0,1.0,0
validation,qasper,2001.02885:96b07373756d7854bccc3c12e8d41454ab8741f5,53,bm25,bm25_state,2,2,256.0,1.0,1.0,0
validation,qasper,2001.02885:96b07373756d7854bccc3c12e8d41454ab8741f5,71,bm25,bm25_state,2,2,512.0,1.0,1.0,0
validation,qasper,1810.12085:c2cb6c4500d9e02fc9a1bdffd22c3df69655189f,11,exact,exact_new_address,4,4,1024.0,1.0,1.0,0
validation,qasper,1810.12085:c2cb6c4500d9e02fc9a1bdffd22c3df69655189f,23,exact,exact_new_address,2,2,512.0,1.0,1.0,0
validation,qasper,1810.12085:c2cb6c4500d9e02fc9a1bdffd22c3df69655189f,37,exact,exact_new_address,4,4,1024.0,1.0,1.0,0
validation,qasper,1810.12085:c2cb6c4500d9e02fc9a1bdffd22c3df69655189f,53,exact,exact_new_address,4,4,1024.0,1.0,1.0,0
validation,qasper,1810.12085:c2cb6c4500d9e02fc9a1bdffd22c3df69655189f,71,exact,exact_new_address,4,4,1024.0,1.0,1.0,0
test,qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,11,semantic,exact_new_address,2,2,256.0,1.0,1.0,0
test,qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,23,semantic,exact_new_address,2,2,503.0,1.0,1.0,0
test,qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,37,semantic,exact_new_address,2,2,503.0,1.0,1.0,0
test,qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,53,semantic,exact_new_address,2,2,256.0,1.0,1.0,0
test,qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,71,semantic,exact_new_address,2,2,256.0,1.0,1.0,0
validation,qasper,1912.13337:e97186c51d4af490dba6faaf833d269c8256426c,11,exact,bm25_state,8,8,1280.0,0.0,0.0,0
validation,qasper,1912.13337:e97186c51d4af490dba6faaf833d269c8256426c,23,exact,bm25_state,8,8,1280.0,0.0,0.0,0
validation,qasper,1912.13337:e97186c51d4af490dba6faaf833d269c8256426c,37,exact,bm25_state,8,8,1597.0,0.0,0.0,0
validation,qasper,1912.13337:e97186c51d4af490dba6faaf833d269c8256426c,53,exact,bm25_state,8,8,1280.0,0.0,0.0,0
validation,qasper,1912.13337:e97186c51d4af490dba6faaf833d269c8256426c,71,exact,bm25_state,8,8,1792.0,0.0,0.0,0
test,qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,11,exact,exact_new_address,4,4,1024.0,1.0,1.0,0
test,qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,23,exact,exact_new_address,2,2,256.0,1.0,1.0,0
test,qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,37,exact,exact_new_address,2,2,256.0,1.0,1.0,0
test,qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,53,exact,exact_new_address,2,2,256.0,1.0,1.0,0
test,qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,71,exact,exact_new_address,2,2,256.0,1.0,1.0,0
test,qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,11,exact,bm25_state,2,2,256.0,0.0,0.0,0
test,qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,23,exact,bm25_state,2,2,512.0,0.0,0.0,0
test,qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,37,exact,bm25_state,2,2,256.0,0.0,0.0,0
test,qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,53,exact,bm25_state,4,4,1024.0,0.0,0.0,0
test,qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,71,exact,bm25_state,2,2,256.0,0.0,0.0,0
validation,qasper,1910.14599:ee2c9bc24d70daa0c87e38e0558e09ab97feb4f2,11,bm25,bm25_state,2,2,256.0,1.0,1.0,0
validation,qasper,1910.14599:ee2c9bc24d70daa0c87e38e0558e09ab97feb4f2,23,bm25,bm25_state,2,2,256.0,1.0,1.0,0
validation,qasper,1910.14599:ee2c9bc24d70daa0c87e38e0558e09ab97feb4f2,37,bm25,bm25_state,8,8,1280.0,1.0,1.0,0
validation,qasper,1910.14599:ee2c9bc24d70daa0c87e38e0558e09ab97feb4f2,53,bm25,bm25_state,2,2,256.0,1.0,1.0,0
validation,qasper,1910.14599:ee2c9bc24d70daa0c87e38e0558e09ab97feb4f2,71,bm25,bm25_state,2,2,256.0,1.0,1.0,0
test,qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,11,hybrid,native_semantic,2,2,256.0,1.0,1.0,0
test,qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,23,hybrid,native_semantic,2,2,256.0,1.0,1.0,0
test,qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,37,hybrid,native_semantic,2,2,256.0,1.0,1.0,0
test,qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,53,hybrid,native_semantic,2,2,512.0,1.0,1.0,0
test,qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,71,hybrid,native_semantic,2,2,256.0,1.0,1.0,0
validation,qasper,1703.04001:4e1a67f8dc68b55a5ce18e6cd385ae9ab90d891f,11,hybrid,hybrid_state,4,4,1024.0,1.0,1.0,0
validation,qasper,1703.04001:4e1a67f8dc68b55a5ce18e6cd385ae9ab90d891f,23,hybrid,hybrid_state,2,2,256.0,1.0,1.0,0
validation,qasper,1703.04001:4e1a67f8dc68b55a5ce18e6cd385ae9ab90d891f,37,hybrid,hybrid_state,2,2,256.0,1.0,1.0,0
validation,qasper,1703.04001:4e1a67f8dc68b55a5ce18e6cd385ae9ab90d891f,53,hybrid,hybrid_state,2,2,256.0,1.0,1.0,0
validation,qasper,1703.04001:4e1a67f8dc68b55a5ce18e6cd385ae9ab90d891f,71,hybrid,hybrid_state,2,2,256.0,1.0,1.0,0
test,qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,11,approx,exact_new_address,2,2,512.0,1.0,1.0,0
test,qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,23,approx,exact_new_address,2,2,256.0,1.0,1.0,0
test,qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,37,approx,exact_new_address,2,2,256.0,1.0,1.0,0
test,qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,53,approx,exact_new_address,2,2,256.0,1.0,1.0,0
test,qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,71,approx,exact_new_address,2,2,256.0,1.0,1.0,0
test,qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,11,hybrid,native_semantic,8,8,1792.0,1.0,1.0,0
test,qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,23,hybrid,native_semantic,2,2,256.0,1.0,1.0,0
test,qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,37,hybrid,native_semantic,4,4,906.0,1.0,1.0,0
test,qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,53,hybrid,native_semantic,2,2,256.0,1.0,1.0,0
test,qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,71,hybrid,native_semantic,2,2,512.0,1.0,1.0,0
validation,qasper,2004.04721:664b3eadc12c8dde309e8bbd59e9af961a433cde,11,hybrid,exact_new_address,2,2,256.0,1.0,1.0,0
validation,qasper,2004.04721:664b3eadc12c8dde309e8bbd59e9af961a433cde,23,hybrid,exact_new_address,2,2,256.0,1.0,1.0,0
validation,qasper,2004.04721:664b3eadc12c8dde309e8bbd59e9af961a433cde,37,hybrid,exact_new_address,2,2,512.0,1.0,1.0,0
validation,qasper,2004.04721:664b3eadc12c8dde309e8bbd59e9af961a433cde,53,hybrid,exact_new_address,2,2,256.0,1.0,1.0,0
validation,qasper,2004.04721:664b3eadc12c8dde309e8bbd59e9af961a433cde,71,hybrid,exact_new_address,2,2,256.0,1.0,1.0,0
