dataset,split,example_id,condition,lexical_channel,lexical_weight,selected_chunks,index_bytes_per_chunk,routing_dots,evidence_recall,evidence_precision,any_evidence,chain_completion,exact_identity,mrr,requested_chunks
hotpotqa,validation,5ac4f8705542995c82c4ad8d,exact_w0.50,exact,0.5,16 0 18 19,2048,66560,0.6,0.75,1.0,1.0,0.0,0.5,4.0
hotpotqa,validation,5ac4f8705542995c82c4ad8d,exact_w0.75,exact,0.75,16 17 0 62,2048,66560,0.2,0.25,1.0,0.0,0.0,0.3333333333333333,4.0
hotpotqa,validation,5ac4f8705542995c82c4ad8d,exact_w1.00,exact,1.0,16 17 0 21,2048,66560,0.2,0.25,1.0,0.0,0.0,0.3333333333333333,4.0
hotpotqa,validation,5ac4f8705542995c82c4ad8d,bm25_w0.00,bm25,0.0,18 19 1 0,2048,66560,0.8,1.0,1.0,1.0,0.0,1.0,4.0
hotpotqa,validation,5ac4f8705542995c82c4ad8d,bm25_w0.25,bm25,0.25,18 19 0 1,2048,66560,0.8,1.0,1.0,1.0,0.0,1.0,4.0
hotpotqa,validation,5ac4f8705542995c82c4ad8d,bm25_w0.50,bm25,0.5,18 19 16 22,2048,66560,0.4,0.5,1.0,0.0,0.0,1.0,4.0
hotpotqa,validation,5ac4f8705542995c82c4ad8d,bm25_w0.75,bm25,0.75,18 19 16 22,2048,66560,0.4,0.5,1.0,0.0,0.0,1.0,4.0
hotpotqa,validation,5ac4f8705542995c82c4ad8d,bm25_w1.00,bm25,1.0,18 17 22 16,2048,66560,0.2,0.25,1.0,0.0,0.0,1.0,4.0
hotpotqa,validation,5ae4be5c5542995ad6573e3a,exact_w0.00,exact,0.0,41 29 40 39,2048,44032,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,4.0
hotpotqa,validation,5ae4be5c5542995ad6573e3a,exact_w0.25,exact,0.25,39 41 29 40,2048,44032,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,4.0
hotpotqa,validation,5ae4be5c5542995ad6573e3a,exact_w0.50,exact,0.5,39 21 41 29,2048,44032,0.5,0.75,1.0,1.0,0.0,1.0,4.0
hotpotqa,validation,5ae4be5c5542995ad6573e3a,exact_w0.75,exact,0.75,39 21 31 11,2048,44032,0.16666666666666666,0.25,1.0,0.0,0.0,1.0,4.0
hotpotqa,validation,5ae4be5c5542995ad6573e3a,exact_w1.00,exact,1.0,21 39 0 5,2048,44032,0.16666666666666666,0.25,1.0,0.0,0.0,0.5,4.0
hotpotqa,validation,5ae4be5c5542995ad6573e3a,bm25_w0.00,bm25,0.0,41 29 40 39,2048,44032,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,4.0
hotpotqa,validation,5ae4be5c5542995ad6573e3a,bm25_w0.25,bm25,0.25,29 39 41 40,2048,44032,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,4.0
hotpotqa,validation,5ae4be5c5542995ad6573e3a,bm25_w0.50,bm25,0.5,29 39 11 27,2048,44032,0.5,0.75,1.0,1.0,0.0,1.0,4.0
hotpotqa,validation,5ae4be5c5542995ad6573e3a,bm25_w0.75,bm25,0.75,29 39 11 21,2048,44032,0.3333333333333333,0.5,1.0,1.0,0.0,1.0,4.0
hotpotqa,validation,5ae4be5c5542995ad6573e3a,bm25_w1.00,bm25,1.0,29 11 39 21,2048,44032,0.3333333333333333,0.5,1.0,1.0,0.0,1.0,4.0
hotpotqa,validation,5abcd77755429965836004ce,exact_w0.00,exact,0.0,8 9 40 53,2048,62464,0.75,0.75,1.0,1.0,0.0,1.0,4.0
hotpotqa,validation,5abcd77755429965836004ce,exact_w0.25,exact,0.25,8 54 40 53,2048,62464,0.75,0.75,1.0,1.0,0.0,1.0,4.0
hotpotqa,validation,5abcd77755429965836004ce,exact_w0.50,exact,0.5,8 54 10 43,2048,62464,0.5,0.5,1.0,1.0,0.0,1.0,4.0
hotpotqa,validation,5abcd77755429965836004ce,exact_w0.75,exact,0.75,8 54 10 43,2048,62464,0.5,0.5,1.0,1.0,0.0,1.0,4.0
hotpotqa,validation,5abcd77755429965836004ce,exact_w1.00,exact,1.0,8 10 27 38,2048,62464,0.25,0.25,1.0,0.0,0.0,1.0,4.0
hotpotqa,validation,5abcd77755429965836004ce,bm25_w0.00,bm25,0.0,8 9 40 53,2048,62464,0.75,0.75,1.0,1.0,0.0,1.0,4.0
hotpotqa,validation,5abcd77755429965836004ce,bm25_w0.25,bm25,0.25,8 9 54 40,2048,62464,0.75,0.75,1.0,1.0,0.0,1.0,4.0
hotpotqa,validation,5abcd77755429965836004ce,bm25_w0.50,bm25,0.5,8 60 54 41,2048,62464,0.5,0.5,1.0,1.0,0.0,1.0,4.0
hotpotqa,validation,5abcd77755429965836004ce,bm25_w0.75,bm25,0.75,8 60 41 54,2048,62464,0.5,0.5,1.0,1.0,0.0,1.0,4.0
hotpotqa,validation,5abcd77755429965836004ce,bm25_w1.00,bm25,1.0,8 60 41 27,2048,62464,0.25,0.25,1.0,0.0,0.0,1.0,4.0
hotpotqa,validation,5ae0d5335542990adbacf674,exact_w0.00,exact,0.0,19 20 36 35,2048,47104,1.0,1.0,1.0,1.0,1.0,1.0,4.0
hotpotqa,validation,5ae0d5335542990adbacf674,exact_w0.25,exact,0.25,19 20 36 1,2048,47104,0.75,0.75,1.0,1.0,0.0,1.0,4.0
hotpotqa,validation,5ae0d5335542990adbacf674,exact_w0.50,exact,0.5,19 20 1 10,2048,47104,0.5,0.5,1.0,0.0,0.0,1.0,4.0
hotpotqa,validation,5ae0d5335542990adbacf674,exact_w0.75,exact,0.75,19 20 1 10,2048,47104,0.5,0.5,1.0,0.0,0.0,1.0,4.0
hotpotqa,validation,5ae0d5335542990adbacf674,exact_w1.00,exact,1.0,1 10 19 20,2048,47104,0.5,0.5,1.0,0.0,0.0,0.3333333333333333,4.0
hotpotqa,validation,5ae0d5335542990adbacf674,bm25_w0.00,bm25,0.0,19 20 36 35,2048,47104,1.0,1.0,1.0,1.0,1.0,1.0,4.0
hotpotqa,validation,5ae0d5335542990adbacf674,bm25_w0.25,bm25,0.25,19 20 35 21,2048,47104,0.75,0.75,1.0,1.0,0.0,1.0,4.0
hotpotqa,validation,5ae0d5335542990adbacf674,bm25_w0.50,bm25,0.5,19 20 35 21,2048,47104,0.75,0.75,1.0,1.0,0.0,1.0,4.0
hotpotqa,validation,5ae0d5335542990adbacf674,bm25_w0.75,bm25,0.75,19 21 25 35,2048,47104,0.5,0.5,1.0,1.0,0.0,1.0,4.0
hotpotqa,validation,5ae0d5335542990adbacf674,bm25_w1.00,bm25,1.0,25 21 19 33,2048,47104,0.25,0.25,1.0,0.0,0.0,0.3333333333333333,4.0
hotpotqa,validation,5a8a1a975542992e4fca8505,exact_w0.00,exact,0.0,28 35 36 26,2048,38912,0.8,1.0,1.0,1.0,0.0,1.0,4.0
hotpotqa,validation,5a8a1a975542992e4fca8505,exact_w0.25,exact,0.25,28 35 36 26,2048,38912,0.8,1.0,1.0,1.0,0.0,1.0,4.0
hotpotqa,validation,5a8a1a975542992e4fca8505,exact_w0.50,exact,0.5,28 35 23 6,2048,38912,0.4,0.5,1.0,1.0,0.0,1.0,4.0
hotpotqa,validation,5a8a1a975542992e4fca8505,exact_w0.75,exact,0.75,23 6 1 28,2048,38912,0.2,0.25,1.0,0.0,0.0,0.25,4.0
hotpotqa,validation,5a8a1a975542992e4fca8505,exact_w1.00,exact,1.0,6 23 1 4,2048,38912,0.0,0.0,0.0,0.0,0.0,0.0,4.0
hotpotqa,validation,5a8a1a975542992e4fca8505,bm25_w0.00,bm25,0.0,28 35 36 26,2048,38912,0.8,1.0,1.0,1.0,0.0,1.0,4.0
hotpotqa,validation,5a8a1a975542992e4fca8505,bm25_w0.25,bm25,0.25,35 28 36 16,2048,38912,0.6,0.75,1.0,1.0,0.0,1.0,4.0
hotpotqa,validation,5a8a1a975542992e4fca8505,bm25_w0.50,bm25,0.5,16 22 23 36,2048,38912,0.2,0.25,1.0,0.0,0.0,0.25,4.0
hotpotqa,validation,5a8a1a975542992e4fca8505,bm25_w0.75,bm25,0.75,22 16 23 25,2048,38912,0.0,0.0,0.0,0.0,0.0,0.0,4.0
hotpotqa,validation,5a8a1a975542992e4fca8505,bm25_w1.00,bm25,1.0,22 23 16 25,2048,38912,0.0,0.0,0.0,0.0,0.0,0.0,4.0
hotpotqa,validation,5adf5cd25542992d7e9f9320,exact_w0.00,exact,0.0,0 18 20 21,2048,46080,0.5714285714285714,1.0,1.0,1.0,0.0,1.0,4.0
hotpotqa,validation,5adf5cd25542992d7e9f9320,exact_w0.25,exact,0.25,0 22 18 20,2048,46080,0.5714285714285714,1.0,1.0,1.0,0.0,1.0,4.0
hotpotqa,validation,5adf5cd25542992d7e9f9320,exact_w0.50,exact,0.5,0 22 1 26,2048,46080,0.42857142857142855,0.75,1.0,1.0,0.0,1.0,4.0
hotpotqa,validation,5adf5cd25542992d7e9f9320,exact_w0.75,exact,0.75,26 0 22 11,2048,46080,0.2857142857142857,0.5,1.0,1.0,0.0,0.5,4.0
hotpotqa,validation,5adf5cd25542992d7e9f9320,exact_w1.00,exact,1.0,26 0 11 22,2048,46080,0.2857142857142857,0.5,1.0,1.0,0.0,0.5,4.0
hotpotqa,validation,5adf5cd25542992d7e9f9320,bm25_w0.00,bm25,0.0,0 18 20 21,2048,46080,0.5714285714285714,1.0,1.0,1.0,0.0,1.0,4.0
hotpotqa,validation,5adf5cd25542992d7e9f9320,bm25_w0.25,bm25,0.25,0 22 20 18,2048,46080,0.5714285714285714,1.0,1.0,1.0,0.0,1.0,4.0
hotpotqa,validation,5adf5cd25542992d7e9f9320,bm25_w0.50,bm25,0.5,24 22 0 20,2048,46080,0.42857142857142855,0.75,1.0,1.0,0.0,0.5,4.0
hotpotqa,validation,5adf5cd25542992d7e9f9320,bm25_w0.75,bm25,0.75,24 22 0 26,2048,46080,0.2857142857142857,0.5,1.0,1.0,0.0,0.5,4.0
hotpotqa,validation,5adf5cd25542992d7e9f9320,bm25_w1.00,bm25,1.0,24 22 26 37,2048,46080,0.14285714285714285,0.25,1.0,0.0,0.0,0.5,4.0
hotpotqa,validation,5a7415cf55429979e28828a6,exact_w0.00,exact,0.0,16 53 51 19,2048,62464,0.5,1.0,1.0,1.0,0.0,1.0,4.0
hotpotqa,validation,5a7415cf55429979e28828a6,exact_w0.25,exact,0.25,16 0 19 48,2048,62464,0.25,0.5,1.0,0.0,0.0,1.0,4.0
hotpotqa,validation,5a7415cf55429979e28828a6,exact_w0.50,exact,0.5,0 48 19 50,2048,62464,0.125,0.25,1.0,0.0,0.0,0.3333333333333333,4.0
hotpotqa,validation,5a7415cf55429979e28828a6,exact_w0.75,exact,0.75,0 7 48 50,2048,62464,0.0,0.0,0.0,0.0,0.0,0.0,4.0
hotpotqa,validation,5a7415cf55429979e28828a6,exact_w1.00,exact,1.0,0 7 31 42,2048,62464,0.0,0.0,0.0,0.0,0.0,0.0,4.0
hotpotqa,validation,5a7415cf55429979e28828a6,bm25_w0.00,bm25,0.0,16 53 51 19,2048,62464,0.5,1.0,1.0,1.0,0.0,1.0,4.0
hotpotqa,validation,5a7415cf55429979e28828a6,bm25_w0.25,bm25,0.25,16 24 19 18,2048,62464,0.375,0.75,1.0,0.0,0.0,1.0,4.0
hotpotqa,validation,5a7415cf55429979e28828a6,bm25_w0.50,bm25,0.5,16 24 19 18,2048,62464,0.375,0.75,1.0,0.0,0.0,1.0,4.0
hotpotqa,validation,5a7415cf55429979e28828a6,bm25_w0.75,bm25,0.75,24 16 19 18,2048,62464,0.375,0.75,1.0,0.0,0.0,0.5,4.0
hotpotqa,validation,5a7415cf55429979e28828a6,bm25_w1.00,bm25,1.0,24 38 16 7,2048,62464,0.125,0.25,1.0,0.0,0.0,0.3333333333333333,4.0
hotpotqa,test,5adc3aff5542996e685252eb,bm25_w0.00,bm25,0.0,35 38 0 1,2048,39936,0.25,0.25,1.0,0.0,0.0,0.5,4.0
hotpotqa,test,5ab56db7554299494045efc6,bm25_w0.00,bm25,0.0,8 20 28 29,2048,40960,0.0,0.0,0.0,0.0,0.0,0.0,4.0
hotpotqa,test,5ab2b863554299295394685a,bm25_w0.00,bm25,0.0,25 26 24 27,2048,49152,0.0,0.0,0.0,0.0,0.0,0.0,4.0
hotpotqa,test,5a710a915542994082a3e504,bm25_w0.00,bm25,0.0,4 1 0 8,2048,36864,0.0,0.0,0.0,0.0,0.0,0.0,4.0
hotpotqa,test,5adc93a4554299438c868e01,bm25_w0.00,bm25,0.0,5 32 1 10,2048,38912,0.2,0.25,1.0,0.0,0.0,0.25,4.0
hotpotqa,test,5ab7f97a5542991d322237ef,bm25_w0.00,bm25,0.0,96 0 112 104,2048,129024,0.25,0.25,1.0,0.0,0.0,0.5,4.0
hotpotqa,test,5a8888e35542997e5c09a5f6,bm25_w0.00,bm25,0.0,0 32 24 16,2048,39936,0.25,0.25,1.0,0.0,0.0,0.5,4.0
hotpotqa,test,5a8c8502554299585d9e36d0,bm25_w0.00,bm25,0.0,32 24 25 2,2048,56320,0.0,0.0,0.0,0.0,0.0,0.0,4.0
hotpotqa,test,5a84c4bb5542991dd0999dec,bm25_w0.00,bm25,0.0,32 24 16 5,2048,48128,0.14285714285714285,0.25,1.0,0.0,0.0,0.25,4.0
hotpotqa,test,5abbd4035542993f40c73bcb,bm25_w0.00,bm25,0.0,16 19 18 17,2048,51200,0.2857142857142857,0.5,1.0,1.0,0.0,0.5,4.0
hotpotqa,test,5ae6143f5542996de7b71b2d,bm25_w0.00,bm25,0.0,0 11 48 25,2048,56320,0.0,0.0,0.0,0.0,0.0,0.0,4.0
hotpotqa,test,5a7e513a5542994959419996,bm25_w0.00,bm25,0.0,24 16 0 25,2048,29696,0.25,0.25,1.0,0.0,0.0,0.25,4.0
hotpotqa,test,5a80d6be55429938b6142206,bm25_w0.00,bm25,0.0,1 0 33 9,2048,48128,0.0,0.0,0.0,0.0,0.0,0.0,4.0
hotpotqa,test,5ab88c075542991b5579efbe,bm25_w0.00,bm25,0.0,43 0 40 24,2048,52224,0.0,0.0,0.0,0.0,0.0,0.0,4.0
hotpotqa,test,5a714b645542994082a3e78b,bm25_w0.00,bm25,0.0,24 37 34 16,2048,40960,0.0,0.0,0.0,0.0,0.0,0.0,4.0
hotpotqa,test,5abce85755429959677d6b3e,bm25_w0.00,bm25,0.0,32 17 49 16,2048,63488,0.0,0.0,0.0,0.0,0.0,0.0,4.0
qasper,validation,1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36,exact_w0.00,exact,0.0,0 4 7 6,2048,171008,0.5,1.0,1.0,1.0,0.0,1.0,4.0
qasper,validation,1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36,exact_w0.25,exact,0.25,0 8 4 23,2048,171008,0.25,0.5,1.0,1.0,0.0,1.0,4.0
qasper,validation,1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36,exact_w0.50,exact,0.5,0 8 23 29,2048,171008,0.125,0.25,1.0,1.0,0.0,1.0,4.0
qasper,validation,1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36,exact_w0.75,exact,0.75,0 8 23 29,2048,171008,0.125,0.25,1.0,1.0,0.0,1.0,4.0
qasper,validation,1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36,exact_w1.00,exact,1.0,0 8 23 27,2048,171008,0.125,0.25,1.0,1.0,0.0,1.0,4.0
qasper,validation,1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36,bm25_w0.00,bm25,0.0,0 4 7 6,2048,171008,0.5,1.0,1.0,1.0,0.0,1.0,4.0
qasper,validation,1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36,bm25_w0.25,bm25,0.25,0 8 4 7,2048,171008,0.375,0.75,1.0,1.0,0.0,1.0,4.0
qasper,validation,1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36,bm25_w0.50,bm25,0.5,8 0 23 4,2048,171008,0.25,0.5,1.0,1.0,0.0,0.5,4.0
qasper,validation,1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36,bm25_w0.75,bm25,0.75,8 23 0 90,2048,171008,0.125,0.25,1.0,1.0,0.0,0.3333333333333333,4.0
qasper,validation,1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36,bm25_w1.00,bm25,1.0,8 23 0 90,2048,171008,0.125,0.25,1.0,1.0,0.0,0.3333333333333333,4.0
qasper,validation,1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b,exact_w0.00,exact,0.0,8 0 2 4,2048,186368,0.4,1.0,1.0,1.0,0.0,1.0,4.0
qasper,validation,1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b,exact_w0.25,exact,0.25,8 0 1 10,2048,186368,0.3,0.75,1.0,1.0,0.0,1.0,4.0
qasper,validation,1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b,exact_w0.50,exact,0.5,10 8 155 0,2048,186368,0.2,0.5,1.0,1.0,0.0,0.5,4.0
qasper,validation,1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b,exact_w0.75,exact,0.75,10 155 175 23,2048,186368,0.0,0.0,0.0,0.0,0.0,0.0,4.0
qasper,validation,1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b,exact_w1.00,exact,1.0,10 23 155 175,2048,186368,0.0,0.0,0.0,0.0,0.0,0.0,4.0
qasper,validation,1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b,bm25_w0.00,bm25,0.0,8 0 2 4,2048,186368,0.4,1.0,1.0,1.0,0.0,1.0,4.0
qasper,validation,1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b,bm25_w0.25,bm25,0.25,0 8 1 10,2048,186368,0.3,0.75,1.0,1.0,0.0,1.0,4.0
qasper,validation,1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b,bm25_w0.50,bm25,0.5,10 155 0 1,2048,186368,0.2,0.5,1.0,1.0,0.0,0.3333333333333333,4.0
qasper,validation,1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b,bm25_w0.75,bm25,0.75,10 155 69 162,2048,186368,0.0,0.0,0.0,0.0,0.0,0.0,4.0
qasper,validation,1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b,bm25_w1.00,bm25,1.0,155 10 162 69,2048,186368,0.0,0.0,0.0,0.0,0.0,0.0,4.0
qasper,validation,1909.03405:7b4fb6da74e6bd1baea556788a02969134cf0800,exact_w0.00,exact,0.0,5 7 6 0,2048,184320,0.4444444444444444,1.0,1.0,1.0,0.0,1.0,4.0
qasper,validation,1909.03405:7b4fb6da74e6bd1baea556788a02969134cf0800,exact_w0.25,exact,0.25,5 7 6 0,2048,184320,0.4444444444444444,1.0,1.0,1.0,0.0,1.0,4.0
qasper,validation,1909.03405:7b4fb6da74e6bd1baea556788a02969134cf0800,exact_w0.50,exact,0.5,91 5 7 6,2048,184320,0.3333333333333333,0.75,1.0,1.0,0.0,0.5,4.0
qasper,validation,1909.03405:7b4fb6da74e6bd1baea556788a02969134cf0800,exact_w0.75,exact,0.75,91 5 7 6,2048,184320,0.3333333333333333,0.75,1.0,1.0,0.0,0.5,4.0
qasper,validation,1909.03405:7b4fb6da74e6bd1baea556788a02969134cf0800,exact_w1.00,exact,1.0,91 0 1 2,2048,184320,0.3333333333333333,0.75,1.0,1.0,0.0,0.5,4.0
qasper,validation,1909.03405:7b4fb6da74e6bd1baea556788a02969134cf0800,bm25_w0.00,bm25,0.0,5 7 6 0,2048,184320,0.4444444444444444,1.0,1.0,1.0,0.0,1.0,4.0
qasper,validation,1909.03405:7b4fb6da74e6bd1baea556788a02969134cf0800,bm25_w0.25,bm25,0.25,162 0 5 6,2048,184320,0.3333333333333333,0.75,1.0,1.0,0.0,0.5,4.0
qasper,validation,1909.03405:7b4fb6da74e6bd1baea556788a02969134cf0800,bm25_w0.50,bm25,0.5,162 122 112 3,2048,184320,0.1111111111111111,0.25,1.0,1.0,0.0,0.25,4.0
qasper,validation,1909.03405:7b4fb6da74e6bd1baea556788a02969134cf0800,bm25_w0.75,bm25,0.75,162 122 112 44,2048,184320,0.0,0.0,0.0,0.0,0.0,0.0,4.0
qasper,validation,1909.03405:7b4fb6da74e6bd1baea556788a02969134cf0800,bm25_w1.00,bm25,1.0,122 162 44 112,2048,184320,0.0,0.0,0.0,0.0,0.0,0.0,4.0
qasper,validation,1802.08636:f03112b868b658c954db62fc64430bebbaa7d9e0,exact_w0.00,exact,0.0,1 0 2 4,2048,124928,0.8,1.0,1.0,1.0,0.0,1.0,4.0
qasper,validation,1802.08636:f03112b868b658c954db62fc64430bebbaa7d9e0,exact_w0.25,exact,0.25,1 56 0 50,2048,124928,0.4,0.5,1.0,1.0,0.0,1.0,4.0
qasper,validation,1802.08636:f03112b868b658c954db62fc64430bebbaa7d9e0,exact_w0.50,exact,0.5,1 56 50 45,2048,124928,0.2,0.25,1.0,1.0,0.0,1.0,4.0
qasper,validation,1802.08636:f03112b868b658c954db62fc64430bebbaa7d9e0,exact_w0.75,exact,0.75,1 56 50 45,2048,124928,0.2,0.25,1.0,1.0,0.0,1.0,4.0
qasper,validation,1802.08636:f03112b868b658c954db62fc64430bebbaa7d9e0,exact_w1.00,exact,1.0,1 6 21 23,2048,124928,0.2,0.25,1.0,1.0,0.0,1.0,4.0
qasper,validation,1802.08636:f03112b868b658c954db62fc64430bebbaa7d9e0,bm25_w0.00,bm25,0.0,1 0 2 4,2048,124928,0.8,1.0,1.0,1.0,0.0,1.0,4.0
qasper,validation,1802.08636:f03112b868b658c954db62fc64430bebbaa7d9e0,bm25_w0.25,bm25,0.25,0 1 2 4,2048,124928,0.8,1.0,1.0,1.0,0.0,1.0,4.0
qasper,validation,1802.08636:f03112b868b658c954db62fc64430bebbaa7d9e0,bm25_w0.50,bm25,0.5,6 94 107 50,2048,124928,0.0,0.0,0.0,0.0,0.0,0.0,4.0
qasper,validation,1802.08636:f03112b868b658c954db62fc64430bebbaa7d9e0,bm25_w0.75,bm25,0.75,6 94 59 107,2048,124928,0.0,0.0,0.0,0.0,0.0,0.0,4.0
qasper,validation,1802.08636:f03112b868b658c954db62fc64430bebbaa7d9e0,bm25_w1.00,bm25,1.0,59 6 94 107,2048,124928,0.0,0.0,0.0,0.0,0.0,0.0,4.0
qasper,validation,1809.00540:a99fdd34422f4231442c220c97eafc26c76508dd,exact_w0.00,exact,0.0,0 2 1 4,2048,140288,1.0,0.75,1.0,1.0,0.0,1.0,4.0
qasper,validation,1809.00540:a99fdd34422f4231442c220c97eafc26c76508dd,exact_w0.25,exact,0.25,0 2 1 4,2048,140288,1.0,0.75,1.0,1.0,0.0,1.0,4.0
qasper,validation,1809.00540:a99fdd34422f4231442c220c97eafc26c76508dd,exact_w0.50,exact,0.5,0 2 1 4,2048,140288,1.0,0.75,1.0,1.0,0.0,1.0,4.0
qasper,validation,1809.00540:a99fdd34422f4231442c220c97eafc26c76508dd,exact_w0.75,exact,0.75,0 2 1 4,2048,140288,1.0,0.75,1.0,1.0,0.0,1.0,4.0
qasper,validation,1809.00540:a99fdd34422f4231442c220c97eafc26c76508dd,exact_w1.00,exact,1.0,0 1 2 3,2048,140288,1.0,0.75,1.0,1.0,0.0,1.0,4.0
qasper,validation,1809.00540:a99fdd34422f4231442c220c97eafc26c76508dd,bm25_w0.00,bm25,0.0,0 2 1 4,2048,140288,1.0,0.75,1.0,1.0,0.0,1.0,4.0
qasper,validation,1809.00540:a99fdd34422f4231442c220c97eafc26c76508dd,bm25_w0.25,bm25,0.25,2 0 1 89,2048,140288,1.0,0.75,1.0,1.0,0.0,1.0,4.0
qasper,validation,1809.00540:a99fdd34422f4231442c220c97eafc26c76508dd,bm25_w0.50,bm25,0.5,2 93 89 54,2048,140288,0.3333333333333333,0.25,1.0,1.0,0.0,1.0,4.0
qasper,validation,1809.00540:a99fdd34422f4231442c220c97eafc26c76508dd,bm25_w0.75,bm25,0.75,2 93 54 83,2048,140288,0.3333333333333333,0.25,1.0,1.0,0.0,1.0,4.0
qasper,validation,1809.00540:a99fdd34422f4231442c220c97eafc26c76508dd,bm25_w1.00,bm25,1.0,93 54 2 83,2048,140288,0.3333333333333333,0.25,1.0,1.0,0.0,0.3333333333333333,4.0
qasper,validation,1810.08699:1f085b9bb7bfd0d6c8cba1a9d73f08fcf2da7590,exact_w0.00,exact,0.0,6 4 8 3,2048,135168,0.4,1.0,1.0,1.0,0.0,1.0,4.0
qasper,validation,1810.08699:1f085b9bb7bfd0d6c8cba1a9d73f08fcf2da7590,exact_w0.25,exact,0.25,6 4 8 3,2048,135168,0.4,1.0,1.0,1.0,0.0,1.0,4.0
qasper,validation,1810.08699:1f085b9bb7bfd0d6c8cba1a9d73f08fcf2da7590,exact_w0.50,exact,0.5,6 4 8 3,2048,135168,0.4,1.0,1.0,1.0,0.0,1.0,4.0
qasper,validation,1810.08699:1f085b9bb7bfd0d6c8cba1a9d73f08fcf2da7590,exact_w0.75,exact,0.75,6 4 8 3,2048,135168,0.4,1.0,1.0,1.0,0.0,1.0,4.0
qasper,validation,1810.08699:1f085b9bb7bfd0d6c8cba1a9d73f08fcf2da7590,exact_w1.00,exact,1.0,0 1 2 3,2048,135168,0.4,1.0,1.0,1.0,0.0,1.0,4.0
qasper,validation,1810.08699:1f085b9bb7bfd0d6c8cba1a9d73f08fcf2da7590,bm25_w0.00,bm25,0.0,6 4 8 3,2048,135168,0.4,1.0,1.0,1.0,0.0,1.0,4.0
