dataset,example_id,seed,report_semantics,expected_selection,actual_selection,selection_match,expected_evidence_recall,actual_evidence_recall,recall_delta
hotpotqa,5a710a915542994082a3e504,23,five_seed_metric_mean,4 8 6 1,4 8 6 1,True,0.0,0.0,0.0
hotpotqa,5a710a915542994082a3e504,37,five_seed_metric_mean,0 1 18 28,0 1 18 28,True,0.0,0.0,0.0
hotpotqa,5a710a915542994082a3e504,53,five_seed_metric_mean,3 4 6 20,3 4 6 20,True,0.0,0.0,0.0
hotpotqa,5a710a915542994082a3e504,71,five_seed_metric_mean,32 4 10 18,32 4 10 18,True,0.0,0.0,0.0
hotpotqa,5adc93a4554299438c868e01,11,five_seed_metric_mean,24 5 9 8,24 5 9 8,True,0.4,0.4,0.0
hotpotqa,5adc93a4554299438c868e01,23,five_seed_metric_mean,5 3 32 2,5 3 32 2,True,0.0,0.0,0.0
hotpotqa,5adc93a4554299438c868e01,37,five_seed_metric_mean,32 1 27 10,32 1 27 10,True,0.2,0.2,0.0
hotpotqa,5adc93a4554299438c868e01,53,five_seed_metric_mean,32 5 0 3,32 5 0 3,True,0.0,0.0,0.0
hotpotqa,5adc93a4554299438c868e01,71,five_seed_metric_mean,5 1 10 25,5 1 10 25,True,0.2,0.2,0.0
hotpotqa,5ab7f97a5542991d322237ef,11,five_seed_metric_mean,112 104 8 0,112 104 8 0,True,0.25,0.25,0.0
hotpotqa,5ab7f97a5542991d322237ef,23,five_seed_metric_mean,4 91 0 104,4 91 0 104,True,0.25,0.25,0.0
hotpotqa,5ab7f97a5542991d322237ef,37,five_seed_metric_mean,104 96 40 0,104 96 40 0,True,0.25,0.25,0.0
hotpotqa,5ab7f97a5542991d322237ef,53,five_seed_metric_mean,81 91 120 97,81 91 120 97,True,0.0,0.0,0.0
hotpotqa,5ab7f97a5542991d322237ef,71,five_seed_metric_mean,96 0 112 57,96 0 112 57,True,0.25,0.25,0.0
hotpotqa,5a8888e35542997e5c09a5f6,11,five_seed_metric_mean,0 24 32 16,0 24 32 16,True,0.25,0.25,0.0
hotpotqa,5a8888e35542997e5c09a5f6,23,five_seed_metric_mean,0 6 32 34,0 6 32 34,True,0.5,0.5,0.0
hotpotqa,5a8888e35542997e5c09a5f6,37,five_seed_metric_mean,34 0 24 32,34 0 24 32,True,0.5,0.5,0.0
hotpotqa,5a8888e35542997e5c09a5f6,53,five_seed_metric_mean,0 16 32 34,0 16 32 34,True,0.5,0.5,0.0
hotpotqa,5a8888e35542997e5c09a5f6,71,five_seed_metric_mean,32 0 34 2,32 0 34 2,True,0.5,0.5,0.0
hotpotqa,5a8c8502554299585d9e36d0,11,five_seed_metric_mean,24 40 25 32,24 40 25 32,True,0.2,0.2,0.0
hotpotqa,5a8c8502554299585d9e36d0,23,five_seed_metric_mean,1 24 33 3,1 24 33 3,True,0.0,0.0,0.0
hotpotqa,5a8c8502554299585d9e36d0,37,five_seed_metric_mean,25 24 32 41,25 24 32 41,True,0.0,0.0,0.0
hotpotqa,5a8c8502554299585d9e36d0,53,five_seed_metric_mean,24 32 1 22,24 32 1 22,True,0.0,0.0,0.0
hotpotqa,5a8c8502554299585d9e36d0,71,five_seed_metric_mean,3 32 2 5,3 32 2 5,True,0.0,0.0,0.0
hotpotqa,5a84c4bb5542991dd0999dec,11,five_seed_metric_mean,16 17 32 40,16 17 32 40,True,0.0,0.0,0.0
hotpotqa,5a84c4bb5542991dd0999dec,23,five_seed_metric_mean,24 25 16 27,24 25 16 27,True,0.0,0.0,0.0
hotpotqa,5a84c4bb5542991dd0999dec,37,five_seed_metric_mean,32 0 27 24,32 0 27 24,True,0.0,0.0,0.0
hotpotqa,5a84c4bb5542991dd0999dec,53,five_seed_metric_mean,24 32 5 12,24 32 5 12,True,0.14285714285714285,0.14285714285714285,0.0
hotpotqa,5a84c4bb5542991dd0999dec,71,five_seed_metric_mean,32 24 27 6,32 24 27 6,True,0.14285714285714285,0.14285714285714285,0.0
hotpotqa,5abbd4035542993f40c73bcb,11,five_seed_metric_mean,18 24 16 6,18 24 16 6,True,0.2857142857142857,0.2857142857142857,0.0
hotpotqa,5abbd4035542993f40c73bcb,23,five_seed_metric_mean,19 15 18 17,19 15 18 17,True,0.2857142857142857,0.2857142857142857,0.0
hotpotqa,5abbd4035542993f40c73bcb,37,five_seed_metric_mean,8 18 17 15,8 18 17 15,True,0.14285714285714285,0.14285714285714285,0.0
hotpotqa,5abbd4035542993f40c73bcb,53,five_seed_metric_mean,16 7 15 13,16 7 15 13,True,0.0,0.0,0.0
hotpotqa,5abbd4035542993f40c73bcb,71,five_seed_metric_mean,16 8 13 38,16 8 13 38,True,0.0,0.0,0.0
hotpotqa,5ae6143f5542996de7b71b2d,11,five_seed_metric_mean,54 3 11 38,54 3 11 38,True,0.2,0.2,0.0
hotpotqa,5ae6143f5542996de7b71b2d,23,five_seed_metric_mean,0 33 30 10,0 33 30 10,True,0.2,0.2,0.0
hotpotqa,5ae6143f5542996de7b71b2d,37,five_seed_metric_mean,0 16 30 11,0 16 30 11,True,0.0,0.0,0.0
hotpotqa,5ae6143f5542996de7b71b2d,53,five_seed_metric_mean,0 1 50 11,0 1 50 11,True,0.0,0.0,0.0
hotpotqa,5ae6143f5542996de7b71b2d,71,five_seed_metric_mean,48 25 0 11,48 25 0 11,True,0.0,0.0,0.0
hotpotqa,5a7e513a5542994959419996,11,five_seed_metric_mean,24 0 16 25,24 0 16 25,True,0.25,0.25,0.0
hotpotqa,5a7e513a5542994959419996,23,five_seed_metric_mean,22 23 1 24,22 23 1 24,True,0.0,0.0,0.0
hotpotqa,5a7e513a5542994959419996,37,five_seed_metric_mean,24 8 16 0,24 8 16 0,True,0.0,0.0,0.0
hotpotqa,5a7e513a5542994959419996,53,five_seed_metric_mean,25 0 24 8,25 0 24 8,True,0.25,0.25,0.0
hotpotqa,5a7e513a5542994959419996,71,five_seed_metric_mean,24 23 21 25,24 23 21 25,True,0.25,0.25,0.0
hotpotqa,5a80d6be55429938b6142206,11,five_seed_metric_mean,1 40 9 8,1 40 9 8,True,0.0,0.0,0.0
hotpotqa,5a80d6be55429938b6142206,23,five_seed_metric_mean,33 32 0 24,33 32 0 24,True,0.0,0.0,0.0
hotpotqa,5a80d6be55429938b6142206,37,five_seed_metric_mean,0 24 1 9,0 24 1 9,True,0.0,0.0,0.0
hotpotqa,5a80d6be55429938b6142206,53,five_seed_metric_mean,1 32 8 0,1 32 8 0,True,0.0,0.0,0.0
hotpotqa,5a80d6be55429938b6142206,71,five_seed_metric_mean,37 2 36 24,37 2 36 24,True,0.0,0.0,0.0
hotpotqa,5ab88c075542991b5579efbe,11,five_seed_metric_mean,0 9 8 35,0 9 8 35,True,0.0,0.0,0.0
hotpotqa,5ab88c075542991b5579efbe,23,five_seed_metric_mean,43 38 33 1,43 38 33 1,True,0.0,0.0,0.0
hotpotqa,5ab88c075542991b5579efbe,37,five_seed_metric_mean,0 43 33 30,0 43 33 30,True,0.0,0.0,0.0
hotpotqa,5ab88c075542991b5579efbe,53,five_seed_metric_mean,43 40 8 0,43 40 8 0,True,0.0,0.0,0.0
hotpotqa,5ab88c075542991b5579efbe,71,five_seed_metric_mean,40 43 24 25,40 43 24 25,True,0.25,0.25,0.0
hotpotqa,5a714b645542994082a3e78b,11,five_seed_metric_mean,24 36 11 1,24 36 11 1,True,0.0,0.0,0.0
hotpotqa,5a714b645542994082a3e78b,23,five_seed_metric_mean,37 34 35 16,37 34 35 16,True,0.0,0.0,0.0
hotpotqa,5a714b645542994082a3e78b,37,five_seed_metric_mean,24 0 37 16,24 0 37 16,True,0.0,0.0,0.0
hotpotqa,5a714b645542994082a3e78b,53,five_seed_metric_mean,34 33 24 37,34 33 24 37,True,0.2,0.2,0.0
hotpotqa,5a714b645542994082a3e78b,71,five_seed_metric_mean,24 25 17 37,24 25 17 37,True,0.0,0.0,0.0
hotpotqa,5abce85755429959677d6b3e,11,five_seed_metric_mean,40 32 35 17,40 32 35 17,True,0.16666666666666666,0.16666666666666666,0.0
hotpotqa,5abce85755429959677d6b3e,23,five_seed_metric_mean,6 5 46 55,6 5 46 55,True,0.16666666666666666,0.16666666666666666,0.0
hotpotqa,5abce85755429959677d6b3e,37,five_seed_metric_mean,32 9 8 33,32 9 8 33,True,0.0,0.0,0.0
hotpotqa,5abce85755429959677d6b3e,53,five_seed_metric_mean,49 46 32 18,49 46 32 18,True,0.0,0.0,0.0
hotpotqa,5abce85755429959677d6b3e,71,five_seed_metric_mean,16 40 32 24,16 40 32 24,True,0.0,0.0,0.0
qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,11,five_seed_metric_mean,145 128 120 174,145 128 120 174,True,0.0,0.0,0.0
qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,23,five_seed_metric_mean,145 144 1 141,145 144 1 141,True,0.3333333333333333,0.3333333333333333,0.0
qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,37,five_seed_metric_mean,0 1 145 144,0 1 145 144,True,0.6666666666666666,0.6666666666666666,0.0
qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,53,five_seed_metric_mean,120 128 1 0,120 128 1 0,True,0.6666666666666666,0.6666666666666666,0.0
qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,71,five_seed_metric_mean,0 1 120 2,0 1 120 2,True,1.0,1.0,0.0
qasper,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,11,five_seed_metric_mean,96 53 84 0,96 53 84 0,True,0.14285714285714285,0.14285714285714285,0.0
qasper,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,23,five_seed_metric_mean,86 84 78 100,86 84 78 100,True,0.0,0.0,0.0
qasper,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,37,five_seed_metric_mean,72 32 75 84,72 32 75 84,True,0.0,0.0,0.0
qasper,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,53,five_seed_metric_mean,87 0 83 72,87 0 83 72,True,0.14285714285714285,0.14285714285714285,0.0
qasper,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,71,five_seed_metric_mean,75 0 81 32,75 0 81 32,True,0.14285714285714285,0.14285714285714285,0.0
qasper,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,11,five_seed_metric_mean,160 99 8 0,160 99 8 0,True,0.15384615384615385,0.15384615384615385,0.0
qasper,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,23,five_seed_metric_mean,115 107 146 155,115 107 146 155,True,0.0,0.0,0.0
qasper,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,37,five_seed_metric_mean,80 0 115 160,80 0 115 160,True,0.07692307692307693,0.07692307692307693,0.0
qasper,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,53,five_seed_metric_mean,146 0 16 48,146 0 16 48,True,0.07692307692307693,0.07692307692307693,0.0
qasper,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,71,five_seed_metric_mean,8 129 110 60,8 129 110 60,True,0.07692307692307693,0.07692307692307693,0.0
qasper,1808.10245:da9c0637623885afaf023a319beee87898948fe9,11,five_seed_metric_mean,56 8 16 65,56 8 16 65,True,0.0,0.0,0.0
qasper,1808.10245:da9c0637623885afaf023a319beee87898948fe9,23,five_seed_metric_mean,40 38 65 70,40 38 65 70,True,0.0,0.0,0.0
qasper,1808.10245:da9c0637623885afaf023a319beee87898948fe9,37,five_seed_metric_mean,16 40 8 56,16 40 8 56,True,0.0,0.0,0.0
qasper,1808.10245:da9c0637623885afaf023a319beee87898948fe9,53,five_seed_metric_mean,8 24 16 72,8 24 16 72,True,0.0,0.0,0.0
qasper,1808.10245:da9c0637623885afaf023a319beee87898948fe9,71,five_seed_metric_mean,8 65 70 64,8 65 70 64,True,0.0,0.0,0.0
qasper,2001.02885:96b07373756d7854bccc3c12e8d41454ab8741f5,11,five_seed_metric_mean,0 104 8 40,0 104 8 40,True,1.0,1.0,0.0
qasper,2001.02885:96b07373756d7854bccc3c12e8d41454ab8741f5,23,five_seed_metric_mean,0 52 1 76,0 52 1 76,True,1.0,1.0,0.0
qasper,2001.02885:96b07373756d7854bccc3c12e8d41454ab8741f5,37,five_seed_metric_mean,0 40 88 72,0 40 88 72,True,1.0,1.0,0.0
qasper,2001.02885:96b07373756d7854bccc3c12e8d41454ab8741f5,53,five_seed_metric_mean,0 104 40 32,0 104 40 32,True,1.0,1.0,0.0
qasper,2001.02885:96b07373756d7854bccc3c12e8d41454ab8741f5,71,five_seed_metric_mean,0 3 18 40,0 3 18 40,True,1.0,1.0,0.0
qasper,1810.12085:c2cb6c4500d9e02fc9a1bdffd22c3df69655189f,11,five_seed_metric_mean,12 49 48 125,12 49 48 125,True,0.06666666666666667,0.06666666666666667,0.0
qasper,1810.12085:c2cb6c4500d9e02fc9a1bdffd22c3df69655189f,23,five_seed_metric_mean,12 77 78 13,12 77 78 13,True,0.13333333333333333,0.13333333333333333,0.0
qasper,1810.12085:c2cb6c4500d9e02fc9a1bdffd22c3df69655189f,37,five_seed_metric_mean,47 56 49 61,47 56 49 61,True,0.0,0.0,0.0
qasper,1810.12085:c2cb6c4500d9e02fc9a1bdffd22c3df69655189f,53,five_seed_metric_mean,0 48 112 12,0 48 112 12,True,0.13333333333333333,0.13333333333333333,0.0
qasper,1810.12085:c2cb6c4500d9e02fc9a1bdffd22c3df69655189f,71,five_seed_metric_mean,61 12 49 13,61 12 49 13,True,0.13333333333333333,0.13333333333333333,0.0
qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,11,five_seed_metric_mean,74 72 80 58,74 72 80 58,True,0.0,0.0,0.0
qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,23,five_seed_metric_mean,1 0 73 63,1 0 73 63,True,0.25,0.25,0.0
qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,37,five_seed_metric_mean,73 1 74 72,73 1 74 72,True,0.125,0.125,0.0
qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,53,five_seed_metric_mean,80 72 73 74,80 72 73 74,True,0.0,0.0,0.0
qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,71,five_seed_metric_mean,80 74 72 5,80 74 72 5,True,0.125,0.125,0.0
qasper,1912.13337:e97186c51d4af490dba6faaf833d269c8256426c,11,five_seed_metric_mean,0 104 60 289,0 104 60 289,True,0.02666666666666667,0.02666666666666667,0.0
qasper,1912.13337:e97186c51d4af490dba6faaf833d269c8256426c,23,five_seed_metric_mean,21 66 28 69,21 66 28 69,True,0.05333333333333334,0.05333333333333334,0.0
qasper,1912.13337:e97186c51d4af490dba6faaf833d269c8256426c,37,five_seed_metric_mean,224 104 0 264,224 104 0 264,True,0.013333333333333334,0.013333333333333334,0.0
qasper,1912.13337:e97186c51d4af490dba6faaf833d269c8256426c,53,five_seed_metric_mean,104 48 72 96,104 48 72 96,True,0.02666666666666667,0.02666666666666667,0.0
qasper,1912.13337:e97186c51d4af490dba6faaf833d269c8256426c,71,five_seed_metric_mean,136 0 72 8,136 0 72 8,True,0.04,0.04,0.0
qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,11,five_seed_metric_mean,0 1 2 56,0 1 2 56,True,1.0,1.0,0.0
qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,23,five_seed_metric_mean,0 1 51 2,0 1 51 2,True,1.0,1.0,0.0
qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,37,five_seed_metric_mean,0 1 2 56,0 1 2 56,True,1.0,1.0,0.0
qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,53,five_seed_metric_mean,88 0 96 72,88 0 96 72,True,1.0,1.0,0.0
qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,71,five_seed_metric_mean,0 61 18 75,0 61 18 75,True,1.0,1.0,0.0
qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,11,five_seed_metric_mean,32 0 96 1,32 0 96 1,True,0.14285714285714285,0.14285714285714285,0.0
qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,23,five_seed_metric_mean,127 121 69 92,127 121 69 92,True,0.0,0.0,0.0
qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,37,five_seed_metric_mean,120 88 96 32,120 88 96 32,True,0.0,0.0,0.0
qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,53,five_seed_metric_mean,0 51 144 16,0 51 144 16,True,0.07142857142857142,0.07142857142857142,0.0
qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,71,five_seed_metric_mean,115 120 127 96,115 120 127 96,True,0.0,0.0,0.0
qasper,1910.14599:ee2c9bc24d70daa0c87e38e0558e09ab97feb4f2,11,five_seed_metric_mean,160 195 0 145,160 195 0 145,True,0.2,0.2,0.0
qasper,1910.14599:ee2c9bc24d70daa0c87e38e0558e09ab97feb4f2,23,five_seed_metric_mean,54 162 161 99,54 162 161 99,True,0.0,0.0,0.0
qasper,1910.14599:ee2c9bc24d70daa0c87e38e0558e09ab97feb4f2,37,five_seed_metric_mean,54 0 160 96,54 0 160 96,True,0.2,0.2,0.0
qasper,1910.14599:ee2c9bc24d70daa0c87e38e0558e09ab97feb4f2,53,five_seed_metric_mean,160 88 0 64,160 88 0 64,True,0.2,0.2,0.0
qasper,1910.14599:ee2c9bc24d70daa0c87e38e0558e09ab97feb4f2,71,five_seed_metric_mean,161 160 54 0,161 160 54 0,True,0.2,0.2,0.0
qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,11,five_seed_metric_mean,35 3 36 56,35 3 36 56,True,0.25,0.25,0.0
qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,23,five_seed_metric_mean,36 45 49 54,36 45 49 54,True,0.0,0.0,0.0
qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,37,five_seed_metric_mean,3 0 45 56,3 0 45 56,True,0.5,0.5,0.0
qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,53,five_seed_metric_mean,6 35 1 0,6 35 1 0,True,0.5,0.5,0.0
qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,71,five_seed_metric_mean,0 1 35 48,0 1 35 48,True,0.5,0.5,0.0
qasper,1703.04001:4e1a67f8dc68b55a5ce18e6cd385ae9ab90d891f,11,five_seed_metric_mean,2 36 56 0,2 36 56 0,True,0.3333333333333333,0.3333333333333333,0.0
qasper,1703.04001:4e1a67f8dc68b55a5ce18e6cd385ae9ab90d891f,23,five_seed_metric_mean,29 4 2 28,29 4 2 28,True,0.3333333333333333,0.3333333333333333,0.0
qasper,1703.04001:4e1a67f8dc68b55a5ce18e6cd385ae9ab90d891f,37,five_seed_metric_mean,0 2 32 56,0 2 32 56,True,0.3333333333333333,0.3333333333333333,0.0
qasper,1703.04001:4e1a67f8dc68b55a5ce18e6cd385ae9ab90d891f,53,five_seed_metric_mean,56 32 2 64,56 32 2 64,True,0.16666666666666666,0.16666666666666666,0.0
qasper,1703.04001:4e1a67f8dc68b55a5ce18e6cd385ae9ab90d891f,71,five_seed_metric_mean,2 0 56 4,2 0 56 4,True,0.5,0.5,0.0
qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,11,five_seed_metric_mean,160 88 40 43,160 88 40 43,True,0.0,0.0,0.0
qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,23,five_seed_metric_mean,95 130 93 92,95 130 93 92,True,0.0,0.0,0.0
qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,37,five_seed_metric_mean,56 0 40 160,56 0 40 160,True,0.2,0.2,0.0
qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,53,five_seed_metric_mean,42 146 128 41,42 146 128 41,True,0.0,0.0,0.0
qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,71,five_seed_metric_mean,94 95 92 111,94 95 92 111,True,0.0,0.0,0.0
qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,11,five_seed_metric_mean,96 0 104 136,96 0 104 136,True,0.125,0.125,0.0
qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,23,five_seed_metric_mean,98 96 99 100,98 96 99 100,True,0.0,0.0,0.0
qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,37,five_seed_metric_mean,0 96 120 100,0 96 120 100,True,0.125,0.125,0.0
qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,53,five_seed_metric_mean,96 0 160 8,96 0 160 8,True,0.125,0.125,0.0
qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,71,five_seed_metric_mean,3 8 93 112,3 8 93 112,True,0.125,0.125,0.0
qasper,2004.04721:664b3eadc12c8dde309e8bbd59e9af961a433cde,11,five_seed_metric_mean,168 169 0 128,168 169 0 128,True,0.2,0.2,0.0
qasper,2004.04721:664b3eadc12c8dde309e8bbd59e9af961a433cde,23,five_seed_metric_mean,114 79 116 88,114 79 116 88,True,0.0,0.0,0.0
qasper,2004.04721:664b3eadc12c8dde309e8bbd59e9af961a433cde,37,five_seed_metric_mean,128 0 168 88,128 0 168 88,True,0.2,0.2,0.0
qasper,2004.04721:664b3eadc12c8dde309e8bbd59e9af961a433cde,53,five_seed_metric_mean,96 0 8 32,96 0 8 32,True,0.2,0.2,0.0
qasper,2004.04721:664b3eadc12c8dde309e8bbd59e9af961a433cde,71,five_seed_metric_mean,66 128 79 8,66 128 79 8,True,0.0,0.0,0.0
2wikimultihopqa,042a249a0bde11eba7f7acde48001122,-1,five_seed_score_ensemble,0 26 2 25,0 26 2 25,True,0.0,0.0,0.0
2wikimultihopqa,04f33eff08fa11ebbdabac1f6bf848b6,-1,five_seed_score_ensemble,5 0 3 4,5 0 3 4,True,0.0,0.0,0.0
2wikimultihopqa,0bdeb6f80bdc11eba7f7acde48001122,-1,five_seed_score_ensemble,1 30 2 8,1 30 2 8,True,0.0,0.0,0.0
2wikimultihopqa,0c8a27700bde11eba7f7acde48001122,-1,five_seed_score_ensemble,73 85 74 84,73 85 74 84,True,0.0,0.0,0.0
2wikimultihopqa,0cafe4700bb011ebab90acde48001122,-1,five_seed_score_ensemble,8 9 11 7,8 9 11 7,True,0.3333333333333333,0.3333333333333333,0.0
2wikimultihopqa,17d19f7a092f11ebbdaeac1f6bf848b6,-1,five_seed_score_ensemble,2 32 0 1,2 32 0 1,True,0.4,0.4,0.0
2wikimultihopqa,186e79700bb011ebab90acde48001122,-1,five_seed_score_ensemble,16 14 36 7,16 14 36 7,True,0.0,0.0,0.0
2wikimultihopqa,18be7d3d08b111ebbd85ac1f6bf848b6,-1,five_seed_score_ensemble,57 16 32 8,57 16 32 8,True,0.0,0.0,0.0
2wikimultihopqa,1a89b60308f911ebbdaaac1f6bf848b6,-1,five_seed_score_ensemble,8 13 16 3,8 13 16 3,True,0.25,0.25,0.0
2wikimultihopqa,1b38f1ce0bda11eba7f7acde48001122,-1,five_seed_score_ensemble,47 37 44 42,47 37 44 42,True,0.2,0.2,0.0
2wikimultihopqa,1c92cdf40bdc11eba7f7acde48001122,-1,five_seed_score_ensemble,7 3 62 8,7 3 62 8,True,0.2,0.2,0.0
2wikimultihopqa,1dbd09b308a111ebbd78ac1f6bf848b6,-1,five_seed_score_ensemble,32 33 28 31,32 33 28 31,True,0.0,0.0,0.0
2wikimultihopqa,1f8a07d20bde11eba7f7acde48001122,-1,five_seed_score_ensemble,9 44 21 5,9 44 21 5,True,0.25,0.25,0.0
2wikimultihopqa,20396bdc0bde11eba7f7acde48001122,-1,five_seed_score_ensemble,62 58 67 66,62 58 67 66,True,0.0,0.0,0.0
2wikimultihopqa,2151e72a0bb011ebab90acde48001122,-1,five_seed_score_ensemble,36 29 44 45,36 29 44 45,True,0.0,0.0,0.0
2wikimultihopqa,22dd11fe0bde11eba7f7acde48001122,-1,five_seed_score_ensemble,18 16 8 4,18 16 8 4,True,0.2,0.2,0.0
2wikimultihopqa,22f9ba0c0bde11eba7f7acde48001122,-1,five_seed_score_ensemble,2 32 33 3,2 32 33 3,True,0.5,0.5,0.0
2wikimultihopqa,24f101ba0bdb11eba7f7acde48001122,-1,five_seed_score_ensemble,49 56 57 48,49 56 57 48,True,0.0,0.0,0.0
2wikimultihopqa,25072e8e0bdd11eba7f7acde48001122,-1,five_seed_score_ensemble,17 22 86 25,17 22 86 25,True,0.16666666666666666,0.16666666666666666,0.0
2wikimultihopqa,252307240bda11eba7f7acde48001122,-1,five_seed_score_ensemble,17 18 46 15,17 18 46 15,True,0.5,0.5,0.0
2wikimultihopqa,27051c6a0baf11ebab90acde48001122,-1,five_seed_score_ensemble,49 35 43 42,49 35 43 42,True,0.2,0.2,0.0
2wikimultihopqa,283419940bda11eba7f7acde48001122,-1,five_seed_score_ensemble,43 44 24 35,43 44 24 35,True,0.2,0.2,0.0
2wikimultihopqa,3148e384097811ebbdb0ac1f6bf848b6,-1,five_seed_score_ensemble,1 48 49 32,1 48 49 32,True,0.4,0.4,0.0
2wikimultihopqa,3215fe5608cf11ebbd94ac1f6bf848b6,-1,five_seed_score_ensemble,0 1 14 29,0 1 14 29,True,0.5,0.5,0.0
2wikimultihopqa,332132e80bde11eba7f7acde48001122,-1,five_seed_score_ensemble,32 9 12 1,32 9 12 1,True,0.2,0.2,0.0
