model,condition,seeds,nll,nll_sd,perplexity,perplexity_sd,accuracy,accuracy_sd,answer_margin,answer_margin_sd,evidence_attention_mass,evidence_attention_mass_sd,distractor_attention_mass,distractor_attention_mass_sd,memory_attention_mass,memory_attention_mass_sd,memory_update_per_token,memory_update_per_token_sd,residual_divergence,residual_divergence_sd
interface_lora,none,5,3.100598105788231,0.25689279748374055,22.805924501424396,5.854095621439356,0.12578125,0.014654946470550056,-2.2623865455389023,0.43965195856207334,0.0,0.0,0.0,0.0,0.0,0.0,9.133812284469604,1.0985966774119593,7.613562047481538e-09,6.106868610676845e-09
interface_lora,matched_distractor,5,3.215748631954193,0.10163651458742146,25.022822043954985,2.4592653201089867,0.109375,0.004979511243742954,-2.488508130609989,0.14079073396991643,0.0,0.0,0.476780104257128,0.10453193028163504,0.4767801037163011,0.10453193011053304,10.240271508693695,1.0843088414040443,0.28841058611869813,0.04083561021809179
interface_lora,evidence_only,5,0.564048196002841,0.14617888684297092,1.7733682617894637,0.27253765387072465,0.874609375,0.06940330134298142,1.4354248814284802,0.3557250740263891,0.49770127834998235,0.10759907050215171,0.0,0.0,0.4977012789630521,0.10759907079084367,10.678557348251342,1.0446948071296946,0.3106592059135437,0.04387114444344978
interface_lora,whole_parent,5,1.3179953411221503,0.04582834198159428,3.7390799282964053,0.17263356807336025,0.4953125,0.009824044015593196,-0.08627727897837759,0.053707141772421994,0.2826633429459634,0.01732720865165561,0.5747656362428643,0.014926492039985233,0.857428978268581,0.023287214004310518,12.503357589244843,0.964220677021136,0.5243627548217773,0.06827006708154511
broad_lora,none,5,3.2124224841594695,0.21236979766102096,25.284614378051472,5.2551744129534335,0.12109375,0.020899350155305366,-2.4227195873856546,0.3728633757251424,0.0,0.0,0.0,0.0,0.0,0.0,10.228997910022736,1.8192334287480647,4.027970135211945e-09,9.071659751654963e-09
broad_lora,matched_distractor,5,3.4699450969696044,0.1057793115897945,32.27446246550367,3.2510707340690814,0.10859375,0.015229366163764007,-2.8246784403920175,0.1296887201212969,0.0,0.0,0.5689407739867153,0.025698752909133538,0.5689407736274916,0.025698753709653528,9.966873669624329,0.9204993002073585,0.3155025660991669,0.04008409951592518
broad_lora,evidence_only,5,0.3606866605579853,0.044513108637816774,1.4354663828870655,0.06518084184432708,0.948046875,0.009427748739177478,2.132606993615627,0.19490599235302863,0.6135882824797209,0.027109528943270504,0.0,0.0,0.6135882828943068,0.0271095296668863,10.464046657085419,1.0664342414918715,0.3635706305503845,0.0493899511242718
broad_lora,whole_parent,5,1.2513195790350438,0.026803112282128057,3.4959543951583365,0.09344501562382238,0.48046875,0.013460985109463107,-0.002235525939613581,0.05135829794796778,0.30632643866658993,0.00834386657290663,0.615246258722523,0.04232167818033313,0.9215726966387592,0.04857763588897059,11.589553320407868,1.299418790567437,0.5599936068058013,0.03959446634523005
full_weight,none,5,3.749549061059952,0.20666332841437773,43.2210548043718,8.700226158884174,0.12265625,0.019501931119322836,-3.1023537129163743,0.2716542049698641,0.0,0.0,0.0,0.0,0.0,0.0,12.0528813123703,1.6257925405631486,3.958120942115784e-09,8.406927448176225e-09
full_weight,matched_distractor,5,4.1784490048885345,0.14491916677284533,65.80756985557265,9.345796681418806,0.10234375,0.01118579770568465,-3.6343236327171327,0.15989709084428672,0.0,0.0,0.5592377855011449,0.08184865694724573,0.5592377867534196,0.08184865695992387,12.16840969324112,0.6847365097928724,0.4071343719959259,0.029445620937755455
full_weight,evidence_only,5,0.21865228060632944,0.03697025145595712,1.2450793113582692,0.046067385566072,0.9640625,0.018559826590944687,2.835844099521637,0.11067645692542816,0.5855073261736742,0.08875084673527209,0.0,0.0,0.5855073257505865,0.08875084623195122,12.722323489189147,0.7908002189258664,0.46214090585708617,0.03752926679611577
full_weight,whole_parent,5,1.2802290521562099,0.04608480577398189,3.6004970528167655,0.1639656224323477,0.484375,0.015563845166512918,0.008561589755117893,0.04617872196796716,0.305571202699099,0.003947960849635751,0.6139996961232969,0.029635074339238197,0.9195708987710531,0.030627058274432222,13.543649351596832,1.075712057902839,0.6583051204681396,0.08286620539776844
native_scratch,none,5,4.018872493505478,0.3649156674083671,58.53422128478589,19.799104895098562,0.129296875,0.018133584981929938,-3.3636441200971605,0.4142569824583178,0.0,0.0,0.0,0.0,0.0,0.0,6.099859249591828,1.2251188374584123,-2.0256265997886656e-09,2.4976445403496613e-09
native_scratch,matched_distractor,5,5.943372261524201,0.22669511827008765,389.13046058270896,88.0353138452173,0.0984375,0.009427748739177478,-5.446840968728066,0.2509990649112484,0.0,0.0,0.707701054744291,0.044032682885975616,0.7077010545704979,0.04403268249535282,8.727721309661865,0.8779201505019858,0.47723242044448855,0.015304188949083407
native_scratch,evidence_only,5,0.03895135749480687,0.011423702994012937,1.0397741817064372,0.01187777245254087,0.991796875,0.0037569109495451847,5.5456414997577665,0.27877786789952214,0.743071892864019,0.036402743363550774,0.0,0.0,0.7430718920542858,0.036402743610227245,8.957018285989761,0.7325257319076439,0.5308473944664002,0.03197929899837619
native_scratch,whole_parent,5,1.621973057091236,0.1367942594261495,5.100357907141652,0.6764981347035325,0.4765625,0.03276945651477054,-0.09193711802363395,0.1679166850147753,0.31252462515278434,0.0141284931579255,0.5972694565131731,0.015080454022901122,0.909794083063025,0.025585769436654478,9.200638955831527,0.5076228407005137,0.5691363573074341,0.024152302241710846
