protocol_revision,model,case_id,case_class,seed,baseline,expected_initial_action,decision_target_action,predicted_action,mechanism_correct,recognized_insufficient,under_expansion,over_expansion,evidence_recall,task_success,answer,expected_answer,compact_tokens,visible_tokens,materialized_tokens,materialized_bytes,network_bytes,active_kv_bytes,expansions,explicit_expansions,pra_selected_chunks,round_trips,model_passes,decision_latency_seconds,answer_latency_seconds,decision_error,decision_raw,full_ceiling_eligible
progressive-context-v1,qwen3:0.6b,c0-billing,C0_CONTINUE,37,FULL,CONTINUE,,,0,0,0,0,1,1,BILLING-00-OK,BILLING-00-OK,263,659,396,1581,1581,0,1,0,0,1,1,0.0,3.519439300056547,,,1
progressive-context-v1,qwen3:0.6b,c0-billing,C0_CONTINUE,37,COMPACT_ONLY,CONTINUE,,CONTINUE,0,0,0,0,1,1,BILLING-00-OK,BILLING-00-OK,263,263,0,0,0,0,0,0,0,0,1,0.0,1.3153127999976277,,,1
progressive-context-v1,qwen3:0.6b,c0-billing,C0_CONTINUE,37,PRA_AUTO,CONTINUE,,PRA_AUTO,1,0,0,0,1,1,BILLING-00-OK,BILLING-00-OK,263,263,0,0,0,0,0,0,2,0,1,0.0,1.3153127999976277,,,1
progressive-context-v1,qwen3:0.6b,c0-billing,C0_CONTINUE,37,MODEL_ESCALATION,CONTINUE,CONTINUE,CONTINUE,1,0,0,0,1,1,BILLING-00-OK,BILLING-00-OK,263,263,0,0,0,0,0,0,0,0,2,1.5005568000487983,1.3153127999976277,,"<think>

</think>

{""context_action"":""CONTINUE""}",1
progressive-context-v1,qwen3:0.6b,c0-billing,C0_CONTINUE,37,PRA_PLUS_MODEL,CONTINUE,CONTINUE,CONTINUE,1,0,0,0,1,1,BILLING-00-OK,BILLING-00-OK,263,263,0,0,0,0,0,0,2,0,2,1.5005568000487983,1.3153127999976277,,"<think>

</think>

{""context_action"":""CONTINUE""}",1
progressive-context-v1,qwen3:0.6b,c0-billing,C0_CONTINUE,37,CCR_TOOL,CONTINUE,,RETRIEVE,0,1,0,1,1,1,BILLING-00-OK,BILLING-00-OK,263,659,396,1581,1581,0,1,1,0,1,2,1.4476179999765009,3.519439300056547,,"<think>

</think>

{""decision"": ""retrieve""}",1
progressive-context-v1,qwen3:0.6b,c0-billing,C0_CONTINUE,53,FULL,CONTINUE,,,0,0,0,0,1,1,BILLING-00-OK,BILLING-00-OK,263,659,396,1581,1581,0,1,0,0,1,1,0.0,3.5066599999554455,,,1
progressive-context-v1,qwen3:0.6b,c0-billing,C0_CONTINUE,53,COMPACT_ONLY,CONTINUE,,CONTINUE,0,0,0,0,1,1,BILLING-00-OK,BILLING-00-OK,263,263,0,0,0,0,0,0,0,0,1,0.0,1.1437477997969836,,,1
progressive-context-v1,qwen3:0.6b,c0-billing,C0_CONTINUE,53,PRA_AUTO,CONTINUE,,PRA_AUTO,1,0,0,0,1,1,BILLING-00-OK,BILLING-00-OK,263,263,0,0,0,0,0,0,2,0,1,0.0,1.1437477997969836,,,1
progressive-context-v1,qwen3:0.6b,c0-billing,C0_CONTINUE,53,MODEL_ESCALATION,CONTINUE,CONTINUE,CONTINUE,1,0,0,0,1,1,BILLING-00-OK,BILLING-00-OK,263,263,0,0,0,0,0,0,0,0,2,1.507149700075388,1.1437477997969836,,"<think>

</think>

{""context_action"":""CONTINUE""}",1
progressive-context-v1,qwen3:0.6b,c0-billing,C0_CONTINUE,53,PRA_PLUS_MODEL,CONTINUE,CONTINUE,CONTINUE,1,0,0,0,1,1,BILLING-00-OK,BILLING-00-OK,263,263,0,0,0,0,0,0,2,0,2,1.507149700075388,1.1437477997969836,,"<think>

</think>

{""context_action"":""CONTINUE""}",1
progressive-context-v1,qwen3:0.6b,c0-billing,C0_CONTINUE,53,CCR_TOOL,CONTINUE,,RETRIEVE,0,1,0,1,1,1,BILLING-00-OK,BILLING-00-OK,263,659,396,1581,1581,0,1,1,0,1,2,1.6083416999317706,3.5066599999554455,,"<think>

</think>

{""decision"": ""retrieve""}",1
progressive-context-v1,qwen3:0.6b,c0-billing,C0_CONTINUE,71,FULL,CONTINUE,,,0,0,0,0,1,1,BILLING-00-OK,BILLING-00-OK,263,659,396,1581,1581,0,1,0,0,1,1,0.0,3.5147955999709666,,,1
progressive-context-v1,qwen3:0.6b,c0-billing,C0_CONTINUE,71,COMPACT_ONLY,CONTINUE,,CONTINUE,0,0,0,0,1,1,BILLING-00-OK,BILLING-00-OK,263,263,0,0,0,0,0,0,0,0,1,0.0,1.1737961999606341,,,1
progressive-context-v1,qwen3:0.6b,c0-billing,C0_CONTINUE,71,PRA_AUTO,CONTINUE,,PRA_AUTO,1,0,0,0,1,1,BILLING-00-OK,BILLING-00-OK,263,263,0,0,0,0,0,0,2,0,1,0.0,1.1737961999606341,,,1
progressive-context-v1,qwen3:0.6b,c0-billing,C0_CONTINUE,71,MODEL_ESCALATION,CONTINUE,CONTINUE,CONTINUE,1,0,0,0,1,1,BILLING-00-OK,BILLING-00-OK,263,263,0,0,0,0,0,0,0,0,2,1.6124835000373423,1.1737961999606341,,"<think>

</think>

{""context_action"":""CONTINUE""}",1
progressive-context-v1,qwen3:0.6b,c0-billing,C0_CONTINUE,71,PRA_PLUS_MODEL,CONTINUE,CONTINUE,CONTINUE,1,0,0,0,1,1,BILLING-00-OK,BILLING-00-OK,263,263,0,0,0,0,0,0,2,0,2,1.6124835000373423,1.1737961999606341,,"<think>

</think>

{""context_action"":""CONTINUE""}",1
progressive-context-v1,qwen3:0.6b,c0-billing,C0_CONTINUE,71,CCR_TOOL,CONTINUE,,RETRIEVE,0,1,0,1,1,1,BILLING-00-OK,BILLING-00-OK,263,659,396,1581,1581,0,1,1,0,1,2,1.4654127000831068,3.5147955999709666,,"<think>

</think>

{""decision"": ""retrieve""}",1
progressive-context-v1,qwen3:0.6b,c1-billing,C1_FULL,11,FULL,MATERIALIZE_FULL,,,0,0,0,0,1,1,BILLING-00-OK,BILLING-00-OK,163,212,48,192,192,0,1,0,0,1,1,0.0,1.8597252001054585,,,1
progressive-context-v1,qwen3:0.6b,c1-billing,C1_FULL,11,COMPACT_ONLY,MATERIALIZE_FULL,,CONTINUE,0,0,0,0,0,0,UNKNOWN,BILLING-00-OK,163,163,0,0,0,0,0,0,0,0,1,0.0,0.9858254999853671,,,1
progressive-context-v1,qwen3:0.6b,c1-billing,C1_FULL,11,PRA_AUTO,MATERIALIZE_FULL,,PRA_AUTO,0,0,0,0,0,0,UNKNOWN,BILLING-00-OK,163,163,0,0,0,0,0,0,2,0,1,0.0,0.9858254999853671,,,1
progressive-context-v1,qwen3:0.6b,c1-billing,C1_FULL,11,MODEL_ESCALATION,MATERIALIZE_FULL,MATERIALIZE_FULL,CONTINUE,0,0,1,0,0,0,UNKNOWN,BILLING-00-OK,163,163,0,0,0,0,0,0,0,0,2,1.4619044999126345,0.9858254999853671,,"<think>

</think>

{""context_action"":""CONTINUE""}",1
progressive-context-v1,qwen3:0.6b,c1-billing,C1_FULL,11,PRA_PLUS_MODEL,MATERIALIZE_FULL,MATERIALIZE_FULL,CONTINUE,0,0,1,0,0,0,UNKNOWN,BILLING-00-OK,163,163,0,0,0,0,0,0,2,0,2,1.4619044999126345,0.9858254999853671,,"<think>

</think>

{""context_action"":""CONTINUE""}",1
progressive-context-v1,qwen3:0.6b,c1-billing,C1_FULL,11,CCR_TOOL,MATERIALIZE_FULL,,RETRIEVE,1,1,0,0,1,1,BILLING-00-OK,BILLING-00-OK,163,212,48,192,192,0,1,1,0,1,2,1.3629719000309706,1.8597252001054585,,"<think>

</think>

{""decision"": ""retrieve""}",1
progressive-context-v1,qwen3:0.6b,c1-billing,C1_FULL,23,FULL,MATERIALIZE_FULL,,,0,0,0,0,1,1,BILLING-00-OK,BILLING-00-OK,163,212,48,192,192,0,1,0,0,1,1,0.0,1.666597899980843,,,1
progressive-context-v1,qwen3:0.6b,c1-billing,C1_FULL,23,COMPACT_ONLY,MATERIALIZE_FULL,,CONTINUE,0,0,0,0,0,0,UNKNOWN,BILLING-00-OK,163,163,0,0,0,0,0,0,0,0,1,0.0,1.088137400103733,,,1
progressive-context-v1,qwen3:0.6b,c1-billing,C1_FULL,23,PRA_AUTO,MATERIALIZE_FULL,,PRA_AUTO,0,0,0,0,0,0,UNKNOWN,BILLING-00-OK,163,163,0,0,0,0,0,0,2,0,1,0.0,1.088137400103733,,,1
progressive-context-v1,qwen3:0.6b,c1-billing,C1_FULL,23,MODEL_ESCALATION,MATERIALIZE_FULL,MATERIALIZE_FULL,CONTINUE,0,0,1,0,0,0,UNKNOWN,BILLING-00-OK,163,163,0,0,0,0,0,0,0,0,2,1.4804807000327855,1.088137400103733,,"<think>

</think>

{""context_action"":""CONTINUE""}",1
progressive-context-v1,qwen3:0.6b,c1-billing,C1_FULL,23,PRA_PLUS_MODEL,MATERIALIZE_FULL,MATERIALIZE_FULL,CONTINUE,0,0,1,0,0,0,UNKNOWN,BILLING-00-OK,163,163,0,0,0,0,0,0,2,0,2,1.4804807000327855,1.088137400103733,,"<think>

</think>

{""context_action"":""CONTINUE""}",1
progressive-context-v1,qwen3:0.6b,c1-billing,C1_FULL,23,CCR_TOOL,MATERIALIZE_FULL,,RETRIEVE,1,1,0,0,1,1,BILLING-00-OK,BILLING-00-OK,163,212,48,192,192,0,1,1,0,1,2,1.5142116998322308,1.666597899980843,,"<think>

</think>

{""decision"": ""retrieve""}",1
progressive-context-v1,qwen3:0.6b,c1-billing,C1_FULL,37,FULL,MATERIALIZE_FULL,,,0,0,0,0,1,1,BILLING-00-OK,BILLING-00-OK,163,212,48,192,192,0,1,0,0,1,1,0.0,1.8246209998615086,,,1
progressive-context-v1,qwen3:0.6b,c1-billing,C1_FULL,37,COMPACT_ONLY,MATERIALIZE_FULL,,CONTINUE,0,0,0,0,0,0,UNKNOWN,BILLING-00-OK,163,163,0,0,0,0,0,0,0,0,1,0.0,0.9401224998291582,,,1
progressive-context-v1,qwen3:0.6b,c1-billing,C1_FULL,37,PRA_AUTO,MATERIALIZE_FULL,,PRA_AUTO,0,0,0,0,0,0,UNKNOWN,BILLING-00-OK,163,163,0,0,0,0,0,0,2,0,1,0.0,0.9401224998291582,,,1
progressive-context-v1,qwen3:0.6b,c1-billing,C1_FULL,37,MODEL_ESCALATION,MATERIALIZE_FULL,MATERIALIZE_FULL,CONTINUE,0,0,1,0,0,0,UNKNOWN,BILLING-00-OK,163,163,0,0,0,0,0,0,0,0,2,1.4829702000133693,0.9401224998291582,,"<think>

</think>

{""context_action"":""CONTINUE""}",1
progressive-context-v1,qwen3:0.6b,c1-billing,C1_FULL,37,PRA_PLUS_MODEL,MATERIALIZE_FULL,MATERIALIZE_FULL,CONTINUE,0,0,1,0,0,0,UNKNOWN,BILLING-00-OK,163,163,0,0,0,0,0,0,2,0,2,1.4829702000133693,0.9401224998291582,,"<think>

</think>

{""context_action"":""CONTINUE""}",1
progressive-context-v1,qwen3:0.6b,c1-billing,C1_FULL,37,CCR_TOOL,MATERIALIZE_FULL,,RETRIEVE,1,1,0,0,1,1,BILLING-00-OK,BILLING-00-OK,163,212,48,192,192,0,1,1,0,1,2,1.3602124000899494,1.8246209998615086,,"<think>

</think>

{""decision"": ""retrieve""}",1
progressive-context-v1,qwen3:0.6b,c1-billing,C1_FULL,53,FULL,MATERIALIZE_FULL,,,0,0,0,0,1,1,BILLING-00-OK,BILLING-00-OK,163,212,48,192,192,0,1,0,0,1,1,0.0,1.9497503000311553,,,1
progressive-context-v1,qwen3:0.6b,c1-billing,C1_FULL,53,COMPACT_ONLY,MATERIALIZE_FULL,,CONTINUE,0,0,0,0,0,0,UNKNOWN,BILLING-00-OK,163,163,0,0,0,0,0,0,0,0,1,0.0,0.840978299966082,,,1
progressive-context-v1,qwen3:0.6b,c1-billing,C1_FULL,53,PRA_AUTO,MATERIALIZE_FULL,,PRA_AUTO,0,0,0,0,0,0,UNKNOWN,BILLING-00-OK,163,163,0,0,0,0,0,0,2,0,1,0.0,0.840978299966082,,,1
progressive-context-v1,qwen3:0.6b,c1-billing,C1_FULL,53,MODEL_ESCALATION,MATERIALIZE_FULL,MATERIALIZE_FULL,CONTINUE,0,0,1,0,0,0,UNKNOWN,BILLING-00-OK,163,163,0,0,0,0,0,0,0,0,2,1.3201490000355989,0.840978299966082,,"<think>

</think>

{""context_action"":""CONTINUE""}",1
progressive-context-v1,qwen3:0.6b,c1-billing,C1_FULL,53,PRA_PLUS_MODEL,MATERIALIZE_FULL,MATERIALIZE_FULL,CONTINUE,0,0,1,0,0,0,UNKNOWN,BILLING-00-OK,163,163,0,0,0,0,0,0,2,0,2,1.3201490000355989,0.840978299966082,,"<think>

</think>

{""context_action"":""CONTINUE""}",1
progressive-context-v1,qwen3:0.6b,c1-billing,C1_FULL,53,CCR_TOOL,MATERIALIZE_FULL,,RETRIEVE,1,1,0,0,1,1,BILLING-00-OK,BILLING-00-OK,163,212,48,192,192,0,1,1,0,1,2,1.4490570998750627,1.9497503000311553,,"<think>

</think>

{""decision"": ""retrieve""}",1
progressive-context-v1,qwen3:0.6b,c1-billing,C1_FULL,71,FULL,MATERIALIZE_FULL,,,0,0,0,0,1,1,BILLING-00-OK,BILLING-00-OK,163,212,48,192,192,0,1,0,0,1,1,0.0,1.8162561999633908,,,1
progressive-context-v1,qwen3:0.6b,c1-billing,C1_FULL,71,COMPACT_ONLY,MATERIALIZE_FULL,,CONTINUE,0,0,0,0,0,0,UNKNOWN,BILLING-00-OK,163,163,0,0,0,0,0,0,0,0,1,0.0,0.8457278001587838,,,1
progressive-context-v1,qwen3:0.6b,c1-billing,C1_FULL,71,PRA_AUTO,MATERIALIZE_FULL,,PRA_AUTO,0,0,0,0,0,0,UNKNOWN,BILLING-00-OK,163,163,0,0,0,0,0,0,2,0,1,0.0,0.8457278001587838,,,1
progressive-context-v1,qwen3:0.6b,c1-billing,C1_FULL,71,MODEL_ESCALATION,MATERIALIZE_FULL,MATERIALIZE_FULL,CONTINUE,0,0,1,0,0,0,UNKNOWN,BILLING-00-OK,163,163,0,0,0,0,0,0,0,0,2,1.573003200115636,0.8457278001587838,,"<think>

</think>

{""context_action"":""CONTINUE""}",1
progressive-context-v1,qwen3:0.6b,c1-billing,C1_FULL,71,PRA_PLUS_MODEL,MATERIALIZE_FULL,MATERIALIZE_FULL,CONTINUE,0,0,1,0,0,0,UNKNOWN,BILLING-00-OK,163,163,0,0,0,0,0,0,2,0,2,1.573003200115636,0.8457278001587838,,"<think>

</think>

{""context_action"":""CONTINUE""}",1
progressive-context-v1,qwen3:0.6b,c1-billing,C1_FULL,71,CCR_TOOL,MATERIALIZE_FULL,,RETRIEVE,1,1,0,0,1,1,BILLING-00-OK,BILLING-00-OK,163,212,48,192,192,0,1,1,0,1,2,1.3632249000947922,1.8162561999633908,,"<think>

</think>

{""decision"": ""retrieve""}",1
progressive-context-v1,qwen3:0.6b,c2-billing,C2_MORE,11,FULL,MATERIALIZE_MORE,,,0,0,0,0,1,1,BILLING-00-OK,BILLING-00-OK,254,650,396,1581,1581,0,1,0,0,1,1,0.0,3.594052999978885,,,1
progressive-context-v1,qwen3:0.6b,c2-billing,C2_MORE,11,COMPACT_ONLY,MATERIALIZE_MORE,,CONTINUE,0,0,0,0,0,0,UNKNOWN,BILLING-00-OK,254,254,0,0,0,0,0,0,0,0,1,0.0,0.822278399951756,,,1
progressive-context-v1,qwen3:0.6b,c2-billing,C2_MORE,11,PRA_AUTO,MATERIALIZE_MORE,,PRA_AUTO,1,0,0,0,1,1,BILLING-00-OK,BILLING-00-OK,254,299,45,178,178,0,1,0,2,1,1,0.0,1.4827258000150323,,,1
progressive-context-v1,qwen3:0.6b,c2-billing,C2_MORE,11,MODEL_ESCALATION,MATERIALIZE_MORE,MATERIALIZE_MORE,MATERIALIZE_FULL,0,1,0,0,1,1,BILLING-00-OK,BILLING-00-OK,254,650,396,1581,1581,0,1,1,0,1,2,1.4017034999560565,3.594052999978885,,"<think>

</think>

{""context_action"":""MATERIALIZE_FULL""}",1
progressive-context-v1,qwen3:0.6b,c2-billing,C2_MORE,11,PRA_PLUS_MODEL,MATERIALIZE_MORE,CONTINUE,MATERIALIZE_FULL,0,1,0,0,1,1,BILLING-00-OK,BILLING-00-OK,254,695,440,1759,1759,0,2,1,2,2,2,1.3310426999814808,3.544119199970737,,"<think>

</think>

{""context_action"":""MATERIALIZE_FULL""}",1
progressive-context-v1,qwen3:0.6b,c2-billing,C2_MORE,11,CCR_TOOL,MATERIALIZE_MORE,,RETRIEVE,1,1,0,0,1,1,BILLING-00-OK,BILLING-00-OK,254,650,396,1581,1581,0,1,1,0,1,2,1.4593475998844951,3.594052999978885,,"<think>

</think>

{""decision"": ""retrieve""}",1
progressive-context-v1,qwen3:0.6b,c2-billing,C2_MORE,23,FULL,MATERIALIZE_MORE,,,0,0,0,0,1,1,BILLING-00-OK,BILLING-00-OK,254,650,396,1581,1581,0,1,0,0,1,1,0.0,3.5799456001259387,,,1
progressive-context-v1,qwen3:0.6b,c2-billing,C2_MORE,23,COMPACT_ONLY,MATERIALIZE_MORE,,CONTINUE,0,0,0,0,0,0,UNKNOWN,BILLING-00-OK,254,254,0,0,0,0,0,0,0,0,1,0.0,0.8642848001327366,,,1
progressive-context-v1,qwen3:0.6b,c2-billing,C2_MORE,23,PRA_AUTO,MATERIALIZE_MORE,,PRA_AUTO,1,0,0,0,1,1,BILLING-00-OK,BILLING-00-OK,254,299,45,178,178,0,1,0,2,1,1,0.0,1.3633772998582572,,,1
progressive-context-v1,qwen3:0.6b,c2-billing,C2_MORE,23,MODEL_ESCALATION,MATERIALIZE_MORE,MATERIALIZE_MORE,MATERIALIZE_FULL,0,1,0,0,1,1,BILLING-00-OK,BILLING-00-OK,254,650,396,1581,1581,0,1,1,0,1,2,1.6479056000243872,3.5799456001259387,,"<think>

</think>

{""context_action"":""MATERIALIZE_FULL""}",1
progressive-context-v1,qwen3:0.6b,c2-billing,C2_MORE,23,PRA_PLUS_MODEL,MATERIALIZE_MORE,CONTINUE,MATERIALIZE_FULL,0,1,0,0,1,1,BILLING-00-OK,BILLING-00-OK,254,695,440,1759,1759,0,2,1,2,2,2,1.3973429999314249,3.8521998999640346,,"<think>

</think>

{""context_action"":""MATERIALIZE_FULL""}",1
progressive-context-v1,qwen3:0.6b,c2-billing,C2_MORE,23,CCR_TOOL,MATERIALIZE_MORE,,RETRIEVE,1,1,0,0,1,1,BILLING-00-OK,BILLING-00-OK,254,650,396,1581,1581,0,1,1,0,1,2,1.706371699925512,3.5799456001259387,,"<think>

</think>

{""decision"": ""retrieve""}",1
progressive-context-v1,qwen3:0.6b,c2-billing,C2_MORE,37,FULL,MATERIALIZE_MORE,,,0,0,0,0,1,1,BILLING-00-OK,BILLING-00-OK,254,650,396,1581,1581,0,1,0,0,1,1,0.0,3.5957595000509173,,,1
progressive-context-v1,qwen3:0.6b,c2-billing,C2_MORE,37,COMPACT_ONLY,MATERIALIZE_MORE,,CONTINUE,0,0,0,0,0,0,UNKNOWN,BILLING-00-OK,254,254,0,0,0,0,0,0,0,0,1,0.0,1.0686469001229852,,,1
progressive-context-v1,qwen3:0.6b,c2-billing,C2_MORE,37,PRA_AUTO,MATERIALIZE_MORE,,PRA_AUTO,1,0,0,0,1,1,BILLING-00-OK,BILLING-00-OK,254,299,45,178,178,0,1,0,2,1,1,0.0,1.6152119999751449,,,1
progressive-context-v1,qwen3:0.6b,c2-billing,C2_MORE,37,MODEL_ESCALATION,MATERIALIZE_MORE,MATERIALIZE_MORE,MATERIALIZE_FULL,0,1,0,0,1,1,BILLING-00-OK,BILLING-00-OK,254,650,396,1581,1581,0,1,1,0,1,2,1.6497430000454187,3.5957595000509173,,"<think>

</think>

{""context_action"":""MATERIALIZE_FULL""}",1
progressive-context-v1,qwen3:0.6b,c2-billing,C2_MORE,37,PRA_PLUS_MODEL,MATERIALIZE_MORE,CONTINUE,MATERIALIZE_FULL,0,1,0,0,1,1,BILLING-00-OK,BILLING-00-OK,254,695,440,1759,1759,0,2,1,2,2,2,1.2535695999395102,3.862618900137022,,"<think>

</think>

{""context_action"":""MATERIALIZE_FULL""}",1
progressive-context-v1,qwen3:0.6b,c2-billing,C2_MORE,37,CCR_TOOL,MATERIALIZE_MORE,,RETRIEVE,1,1,0,0,1,1,BILLING-00-OK,BILLING-00-OK,254,650,396,1581,1581,0,1,1,0,1,2,1.7234579999931157,3.5957595000509173,,"<think>

</think>

{""decision"": ""retrieve""}",1
progressive-context-v1,qwen3:0.6b,c2-billing,C2_MORE,53,FULL,MATERIALIZE_MORE,,,0,0,0,0,1,1,BILLING-00-OK,BILLING-00-OK,254,650,396,1581,1581,0,1,0,0,1,1,0.0,3.7342995000071824,,,1
progressive-context-v1,qwen3:0.6b,c2-billing,C2_MORE,53,COMPACT_ONLY,MATERIALIZE_MORE,,CONTINUE,0,0,0,0,0,0,UNKNOWN,BILLING-00-OK,254,254,0,0,0,0,0,0,0,0,1,0.0,0.8732014999259263,,,1
progressive-context-v1,qwen3:0.6b,c2-billing,C2_MORE,53,PRA_AUTO,MATERIALIZE_MORE,,PRA_AUTO,1,0,0,0,1,1,BILLING-00-OK,BILLING-00-OK,254,299,45,178,178,0,1,0,2,1,1,0.0,1.6345574001315981,,,1
progressive-context-v1,qwen3:0.6b,c2-billing,C2_MORE,53,MODEL_ESCALATION,MATERIALIZE_MORE,MATERIALIZE_MORE,MATERIALIZE_FULL,0,1,0,0,1,1,BILLING-00-OK,BILLING-00-OK,254,650,396,1581,1581,0,1,1,0,1,2,1.5288717998191714,3.7342995000071824,,"<think>

</think>

{""context_action"":""MATERIALIZE_FULL""}",1
progressive-context-v1,qwen3:0.6b,c2-billing,C2_MORE,53,PRA_PLUS_MODEL,MATERIALIZE_MORE,CONTINUE,MATERIALIZE_FULL,0,1,0,0,1,1,BILLING-00-OK,BILLING-00-OK,254,695,440,1759,1759,0,2,1,2,2,2,1.5107183000072837,3.90358110005036,,"<think>

</think>

{""context_action"":""MATERIALIZE_FULL""}",1
progressive-context-v1,qwen3:0.6b,c2-billing,C2_MORE,53,CCR_TOOL,MATERIALIZE_MORE,,RETRIEVE,1,1,0,0,1,1,BILLING-00-OK,BILLING-00-OK,254,650,396,1581,1581,0,1,1,0,1,2,1.6815992000047117,3.7342995000071824,,"<think>

</think>

{""decision"": ""retrieve""}",1
progressive-context-v1,qwen3:0.6b,c2-billing,C2_MORE,71,FULL,MATERIALIZE_MORE,,,0,0,0,0,1,1,BILLING-00-OK,BILLING-00-OK,254,650,396,1581,1581,0,1,0,0,1,1,0.0,3.784736500121653,,,1
progressive-context-v1,qwen3:0.6b,c2-billing,C2_MORE,71,COMPACT_ONLY,MATERIALIZE_MORE,,CONTINUE,0,0,0,0,0,0,UNKNOWN,BILLING-00-OK,254,254,0,0,0,0,0,0,0,0,1,0.0,1.0196730999741703,,,1
progressive-context-v1,qwen3:0.6b,c2-billing,C2_MORE,71,PRA_AUTO,MATERIALIZE_MORE,,PRA_AUTO,1,0,0,0,1,1,BILLING-00-OK,BILLING-00-OK,254,299,45,178,178,0,1,0,2,1,1,0.0,1.6256257998757064,,,1
progressive-context-v1,qwen3:0.6b,c2-billing,C2_MORE,71,MODEL_ESCALATION,MATERIALIZE_MORE,MATERIALIZE_MORE,MATERIALIZE_FULL,0,1,0,0,1,1,BILLING-00-OK,BILLING-00-OK,254,650,396,1581,1581,0,1,1,0,1,2,1.7977646999061108,3.784736500121653,,"<think>

</think>

{""context_action"":""MATERIALIZE_FULL""}",1
