milestone,seed,task_id,family,plan_horizon,condition,step,expected_tool,generated_tool,tool_correct,arguments_correct,executed,failure_reason,disclosed_tools,mid_execution_retrievals,cumulative_definition_tokens,cumulative_prompt_tokens,cumulative_generated_tokens,cumulative_generation_seconds
M4-summary,11,m4-doc-4,document,4,eager_required,0,,,True,True,True,,4,0,1112,2001,107,14.445217499975115
M4,11,m4-doc-4,document,4,no_refresh,1,search_document,search_document,True,True,True,,1,0,61,192,22,1.996555699966848
M4,11,m4-doc-4,document,4,no_refresh,2,read_document,export_document,False,False,False,tool_not_disclosed,1,0,122,441,51,4.674725599819794
M4-summary,11,m4-doc-4,document,4,no_refresh,0,,,False,False,False,wrong_call,1,0,122,441,51,4.674725599819794
M4,11,m4-repo-5,repository,5,reactive_jit,1,search_repository,search_repository,True,True,True,,1,0,62,197,21,1.9570190000813454
M4,11,m4-repo-5,repository,5,reactive_jit,2,get_repository,create_issue,False,False,False,tool_not_disclosed,1,1,123,448,66,5.9950168000068516
M4-summary,11,m4-repo-5,repository,5,reactive_jit,0,,,False,False,False,wrong_call,1,1,123,448,66,5.9950168000068516
M4,11,m4-repo-5,repository,5,eager_required,1,search_repository,search_repository,True,True,True,,5,0,356,491,21,2.9028606999199837
M4,11,m4-repo-5,repository,5,eager_required,2,get_repository,create_issue,False,False,True,,5,0,712,1037,50,6.965333200059831
M4-summary,11,m4-repo-5,repository,5,eager_required,0,,,False,False,False,wrong_call,5,0,712,1037,50,6.965333200059831
M4,11,m4-repo-5,repository,5,no_refresh,1,search_repository,search_repository,True,True,True,,1,0,62,197,21,1.937396900029853
M4,11,m4-repo-5,repository,5,no_refresh,2,get_repository,create_issue,False,False,False,tool_not_disclosed,1,0,124,449,66,5.9675421002320945
M4-summary,11,m4-repo-5,repository,5,no_refresh,0,,,False,False,False,wrong_call,1,0,124,449,66,5.9675421002320945
M4,23,m4-user-3,user,3,reactive_jit,1,search_user,search_user,True,True,True,,1,0,63,189,74,6.1577404998242855
M4,23,m4-user-3,user,3,reactive_jit,2,validate_user,validate_user,True,True,True,,1,1,129,490,97,8.586083499947563
M4,23,m4-user-3,user,3,reactive_jit,3,update_user,update_user,True,True,True,,1,2,206,857,127,11.837366200052202
M4-summary,23,m4-user-3,user,3,reactive_jit,0,,,True,True,True,,1,2,206,857,127,11.837366200052202
M4,23,m4-user-3,user,3,eager_required,1,search_user,search_user,True,True,True,,3,0,206,332,75,7.188887699972838
M4,23,m4-user-3,user,3,eager_required,2,validate_user,update_user,False,False,True,,3,0,412,774,105,10.826852099969983
M4-summary,23,m4-user-3,user,3,eager_required,0,,,False,False,False,wrong_call,3,0,412,774,105,10.826852099969983
M4,23,m4-user-3,user,3,no_refresh,1,search_user,search_user,True,True,True,,1,0,63,189,74,6.232315799919888
M4,23,m4-user-3,user,3,no_refresh,2,validate_user,set_account_status,False,False,False,unknown_tool,1,0,126,487,104,9.260265999939293
M4-summary,23,m4-user-3,user,3,no_refresh,0,,,False,False,False,wrong_call,1,0,126,487,104,9.260265999939293
M4,23,m4-doc-4,document,4,reactive_jit,1,search_document,search_document,True,True,True,,1,0,61,195,22,1.9976568000856787
M4,23,m4-doc-4,document,4,reactive_jit,2,read_document,read_document,True,True,True,,1,1,125,450,45,4.225095000118017
M4,23,m4-doc-4,document,4,reactive_jit,3,export_document,export_document,True,True,True,,1,2,202,782,74,7.272916600108147
M4,23,m4-doc-4,document,4,reactive_jit,4,create_report,create_report,True,True,True,,1,3,278,1179,107,11.045244900276884
M4-summary,23,m4-doc-4,document,4,reactive_jit,0,,,True,True,True,,1,3,278,1179,107,11.045244900276884
M4,23,m4-doc-4,document,4,eager_required,1,search_document,search_document,True,True,True,,4,0,278,412,80,8.34877619985491
M4,23,m4-doc-4,document,4,eager_required,2,read_document,create_report,False,False,True,,4,0,556,940,111,12.543419699883088
M4-summary,23,m4-doc-4,document,4,eager_required,0,,,False,False,False,wrong_call,4,0,556,940,111,12.543419699883088
M4,23,m4-doc-4,document,4,no_refresh,1,search_document,search_document,True,True,True,,1,0,61,195,22,2.0025971999857575
M4,23,m4-doc-4,document,4,no_refresh,2,read_document,export_document_as_pdf,False,False,False,unknown_tool,1,0,122,447,47,4.367266200017184
M4-summary,23,m4-doc-4,document,4,no_refresh,0,,,False,False,False,wrong_call,1,0,122,447,47,4.367266200017184
M4,23,m4-repo-5,repository,5,reactive_jit,1,search_repository,search_repository,True,True,True,,1,0,62,200,21,1.969272900139913
M4,23,m4-repo-5,repository,5,reactive_jit,2,get_repository,create_issue,False,False,False,tool_not_disclosed,1,1,123,454,62,5.674520600121468
M4-summary,23,m4-repo-5,repository,5,reactive_jit,0,,,False,False,False,wrong_call,1,1,123,454,62,5.674520600121468
M4,23,m4-repo-5,repository,5,eager_required,1,search_repository,search_repository,True,True,True,,5,0,356,494,80,8.971534099895507
M4,23,m4-repo-5,repository,5,eager_required,2,get_repository,update_issue,False,False,True,,5,0,712,1103,108,13.10341089987196
M4-summary,23,m4-repo-5,repository,5,eager_required,0,,,False,False,False,wrong_call,5,0,712,1103,108,13.10341089987196
M4,23,m4-repo-5,repository,5,no_refresh,1,search_repository,search_repository,True,True,True,,1,0,62,200,21,1.9582954000215977
M4,23,m4-repo-5,repository,5,no_refresh,2,get_repository,create_issue,False,False,False,tool_not_disclosed,1,0,124,455,64,5.825054900022224
M4-summary,23,m4-repo-5,repository,5,no_refresh,0,,,False,False,False,wrong_call,1,0,124,455,64,5.825054900022224
M4,37,m4-user-3,user,3,reactive_jit,1,search_user,search_user,True,True,True,,1,0,63,188,22,2.0217377999797463
M4,37,m4-user-3,user,3,reactive_jit,2,validate_user,validate_user,True,True,True,,1,1,129,436,45,4.271775200031698
M4,37,m4-user-3,user,3,reactive_jit,3,update_user,update_user,True,True,True,,1,2,206,750,75,7.353545600082725
M4-summary,37,m4-user-3,user,3,reactive_jit,0,,,True,True,True,,1,2,206,750,75,7.353545600082725
M4,37,m4-user-3,user,3,eager_required,1,search_user,search_user,True,True,True,,3,0,206,331,75,7.179604500066489
M4,37,m4-user-3,user,3,eager_required,2,validate_user,update_user,False,False,True,,3,0,412,772,105,10.817585200071335
M4-summary,37,m4-user-3,user,3,eager_required,0,,,False,False,False,wrong_call,3,0,412,772,105,10.817585200071335
M4,37,m4-user-3,user,3,no_refresh,1,search_user,search_user,True,True,True,,1,0,63,188,22,2.0550648998469114
M4,37,m4-user-3,user,3,no_refresh,2,validate_user,validate_account,False,False,False,unknown_tool,1,0,126,433,45,4.25633109989576
M4-summary,37,m4-user-3,user,3,no_refresh,0,,,False,False,False,wrong_call,1,0,126,433,45,4.25633109989576
M4,37,m4-doc-4,document,4,reactive_jit,1,search_document,search_document,True,True,True,,1,0,61,194,22,2.039121399866417
M4,37,m4-doc-4,document,4,reactive_jit,2,read_document,read_document,True,True,True,,1,1,125,448,45,4.259048899868503
M4,37,m4-doc-4,document,4,reactive_jit,3,export_document,export_document,True,True,True,,1,2,202,779,74,7.300667999777943
M4,37,m4-doc-4,document,4,reactive_jit,4,create_report,create_report,True,True,True,,1,3,278,1175,107,11.057959399884567
M4-summary,37,m4-doc-4,document,4,reactive_jit,0,,,True,True,True,,1,3,278,1175,107,11.057959399884567
M4,37,m4-doc-4,document,4,eager_required,1,search_document,search_document,True,True,True,,4,0,278,411,22,2.791214199969545
M4,37,m4-doc-4,document,4,eager_required,2,read_document,read_document,True,True,True,,4,0,556,879,45,5.83075139997527
M4,37,m4-doc-4,document,4,eager_required,3,export_document,export_document,True,True,True,,4,0,834,1411,74,9.835751899983734
M4,37,m4-doc-4,document,4,eager_required,4,create_report,create_report,True,True,True,,4,0,1112,2009,107,14.477524499874562
M4-summary,37,m4-doc-4,document,4,eager_required,0,,,True,True,True,,4,0,1112,2009,107,14.477524499874562
M4,37,m4-doc-4,document,4,no_refresh,1,search_document,search_document,True,True,True,,1,0,61,194,22,2.038250300101936
M4,37,m4-doc-4,document,4,no_refresh,2,read_document,read_document,True,True,False,tool_not_disclosed,1,0,122,445,45,4.248307400150225
M4-summary,37,m4-doc-4,document,4,no_refresh,0,,,False,False,False,tool_not_disclosed,1,0,122,445,45,4.248307400150225
M4,37,m4-repo-5,repository,5,reactive_jit,1,search_repository,search_repository,True,True,True,,1,0,62,199,21,1.9375976000446826
M4,37,m4-repo-5,repository,5,reactive_jit,2,get_repository,create_issue,False,False,False,tool_not_disclosed,1,1,123,452,66,5.977858700091019
M4-summary,37,m4-repo-5,repository,5,reactive_jit,0,,,False,False,False,wrong_call,1,1,123,452,66,5.977858700091019
M4,37,m4-repo-5,repository,5,eager_required,1,search_repository,search_repository,True,True,True,,5,0,356,493,80,8.957258600043133
M4,37,m4-repo-5,repository,5,eager_required,2,get_repository,update_issue,False,False,True,,5,0,712,1101,108,13.087464600102976
M4-summary,37,m4-repo-5,repository,5,eager_required,0,,,False,False,False,wrong_call,5,0,712,1101,108,13.087464600102976
M4,37,m4-repo-5,repository,5,no_refresh,1,search_repository,search_repository,True,True,True,,1,0,62,199,21,1.9446617998182774
M4,37,m4-repo-5,repository,5,no_refresh,2,get_repository,create_issue,False,False,False,tool_not_disclosed,1,0,124,453,66,6.003924299729988
M4-summary,37,m4-repo-5,repository,5,no_refresh,0,,,False,False,False,wrong_call,1,0,124,453,66,6.003924299729988
M4,53,m4-user-3,user,3,reactive_jit,1,search_user,search_user,True,True,True,,1,0,63,189,22,1.9995506000705063
M4,53,m4-user-3,user,3,reactive_jit,2,validate_user,validate_user,True,True,True,,1,1,129,438,45,4.201665400061756
M4,53,m4-user-3,user,3,reactive_jit,3,update_user,update_user,True,True,True,,1,2,206,753,75,7.280247600050643
M4-summary,53,m4-user-3,user,3,reactive_jit,0,,,True,True,True,,1,2,206,753,75,7.280247600050643
M4,53,m4-user-3,user,3,eager_required,1,search_user,search_user,True,True,True,,3,0,206,332,71,6.826627200003713
M4,53,m4-user-3,user,3,eager_required,2,validate_user,update_user,False,False,True,,3,0,412,770,101,10.456265799934044
M4-summary,53,m4-user-3,user,3,eager_required,0,,,False,False,False,wrong_call,3,0,412,770,101,10.456265799934044
M4,53,m4-user-3,user,3,no_refresh,1,search_user,search_user,True,True,True,,1,0,63,189,22,2.003290700027719
M4,53,m4-user-3,user,3,no_refresh,2,validate_user,search_user,False,False,True,,1,0,126,435,44,4.136998200090602
M4-summary,53,m4-user-3,user,3,no_refresh,0,,,False,False,False,wrong_call,1,0,126,435,44,4.136998200090602
M4,53,m4-doc-4,document,4,reactive_jit,1,search_document,search_document,True,True,True,,1,0,61,195,22,2.025150200119242
M4,53,m4-doc-4,document,4,reactive_jit,2,read_document,read_document,True,True,True,,1,1,125,450,45,4.236908999970183
M4,53,m4-doc-4,document,4,reactive_jit,3,export_document,export_document,True,True,True,,1,2,202,782,74,7.2890250000637025
M4,53,m4-doc-4,document,4,reactive_jit,4,create_report,create_report,True,True,True,,1,3,278,1179,107,11.056702600093558
M4-summary,53,m4-doc-4,document,4,reactive_jit,0,,,True,True,True,,1,3,278,1179,107,11.056702600093558
M4,53,m4-doc-4,document,4,eager_required,1,search_document,search_document,True,True,True,,4,0,278,412,80,8.348127200035378
M4,53,m4-doc-4,document,4,eager_required,2,read_document,create_report,False,False,True,,4,0,556,940,111,12.545706100063398
M4-summary,53,m4-doc-4,document,4,eager_required,0,,,False,False,False,wrong_call,4,0,556,940,111,12.545706100063398
M4,53,m4-doc-4,document,4,no_refresh,1,search_document,search_document,True,True,True,,1,0,61,195,22,2.014196899952367
M4,53,m4-doc-4,document,4,no_refresh,2,read_document,export_document_as_pdf,False,False,False,unknown_tool,1,0,122,447,47,4.376808300148696
M4-summary,53,m4-doc-4,document,4,no_refresh,0,,,False,False,False,wrong_call,1,0,122,447,47,4.376808300148696
M4,53,m4-repo-5,repository,5,reactive_jit,1,search_repository,search_repository,True,True,True,,1,0,62,200,21,1.9472161999437958
M4,53,m4-repo-5,repository,5,reactive_jit,2,get_repository,create_issue,False,False,False,tool_not_disclosed,1,1,123,454,62,5.637659099884331
M4-summary,53,m4-repo-5,repository,5,reactive_jit,0,,,False,False,False,wrong_call,1,1,123,454,62,5.637659099884331
M4,53,m4-repo-5,repository,5,eager_required,1,search_repository,get_repository,False,False,True,,5,0,356,494,80,8.98586850007996
M4-summary,53,m4-repo-5,repository,5,eager_required,0,,,False,False,False,wrong_call,5,0,356,494,80,8.98586850007996
M4,53,m4-repo-5,repository,5,no_refresh,1,search_repository,search_repository,True,True,True,,1,0,62,200,21,1.945872499840334
M4,53,m4-repo-5,repository,5,no_refresh,2,get_repository,create_issue,False,False,False,tool_not_disclosed,1,0,124,455,62,5.652737999800593
M4-summary,53,m4-repo-5,repository,5,no_refresh,0,,,False,False,False,wrong_call,1,0,124,455,62,5.652737999800593
M4,71,m4-user-3,user,3,reactive_jit,1,search_user,search_user,True,True,True,,1,0,63,189,22,1.9914336001966149
M4,71,m4-user-3,user,3,reactive_jit,2,validate_user,validate_user,True,True,True,,1,1,129,438,45,4.208113400032744
M4,71,m4-user-3,user,3,reactive_jit,3,update_user,update_user,True,True,True,,1,2,206,753,75,7.279990400187671
M4-summary,71,m4-user-3,user,3,reactive_jit,0,,,True,True,True,,1,2,206,753,75,7.279990400187671
M4,71,m4-user-3,user,3,eager_required,1,search_user,search_user,True,True,True,,3,0,206,332,75,7.189216600032523
M4,71,m4-user-3,user,3,eager_required,2,validate_user,update_user,False,False,True,,3,0,412,774,105,10.827448999974877
M4-summary,71,m4-user-3,user,3,eager_required,0,,,False,False,False,wrong_call,3,0,412,774,105,10.827448999974877
M4,71,m4-user-3,user,3,no_refresh,1,search_user,search_user,True,True,True,,1,0,63,189,22,1.9869866999797523
M4,71,m4-user-3,user,3,no_refresh,2,validate_user,validate_account,False,False,False,unknown_tool,1,0,126,435,45,4.179892800049856
M4-summary,71,m4-user-3,user,3,no_refresh,0,,,False,False,False,wrong_call,1,0,126,435,45,4.179892800049856
M4,71,m4-doc-4,document,4,reactive_jit,1,search_document,search_document,True,True,True,,1,0,61,195,22,2.0264830000232905
M4,71,m4-doc-4,document,4,reactive_jit,2,read_document,read_document,True,True,True,,1,1,125,450,45,4.2433274001814425
M4,71,m4-doc-4,document,4,reactive_jit,3,export_document,export_document,True,True,True,,1,2,202,782,74,7.289954800158739
M4,71,m4-doc-4,document,4,reactive_jit,4,create_report,create_report,True,True,True,,1,3,278,1179,107,11.050006500212476
M4-summary,71,m4-doc-4,document,4,reactive_jit,0,,,True,True,True,,1,3,278,1179,107,11.050006500212476
M4,71,m4-doc-4,document,4,eager_required,1,search_document,search_document,True,True,True,,4,0,278,412,22,2.7812309998553246
M4,71,m4-doc-4,document,4,eager_required,2,read_document,read_document,True,True,True,,4,0,556,881,45,5.819463899824768
M4,71,m4-doc-4,document,4,eager_required,3,export_document,export_document,True,True,True,,4,0,834,1414,74,9.832725099753588
M4,71,m4-doc-4,document,4,eager_required,4,create_report,create_report,True,True,True,,4,0,1112,2013,107,14.475796999875456
M4-summary,71,m4-doc-4,document,4,eager_required,0,,,True,True,True,,4,0,1112,2013,107,14.475796999875456
M4,71,m4-doc-4,document,4,no_refresh,1,search_document,search_document,True,True,True,,1,0,61,195,22,2.0033788001164794
M4,71,m4-doc-4,document,4,no_refresh,2,read_document,export_document_as_pdf,False,False,False,unknown_tool,1,0,122,447,47,4.3994223000481725
M4-summary,71,m4-doc-4,document,4,no_refresh,0,,,False,False,False,wrong_call,1,0,122,447,47,4.3994223000481725
M4,71,m4-repo-5,repository,5,reactive_jit,1,search_repository,search_repository,True,True,True,,1,0,62,200,21,1.9481880001258105
M4,71,m4-repo-5,repository,5,reactive_jit,2,get_repository,create_issue,False,False,False,tool_not_disclosed,1,1,123,454,66,5.987308700103313
M4-summary,71,m4-repo-5,repository,5,reactive_jit,0,,,False,False,False,wrong_call,1,1,123,454,66,5.987308700103313
M4,71,m4-repo-5,repository,5,eager_required,1,search_repository,search_repository,True,True,True,,5,0,356,494,80,8.967558000003919
M4,71,m4-repo-5,repository,5,eager_required,2,get_repository,update_issue,False,False,True,,5,0,712,1103,108,13.10034399991855
M4-summary,71,m4-repo-5,repository,5,eager_required,0,,,False,False,False,wrong_call,5,0,712,1103,108,13.10034399991855
M4,71,m4-repo-5,repository,5,no_refresh,1,search_repository,search_repository,True,True,True,,1,0,62,200,21,1.9511057999916375
M4,71,m4-repo-5,repository,5,no_refresh,2,get_repository,create_issue,False,False,False,tool_not_disclosed,1,0,124,455,64,5.834074200130999
M4-summary,71,m4-repo-5,repository,5,no_refresh,0,,,False,False,False,wrong_call,1,0,124,455,64,5.834074200130999
