milestone,seed,task_id,family,condition,target_tool,generated_tool,parse_valid,tool_correct,arguments_correct,end_to_end_success,generated_text,prompt_tokens,generated_tokens,generation_seconds,disclosed_tools,tool_definition_tokens
M2,37,m2-document,document,empty,read_document,,False,False,False,False,Read document d42.,26,7,0.5830079999286681,0,0
M2,37,m2-document,document,eager,read_document,read_document,True,True,True,True,"<tool_call>\n{""name"": ""read_document"", ""arguments"": {""document_id"": ""d42""}}\n</tool_call>",1343,23,7.385947100119665,18,1235
M2,37,m2-repository,repository,selected,get_repository,get_repository,True,True,True,True,"<tool_call>\n{""name"": ""get_repository"", ""arguments"": {""repository_id"": ""repo9""}}\n</tool_call>",168,22,1.9142879000864923,1,61
M2,37,m2-repository,repository,oracle,get_repository,get_repository,True,True,True,True,"<tool_call>\n{""name"": ""get_repository"", ""arguments"": {""repository_id"": ""repo9""}}\n</tool_call>",168,22,1.921563200186938,1,61
M2,37,m2-repository,repository,shuffled,get_repository,search_repository,True,False,False,False,"<tool_call>\n{""name"": ""search_repository"", ""arguments"": {""name"": ""repo9""}}\n</tool_call>",169,21,1.836803900077939,1,62
M2,37,m2-repository,repository,irrelevant,get_repository,validate_user,True,False,False,False,"<tool_call>\n{""name"": ""validate_user"", ""arguments"": {""user_id"": ""repo9""}}\n</tool_call>",173,22,1.9126816999632865,1,66
M2,37,m2-repository,repository,empty,get_repository,,False,False,False,False,Retrieve repository repo9.,25,6,0.5074686999432743,0,0
M2,37,m2-repository,repository,eager,get_repository,get_repository,True,True,True,True,"<tool_call>\n{""name"": ""get_repository"", ""arguments"": {""repository_id"": ""repo9""}}\n</tool_call>",1342,22,7.2147832999471575,18,1235
M2,37,m2-export,document,selected,export_document,export_document,True,True,True,True,"<tool_call>\n{""name"": ""export_document"", ""arguments"": {""document_id"": ""d42"", ""format"": ""pdf""}}\n</tool_call>",187,29,2.482344400137663,1,77
M2,37,m2-export,document,oracle,export_document,export_document,True,True,True,True,"<tool_call>\n{""name"": ""export_document"", ""arguments"": {""document_id"": ""d42"", ""format"": ""pdf""}}\n</tool_call>",187,29,2.4834811999462545,1,77
M2,37,m2-export,document,shuffled,export_document,search_document,True,False,False,False,"<tool_call>\n{""name"": ""search_document"", ""arguments"": {""title"": ""d42""}}\n</tool_call>",171,22,1.9465903998352587,1,61
M2,37,m2-export,document,irrelevant,export_document,validate_user,True,False,False,False,"<tool_call>\n{""name"": ""validate_user"", ""arguments"": {""user_id"": ""d42""}}\n</tool_call>",176,23,1.9927455000579357,1,66
M2,37,m2-export,document,empty,export_document,,False,False,False,False,Export document d42 as pdf.,28,9,0.7355360998772085,0,0
M2,37,m2-export,document,eager,export_document,export_document,True,True,True,True,"<tool_call>\n{""name"": ""export_document"", ""arguments"": {""document_id"": ""d42"", ""format"": ""pdf""}}\n</tool_call>",1345,29,8.472463299985975,18,1235
M2,53,m2-user,user,selected,get_user,get_user,True,True,True,True,"<tool_call>\n{""name"": ""get_user"", ""arguments"": {""user_id"": ""u17""}}\n</tool_call>",174,23,2.016861699987203,1,65
M2,53,m2-user,user,oracle,get_user,get_user,True,True,True,True,"<tool_call>\n{""name"": ""get_user"", ""arguments"": {""user_id"": ""u17""}}\n</tool_call>",174,23,1.9867919001262635,1,65
M2,53,m2-user,user,shuffled,get_user,delete_user,True,False,False,False,"<tool_call>\n{""name"": ""delete_user"", ""arguments"": {""user_id"": ""u17""}}\n</tool_call>",174,23,1.9942473000846803,1,65
M2,53,m2-user,user,irrelevant,get_user,get_repository,True,False,False,False,"<tool_call>\n{""name"": ""get_repository"", ""arguments"": {""repository_id"": ""u17""}}\n</tool_call>",170,23,2.0140995997935534,1,61
M2,53,m2-user,user,empty,get_user,,False,False,False,False,The correct available function is `retrieve_user(u17)`.,27,14,1.1149806999601424,0,0
M2,53,m2-user,user,eager,get_user,get_user,True,True,True,True,"<tool_call>\n{""name"": ""get_user"", ""arguments"": {""user_id"": ""u17""}}\n</tool_call>",1344,23,7.394059700192884,18,1235
M2,53,m2-document,document,selected,read_document,read_document,True,True,True,True,"<tool_call>\n{""name"": ""read_document"", ""arguments"": {""document_id"": ""d42""}}\n</tool_call>",173,23,1.9936682998668402,1,64
M2,53,m2-document,document,oracle,read_document,read_document,True,True,True,True,"<tool_call>\n{""name"": ""read_document"", ""arguments"": {""document_id"": ""d42""}}\n</tool_call>",173,23,1.9976751999929547,1,64
M2,53,m2-document,document,shuffled,read_document,extract_metadata,True,False,False,False,"<tool_call>\n{""name"": ""extract_metadata"", ""arguments"": {""document_id"": ""d42""}}\n</tool_call>",172,23,2.0046492000110447,1,63
M2,53,m2-document,document,irrelevant,read_document,,False,False,False,False,The correct available function is `get_repository`. Please provide the repository ID to proceed.,170,18,1.6160323000513017,1,61
M2,53,m2-document,document,empty,read_document,,False,False,False,False,The correct available function is `read_document(d42)`.,27,14,1.1104298001155257,0,0
M2,53,m2-document,document,eager,read_document,read_document,True,True,True,True,"<tool_call>\n{""name"": ""read_document"", ""arguments"": {""document_id"": ""d42""}}\n</tool_call>",1344,23,7.440047200070694,18,1235
M2,53,m2-repository,repository,selected,get_repository,get_repository,True,True,True,True,"<tool_call>\n{""name"": ""get_repository"", ""arguments"": {""repository_id"": ""repo9""}}\n</tool_call>",169,22,1.916806299937889,1,61
M2,53,m2-repository,repository,oracle,get_repository,get_repository,True,True,True,True,"<tool_call>\n{""name"": ""get_repository"", ""arguments"": {""repository_id"": ""repo9""}}\n</tool_call>",169,22,1.9250913998112082,1,61
M2,53,m2-repository,repository,shuffled,get_repository,search_repository,True,False,False,False,"<tool_call>\n{""name"": ""search_repository"", ""arguments"": {""name"": ""repo9""}}\n</tool_call>",170,21,1.8339587999507785,1,62
M2,53,m2-repository,repository,irrelevant,get_repository,search_repository,True,False,False,False,"<tool_call>\n{""name"": ""search_repository"", ""arguments"": {""name"": ""repo9""}}\n</tool_call>",170,21,1.8354072999209166,1,62
M2,53,m2-repository,repository,empty,get_repository,,False,False,False,False,The correct available function is `repo9`.,26,10,0.8062995001673698,0,0
M2,53,m2-repository,repository,eager,get_repository,get_repository,True,True,True,True,"<tool_call>\n{""name"": ""get_repository"", ""arguments"": {""repository_id"": ""repo9""}}\n</tool_call>",1343,22,7.214594500139356,18,1235
M2,53,m2-export,document,selected,export_document,export_document,True,True,True,True,"<tool_call>\n{""name"": ""export_document"", ""arguments"": {""document_id"": ""d42"", ""format"": ""pdf""}}\n</tool_call>",188,29,2.5032520999666303,1,77
M2,53,m2-export,document,oracle,export_document,export_document,True,True,True,True,"<tool_call>\n{""name"": ""export_document"", ""arguments"": {""document_id"": ""d42"", ""format"": ""pdf""}}\n</tool_call>",188,29,2.486146799987182,1,77
M2,53,m2-export,document,shuffled,export_document,read_document,True,False,False,False,"<tool_call>\n{""name"": ""read_document"", ""arguments"": {""document_id"": ""d42""}}\n</tool_call>",175,23,1.9998373999260366,1,64
M2,53,m2-export,document,irrelevant,export_document,,False,False,False,False,"The function to export the document as PDF is `get_repository`. However, the provided function `get_repository` is designed to retrieve repository details, not to export documents. Since the task involves exporting a document, there is no available function to perform this action. Please check the available functions to ensure the correct one is used.",172,66,5.306090199854225,1,61
M2,53,m2-export,document,empty,export_document,,False,False,False,False,"The correct function to call is `ExportDocument(d42, ""pdf"")`.",29,18,1.427190100075677,0,0
M2,53,m2-export,document,eager,export_document,export_document,True,True,True,True,"<tool_call>\n{""name"": ""export_document"", ""arguments"": {""document_id"": ""d42"", ""format"": ""pdf""}}\n</tool_call>",1346,29,8.47910870006308,18,1235
M2,71,m2-user,user,selected,get_user,get_user,True,True,True,True,"<tool_call>\n{""name"": ""get_user"", ""arguments"": {""user_id"": ""u17""}}\n</tool_call>",174,23,1.9957304999697953,1,65
M2,71,m2-user,user,oracle,get_user,get_user,True,True,True,True,"<tool_call>\n{""name"": ""get_user"", ""arguments"": {""user_id"": ""u17""}}\n</tool_call>",174,23,1.9913973999209702,1,65
M2,71,m2-user,user,shuffled,get_user,update_user,True,False,False,False,"<tool_call>\n{""name"": ""update_user"", ""arguments"": {""user_id"": ""u17"", ""status"": ""active""}}\n</tool_call>",186,29,2.4868143999483436,1,77
M2,71,m2-user,user,irrelevant,get_user,notify_user,True,False,False,False,"<tool_call>\n{""name"": ""notify_user"", ""arguments"": {""user_id"": ""u17"", ""message"": ""User u17 has been successfully updated.""}}\n</tool_call>",186,37,3.0916357000824064,1,77
M2,71,m2-user,user,empty,get_user,,False,False,False,False,"```json\n{\n  ""tool_call"": {\n    ""user"": ""u17"",\n    ""action"": ""retrieve_user""\n  }\n}\n```",27,32,2.416759799933061,0,0
M2,71,m2-user,user,eager,get_user,get_user,True,True,True,True,"<tool_call>\n{""name"": ""get_user"", ""arguments"": {""user_id"": ""u17""}}\n</tool_call>",1344,23,7.39324240013957,18,1235
M2,71,m2-document,document,selected,read_document,read_document,True,True,True,True,"<tool_call>\n{""name"": ""read_document"", ""arguments"": {""document_id"": ""d42""}}\n</tool_call>",173,23,2.0074257000815123,1,64
M2,71,m2-document,document,oracle,read_document,read_document,True,True,True,True,"<tool_call>\n{""name"": ""read_document"", ""arguments"": {""document_id"": ""d42""}}\n</tool_call>",173,23,1.9954548000823706,1,64
M2,71,m2-document,document,shuffled,read_document,update_document,True,False,False,False,"<tool_call>\n{""name"": ""update_document"", ""arguments"": {""document_id"": ""d42"", ""title"": ""Read document d42.""}}\n</tool_call>",183,34,2.859912399901077,1,74
M2,71,m2-document,document,irrelevant,read_document,update_user,True,False,False,False,"<tool_call>\n{""name"": ""update_user"", ""arguments"": {""user_id"": ""d42"", ""status"": ""active""}}\n</tool_call>",186,29,2.4879234998952597,1,77
M2,71,m2-document,document,empty,read_document,,False,False,False,False,"```json\n{\n  ""tool_call"": {\n    ""document"": ""d42""\n  }\n}\n```",27,24,1.8328918998595327,0,0
M2,71,m2-document,document,eager,read_document,read_document,True,True,True,True,"<tool_call>\n{""name"": ""read_document"", ""arguments"": {""document_id"": ""d42""}}\n</tool_call>",1344,23,7.393139400053769,18,1235
M2,71,m2-repository,repository,selected,get_repository,get_repository,True,True,True,True,"<tool_call>\n{""name"": ""get_repository"", ""arguments"": {""repository_id"": ""repo9""}}\n</tool_call>",169,22,1.9110784998629242,1,61
M2,71,m2-repository,repository,oracle,get_repository,get_repository,True,True,True,True,"<tool_call>\n{""name"": ""get_repository"", ""arguments"": {""repository_id"": ""repo9""}}\n</tool_call>",169,22,1.9131692999508232,1,61
M2,71,m2-repository,repository,shuffled,get_repository,search_repository,True,False,False,False,"<tool_call>\n{""name"": ""search_repository"", ""arguments"": {""name"": ""repo9""}}\n</tool_call>",170,21,1.8475426000077277,1,62
M2,71,m2-repository,repository,irrelevant,get_repository,update_user,True,False,False,False,"<tool_call>\n{""name"": ""update_user"", ""arguments"": {""user_id"": ""repo9"", ""status"": ""active""}}\n</tool_call>",185,28,2.4026589998975396,1,77
M2,71,m2-repository,repository,empty,get_repository,,False,False,False,False,"```json\n{\n  ""tool_call"": {\n    ""name"": ""retrieve_repository"",\n    ""arguments"": {\n      ""repository"": ""repo9""\n    }\n  }\n}\n```",26,38,2.90433910000138,0,0
M2,71,m2-repository,repository,eager,get_repository,search_repository,True,False,False,False,"<tool_call>\n{""name"": ""search_repository"", ""arguments"": {""name"": ""repo9""}}\n</tool_call>",1343,21,7.0394472000189126,18,1235
M2,71,m2-export,document,selected,export_document,export_document,True,True,True,True,"<tool_call>\n{""name"": ""export_document"", ""arguments"": {""document_id"": ""d42"", ""format"": ""pdf""}}\n</tool_call>",188,29,2.4986744998022914,1,77
M2,71,m2-export,document,oracle,export_document,export_document,True,True,True,True,"<tool_call>\n{""name"": ""export_document"", ""arguments"": {""document_id"": ""d42"", ""format"": ""pdf""}}\n</tool_call>",188,29,2.4741952000185847,1,77
M2,71,m2-export,document,shuffled,export_document,extract_metadata,True,False,False,False,"<tool_call>\n{""name"": ""extract_metadata"", ""arguments"": {""document_id"": ""d42""}}\n</tool_call>",174,23,1.9830646999180317,1,63
M2,71,m2-export,document,irrelevant,export_document,,False,False,False,False,None of the provided functions can be used to export a document as a PDF.,188,17,1.5627395999617875,1,77
M2,71,m2-export,document,empty,export_document,,False,False,False,False,"```json\n{\n  ""tool_call"": {\n    ""name"": ""export_document_to_pdf"",\n    ""arguments"": {\n      ""document"": ""d42""\n    }\n  }\n}\n```",29,41,3.1273603001609445,0,0
M2,71,m2-export,document,eager,export_document,export_document,True,True,True,True,"<tool_call>\n{""name"": ""export_document"", ""arguments"": {""document_id"": ""d42"", ""format"": ""pdf""}}\n</tool_call>",1346,29,8.47374269994907,18,1235
