answer_correct,case_id,condition,constraint_violation,expected_token_id,expected_token_rank,format_compliant,generated_text,generation_seconds,protocol,required_evidence_use,scope,decode_calls_with_memory,decode_lifetime_pass,duplication_ratio,layer_count,layers,merged_interval_count,overlap_removed_tokens,query_position_offset,raw_interval_count,raw_selected_tokens,selected_reference_count,target_span_tokens,unique_native_tokens
0,resumption-medium-s53,NATIVE_FULL_SESSION,1,11692,1,1,"ANSWER= ANSWER=verification_code=verification_code=zenithiltonity

#violet",9.126721899956465,paper8-native-bug-ablation-v2,0.0,native,588,1,1.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",8,0,54,8,365,8,full,365
0,resumption-medium-s53,NATIVE_FULL_TASK_SCOPE,0,11692,1,1,ANSWER= 10,2.5979348002001643,paper8-native-bug-ablation-v2,0.0,native,196,1,1.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,0,36,1,36,1,full,36
0,conflicting_state-medium-s71,VISIBLE_FULL_SESSION,1,11692,1,1,ANSWER=amber,1.5867763001006097,paper8-native-bug-ablation-v2,0.0,visible,,,,,,,,,,,,,
1,conflicting_state-medium-s71,VISIBLE_FULL_TASK_SCOPE,0,11692,1,1,ANSWER=ember,0.9166850000619888,paper8-native-bug-ablation-v2,1.0,visible,,,,,,,,,,,,,
0,conflicting_state-medium-s71,NATIVE_FULL_SESSION,1,11692,1,1,"ANSWER= ANSWER=verification_code=amber

The authoritative verification_code=amber",8.108627000125125,paper8-native-bug-ablation-v2,0.0,native,504,1,1.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",8,0,55,8,367,8,full,367
1,conflicting_state-medium-s71,NATIVE_FULL_TASK_SCOPE,0,11692,1,1,ANSWER= ember,1.606243300018832,paper8-native-bug-ablation-v2,1.0,native,140,1,1.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,0,41,1,41,1,full,41
1,independent_parallel-high-s11,VISIBLE_FULL_SESSION,0,11692,1,1,ANSWER=grove,1.6788256999570876,paper8-native-bug-ablation-v2,1.0,visible,,,,,,,,,,,,,
1,independent_parallel-high-s11,VISIBLE_FULL_TASK_SCOPE,0,11692,1,1,ANSWER=grove,1.0024011000059545,paper8-native-bug-ablation-v2,1.0,visible,,,,,,,,,,,,,
0,independent_parallel-high-s11,NATIVE_FULL_SESSION,1,11692,1,1,"ANSWER= ANSWER=verification_code=verification_code=beacon=gr=beacon

```gve
",11.029323399998248,paper8-native-bug-ablation-v2,0.0,native,672,1,1.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",8,0,56,8,379,8,full,379
1,independent_parallel-high-s11,NATIVE_FULL_TASK_SCOPE,0,11692,1,1,ANSWER= groveve,2.076100399950519,paper8-native-bug-ablation-v2,1.0,native,196,1,1.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,0,56,1,56,1,full,56
0,linear_dependency-high-s23,VISIBLE_FULL_SESSION,1,11692,1,1,ANSWER=+lilac +north +amber +birch +cobalt +delta,4.462907999986783,paper8-native-bug-ablation-v2,0.5,visible,,,,,,,,,,,,,
1,linear_dependency-high-s23,VISIBLE_FULL_TASK_SCOPE,0,11692,1,1,ANSWER=+delta+ember,1.73182149999775,paper8-native-bug-ablation-v2,1.0,visible,,,,,,,,,,,,,
0,linear_dependency-high-s23,NATIVE_FULL_SESSION,0,11692,7,1,"</think>

ANSWER=+ t7+task=t7. resolve_acme=Acme=Acme=Ac",10.857685399940237,paper8-native-bug-ablation-v2,0.0,native,672,1,1.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",8,0,56,8,380,8,full,380
1,linear_dependency-high-s23,NATIVE_FULL_TASK_SCOPE,0,11692,1,1,ANSWER= + ember delta,2.3495980999432504,paper8-native-bug-ablation-v2,1.0,native,196,1,1.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",2,0,55,2,98,2,full,98
0,join-high-s37,VISIBLE_FULL_SESSION,1,11692,1,1,ANSWER=+saffron+onyx+pearl+river+quartz,4.023914100136608,paper8-native-bug-ablation-v2,1.0,visible,,,,,,,,,,,,,
0,join-high-s37,VISIBLE_FULL_TASK_SCOPE,1,11692,1,1,ANSWER=+river+saffron,1.7580436000134796,paper8-native-bug-ablation-v2,0.3333333333333333,visible,,,,,,,,,,,,,
0,join-high-s37,NATIVE_FULL_SESSION,1,11692,9,1,"</think>

ANSWER=+task=t7+map maple+supers=maple+supers=verification_code",11.500629599904642,paper8-native-bug-ablation-v2,0.0,native,672,1,1.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",8,0,58,8,380,8,full,380
0,join-high-s37,NATIVE_FULL_TASK_SCOPE,0,11692,1,1,ANSWER= Resolve AcmeceMe: verification code: verification code: +qu: verification code: pearl + quartz,8.421190900029615,paper8-native-bug-ablation-v2,0.6666666666666666,native,672,1,1.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",4,0,58,4,188,4,full,188
1,resumption-high-s53,VISIBLE_FULL_SESSION,0,11692,1,1,ANSWER=beacon,1.5300939998123795,paper8-native-bug-ablation-v2,1.0,visible,,,,,,,,,,,,,
1,resumption-high-s53,VISIBLE_FULL_TASK_SCOPE,0,11692,1,1,ANSWER=beacon,1.12184639996849,paper8-native-bug-ablation-v2,1.0,visible,,,,,,,,,,,,,
0,resumption-high-s53,NATIVE_FULL_SESSION,1,11692,1,1,"ANSWER= ANSWER=verification_code=beacon=iris=iris

The authoritative_verification code=beaconey",10.456892400048673,paper8-native-bug-ablation-v2,1.0,native,672,1,1.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",8,0,56,8,381,8,full,381
1,resumption-high-s53,NATIVE_FULL_TASK_SCOPE,0,11692,1,1,ANSWER= beacon,1.6836058001499623,paper8-native-bug-ablation-v2,1.0,native,140,1,1.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,0,38,1,38,1,full,38
0,conflicting_state-high-s71,VISIBLE_FULL_SESSION,1,11692,1,1,ANSWER=indigo,1.5659377998672426,paper8-native-bug-ablation-v2,0.0,visible,,,,,,,,,,,,,
1,conflicting_state-high-s71,VISIBLE_FULL_TASK_SCOPE,0,11692,1,1,ANSWER=linen,1.1585917000193149,paper8-native-bug-ablation-v2,1.0,visible,,,,,,,,,,,,,
0,conflicting_state-high-s71,NATIVE_FULL_SESSION,1,11692,2,1,"</think>

ANSWER=task= ANSW=granite
granite",6.632381899980828,paper8-native-bug-ablation-v2,0.0,native,420,1,1.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",8,0,55,8,368,8,full,368
1,conflicting_state-high-s71,NATIVE_FULL_TASK_SCOPE,0,11692,1,1,ANSWER= linen,1.5881376001052558,paper8-native-bug-ablation-v2,1.0,native,140,1,1.0,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1,0,41,1,41,1,full,41
