condition,reference_tokens,query_tokens,query_position_offset,max_logit_error,mean_logit_error,visible_expected_rank,native_expected_rank,top_token_equal,layer,token_ids_hash,k_hash,v_hash,k_shape,v_shape,kv_heads,positions,max_k_error,mean_k_error,max_v_error,mean_v_error
KV_IDENTITY,,,,,,,,,11,399b481b1d9facd5,1baadcbfd5320e19,3b343ac19a9ec961,"[1, 8, 7, 128]","[1, 8, 7, 128]",8,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,0.0,0.0,0.0
KV_IDENTITY,,,,,,,,,12,399b481b1d9facd5,f5ed324965b3205d,3a0d9658acc1c8f5,"[1, 8, 7, 128]","[1, 8, 7, 128]",8,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,0.0,0.0,0.0
KV_IDENTITY,,,,,,,,,13,399b481b1d9facd5,d6d7218d9def8d02,84bfdacb5249fc80,"[1, 8, 7, 128]","[1, 8, 7, 128]",8,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,0.0,0.0,0.0
KV_IDENTITY,,,,,,,,,14,399b481b1d9facd5,65faa33ab145c20b,ea4119da2afafcfa,"[1, 8, 7, 128]","[1, 8, 7, 128]",8,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,0.0,0.0,0.0
KV_IDENTITY,,,,,,,,,15,399b481b1d9facd5,c556b9a192d1a754,6178bc0eeba75eac,"[1, 8, 7, 128]","[1, 8, 7, 128]",8,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,0.0,0.0,0.0
KV_IDENTITY,,,,,,,,,16,399b481b1d9facd5,596d7c6ab5d41170,eeb79635ce2a6f2f,"[1, 8, 7, 128]","[1, 8, 7, 128]",8,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,0.0,0.0,0.0
KV_IDENTITY,,,,,,,,,17,399b481b1d9facd5,4e648dabf27e0d63,d7e4c5ad3e1a363f,"[1, 8, 7, 128]","[1, 8, 7, 128]",8,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,0.0,0.0,0.0
KV_IDENTITY,,,,,,,,,18,399b481b1d9facd5,d10fe4fed60403aa,4338249415c4d929,"[1, 8, 7, 128]","[1, 8, 7, 128]",8,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,0.0,0.0,0.0
KV_IDENTITY,,,,,,,,,19,399b481b1d9facd5,f4c40574e64217a0,bdab0a9fc0632ea1,"[1, 8, 7, 128]","[1, 8, 7, 128]",8,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,0.0,0.0,0.0
KV_IDENTITY,,,,,,,,,20,399b481b1d9facd5,91a9920da413396b,2d493cc4e5e0799e,"[1, 8, 7, 128]","[1, 8, 7, 128]",8,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,0.0,0.0,0.0
KV_IDENTITY,,,,,,,,,21,399b481b1d9facd5,6e2a1756eaaccf38,bb3aa4715a4b1792,"[1, 8, 7, 128]","[1, 8, 7, 128]",8,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,0.0,0.0,0.0
KV_IDENTITY,,,,,,,,,22,399b481b1d9facd5,b6111ae0eabceeed,2c9f7c5b5bcc5941,"[1, 8, 7, 128]","[1, 8, 7, 128]",8,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,0.0,0.0,0.0
KV_IDENTITY,,,,,,,,,23,399b481b1d9facd5,7bcd6197ca7f89d0,14ebab05828685de,"[1, 8, 7, 128]","[1, 8, 7, 128]",8,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,0.0,0.0,0.0
KV_IDENTITY,,,,,,,,,24,399b481b1d9facd5,2bcc0c69b43d36de,748f220772a3bf44,"[1, 8, 7, 128]","[1, 8, 7, 128]",8,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,0.0,0.0,0.0
KV_IDENTITY,,,,,,,,,25,399b481b1d9facd5,32e50251413801da,420f3faaa595ebaf,"[1, 8, 7, 128]","[1, 8, 7, 128]",8,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,0.0,0.0,0.0
KV_IDENTITY,,,,,,,,,26,399b481b1d9facd5,db3356b34d595931,a21a9b2225995265,"[1, 8, 7, 128]","[1, 8, 7, 128]",8,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,0.0,0.0,0.0
KV_IDENTITY,,,,,,,,,27,399b481b1d9facd5,cf595ec9a95608ea,c453b130879f8dc5,"[1, 8, 7, 128]","[1, 8, 7, 128]",8,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,0.0,0.0,0.0
