case_id,downstream_record_recall,edge_f1,edge_precision,edge_recall,family,generated_tokens,generation_seconds,mode,model,model_calls,not_applicable_mutation,parse_failure,protocol,response,revision,seed,task_count_error,task_precision,task_recall,validation_failure,schema_placeholder_repaired
parallel-n4-r3-s53,1.0,1.0,1.0,1.0,parallel,0,0.0,hybrid,Qwen/Qwen3-0.6B,2,1,0,paper8-task-management-roadmap-v1,,c1899de289a04d12100db370d81485cdf75e47ca,53,0,1.0,1.0,0,
parallel-n4-r3-s71,1.0,1.0,1.0,1.0,parallel,0,0.0,hybrid,Qwen/Qwen3-0.6B,2,1,0,paper8-task-management-roadmap-v1,,c1899de289a04d12100db370d81485cdf75e47ca,71,0,1.0,1.0,0,
fork-n4-r3-s11,1.0,1.0,1.0,1.0,fork,39,6.6788585998583585,hybrid,Qwen/Qwen3-0.6B,2,,0,paper8-task-management-roadmap-v1,"{
  ""operations"": [
    {
      ""action"": ""link"",
      ""task_id"": ""t3"",
      ""depends_on"": [""t0""]
    }
  ]
}",c1899de289a04d12100db370d81485cdf75e47ca,11,0,1.0,1.0,0,0
fork-n4-r3-s23,1.0,1.0,1.0,1.0,fork,39,6.159864099929109,hybrid,Qwen/Qwen3-0.6B,2,,0,paper8-task-management-roadmap-v1,"{
  ""operations"": [
    {
      ""action"": ""link"",
      ""task_id"": ""t3"",
      ""depends_on"": [""t0""]
    }
  ]
}",c1899de289a04d12100db370d81485cdf75e47ca,23,0,1.0,1.0,0,0
fork-n4-r3-s37,1.0,1.0,1.0,1.0,fork,39,6.386057799914852,hybrid,Qwen/Qwen3-0.6B,2,,0,paper8-task-management-roadmap-v1,"{
  ""operations"": [
    {
      ""action"": ""link"",
      ""task_id"": ""t3"",
      ""depends_on"": [""t0""]
    }
  ]
}",c1899de289a04d12100db370d81485cdf75e47ca,37,0,1.0,1.0,0,0
fork-n4-r3-s53,1.0,1.0,1.0,1.0,fork,39,6.931662400020286,hybrid,Qwen/Qwen3-0.6B,2,,0,paper8-task-management-roadmap-v1,"{
  ""operations"": [
    {
      ""action"": ""link"",
      ""task_id"": ""t3"",
      ""depends_on"": [""t0""]
    }
  ]
}",c1899de289a04d12100db370d81485cdf75e47ca,53,0,1.0,1.0,0,0
fork-n4-r3-s71,1.0,1.0,1.0,1.0,fork,39,6.620086699957028,hybrid,Qwen/Qwen3-0.6B,2,,0,paper8-task-management-roadmap-v1,"{
  ""operations"": [
    {
      ""action"": ""link"",
      ""task_id"": ""t3"",
      ""depends_on"": [""t0""]
    }
  ]
}",c1899de289a04d12100db370d81485cdf75e47ca,71,0,1.0,1.0,0,0
join-n4-r3-s11,1.0,1.0,1.0,1.0,join,39,6.527784000150859,hybrid,Qwen/Qwen3-0.6B,2,,0,paper8-task-management-roadmap-v1,"{
  ""operations"": [
    {
      ""action"": ""link"",
      ""task_id"": ""t3"",
      ""depends_on"": [""t2""]
    }
  ]
}",c1899de289a04d12100db370d81485cdf75e47ca,11,0,1.0,1.0,0,0
join-n4-r3-s23,1.0,1.0,1.0,1.0,join,39,6.692456200020388,hybrid,Qwen/Qwen3-0.6B,2,,0,paper8-task-management-roadmap-v1,"{
  ""operations"": [
    {
      ""action"": ""link"",
      ""task_id"": ""t3"",
      ""depends_on"": [""t2""]
    }
  ]
}",c1899de289a04d12100db370d81485cdf75e47ca,23,0,1.0,1.0,0,0
join-n4-r3-s37,1.0,1.0,1.0,1.0,join,39,6.718718699878082,hybrid,Qwen/Qwen3-0.6B,2,,0,paper8-task-management-roadmap-v1,"{
  ""operations"": [
    {
      ""action"": ""link"",
      ""task_id"": ""t3"",
      ""depends_on"": [""t2""]
    }
  ]
}",c1899de289a04d12100db370d81485cdf75e47ca,37,0,1.0,1.0,0,0
join-n4-r3-s53,1.0,1.0,1.0,1.0,join,39,6.654535700101405,hybrid,Qwen/Qwen3-0.6B,2,,0,paper8-task-management-roadmap-v1,"{
  ""operations"": [
    {
      ""action"": ""link"",
      ""task_id"": ""t3"",
      ""depends_on"": [""t2""]
    }
  ]
}",c1899de289a04d12100db370d81485cdf75e47ca,53,0,1.0,1.0,0,0
join-n4-r3-s71,1.0,1.0,1.0,1.0,join,39,6.700188399991021,hybrid,Qwen/Qwen3-0.6B,2,,0,paper8-task-management-roadmap-v1,"{
  ""operations"": [
    {
      ""action"": ""link"",
      ""task_id"": ""t3"",
      ""depends_on"": [""t2""]
    }
  ]
}",c1899de289a04d12100db370d81485cdf75e47ca,71,0,1.0,1.0,0,0
dag-n4-r3-s11,1.0,1.0,1.0,1.0,dag,39,6.55270060012117,hybrid,Qwen/Qwen3-0.6B,2,,0,paper8-task-management-roadmap-v1,"{
  ""operations"": [
    {
      ""action"": ""link"",
      ""task_id"": ""t3"",
      ""depends_on"": [""t2""]
    }
  ]
}",c1899de289a04d12100db370d81485cdf75e47ca,11,0,1.0,1.0,0,0
dag-n4-r3-s23,1.0,1.0,1.0,1.0,dag,39,7.1256977000739425,hybrid,Qwen/Qwen3-0.6B,2,,0,paper8-task-management-roadmap-v1,"{
  ""operations"": [
    {
      ""action"": ""link"",
      ""task_id"": ""t3"",
      ""depends_on"": [""t2""]
    }
  ]
}",c1899de289a04d12100db370d81485cdf75e47ca,23,0,1.0,1.0,0,0
dag-n4-r3-s37,1.0,1.0,1.0,1.0,dag,39,6.52121359994635,hybrid,Qwen/Qwen3-0.6B,2,,0,paper8-task-management-roadmap-v1,"{
  ""operations"": [
    {
      ""action"": ""link"",
      ""task_id"": ""t3"",
      ""depends_on"": [""t2""]
    }
  ]
}",c1899de289a04d12100db370d81485cdf75e47ca,37,0,1.0,1.0,0,0
dag-n4-r3-s53,1.0,1.0,1.0,1.0,dag,39,6.605435600038618,hybrid,Qwen/Qwen3-0.6B,2,,0,paper8-task-management-roadmap-v1,"{
  ""operations"": [
    {
      ""action"": ""link"",
      ""task_id"": ""t3"",
      ""depends_on"": [""t2""]
    }
  ]
}",c1899de289a04d12100db370d81485cdf75e47ca,53,0,1.0,1.0,0,0
dag-n4-r3-s71,1.0,1.0,1.0,1.0,dag,39,7.025395900011063,hybrid,Qwen/Qwen3-0.6B,2,,0,paper8-task-management-roadmap-v1,"{
  ""operations"": [
    {
      ""action"": ""link"",
      ""task_id"": ""t3"",
      ""depends_on"": [""t2""]
    }
  ]
}",c1899de289a04d12100db370d81485cdf75e47ca,71,0,1.0,1.0,0,0
