partition,dataset,example_id,seed,root_mode,root_parent,entry_facet,root_available,K_search,B_ceiling,B_label,theta_edge,theta_goal,max_hops,strategy,different_facet_goal,goal_triggered,goal_correct,false_goal,goal_precision,terminal_parent,terminal_facet,terminal_classification,terminal_text,question,path,path_depth,stop_reason,visited,visited_count,frontier_size,nodes_expanded,raw_proposals,edge_admitted_candidates,duplicate_proposals,cycles_prevented,peak_frontier,goal_tests,goal_comparisons,adjacency_lookup_comparisons,native_dot_products,oracle_parent,oracle_recall,oracle_precision,complete_oracle,later_oracle_recall,chain_complete,search_seconds,goal_test_seconds,cpu_dedup_seconds,root_routing_seconds,graph_index_build_seconds,total_routing_seconds,candidate_tensor_bytes,logical_reference_tokens,logical_parent_count,conceptual_active_parent_count,conceptual_active_parent_fraction,materialized_parent_count,materialized_native_kv_tokens,active_native_kv_fraction,native_kv_bytes,peak_active_parent_count,query_facet_count,query_support_tokens,cpu_reference_cache_bytes,adjacency_cache_bytes,goal_cache_bytes,routing_cache_bytes,h2d_transfer_bytes,h2d_transfer_seconds,prep_baseline_gpu_allocated_bytes,prep_peak_gpu_allocated_bytes,prep_peak_gpu_reserved_bytes,search_peak_gpu_allocated_bytes,search_peak_gpu_reserved_bytes,active_kv_tokens,generation_performed,tpot,theta_edge_label,theta_goal_label,condition_id,root_count_requested
validation,hotpotqa,5adc3aff5542996e685252eb,11,oracle,[2],"{""2"": 7}",1.0,11,,none,12.308167695999146,0.09909437894821181,4,best_first,False,0.0,0.0,0.0,,,,no_terminal,,What star in the film Up at the Villa has earned the title of knighthood?,[],,visited_budget,"[2, 3, 0, 4, 1]",5,4,2,8,4,4,1,4,4,72,8,23697424,"[2, 4]",1.0,0.4,1.0,1.0,1.0,0.0010017000022344291,0.0003269999288022518,6.699992809444666e-06,0.03345319995423779,0.5042230000253767,0.5386778999818489,112,1217,5,5,1.0,0,0,0.0,0,5,18,18,620984671,100,360,460,7763480,0.005010599968954921,5242880,77487616,90177536,0,0,0,False,,q25,q90,K11_Bnone_Eq25_Gq90_H4_best_first_goal_calibration,1
validation,hotpotqa,5adc3aff5542996e685252eb,11,oracle,[2],"{""2"": 7}",1.0,11,,none,12.308167695999146,0.17289698421955102,4,best_first,False,0.0,0.0,0.0,,,,no_terminal,,What star in the film Up at the Villa has earned the title of knighthood?,[],,visited_budget,"[2, 3, 0, 4, 1]",5,4,2,8,4,4,1,4,4,72,8,23697424,"[2, 4]",1.0,0.4,1.0,1.0,1.0,0.0011748999822884798,0.00038570002652704716,7.599999662488699e-06,0.03345319995423779,0.5042230000253767,0.538851099961903,112,1217,5,5,1.0,0,0,0.0,0,5,18,18,620984671,100,360,460,7763480,0.005010599968954921,5242880,77487616,90177536,0,0,0,False,,q25,q95,K11_Bnone_Eq25_Gq95_H4_best_first_goal_calibration,1
validation,hotpotqa,5adc3aff5542996e685252eb,11,oracle,[2],"{""2"": 7}",1.0,11,,none,12.308167695999146,,4,best_first,False,0.0,0.0,0.0,,,,no_terminal,,What star in the film Up at the Villa has earned the title of knighthood?,[],,visited_budget,"[2, 3, 0, 4, 1]",5,4,2,8,4,4,1,4,4,72,8,23697424,"[2, 4]",1.0,0.4,1.0,1.0,1.0,0.0009685999830253422,0.0003081999602727592,7.500057108700275e-06,0.03345319995423779,0.5042230000253767,0.5386447999626398,112,1217,5,5,1.0,0,0,0.0,0,5,18,18,620984671,100,360,460,7763480,0.005010599968954921,5242880,77487616,90177536,0,0,0,False,,q25,closed,K11_Bnone_Eq25_Gclosed_H4_best_first_goal_calibration,1
validation,hotpotqa,5adc3aff5542996e685252eb,11,oracle,[2],"{""2"": 7}",1.0,11,,none,12.308167695999146,-0.20450392365455627,4,beam,False,1.0,0.0,1.0,0.0,3,2,false_semantic_closure,[source token span 768:1024],What star in the film Up at the Villa has earned the title of knighthood?,"[2, 3]",1,goal,"[2, 3]",2,1,1,4,1,0,0,1,1,18,4,23697424,"[2, 4]",0.5,0.5,0.0,0.0,0.0,0.0003800999838858843,8.040003012865782e-05,4.299974534660578e-06,0.03345319995423779,0.5042230000253767,0.5380562999635004,112,1217,5,2,0.4,0,0,0.0,0,2,18,18,620984671,100,360,460,7763480,0.005010599968954921,5242880,77487616,90177536,0,0,0,False,,q25,q50,K11_Bnone_Eq25_Gq50_H4_beam_goal_calibration,1
validation,hotpotqa,5adc3aff5542996e685252eb,11,oracle,[2],"{""2"": 7}",1.0,11,,none,12.308167695999146,-0.1091669201850891,4,beam,False,1.0,0.0,1.0,0.0,3,2,false_semantic_closure,[source token span 768:1024],What star in the film Up at the Villa has earned the title of knighthood?,"[2, 3]",1,goal,"[2, 3]",2,1,1,4,1,0,0,1,1,18,4,23697424,"[2, 4]",0.5,0.5,0.0,0.0,0.0,0.00037949997931718826,8.020002860575914e-05,4.199973773211241e-06,0.03345319995423779,0.5042230000253767,0.5380556999589317,112,1217,5,2,0.4,0,0,0.0,0,2,18,18,620984671,100,360,460,7763480,0.005010599968954921,5242880,77487616,90177536,0,0,0,False,,q25,q65,K11_Bnone_Eq25_Gq65_H4_beam_goal_calibration,1
validation,hotpotqa,5adc3aff5542996e685252eb,11,oracle,[2],"{""2"": 7}",1.0,11,,none,12.308167695999146,-0.036633387207984924,4,beam,False,1.0,1.0,0.0,1.0,4,7,oracle_evidence,[source token span 1024:1217],What star in the film Up at the Villa has earned the title of knighthood?,"[2, 4]",1,goal,"[2, 3, 0, 4]",4,1,1,4,3,0,0,1,3,54,4,23697424,"[2, 4]",1.0,0.5,1.0,1.0,1.0,0.0005442000110633671,0.00022979994537308812,4.199973773211241e-06,0.03345319995423779,0.5042230000253767,0.5382203999906778,112,1217,5,4,0.8,0,0,0.0,0,4,18,18,620984671,100,360,460,7763480,0.005010599968954921,5242880,77487616,90177536,0,0,0,False,,q25,q75,K11_Bnone_Eq25_Gq75_H4_beam_goal_calibration,1
validation,hotpotqa,5adc3aff5542996e685252eb,11,oracle,[2],"{""2"": 7}",1.0,11,,none,12.308167695999146,0.04641332477331157,4,beam,False,0.0,0.0,0.0,,,,no_terminal,,What star in the film Up at the Villa has earned the title of knighthood?,[],,visited_budget,"[2, 3, 0, 4, 1]",5,4,5,20,4,16,4,4,4,72,20,23697424,"[2, 4]",1.0,0.4,1.0,1.0,1.0,0.001886499987449497,0.0003035999834537506,6.099988240748644e-06,0.03345319995423779,0.5042230000253767,0.539562699967064,112,1217,5,5,1.0,0,0,0.0,0,5,18,18,620984671,100,360,460,7763480,0.005010599968954921,5242880,77487616,90177536,0,0,0,False,,q25,q85,K11_Bnone_Eq25_Gq85_H4_beam_goal_calibration,1
validation,hotpotqa,5adc3aff5542996e685252eb,11,oracle,[2],"{""2"": 7}",1.0,11,,none,12.308167695999146,0.09909437894821181,4,beam,False,0.0,0.0,0.0,,,,no_terminal,,What star in the film Up at the Villa has earned the title of knighthood?,[],,visited_budget,"[2, 3, 0, 4, 1]",5,4,5,20,4,16,4,4,4,72,20,23697424,"[2, 4]",1.0,0.4,1.0,1.0,1.0,0.0014754000003449619,0.00026030000299215317,5.499983672052622e-06,0.03345319995423779,0.5042230000253767,0.5391515999799594,112,1217,5,5,1.0,0,0,0.0,0,5,18,18,620984671,100,360,460,7763480,0.005010599968954921,5242880,77487616,90177536,0,0,0,False,,q25,q90,K11_Bnone_Eq25_Gq90_H4_beam_goal_calibration,1
validation,hotpotqa,5adc3aff5542996e685252eb,11,oracle,[2],"{""2"": 7}",1.0,11,,none,12.308167695999146,0.17289698421955102,4,beam,False,0.0,0.0,0.0,,,,no_terminal,,What star in the film Up at the Villa has earned the title of knighthood?,[],,visited_budget,"[2, 3, 0, 4, 1]",5,4,5,20,4,16,4,4,4,72,20,23697424,"[2, 4]",1.0,0.4,1.0,1.0,1.0,0.0014599999994970858,0.0002587999333627522,5.400041118264198e-06,0.03345319995423779,0.5042230000253767,0.5391361999791116,112,1217,5,5,1.0,0,0,0.0,0,5,18,18,620984671,100,360,460,7763480,0.005010599968954921,5242880,77487616,90177536,0,0,0,False,,q25,q95,K11_Bnone_Eq25_Gq95_H4_beam_goal_calibration,1
validation,hotpotqa,5adc3aff5542996e685252eb,11,oracle,[2],"{""2"": 7}",1.0,11,,none,12.308167695999146,,4,beam,False,0.0,0.0,0.0,,,,no_terminal,,What star in the film Up at the Villa has earned the title of knighthood?,[],,visited_budget,"[2, 3, 0, 4, 1]",5,4,5,20,4,16,4,4,4,72,20,23697424,"[2, 4]",1.0,0.4,1.0,1.0,1.0,0.0014622000162489712,0.0002576999831944704,5.599984433501959e-06,0.03345319995423779,0.5042230000253767,0.5391383999958634,112,1217,5,5,1.0,0,0,0.0,0,5,18,18,620984671,100,360,460,7763480,0.005010599968954921,5242880,77487616,90177536,0,0,0,False,,q25,closed,K11_Bnone_Eq25_Gclosed_H4_beam_goal_calibration,1
validation,hotpotqa,5adc3aff5542996e685252eb,23,oracle,[2],"{""2"": 15}",1.0,11,,none,12.308167695999146,-0.20450392365455627,4,breadth_first,False,1.0,0.0,1.0,0.0,3,0,false_semantic_closure,[source token span 768:1024],What star in the film Up at the Villa has earned the title of knighthood?,"[2, 3]",1,goal,"[2, 3]",2,1,1,4,1,0,0,1,1,18,4,23697424,"[2, 4]",0.5,0.5,0.0,0.0,0.0,0.00032240001019090414,7.100001676008105e-05,3.600027412176132e-06,0.0017500999965704978,0.5042230000253767,0.5062955000321381,112,1217,5,2,0.4,0,0,0.0,0,2,18,18,620984671,100,360,460,7763480,0.005010599968954921,5242880,77487616,90177536,0,0,0,False,,q25,q50,K11_Bnone_Eq25_Gq50_H4_breadth_first_goal_calibration,1
validation,hotpotqa,5adc3aff5542996e685252eb,23,oracle,[2],"{""2"": 15}",1.0,11,,none,12.308167695999146,-0.1091669201850891,4,breadth_first,False,1.0,0.0,1.0,0.0,3,0,false_semantic_closure,[source token span 768:1024],What star in the film Up at the Villa has earned the title of knighthood?,"[2, 3]",1,goal,"[2, 3]",2,1,1,4,1,0,0,1,1,18,4,23697424,"[2, 4]",0.5,0.5,0.0,0.0,0.0,0.0007081999792717397,0.0002607000060379505,9.000010322779417e-06,0.0017500999965704978,0.5042230000253767,0.5066813000012189,112,1217,5,2,0.4,0,0,0.0,0,2,18,18,620984671,100,360,460,7763480,0.005010599968954921,5242880,77487616,90177536,0,0,0,False,,q25,q65,K11_Bnone_Eq25_Gq65_H4_breadth_first_goal_calibration,1
validation,hotpotqa,5adc3aff5542996e685252eb,23,oracle,[2],"{""2"": 15}",1.0,11,,none,12.308167695999146,-0.036633387207984924,4,breadth_first,False,1.0,0.0,1.0,0.0,3,0,false_semantic_closure,[source token span 768:1024],What star in the film Up at the Villa has earned the title of knighthood?,"[2, 3]",1,goal,"[2, 3]",2,1,1,4,1,0,0,1,1,18,4,23697424,"[2, 4]",0.5,0.5,0.0,0.0,0.0,0.0012516999850049615,0.0002864000271074474,8.209998486563563e-05,0.0017500999965704978,0.5042230000253767,0.5072248000069521,112,1217,5,2,0.4,0,0,0.0,0,2,18,18,620984671,100,360,460,7763480,0.005010599968954921,5242880,77487616,90177536,0,0,0,False,,q25,q75,K11_Bnone_Eq25_Gq75_H4_breadth_first_goal_calibration,1
validation,hotpotqa,5adc3aff5542996e685252eb,23,oracle,[2],"{""2"": 15}",1.0,11,,none,12.308167695999146,0.04641332477331157,4,breadth_first,False,1.0,0.0,1.0,0.0,3,0,false_semantic_closure,[source token span 768:1024],What star in the film Up at the Villa has earned the title of knighthood?,"[2, 3]",1,goal,"[2, 3]",2,1,1,4,1,0,0,1,1,18,4,23697424,"[2, 4]",0.5,0.5,0.0,0.0,0.0,0.0017810999997891486,0.00024369999300688505,1.1999974958598614e-05,0.0017500999965704978,0.5042230000253767,0.5077542000217363,112,1217,5,2,0.4,0,0,0.0,0,2,18,18,620984671,100,360,460,7763480,0.005010599968954921,5242880,77487616,90177536,0,0,0,False,,q25,q85,K11_Bnone_Eq25_Gq85_H4_breadth_first_goal_calibration,1
validation,hotpotqa,5adc3aff5542996e685252eb,23,oracle,[2],"{""2"": 15}",1.0,11,,none,12.308167695999146,0.09909437894821181,4,breadth_first,False,1.0,0.0,1.0,0.0,3,0,false_semantic_closure,[source token span 768:1024],What star in the film Up at the Villa has earned the title of knighthood?,"[2, 3]",1,goal,"[2, 3]",2,1,1,4,1,0,0,1,1,18,4,23697424,"[2, 4]",0.5,0.5,0.0,0.0,0.0,0.0007990000303834677,0.00011590000940486789,6.199989002197981e-06,0.0017500999965704978,0.5042230000253767,0.5067721000523306,112,1217,5,2,0.4,0,0,0.0,0,2,18,18,620984671,100,360,460,7763480,0.005010599968954921,5242880,77487616,90177536,0,0,0,False,,q25,q90,K11_Bnone_Eq25_Gq90_H4_breadth_first_goal_calibration,1
validation,hotpotqa,5adc3aff5542996e685252eb,23,oracle,[2],"{""2"": 15}",1.0,11,,none,12.308167695999146,0.17289698421955102,4,breadth_first,False,1.0,0.0,1.0,0.0,3,0,false_semantic_closure,[source token span 768:1024],What star in the film Up at the Villa has earned the title of knighthood?,"[2, 3]",1,goal,"[2, 3]",2,1,1,4,1,0,0,1,1,18,4,23697424,"[2, 4]",0.5,0.5,0.0,0.0,0.0,0.0004298000130802393,8.859997615218163e-05,5.00003807246685e-06,0.0017500999965704978,0.5042230000253767,0.5064029000350274,112,1217,5,2,0.4,0,0,0.0,0,2,18,18,620984671,100,360,460,7763480,0.005010599968954921,5242880,77487616,90177536,0,0,0,False,,q25,q95,K11_Bnone_Eq25_Gq95_H4_breadth_first_goal_calibration,1
validation,hotpotqa,5adc3aff5542996e685252eb,23,oracle,[2],"{""2"": 15}",1.0,11,,none,12.308167695999146,,4,breadth_first,False,0.0,0.0,0.0,,,,no_terminal,,What star in the film Up at the Villa has earned the title of knighthood?,[],,visited_budget,"[2, 3, 0, 4, 1]",5,4,5,20,4,16,4,4,4,72,20,23697424,"[2, 4]",1.0,0.4,1.0,1.0,1.0,0.0020332999993115664,0.00032489997101947665,7.2999391704797745e-06,0.0017500999965704978,0.5042230000253767,0.5080064000212587,112,1217,5,5,1.0,0,0,0.0,0,5,18,18,620984671,100,360,460,7763480,0.005010599968954921,5242880,77487616,90177536,0,0,0,False,,q25,closed,K11_Bnone_Eq25_Gclosed_H4_breadth_first_goal_calibration,1
validation,hotpotqa,5adc3aff5542996e685252eb,23,oracle,[2],"{""2"": 15}",1.0,11,,none,12.308167695999146,-0.20450392365455627,4,best_first,False,1.0,0.0,1.0,0.0,3,0,false_semantic_closure,[source token span 768:1024],What star in the film Up at the Villa has earned the title of knighthood?,"[2, 3]",1,goal,"[2, 3]",2,1,1,4,1,0,0,1,1,18,4,23697424,"[2, 4]",0.5,0.5,0.0,0.0,0.0,0.00039299996569752693,8.550001075491309e-05,4.500034265220165e-06,0.0017500999965704978,0.5042230000253767,0.5063660999876447,112,1217,5,2,0.4,0,0,0.0,0,2,18,18,620984671,100,360,460,7763480,0.005010599968954921,5242880,77487616,90177536,0,0,0,False,,q25,q50,K11_Bnone_Eq25_Gq50_H4_best_first_goal_calibration,1
validation,hotpotqa,5adc3aff5542996e685252eb,23,oracle,[2],"{""2"": 15}",1.0,11,,none,12.308167695999146,-0.1091669201850891,4,best_first,False,1.0,0.0,1.0,0.0,3,0,false_semantic_closure,[source token span 768:1024],What star in the film Up at the Villa has earned the title of knighthood?,"[2, 3]",1,goal,"[2, 3]",2,1,1,4,1,0,0,1,1,18,4,23697424,"[2, 4]",0.5,0.5,0.0,0.0,0.0,0.00038460001815110445,7.989996811375022e-05,4.200031980872154e-06,0.0017500999965704978,0.5042230000253767,0.5063577000400983,112,1217,5,2,0.4,0,0,0.0,0,2,18,18,620984671,100,360,460,7763480,0.005010599968954921,5242880,77487616,90177536,0,0,0,False,,q25,q65,K11_Bnone_Eq25_Gq65_H4_best_first_goal_calibration,1
validation,hotpotqa,5adc3aff5542996e685252eb,23,oracle,[2],"{""2"": 15}",1.0,11,,none,12.308167695999146,-0.036633387207984924,4,best_first,False,1.0,0.0,1.0,0.0,3,0,false_semantic_closure,[source token span 768:1024],What star in the film Up at the Villa has earned the title of knighthood?,"[2, 3]",1,goal,"[2, 3]",2,1,1,4,1,0,0,1,1,18,4,23697424,"[2, 4]",0.5,0.5,0.0,0.0,0.0,0.00038030004361644387,8.019997039809823e-05,4.200031980872154e-06,0.0017500999965704978,0.5042230000253767,0.5063534000655636,112,1217,5,2,0.4,0,0,0.0,0,2,18,18,620984671,100,360,460,7763480,0.005010599968954921,5242880,77487616,90177536,0,0,0,False,,q25,q75,K11_Bnone_Eq25_Gq75_H4_best_first_goal_calibration,1
validation,hotpotqa,5adc3aff5542996e685252eb,23,oracle,[2],"{""2"": 15}",1.0,11,,none,12.308167695999146,0.04641332477331157,4,best_first,False,1.0,0.0,1.0,0.0,3,0,false_semantic_closure,[source token span 768:1024],What star in the film Up at the Villa has earned the title of knighthood?,"[2, 3]",1,goal,"[2, 3]",2,1,1,4,1,0,0,1,1,18,4,23697424,"[2, 4]",0.5,0.5,0.0,0.0,0.0,0.00037789996713399887,7.970002479851246e-05,4.100031219422817e-06,0.0017500999965704978,0.5042230000253767,0.5063509999890812,112,1217,5,2,0.4,0,0,0.0,0,2,18,18,620984671,100,360,460,7763480,0.005010599968954921,5242880,77487616,90177536,0,0,0,False,,q25,q85,K11_Bnone_Eq25_Gq85_H4_best_first_goal_calibration,1
