record_type,dataset,stage,policy,examples,top1_accuracy,ci_low,ci_high,validation_consistency_threshold,perturbation,channel,target_recovery,wrong_target_recovery,wrong_target_confidence,threshold,retained,rejected,coverage,precision,recall,wrong_rejected,correct_rejected
natural_consistency_gate,hotpotqa,successor,static_fusion,16,0.1875,0.0,0.375,0.9323502480983734,,,,,,,,,,,,,
natural_consistency_gate,2wikimultihopqa,successor,lexical_confidence_alone,18,0.1111111111111111,0.0,0.2777777777777778,0.9323502480983734,,,,,,,,,,,,,
natural_consistency_gate,2wikimultihopqa,successor,semantic_confidence_alone,18,0.0,0.0,0.0,0.9323502480983734,,,,,,,,,,,,,
natural_consistency_gate,2wikimultihopqa,successor,consistency_gated_lexical,18,0.05555555555555555,0.0,0.16666666666666666,0.9323502480983734,,,,,,,,,,,,,
natural_consistency_gate,2wikimultihopqa,successor,static_fusion,18,0.05555555555555555,0.0,0.16666666666666666,0.9323502480983734,,,,,,,,,,,,,
natural_consistency_gate,musique,successor,lexical_confidence_alone,18,0.1111111111111111,0.0,0.2777777777777778,0.9323502480983734,,,,,,,,,,,,,
natural_consistency_gate,musique,successor,semantic_confidence_alone,18,0.1111111111111111,0.0,0.2777777777777778,0.9323502480983734,,,,,,,,,,,,,
natural_consistency_gate,musique,successor,consistency_gated_lexical,18,0.1111111111111111,0.0,0.2777777777777778,0.9323502480983734,,,,,,,,,,,,,
natural_consistency_gate,musique,successor,static_fusion,18,0.16666666666666666,0.0,0.3333333333333333,0.9323502480983734,,,,,,,,,,,,,
controlled_reference_condition,,,,20,,,,,alias_synonym,approx,0.5,0.0,0.0,,,,,,,,
controlled_reference_condition,,,,20,,,,,alias_synonym,exact,0.0,0.0,0.0,,,,,,,,
controlled_reference_condition,,,,20,,,,,alias_synonym,hybrid,0.0,0.0,0.0,,,,,,,,
controlled_reference_condition,,,,20,,,,,case,approx,1.0,0.0,0.0,,,,,,,,
controlled_reference_condition,,,,20,,,,,case,exact,1.0,0.0,0.0,,,,,,,,
controlled_reference_condition,,,,20,,,,,case,hybrid,1.0,0.0,0.0,,,,,,,,
controlled_reference_condition,,,,20,,,,,clean,approx,1.0,0.0,0.0,,,,,,,,
controlled_reference_condition,,,,20,,,,,clean,exact,1.0,0.0,0.0,,,,,,,,
controlled_reference_condition,,,,20,,,,,clean,hybrid,1.0,0.0,0.0,,,,,,,,
controlled_reference_condition,,,,20,,,,,confidently_wrong,approx,0.0,1.0,0.27829457999999996,,,,,,,,
controlled_reference_condition,,,,20,,,,,confidently_wrong,exact,0.0,1.0,0.330357145,,,,,,,,
controlled_reference_condition,,,,20,,,,,confidently_wrong,hybrid,0.0,1.0,0.39582855,,,,,,,,
controlled_reference_condition,,,,20,,,,,correct_entity_wrong_relation,approx,0.5,0.5,0.153308825,,,,,,,,
controlled_reference_condition,,,,20,,,,,correct_entity_wrong_relation,exact,0.0,0.0,0.0,,,,,,,,
controlled_reference_condition,,,,20,,,,,correct_entity_wrong_relation,hybrid,0.0,0.0,0.0,,,,,,,,
controlled_reference_condition,,,,20,,,,,near_entity_collision,approx,1.0,0.0,0.0,,,,,,,,
controlled_reference_condition,,,,20,,,,,near_entity_collision,exact,1.0,0.0,0.0,,,,,,,,
controlled_reference_condition,,,,20,,,,,near_entity_collision,hybrid,1.0,0.0,0.0,,,,,,,,
controlled_reference_condition,,,,20,,,,,numeric_id_collision,approx,1.0,0.0,0.0,,,,,,,,
controlled_reference_condition,,,,20,,,,,numeric_id_collision,exact,1.0,0.0,0.0,,,,,,,,
controlled_reference_condition,,,,20,,,,,numeric_id_collision,hybrid,1.0,0.0,0.0,,,,,,,,
controlled_reference_condition,,,,20,,,,,punctuation,approx,1.0,0.0,0.0,,,,,,,,
controlled_reference_condition,,,,20,,,,,punctuation,exact,1.0,0.0,0.0,,,,,,,,
controlled_reference_condition,,,,20,,,,,punctuation,hybrid,1.0,0.0,0.0,,,,,,,,
controlled_reference_condition,,,,20,,,,,same_class_wrong_instance,approx,0.0,1.0,0.361875,,,,,,,,
controlled_reference_condition,,,,20,,,,,same_class_wrong_instance,exact,0.0,0.5,0.25,,,,,,,,
controlled_reference_condition,,,,20,,,,,same_class_wrong_instance,hybrid,0.0,0.5,0.27425356,,,,,,,,
controlled_reference_condition,,,,20,,,,,same_name_wrong_entity,approx,0.5,0.0,0.0,,,,,,,,
controlled_reference_condition,,,,20,,,,,same_name_wrong_entity,exact,0.0,0.0,0.0,,,,,,,,
controlled_reference_condition,,,,20,,,,,same_name_wrong_entity,hybrid,0.0,0.0,0.0,,,,,,,,
controlled_reference_condition,,,,20,,,,,shared_prefix,approx,1.0,0.0,0.0,,,,,,,,
controlled_reference_condition,,,,20,,,,,shared_prefix,exact,1.0,0.0,0.0,,,,,,,,
controlled_reference_condition,,,,20,,,,,shared_prefix,hybrid,1.0,0.0,0.0,,,,,,,,
controlled_reference_condition,,,,20,,,,,stale_alternate_alias,approx,0.0,1.0,0.41578947499999996,,,,,,,,
controlled_reference_condition,,,,20,,,,,stale_alternate_alias,exact,0.0,1.0,0.4375,,,,,,,,
controlled_reference_condition,,,,20,,,,,stale_alternate_alias,hybrid,0.0,1.0,0.49225712,,,,,,,,
controlled_reference_condition,,,,20,,,,,two_plausible_references,approx,1.0,0.0,0.0,,,,,,,,
controlled_reference_condition,,,,20,,,,,two_plausible_references,exact,1.0,0.0,0.0,,,,,,,,
controlled_reference_condition,,,,20,,,,,two_plausible_references,hybrid,1.0,0.0,0.0,,,,,,,,
controlled_reference_condition,,,,20,,,,,typo,approx,1.0,0.0,0.0,,,,,,,,
controlled_reference_condition,,,,20,,,,,typo,exact,0.0,0.5,0.0,,,,,,,,
controlled_reference_condition,,,,20,,,,,typo,hybrid,0.5,0.0,0.0,,,,,,,,
controlled_reference_condition,,,,20,,,,,url_domain_overlap,approx,1.0,0.0,0.0,,,,,,,,
controlled_reference_condition,,,,20,,,,,url_domain_overlap,exact,1.0,0.0,0.0,,,,,,,,
controlled_reference_condition,,,,20,,,,,url_domain_overlap,hybrid,1.0,0.0,0.0,,,,,,,,
wrong_reference_abstention_curve,,,,,,,,,,approx,,,,0.0,120,0,1.0,0.3333333333333333,1.0,0,0
wrong_reference_abstention_curve,,,,,,,,,,approx,,,,0.05,120,0,1.0,0.3333333333333333,1.0,0,0
wrong_reference_abstention_curve,,,,,,,,,,approx,,,,0.1,120,0,1.0,0.3333333333333333,1.0,0,0
wrong_reference_abstention_curve,,,,,,,,,,approx,,,,0.15,120,0,1.0,0.3333333333333333,1.0,0,0
wrong_reference_abstention_curve,,,,,,,,,,approx,,,,0.2,120,0,1.0,0.3333333333333333,1.0,0,0
wrong_reference_abstention_curve,,,,,,,,,,approx,,,,0.25,120,0,1.0,0.3333333333333333,1.0,0,0
wrong_reference_abstention_curve,,,,,,,,,,approx,,,,0.3,120,0,1.0,0.3333333333333333,1.0,0,0
wrong_reference_abstention_curve,,,,,,,,,,approx,,,,0.35,120,0,1.0,0.3333333333333333,1.0,0,0
wrong_reference_abstention_curve,,,,,,,,,,approx,,,,0.4,120,0,1.0,0.3333333333333333,1.0,0,0
wrong_reference_abstention_curve,,,,,,,,,,approx,,,,0.45,120,0,1.0,0.3333333333333333,1.0,0,0
wrong_reference_abstention_curve,,,,,,,,,,approx,,,,0.5,120,0,1.0,0.3333333333333333,1.0,0,0
wrong_reference_abstention_curve,,,,,,,,,,approx,,,,0.55,110,10,0.9166666666666666,0.36363636363636365,1.0,10,0
wrong_reference_abstention_curve,,,,,,,,,,approx,,,,0.6,100,20,0.8333333333333334,0.4,1.0,20,0
wrong_reference_abstention_curve,,,,,,,,,,approx,,,,0.65,90,30,0.75,0.4444444444444444,1.0,30,0
wrong_reference_abstention_curve,,,,,,,,,,approx,,,,0.7,60,60,0.5,0.6666666666666666,1.0,60,0
wrong_reference_abstention_curve,,,,,,,,,,approx,,,,0.75,60,60,0.5,0.6666666666666666,1.0,60,0
wrong_reference_abstention_curve,,,,,,,,,,approx,,,,0.8,50,70,0.4166666666666667,0.8,1.0,70,0
wrong_reference_abstention_curve,,,,,,,,,,approx,,,,0.85,50,70,0.4166666666666667,0.8,1.0,70,0
wrong_reference_abstention_curve,,,,,,,,,,approx,,,,0.9,50,70,0.4166666666666667,0.8,1.0,70,0
wrong_reference_abstention_curve,,,,,,,,,,approx,,,,0.95,50,70,0.4166666666666667,0.8,1.0,70,0
wrong_reference_abstention_curve,,,,,,,,,,approx,,,,1.0,50,70,0.4166666666666667,0.8,1.0,70,0
wrong_reference_abstention_curve,,,,,,,,,,exact,,,,0.0,120,0,1.0,0.16666666666666666,1.0,0,0
wrong_reference_abstention_curve,,,,,,,,,,exact,,,,0.05,120,0,1.0,0.16666666666666666,1.0,0,0
wrong_reference_abstention_curve,,,,,,,,,,exact,,,,0.1,120,0,1.0,0.16666666666666666,1.0,0,0
wrong_reference_abstention_curve,,,,,,,,,,exact,,,,0.15,120,0,1.0,0.16666666666666666,1.0,0,0
wrong_reference_abstention_curve,,,,,,,,,,exact,,,,0.2,120,0,1.0,0.16666666666666666,1.0,0,0
wrong_reference_abstention_curve,,,,,,,,,,exact,,,,0.25,120,0,1.0,0.16666666666666666,1.0,0,0
wrong_reference_abstention_curve,,,,,,,,,,exact,,,,0.3,120,0,1.0,0.16666666666666666,1.0,0,0
wrong_reference_abstention_curve,,,,,,,,,,exact,,,,0.35,120,0,1.0,0.16666666666666666,1.0,0,0
wrong_reference_abstention_curve,,,,,,,,,,exact,,,,0.4,120,0,1.0,0.16666666666666666,1.0,0,0
wrong_reference_abstention_curve,,,,,,,,,,exact,,,,0.45,120,0,1.0,0.16666666666666666,1.0,0,0
wrong_reference_abstention_curve,,,,,,,,,,exact,,,,0.5,120,0,1.0,0.16666666666666666,1.0,0,0
wrong_reference_abstention_curve,,,,,,,,,,exact,,,,0.55,100,20,0.8333333333333334,0.2,1.0,20,0
wrong_reference_abstention_curve,,,,,,,,,,exact,,,,0.6,100,20,0.8333333333333334,0.2,1.0,20,0
wrong_reference_abstention_curve,,,,,,,,,,exact,,,,0.65,80,40,0.6666666666666666,0.25,1.0,40,0
wrong_reference_abstention_curve,,,,,,,,,,exact,,,,0.7,80,40,0.6666666666666666,0.25,1.0,40,0
wrong_reference_abstention_curve,,,,,,,,,,exact,,,,0.75,70,50,0.5833333333333334,0.2857142857142857,1.0,50,0
wrong_reference_abstention_curve,,,,,,,,,,exact,,,,0.8,70,50,0.5833333333333334,0.2857142857142857,1.0,50,0
wrong_reference_abstention_curve,,,,,,,,,,exact,,,,0.85,70,50,0.5833333333333334,0.2857142857142857,1.0,50,0
wrong_reference_abstention_curve,,,,,,,,,,exact,,,,0.9,70,50,0.5833333333333334,0.2857142857142857,1.0,50,0
wrong_reference_abstention_curve,,,,,,,,,,exact,,,,0.95,70,50,0.5833333333333334,0.2857142857142857,1.0,50,0
wrong_reference_abstention_curve,,,,,,,,,,exact,,,,1.0,70,50,0.5833333333333334,0.2857142857142857,1.0,50,0
wrong_reference_abstention_curve,,,,,,,,,,hybrid,,,,0.0,120,0,1.0,0.16666666666666666,1.0,0,0
wrong_reference_abstention_curve,,,,,,,,,,hybrid,,,,0.05,120,0,1.0,0.16666666666666666,1.0,0,0
wrong_reference_abstention_curve,,,,,,,,,,hybrid,,,,0.1,120,0,1.0,0.16666666666666666,1.0,0,0
wrong_reference_abstention_curve,,,,,,,,,,hybrid,,,,0.15,120,0,1.0,0.16666666666666666,1.0,0,0
wrong_reference_abstention_curve,,,,,,,,,,hybrid,,,,0.2,120,0,1.0,0.16666666666666666,1.0,0,0
wrong_reference_abstention_curve,,,,,,,,,,hybrid,,,,0.25,120,0,1.0,0.16666666666666666,1.0,0,0
wrong_reference_abstention_curve,,,,,,,,,,hybrid,,,,0.3,120,0,1.0,0.16666666666666666,1.0,0,0
wrong_reference_abstention_curve,,,,,,,,,,hybrid,,,,0.35,120,0,1.0,0.16666666666666666,1.0,0,0
wrong_reference_abstention_curve,,,,,,,,,,hybrid,,,,0.4,120,0,1.0,0.16666666666666666,1.0,0,0
wrong_reference_abstention_curve,,,,,,,,,,hybrid,,,,0.45,120,0,1.0,0.16666666666666666,1.0,0,0
wrong_reference_abstention_curve,,,,,,,,,,hybrid,,,,0.5,100,20,0.8333333333333334,0.2,1.0,20,0
wrong_reference_abstention_curve,,,,,,,,,,hybrid,,,,0.55,100,20,0.8333333333333334,0.2,1.0,20,0
wrong_reference_abstention_curve,,,,,,,,,,hybrid,,,,0.6,80,40,0.6666666666666666,0.25,1.0,40,0
wrong_reference_abstention_curve,,,,,,,,,,hybrid,,,,0.65,70,50,0.5833333333333334,0.2857142857142857,1.0,50,0
wrong_reference_abstention_curve,,,,,,,,,,hybrid,,,,0.7,70,50,0.5833333333333334,0.2857142857142857,1.0,50,0
wrong_reference_abstention_curve,,,,,,,,,,hybrid,,,,0.75,70,50,0.5833333333333334,0.2857142857142857,1.0,50,0
wrong_reference_abstention_curve,,,,,,,,,,hybrid,,,,0.8,70,50,0.5833333333333334,0.2857142857142857,1.0,50,0
wrong_reference_abstention_curve,,,,,,,,,,hybrid,,,,0.85,70,50,0.5833333333333334,0.2857142857142857,1.0,50,0
wrong_reference_abstention_curve,,,,,,,,,,hybrid,,,,0.9,70,50,0.5833333333333334,0.2857142857142857,1.0,50,0
wrong_reference_abstention_curve,,,,,,,,,,hybrid,,,,0.95,70,50,0.5833333333333334,0.2857142857142857,1.0,50,0
wrong_reference_abstention_curve,,,,,,,,,,hybrid,,,,1.0,70,50,0.5833333333333334,0.2857142857142857,1.0,50,0
