active_native_tokens,answer_bearing_chunk_selected,answer_correct,answer_token_present,case_id,condition,confusability,constraint_violation,consumption_depth,consumption_layers,contextually_sufficient_evidence,format_compliant,frozen_selection_digest,full_record_covered,generated_text,generation_seconds,minimal_semantic_interval_covered,prompt_tokens,protocol,requested_native_tokens,required_evidence_use,resident_detail_kv_bytes,routing_frozen,scenario,seed,selected_intervals,selected_record_correct,target_span_tokens,unique_materialized_native_tokens
169,1,0,1,join-low-s37,NATIVE_W256_LATE_ONLY,low,0,late_only,[27],1,1,4480c639939e21a5,1,ANSWER= Resolve legal filing for scope t7,2.162127199815586,1,76,paper8-native-consumption-geometry-v1,169,0.0,692224,1,join,37,4,1,256,169
169,1,0,1,join-low-s37,NATIVE_W512_LATE_ONLY,low,0,late_only,[27],1,1,4480c639939e21a5,1,ANSWER= Resolve legal filing for scope t7,2.1172408000566065,1,76,paper8-native-consumption-geometry-v1,169,0.0,692224,1,join,37,4,1,512,169
169,1,0,1,join-low-s37,NATIVE_FULL_SELECTED_RECORD_LATE_ONLY,low,0,late_only,[27],1,1,4480c639939e21a5,1,ANSWER= Resolve legal filing for scope t7,2.147302299970761,1,76,paper8-native-consumption-geometry-v1,169,0.0,692224,1,join,37,4,1,full,169
33,1,0,1,resumption-low-s53,NATIVE_W32_LATE_ONLY,low,0,late_only,[27],1,1,8f0706557daf47f8,1,ANSWER= <verification_code>0>000000000000000,4.527981800027192,1,70,paper8-native-consumption-geometry-v1,33,0.0,135168,1,resumption,53,1,1,32,33
33,1,0,1,resumption-low-s53,NATIVE_W64_LATE_ONLY,low,0,late_only,[27],1,1,8f0706557daf47f8,1,ANSWER= <verification_code>0>000000000000000,4.457776400027797,1,70,paper8-native-consumption-geometry-v1,33,0.0,135168,1,resumption,53,1,1,64,33
33,1,0,1,resumption-low-s53,NATIVE_W128_LATE_ONLY,low,0,late_only,[27],1,1,8f0706557daf47f8,1,ANSWER= <verification_code>0>000000000000000,4.745084000052884,1,70,paper8-native-consumption-geometry-v1,33,0.0,135168,1,resumption,53,1,1,128,33
33,1,0,1,resumption-low-s53,NATIVE_W256_LATE_ONLY,low,0,late_only,[27],1,1,8f0706557daf47f8,1,ANSWER= <verification_code>0>000000000000000,4.563855799846351,1,70,paper8-native-consumption-geometry-v1,33,0.0,135168,1,resumption,53,1,1,256,33
33,1,0,1,resumption-low-s53,NATIVE_W512_LATE_ONLY,low,0,late_only,[27],1,1,8f0706557daf47f8,1,ANSWER= <verification_code>0>000000000000000,4.957536600064486,1,70,paper8-native-consumption-geometry-v1,33,0.0,135168,1,resumption,53,1,1,512,33
33,1,0,1,resumption-low-s53,NATIVE_FULL_SELECTED_RECORD_LATE_ONLY,low,0,late_only,[27],1,1,8f0706557daf47f8,1,ANSWER= <verification_code>0>000000000000000,4.898848199984059,1,70,paper8-native-consumption-geometry-v1,33,0.0,135168,1,resumption,53,1,1,full,33
42,1,0,1,conflicting_state-low-s71,NATIVE_W32_LATE_ONLY,low,0,late_only,[27],1,1,15e6aacfd9303c42,1,ANSWER= <value> resolve_acme>,1.9990055998787284,1,74,paper8-native-consumption-geometry-v1,42,0.0,172032,1,conflicting_state,71,1,1,32,42
42,1,0,1,conflicting_state-low-s71,NATIVE_W64_LATE_ONLY,low,0,late_only,[27],1,1,15e6aacfd9303c42,1,ANSWER= <value> resolve_acme>,2.108023499837145,1,74,paper8-native-consumption-geometry-v1,42,0.0,172032,1,conflicting_state,71,1,1,64,42
42,1,0,1,conflicting_state-low-s71,NATIVE_W128_LATE_ONLY,low,0,late_only,[27],1,1,15e6aacfd9303c42,1,ANSWER= <value> resolve_acme>,2.296160399913788,1,74,paper8-native-consumption-geometry-v1,42,0.0,172032,1,conflicting_state,71,1,1,128,42
42,1,0,1,conflicting_state-low-s71,NATIVE_W256_LATE_ONLY,low,0,late_only,[27],1,1,15e6aacfd9303c42,1,ANSWER= <value> resolve_acme>,1.755959799978882,1,74,paper8-native-consumption-geometry-v1,42,0.0,172032,1,conflicting_state,71,1,1,256,42
42,1,0,1,conflicting_state-low-s71,NATIVE_W512_LATE_ONLY,low,0,late_only,[27],1,1,15e6aacfd9303c42,1,ANSWER= <value> resolve_acme>,2.1293667999561876,1,74,paper8-native-consumption-geometry-v1,42,0.0,172032,1,conflicting_state,71,1,1,512,42
42,1,0,1,conflicting_state-low-s71,NATIVE_FULL_SELECTED_RECORD_LATE_ONLY,low,0,late_only,[27],1,1,15e6aacfd9303c42,1,ANSWER= <value> resolve_acme>,2.3895511999726295,1,74,paper8-native-consumption-geometry-v1,42,0.0,172032,1,conflicting_state,71,1,1,full,42
52,1,0,1,independent_parallel-medium-s11,NATIVE_W32_LATE_ONLY,medium,0,late_only,[27],1,1,7ddebe789b53caa2,1,ANSWER= <value> resolving the deployment code>,2.4734785999171436,1,73,paper8-native-consumption-geometry-v1,52,0.0,212992,1,independent_parallel,11,1,1,32,52
52,1,0,1,independent_parallel-medium-s11,NATIVE_W64_LATE_ONLY,medium,0,late_only,[27],1,1,7ddebe789b53caa2,1,ANSWER= <value> resolving the deployment code>,2.8740230000112206,1,73,paper8-native-consumption-geometry-v1,52,0.0,212992,1,independent_parallel,11,1,1,64,52
52,1,0,1,independent_parallel-medium-s11,NATIVE_W128_LATE_ONLY,medium,0,late_only,[27],1,1,7ddebe789b53caa2,1,ANSWER= <value> resolving the deployment code>,2.6475150999613106,1,73,paper8-native-consumption-geometry-v1,52,0.0,212992,1,independent_parallel,11,1,1,128,52
52,1,0,1,independent_parallel-medium-s11,NATIVE_W256_LATE_ONLY,medium,0,late_only,[27],1,1,7ddebe789b53caa2,1,ANSWER= <value> resolving the deployment code>,2.2211889000609517,1,73,paper8-native-consumption-geometry-v1,52,0.0,212992,1,independent_parallel,11,1,1,256,52
52,1,0,1,independent_parallel-medium-s11,NATIVE_W512_LATE_ONLY,medium,0,late_only,[27],1,1,7ddebe789b53caa2,1,ANSWER= <value> resolving the deployment code>,2.4854852999560535,1,73,paper8-native-consumption-geometry-v1,52,0.0,212992,1,independent_parallel,11,1,1,512,52
52,1,0,1,independent_parallel-medium-s11,NATIVE_FULL_SELECTED_RECORD_LATE_ONLY,medium,0,late_only,[27],1,1,7ddebe789b53caa2,1,ANSWER= <value> resolving the deployment code>,2.371208099881187,1,73,paper8-native-consumption-geometry-v1,52,0.0,212992,1,independent_parallel,11,1,1,full,52
94,1,0,1,linear_dependency-medium-s23,NATIVE_W32_LATE_ONLY,medium,0,late_only,[27],1,1,ed9a5e57280fa13d,1,ANSWER= Resolve AcmeAtlas deployment state for scope t7 t7,2.8955394001677632,1,79,paper8-native-consumption-geometry-v1,94,0.0,385024,1,linear_dependency,23,2,1,32,94
94,1,0,1,linear_dependency-medium-s23,NATIVE_W64_LATE_ONLY,medium,0,late_only,[27],1,1,ed9a5e57280fa13d,1,ANSWER= Resolve AcmeAtlas deployment state for scope t7 t7,3.197743099881336,1,79,paper8-native-consumption-geometry-v1,94,0.0,385024,1,linear_dependency,23,2,1,64,94
94,1,0,1,linear_dependency-medium-s23,NATIVE_W128_LATE_ONLY,medium,0,late_only,[27],1,1,ed9a5e57280fa13d,1,ANSWER= Resolve AcmeAtlas deployment state for scope t7 t7,3.1943538999184966,1,79,paper8-native-consumption-geometry-v1,94,0.0,385024,1,linear_dependency,23,2,1,128,94
94,1,0,1,linear_dependency-medium-s23,NATIVE_W256_LATE_ONLY,medium,0,late_only,[27],1,1,ed9a5e57280fa13d,1,ANSWER= Resolve AcmeAtlas deployment state for scope t7 t7,3.2635226999409497,1,79,paper8-native-consumption-geometry-v1,94,0.0,385024,1,linear_dependency,23,2,1,256,94
94,1,0,1,linear_dependency-medium-s23,NATIVE_W512_LATE_ONLY,medium,0,late_only,[27],1,1,ed9a5e57280fa13d,1,ANSWER= Resolve AcmeAtlas deployment state for scope t7 t7,3.177368199918419,1,79,paper8-native-consumption-geometry-v1,94,0.0,385024,1,linear_dependency,23,2,1,512,94
94,1,0,1,linear_dependency-medium-s23,NATIVE_FULL_SELECTED_RECORD_LATE_ONLY,medium,0,late_only,[27],1,1,ed9a5e57280fa13d,1,ANSWER= Resolve AcmeAtlas deployment state for scope t7 t7,3.2411702999379486,1,79,paper8-native-consumption-geometry-v1,94,0.0,385024,1,linear_dependency,23,2,1,full,94
178,1,0,1,join-medium-s37,NATIVE_W32_LATE_ONLY,medium,0,late_only,[27],1,1,752a1fa84601eebe,1,ANSWER= Resolve AcmeAtlas deployment state for scope t7 t7,2.9197319999802858,1,79,paper8-native-consumption-geometry-v1,178,0.0,729088,1,join,37,4,1,32,178
178,1,0,1,join-medium-s37,NATIVE_W64_LATE_ONLY,medium,0,late_only,[27],1,1,752a1fa84601eebe,1,ANSWER= Resolve AcmeAtlas deployment state for scope t7 t7,3.3453285999130458,1,79,paper8-native-consumption-geometry-v1,178,0.0,729088,1,join,37,4,1,64,178
178,1,0,1,join-medium-s37,NATIVE_W128_LATE_ONLY,medium,0,late_only,[27],1,1,752a1fa84601eebe,1,ANSWER= Resolve AcmeAtlas deployment state for scope t7 t7,3.1758745999541134,1,79,paper8-native-consumption-geometry-v1,178,0.0,729088,1,join,37,4,1,128,178
178,1,0,1,join-medium-s37,NATIVE_W256_LATE_ONLY,medium,0,late_only,[27],1,1,752a1fa84601eebe,1,ANSWER= Resolve AcmeAtlas deployment state for scope t7 t7,3.2786302000749856,1,79,paper8-native-consumption-geometry-v1,178,0.0,729088,1,join,37,4,1,256,178
178,1,0,1,join-medium-s37,NATIVE_W512_LATE_ONLY,medium,0,late_only,[27],1,1,752a1fa84601eebe,1,ANSWER= Resolve AcmeAtlas deployment state for scope t7 t7,3.2491601000074297,1,79,paper8-native-consumption-geometry-v1,178,0.0,729088,1,join,37,4,1,512,178
178,1,0,1,join-medium-s37,NATIVE_FULL_SELECTED_RECORD_LATE_ONLY,medium,0,late_only,[27],1,1,752a1fa84601eebe,1,ANSWER= Resolve AcmeAtlas deployment state for scope t7 t7,3.0642990001942962,1,79,paper8-native-consumption-geometry-v1,178,0.0,729088,1,join,37,4,1,full,178
36,1,0,1,resumption-medium-s53,NATIVE_W32_LATE_ONLY,medium,0,late_only,[27],1,1,27577e664b8514f3,1,ANSWER= <value> resolve_acme>,2.386499800020829,1,73,paper8-native-consumption-geometry-v1,36,0.0,147456,1,resumption,53,1,1,32,36
36,1,0,1,resumption-medium-s53,NATIVE_W64_LATE_ONLY,medium,0,late_only,[27],1,1,27577e664b8514f3,1,ANSWER= <value> resolve_acme>,1.9028664000798017,1,73,paper8-native-consumption-geometry-v1,36,0.0,147456,1,resumption,53,1,1,64,36
36,1,0,1,resumption-medium-s53,NATIVE_W128_LATE_ONLY,medium,0,late_only,[27],1,1,27577e664b8514f3,1,ANSWER= <value> resolve_acme>,2.1697611999697983,1,73,paper8-native-consumption-geometry-v1,36,0.0,147456,1,resumption,53,1,1,128,36
36,1,0,1,resumption-medium-s53,NATIVE_W256_LATE_ONLY,medium,0,late_only,[27],1,1,27577e664b8514f3,1,ANSWER= <value> resolve_acme>,1.8679241999052465,1,73,paper8-native-consumption-geometry-v1,36,0.0,147456,1,resumption,53,1,1,256,36
36,1,0,1,resumption-medium-s53,NATIVE_W512_LATE_ONLY,medium,0,late_only,[27],1,1,27577e664b8514f3,1,ANSWER= <value> resolve_acme>,2.152820900082588,1,73,paper8-native-consumption-geometry-v1,36,0.0,147456,1,resumption,53,1,1,512,36
36,1,0,1,resumption-medium-s53,NATIVE_FULL_SELECTED_RECORD_LATE_ONLY,medium,0,late_only,[27],1,1,27577e664b8514f3,1,ANSWER= <value> resolve_acme>,2.198831900022924,1,73,paper8-native-consumption-geometry-v1,36,0.0,147456,1,resumption,53,1,1,full,36
41,1,0,1,conflicting_state-medium-s71,NATIVE_W32_LATE_ONLY,medium,0,late_only,[27],1,1,ad939ec1780a097c,1,ANSWER= <value> resolve_acme>,2.143845200072974,1,74,paper8-native-consumption-geometry-v1,41,0.0,167936,1,conflicting_state,71,1,1,32,41
41,1,0,1,conflicting_state-medium-s71,NATIVE_W64_LATE_ONLY,medium,0,late_only,[27],1,1,ad939ec1780a097c,1,ANSWER= <value> resolve_acme>,1.9845815000589937,1,74,paper8-native-consumption-geometry-v1,41,0.0,167936,1,conflicting_state,71,1,1,64,41
41,1,0,1,conflicting_state-medium-s71,NATIVE_W128_LATE_ONLY,medium,0,late_only,[27],1,1,ad939ec1780a097c,1,ANSWER= <value> resolve_acme>,2.1658763999585062,1,74,paper8-native-consumption-geometry-v1,41,0.0,167936,1,conflicting_state,71,1,1,128,41
41,1,0,1,conflicting_state-medium-s71,NATIVE_W256_LATE_ONLY,medium,0,late_only,[27],1,1,ad939ec1780a097c,1,ANSWER= <value> resolve_acme>,1.7806126000359654,1,74,paper8-native-consumption-geometry-v1,41,0.0,167936,1,conflicting_state,71,1,1,256,41
41,1,0,1,conflicting_state-medium-s71,NATIVE_W512_LATE_ONLY,medium,0,late_only,[27],1,1,ad939ec1780a097c,1,ANSWER= <value> resolve_acme>,2.071951299905777,1,74,paper8-native-consumption-geometry-v1,41,0.0,167936,1,conflicting_state,71,1,1,512,41
41,1,0,1,conflicting_state-medium-s71,NATIVE_FULL_SELECTED_RECORD_LATE_ONLY,medium,0,late_only,[27],1,1,ad939ec1780a097c,1,ANSWER= <value> resolve_acme>,2.1777049000374973,1,74,paper8-native-consumption-geometry-v1,41,0.0,167936,1,conflicting_state,71,1,1,full,41
56,1,0,1,independent_parallel-high-s11,NATIVE_W32_LATE_ONLY,high,0,late_only,[27],1,1,d64bd6a99fbf47db,1,ANSWER= <code>Verification Code for scope t7772222228889,4.646955900127068,1,76,paper8-native-consumption-geometry-v1,56,0.0,229376,1,independent_parallel,11,1,1,32,56
56,1,0,1,independent_parallel-high-s11,NATIVE_W64_LATE_ONLY,high,0,late_only,[27],1,1,d64bd6a99fbf47db,1,ANSWER= <code>Verification Code for scope t7772222228889,4.347255599917844,1,76,paper8-native-consumption-geometry-v1,56,0.0,229376,1,independent_parallel,11,1,1,64,56
56,1,0,1,independent_parallel-high-s11,NATIVE_W128_LATE_ONLY,high,0,late_only,[27],1,1,d64bd6a99fbf47db,1,ANSWER= <code>Verification Code for scope t7772222228889,4.24132620007731,1,76,paper8-native-consumption-geometry-v1,56,0.0,229376,1,independent_parallel,11,1,1,128,56
56,1,0,1,independent_parallel-high-s11,NATIVE_W256_LATE_ONLY,high,0,late_only,[27],1,1,d64bd6a99fbf47db,1,ANSWER= <code>Verification Code for scope t7772222228889,4.425909300101921,1,76,paper8-native-consumption-geometry-v1,56,0.0,229376,1,independent_parallel,11,1,1,256,56
56,1,0,1,independent_parallel-high-s11,NATIVE_W512_LATE_ONLY,high,0,late_only,[27],1,1,d64bd6a99fbf47db,1,ANSWER= <code>Verification Code for scope t7772222228889,4.26432770001702,1,76,paper8-native-consumption-geometry-v1,56,0.0,229376,1,independent_parallel,11,1,1,512,56
56,1,0,1,independent_parallel-high-s11,NATIVE_FULL_SELECTED_RECORD_LATE_ONLY,high,0,late_only,[27],1,1,d64bd6a99fbf47db,1,ANSWER= <code>Verification Code for scope t7772222228889,4.463299100054428,1,76,paper8-native-consumption-geometry-v1,56,0.0,229376,1,independent_parallel,11,1,1,full,56
98,1,0,1,linear_dependency-high-s23,NATIVE_W32_LATE_ONLY,high,0,late_only,[27],1,1,25010e4a82bd59ef,1,ANSWER= Resolve Acmeplete the status of Acme Atlas release status and verification code for t7 t7 t,4.260087599977851,1,82,paper8-native-consumption-geometry-v1,98,0.0,401408,1,linear_dependency,23,2,1,32,98
98,1,0,1,linear_dependency-high-s23,NATIVE_W64_LATE_ONLY,high,0,late_only,[27],1,1,25010e4a82bd59ef,1,ANSWER= Resolve Acmeplete the status of Acme Atlas release status and verification code for t7 t7 t,4.255150600103661,1,82,paper8-native-consumption-geometry-v1,98,0.0,401408,1,linear_dependency,23,2,1,64,98
98,1,0,1,linear_dependency-high-s23,NATIVE_W128_LATE_ONLY,high,0,late_only,[27],1,1,25010e4a82bd59ef,1,ANSWER= Resolve Acmeplete the status of Acme Atlas release status and verification code for t7 t7 t,4.517848000163212,1,82,paper8-native-consumption-geometry-v1,98,0.0,401408,1,linear_dependency,23,2,1,128,98
98,1,0,1,linear_dependency-high-s23,NATIVE_W256_LATE_ONLY,high,0,late_only,[27],1,1,25010e4a82bd59ef,1,ANSWER= Resolve Acmeplete the status of Acme Atlas release status and verification code for t7 t7 t,4.652403499931097,1,82,paper8-native-consumption-geometry-v1,98,0.0,401408,1,linear_dependency,23,2,1,256,98
98,1,0,1,linear_dependency-high-s23,NATIVE_W512_LATE_ONLY,high,0,late_only,[27],1,1,25010e4a82bd59ef,1,ANSWER= Resolve Acmeplete the status of Acme Atlas release status and verification code for t7 t7 t,4.193873800104484,1,82,paper8-native-consumption-geometry-v1,98,0.0,401408,1,linear_dependency,23,2,1,512,98
98,1,0,1,linear_dependency-high-s23,NATIVE_FULL_SELECTED_RECORD_LATE_ONLY,high,0,late_only,[27],1,1,25010e4a82bd59ef,1,ANSWER= Resolve Acmeplete the status of Acme Atlas release status and verification code for t7 t7 t,4.6163726998493075,1,82,paper8-native-consumption-geometry-v1,98,0.0,401408,1,linear_dependency,23,2,1,full,98
171,0,0,0,join-high-s37,NATIVE_W32_LATE_ONLY,high,0,late_only,[27],0,1,6124e6256f498ce9,0,ANSWER= Resolve Acmeplete the status of Acme Atlas release status and verification code for t7 t7 t,4.353180699981749,0,82,paper8-native-consumption-geometry-v1,171,0.0,700416,1,join,37,4,1,32,171
188,1,0,1,join-high-s37,NATIVE_W64_LATE_ONLY,high,0,late_only,[27],1,1,6124e6256f498ce9,1,ANSWER= Resolve Acmeplete the status of Acme Atlas release status and verification code for t7 t7 t,4.422037800075486,1,82,paper8-native-consumption-geometry-v1,188,0.0,770048,1,join,37,4,1,64,188
188,1,0,1,join-high-s37,NATIVE_W128_LATE_ONLY,high,0,late_only,[27],1,1,6124e6256f498ce9,1,ANSWER= Resolve Acmeplete the status of Acme Atlas release status and verification code for t7 t7 t,4.520995799917728,1,82,paper8-native-consumption-geometry-v1,188,0.0,770048,1,join,37,4,1,128,188
188,1,0,1,join-high-s37,NATIVE_W256_LATE_ONLY,high,0,late_only,[27],1,1,6124e6256f498ce9,1,ANSWER= Resolve Acmeplete the status of Acme Atlas release status and verification code for t7 t7 t,4.031448499998078,1,82,paper8-native-consumption-geometry-v1,188,0.0,770048,1,join,37,4,1,256,188
188,1,0,1,join-high-s37,NATIVE_W512_LATE_ONLY,high,0,late_only,[27],1,1,6124e6256f498ce9,1,ANSWER= Resolve Acmeplete the status of Acme Atlas release status and verification code for t7 t7 t,4.39965709997341,1,82,paper8-native-consumption-geometry-v1,188,0.0,770048,1,join,37,4,1,512,188
188,1,0,1,join-high-s37,NATIVE_FULL_SELECTED_RECORD_LATE_ONLY,high,0,late_only,[27],1,1,6124e6256f498ce9,1,ANSWER= Resolve Acmeplete the status of Acme Atlas release status and verification code for t7 t7 t,4.495924599934369,1,82,paper8-native-consumption-geometry-v1,188,0.0,770048,1,join,37,4,1,full,188
38,1,0,1,resumption-high-s53,NATIVE_W32_LATE_ONLY,high,0,late_only,[27],1,1,09391030aaf11c8c,1,ANSWER= <value> resolved>resolved>0000000000000,4.309543800074607,1,76,paper8-native-consumption-geometry-v1,38,0.0,155648,1,resumption,53,1,1,32,38
38,1,0,1,resumption-high-s53,NATIVE_W64_LATE_ONLY,high,0,late_only,[27],1,1,09391030aaf11c8c,1,ANSWER= <value> resolved>resolved>0000000000000,4.209462699946016,1,76,paper8-native-consumption-geometry-v1,38,0.0,155648,1,resumption,53,1,1,64,38
38,1,0,1,resumption-high-s53,NATIVE_W128_LATE_ONLY,high,0,late_only,[27],1,1,09391030aaf11c8c,1,ANSWER= <value> resolved>resolved>0000000000000,4.130713199963793,1,76,paper8-native-consumption-geometry-v1,38,0.0,155648,1,resumption,53,1,1,128,38
38,1,0,1,resumption-high-s53,NATIVE_W256_LATE_ONLY,high,0,late_only,[27],1,1,09391030aaf11c8c,1,ANSWER= <value> resolved>resolved>0000000000000,4.247362799942493,1,76,paper8-native-consumption-geometry-v1,38,0.0,155648,1,resumption,53,1,1,256,38
38,1,0,1,resumption-high-s53,NATIVE_W512_LATE_ONLY,high,0,late_only,[27],1,1,09391030aaf11c8c,1,ANSWER= <value> resolved>resolved>0000000000000,4.4184292000718415,1,76,paper8-native-consumption-geometry-v1,38,0.0,155648,1,resumption,53,1,1,512,38
38,1,0,1,resumption-high-s53,NATIVE_FULL_SELECTED_RECORD_LATE_ONLY,high,0,late_only,[27],1,1,09391030aaf11c8c,1,ANSWER= <value> resolved>resolved>0000000000000,4.71466700010933,1,76,paper8-native-consumption-geometry-v1,38,0.0,155648,1,resumption,53,1,1,full,38
41,1,0,1,conflicting_state-high-s71,NATIVE_W32_LATE_ONLY,high,0,late_only,[27],1,1,5567a90ed92997ce,1,ANSWER= <value> resolve_acme>,2.0698547000065446,1,74,paper8-native-consumption-geometry-v1,41,0.0,167936,1,conflicting_state,71,1,1,32,41
41,1,0,1,conflicting_state-high-s71,NATIVE_W64_LATE_ONLY,high,0,late_only,[27],1,1,5567a90ed92997ce,1,ANSWER= <value> resolve_acme>,1.6792720998637378,1,74,paper8-native-consumption-geometry-v1,41,0.0,167936,1,conflicting_state,71,1,1,64,41
41,1,0,1,conflicting_state-high-s71,NATIVE_W128_LATE_ONLY,high,0,late_only,[27],1,1,5567a90ed92997ce,1,ANSWER= <value> resolve_acme>,2.022133900085464,1,74,paper8-native-consumption-geometry-v1,41,0.0,167936,1,conflicting_state,71,1,1,128,41
41,1,0,1,conflicting_state-high-s71,NATIVE_W256_LATE_ONLY,high,0,late_only,[27],1,1,5567a90ed92997ce,1,ANSWER= <value> resolve_acme>,2.152061800006777,1,74,paper8-native-consumption-geometry-v1,41,0.0,167936,1,conflicting_state,71,1,1,256,41
41,1,0,1,conflicting_state-high-s71,NATIVE_W512_LATE_ONLY,high,0,late_only,[27],1,1,5567a90ed92997ce,1,ANSWER= <value> resolve_acme>,1.9678098999429494,1,74,paper8-native-consumption-geometry-v1,41,0.0,167936,1,conflicting_state,71,1,1,512,41
41,1,0,1,conflicting_state-high-s71,NATIVE_FULL_SELECTED_RECORD_LATE_ONLY,high,0,late_only,[27],1,1,5567a90ed92997ce,1,ANSWER= <value> resolve_acme>,1.9955941999796778,1,74,paper8-native-consumption-geometry-v1,41,0.0,167936,1,conflicting_state,71,1,1,full,41
