active_native_tokens,answer_correct,case_id,condition,confusability,constraint_violation,evidence_available,evidence_materialized,evidence_selected,format_compliant,generated_text,generation_seconds,materialization_seconds,oracle_task_graph,prompt_tokens,protocol,required_evidence_use,routing_seconds,scenario,seed,candidate_native_tokens,candidate_records,cross_task_contamination,index_seconds,materialized_bytes,post_materialization_resident_detail_kv_bytes,post_materialization_routing_index_bytes,query_encoding_seconds,requested_native_tokens,required_record_recall,required_records,resident_detail_kv_bytes,router,routing_index_bytes,scope_policy,selected_chunks,selected_records,top_k,consumption_mode
201,0,join-low-s37,PRA_TASK_STRUCT,low,0,1,1,1,1,ANSWER= Resolve legal filing for scope t7,2.0679261998739094,4.064754100050777,1,76,paper8-production-pra-oracle-scope-v1,0.0,0.21590489987283945,join,37,201,4,0.0,0.9235706999897957,3545,9596928,157696,0.1659373000729829,201,1.0,3,823296,paper7_native_hybrid,16384,task_structural,8,4,8,
0,0,join-low-s37,PRA_SESSION_VISIBLE,low,1,0,0,0,1,ANSWER=ember + amber + lil + lilac + delta,3.2900145000312477,4.678713700035587,1,403,paper8-production-pra-oracle-scope-v1,0.3333333333333333,0.23265899997204542,join,37,406,8,0.6,1.6294437998440117,3858,10866688,180224,0.14445789996534586,210,0.3333333333333333,3,1662976,paper7_native_hybrid,32768,session,8,5,8,typed_selected_detail
0,0,join-low-s37,PRA_TASK_LOCAL_VISIBLE,low,1,0,0,0,1,ANSWER=ember +,1.3381094001233578,0.9858305999077857,1,167,paper8-production-pra-oracle-scope-v1,0.0,0.11973079992458224,join,37,58,1,0.0,0.2152813000138849,933,2502656,40960,0.15780150005593896,58,0.0,3,237568,paper7_native_hybrid,4096,task_local,2,1,8,typed_selected_detail
0,0,join-low-s37,PRA_TASK_STRUCT_VISIBLE,low,1,1,1,1,1,ANSWER=ember + delta + birch,2.53868420002982,4.026706500211731,1,394,paper8-production-pra-oracle-scope-v1,0.6666666666666666,0.17532040015794337,join,37,201,4,0.0,0.9933444999624044,3545,9596928,157696,0.16935250000096858,201,1.0,3,823296,paper7_native_hybrid,16384,task_structural,8,4,8,typed_selected_detail
0,0,resumption-low-s53,FULL_SESSION,low,1,1,1,1,1,ANSWER=onyx,2.001310500083491,0.0,1,528,paper8-production-pra-oracle-scope-v1,0.0,0.0,resumption,53,,,,,,,,,,,,,,,,,,,
0,1,resumption-low-s53,FULL_TASK_SCOPE,low,0,1,1,1,1,ANSWER=nectar,1.1034970001783222,0.0,1,122,paper8-production-pra-oracle-scope-v1,1.0,0.0,resumption,53,,,,,,,,,,,,,,,,,,,
0,1,resumption-low-s53,COMPACT_ONLY,low,0,1,1,1,1,ANSWER=nectar,2.0294186000246555,0.0,1,519,paper8-production-pra-oracle-scope-v1,1.0,0.0,resumption,53,,,,,,,,,,,,,,,,,,,
186,0,resumption-low-s53,PRA_SESSION,low,0,1,1,1,1,ANSWER= <verification_code>0>000000000000000,4.867581799859181,4.737562699941918,1,70,paper8-production-pra-oracle-scope-v1,0.0,0.22355760005302727,resumption,53,410,8,0.8,1.7212752001360059,3759,10874880,180224,0.21254349988885224,186,1.0,1,1679360,paper7_native_hybrid,32768,session,8,5,8,
41,0,resumption-low-s53,PRA_TASK_LOCAL,low,0,1,1,1,1,ANSWER= <verification_code>0>000000000000000,4.492244199849665,0.9795923999045044,1,70,paper8-production-pra-oracle-scope-v1,0.0,0.12109380005858839,resumption,53,41,1,0.0,0.22180849988944829,848,2314240,38912,0.1507290001027286,41,1.0,1,167936,paper7_native_hybrid,4096,task_local,2,1,8,
41,0,resumption-low-s53,PRA_TASK_STRUCT,low,0,1,1,1,1,ANSWER= <verification_code>0>000000000000000,4.43315410008654,0.9831538000144064,1,70,paper8-production-pra-oracle-scope-v1,0.0,0.09964039991609752,resumption,53,41,1,0.0,0.2311270001810044,848,2338816,38912,0.16040469985455275,41,1.0,1,167936,paper7_native_hybrid,4096,task_structural,2,1,8,
0,1,resumption-low-s53,PRA_SESSION_VISIBLE,low,0,1,1,1,1,ANSWER=nectar,1.318674499867484,4.526395499939099,1,374,paper8-production-pra-oracle-scope-v1,1.0,0.2368773000780493,resumption,53,410,8,0.8,1.6400538999587297,3759,10874880,180224,0.15762240020558238,186,1.0,1,1679360,paper7_native_hybrid,32768,session,8,5,8,typed_selected_detail
0,1,resumption-low-s53,PRA_TASK_LOCAL_VISIBLE,low,0,1,1,1,1,ANSWER=nectar,1.2599849000107497,1.0623238999396563,1,144,paper8-production-pra-oracle-scope-v1,1.0,0.09210410015657544,resumption,53,41,1,0.0,0.35523589979857206,848,2314240,38912,0.2050969998817891,41,1.0,1,167936,paper7_native_hybrid,4096,task_local,2,1,8,typed_selected_detail
0,1,resumption-low-s53,PRA_TASK_STRUCT_VISIBLE,low,0,1,1,1,1,ANSWER=nectar,1.1165262998547405,0.9986437000334263,1,144,paper8-production-pra-oracle-scope-v1,1.0,0.14130660006776452,resumption,53,41,1,0.0,0.2298061999026686,848,2338816,38912,0.12588689988479018,41,1.0,1,167936,paper7_native_hybrid,4096,task_structural,2,1,8,typed_selected_detail
0,0,conflicting_state-low-s71,FULL_SESSION,low,1,1,1,1,1,ANSWER=iris,1.8470600999426097,0.0,1,571,paper8-production-pra-oracle-scope-v1,0.0,0.0,conflicting_state,71,,,,,,,,,,,,,,,,,,,
0,1,conflicting_state-low-s71,FULL_TASK_SCOPE,low,0,1,1,1,1,ANSWER= lilac,1.2769011999480426,0.0,1,138,paper8-production-pra-oracle-scope-v1,1.0,0.0,conflicting_state,71,,,,,,,,,,,,,,,,,,,
0,0,conflicting_state-low-s71,COMPACT_ONLY,low,0,0,1,1,1,ANSWER=jasmine,1.9783013998530805,0.0,1,530,paper8-production-pra-oracle-scope-v1,0.0,0.0,conflicting_state,71,,,,,,,,,,,,,,,,,,,
252,0,conflicting_state-low-s71,PRA_SESSION,low,0,0,0,1,1,ANSWER= <value> resolve_acme>,2.249557300005108,4.9764060000889,1,74,paper8-production-pra-oracle-scope-v1,0.0,0.2651875000447035,conflicting_state,71,433,8,0.8333333333333334,1.6324613997712731,4280,11894784,194560,0.18607089994475245,252,1.0,1,1773568,paper7_native_hybrid,32768,session,8,6,8,
50,0,conflicting_state-low-s71,PRA_TASK_LOCAL,low,0,1,1,1,1,ANSWER= <value> resolve_acme>,1.887563600204885,1.0204276000149548,1,74,paper8-production-pra-oracle-scope-v1,0.0,0.11091300006955862,conflicting_state,71,50,1,0.0,0.2382506998255849,909,2387968,38912,0.17149089998565614,50,1.0,1,204800,paper7_native_hybrid,4096,task_local,2,1,8,
50,0,conflicting_state-low-s71,PRA_TASK_STRUCT,low,0,1,1,1,1,ANSWER= <value> resolve_acme>,2.2649435999337584,0.9456056000199169,1,74,paper8-production-pra-oracle-scope-v1,0.0,0.10063169989734888,conflicting_state,71,50,1,0.0,0.22705089999362826,909,2412544,38912,0.20278709987178445,50,1.0,1,204800,paper7_native_hybrid,4096,task_structural,2,1,8,
0,0,conflicting_state-low-s71,PRA_SESSION_VISIBLE,low,0,0,0,1,1,ANSWER=mosh.,2.047031700145453,5.117926999926567,1,460,paper8-production-pra-oracle-scope-v1,0.0,0.309211399871856,conflicting_state,71,433,8,0.8333333333333334,1.6554684999864548,4280,11894784,194560,0.1602734001353383,252,1.0,1,1773568,paper7_native_hybrid,32768,session,8,6,8,typed_selected_detail
0,1,conflicting_state-low-s71,PRA_TASK_LOCAL_VISIBLE,low,0,1,1,1,1,ANSWER= lilac,1.1960835000500083,1.0686210999265313,1,162,paper8-production-pra-oracle-scope-v1,1.0,0.1129882000386715,conflicting_state,71,50,1,0.0,0.24148129997774959,909,2387968,38912,0.18255989998579025,50,1.0,1,204800,paper7_native_hybrid,4096,task_local,2,1,8,typed_selected_detail
0,1,conflicting_state-low-s71,PRA_TASK_STRUCT_VISIBLE,low,0,1,1,1,1,ANSWER= lilac,1.338163600070402,1.0532762999646366,1,162,paper8-production-pra-oracle-scope-v1,1.0,0.09522100002504885,conflicting_state,71,50,1,0.0,0.24909139983356,909,2412544,38912,0.20019200001843274,50,1.0,1,204800,paper7_native_hybrid,4096,task_structural,2,1,8,typed_selected_detail
0,1,independent_parallel-medium-s11,FULL_SESSION,medium,0,1,1,1,1,ANSWER=zenith,1.929717999882996,0.0,1,559,paper8-production-pra-oracle-scope-v1,1.0,0.0,independent_parallel,11,,,,,,,,,,,,,,,,,,,
0,1,independent_parallel-medium-s11,FULL_TASK_SCOPE,medium,0,1,1,1,1,ANSWER=zenith,1.3250085001345724,0.0,1,145,paper8-production-pra-oracle-scope-v1,1.0,0.0,independent_parallel,11,,,,,,,,,,,,,,,,,,,
0,0,independent_parallel-medium-s11,COMPACT_ONLY,medium,1,0,1,1,1,ANSWER=willow,1.8138782000169158,0.0,1,531,paper8-production-pra-oracle-scope-v1,0.0,0.0,independent_parallel,11,,,,,,,,,,,,,,,,,,,
252,0,independent_parallel-medium-s11,PRA_SESSION,medium,0,1,1,1,1,ANSWER= <value> resolved>,1.6626649999525398,5.477671700064093,1,73,paper8-production-pra-oracle-scope-v1,0.0,0.3089454001747072,independent_parallel,11,430,8,0.8571428571428571,1.677507899934426,4425,12201984,202752,0.2167068999260664,252,1.0,1,1761280,paper7_native_hybrid,32768,session,8,7,8,
60,0,independent_parallel-medium-s11,PRA_TASK_LOCAL,medium,0,1,1,1,1,ANSWER= <value> resolving the deployment code>,2.4371231000404805,0.9971189999487251,1,73,paper8-production-pra-oracle-scope-v1,0.0,0.10577230015769601,independent_parallel,11,60,1,0.0,0.21684460015967488,950,2457600,38912,0.1764491000212729,60,1.0,1,245760,paper7_native_hybrid,4096,task_local,2,1,8,
60,0,independent_parallel-medium-s11,PRA_TASK_STRUCT,medium,0,1,1,1,1,ANSWER= <value> resolving the deployment code>,2.3753692000173032,1.0423004999756813,1,73,paper8-production-pra-oracle-scope-v1,0.0,0.12445919984020293,independent_parallel,11,60,1,0.0,0.19774580001831055,950,2551808,40960,0.12375669996254146,60,1.0,1,245760,paper7_native_hybrid,4096,task_structural,2,1,8,
0,1,independent_parallel-medium-s11,PRA_SESSION_VISIBLE,medium,0,1,1,1,1,ANSWER=zenith,2.5599112000782043,5.5542444998864084,1,451,paper8-production-pra-oracle-scope-v1,1.0,0.2529344998765737,independent_parallel,11,430,8,0.8571428571428571,1.7247353999409825,4425,12201984,202752,0.12362849991768599,252,1.0,1,1761280,paper7_native_hybrid,32768,session,8,7,8,typed_selected_detail
0,1,independent_parallel-medium-s11,PRA_TASK_LOCAL_VISIBLE,medium,0,1,1,1,1,ANSWER=zenith,1.0397876999340951,0.9920125999487936,1,169,paper8-production-pra-oracle-scope-v1,1.0,0.09683519997633994,independent_parallel,11,60,1,0.0,0.30049340007826686,950,2457600,38912,0.19709249981679022,60,1.0,1,245760,paper7_native_hybrid,4096,task_local,2,1,8,typed_selected_detail
0,1,independent_parallel-medium-s11,PRA_TASK_STRUCT_VISIBLE,medium,0,1,1,1,1,ANSWER=zenith,1.2930419000331312,1.05706929997541,1,169,paper8-production-pra-oracle-scope-v1,1.0,0.1684778998605907,independent_parallel,11,60,1,0.0,0.1683459000196308,950,2551808,40960,0.09638600004836917,60,1.0,1,245760,paper7_native_hybrid,4096,task_structural,2,1,8,typed_selected_detail
0,0,linear_dependency-medium-s23,FULL_SESSION,medium,0,1,1,1,1,ANSWER=+t7+lilac,2.8311526998877525,0.0,1,563,paper8-production-pra-oracle-scope-v1,0.5,0.0,linear_dependency,23,,,,,,,,,,,,,,,,,,,
0,1,linear_dependency-medium-s23,FULL_TASK_SCOPE,medium,0,1,1,1,1,ANSWER=+kelp+lilac,2.2559674999210984,0.0,1,208,paper8-production-pra-oracle-scope-v1,1.0,0.0,linear_dependency,23,,,,,,,,,,,,,,,,,,,
0,0,linear_dependency-medium-s23,COMPACT_ONLY,medium,1,0,1,1,1,ANSWER=+elm+iris+iris+iris,3.08788949996233,0.0,1,533,paper8-production-pra-oracle-scope-v1,0.0,0.0,linear_dependency,23,,,,,,,,,,,,,,,,,,,
256,0,linear_dependency-medium-s23,PRA_SESSION,medium,0,0,0,1,1,ANSWER= Resolve AcmeAtlas deployment state for scope t7 t7,3.1711079999804497,5.890075800009072,1,79,paper8-production-pra-oracle-scope-v1,0.0,0.2587770998943597,linear_dependency,23,428,8,0.75,1.6084594000130892,4663,12984320,212992,0.2084591998718679,256,1.0,2,1753088,paper7_native_hybrid,32768,session,8,8,8,
61,0,linear_dependency-medium-s23,PRA_TASK_LOCAL,medium,0,0,0,0,1,ANSWER= Resolve AcmeAtlas deployment state for scope t7 t7,3.162383999908343,1.007050600135699,1,79,paper8-production-pra-oracle-scope-v1,0.0,0.16395980003289878,linear_dependency,23,61,1,0.0,0.1778450000565499,946,2441216,38912,0.11545569985173643,61,0.5,2,249856,paper7_native_hybrid,4096,task_local,2,1,8,
110,0,linear_dependency-medium-s23,PRA_TASK_STRUCT,medium,0,1,1,1,1,ANSWER= Resolve AcmeAtlas deployment state for scope t7 t7,3.244846499990672,2.0160362001042813,1,79,paper8-production-pra-oracle-scope-v1,0.0,0.11607059999369085,linear_dependency,23,110,2,0.0,0.4549122001044452,1846,4771840,77824,0.19340229989029467,110,1.0,2,450560,paper7_native_hybrid,8192,task_structural,4,2,8,
0,0,linear_dependency-medium-s23,PRA_SESSION_VISIBLE,medium,0,0,0,1,1,ANSWER=+lil+,2.4438024999108166,6.19508309988305,1,461,paper8-production-pra-oracle-scope-v1,0.0,0.24197600013576448,linear_dependency,23,428,8,0.75,1.5137598000001162,4663,12984320,212992,0.16540529998019338,256,1.0,2,1753088,paper7_native_hybrid,32768,session,8,8,8,typed_selected_detail
0,0,linear_dependency-medium-s23,PRA_TASK_LOCAL_VISIBLE,medium,0,0,0,0,1,ANSWER=+lilac+lil+,2.4508904998656362,1.0010148000437766,1,176,paper8-production-pra-oracle-scope-v1,0.5,0.12080350005999207,linear_dependency,23,61,1,0.0,0.29332730011083186,946,2441216,38912,0.19308019988238811,61,0.5,2,249856,paper7_native_hybrid,4096,task_local,2,1,8,typed_selected_detail
0,1,linear_dependency-medium-s23,PRA_TASK_STRUCT_VISIBLE,medium,0,1,1,1,1,ANSWER=+lilac +kelp,2.1892551998607814,1.9700674000196159,1,256,paper8-production-pra-oracle-scope-v1,1.0,0.17061099992133677,linear_dependency,23,110,2,0.0,0.48682470014318824,1846,4771840,77824,0.1415814000647515,110,1.0,2,450560,paper7_native_hybrid,8192,task_structural,4,2,8,typed_selected_detail
0,0,join-medium-s37,FULL_SESSION,medium,1,1,1,1,1,ANSWER=+linen+kernel+harbor+indigo+juniper+kernel+linen,4.943719799863175,0.0,1,549,paper8-production-pra-oracle-scope-v1,1.0,0.0,join,37,,,,,,,,,,,,,,,,,,,
0,0,join-medium-s37,FULL_TASK_SCOPE,medium,1,1,1,1,1,ANSWER=+kernel+linen+indigo,2.39730600011535,0.0,1,316,paper8-production-pra-oracle-scope-v1,0.6666666666666666,0.0,join,37,,,,,,,,,,,,,,,,,,,
0,0,join-medium-s37,COMPACT_ONLY,medium,0,0,1,1,1,ANSWER=Task t7. Resolve Acme Atlas deployment state for scope t7.,3.9345873000565916,0.0,1,530,paper8-production-pra-oracle-scope-v1,0.0,0.0,join,37,,,,,,,,,,,,,,,,,,,
250,0,join-medium-s37,PRA_SESSION,medium,0,0,0,0,1,ANSWER= Resolve AcmeAtlas deployment state for scope t7 t7,2.8552937998902053,4.905267399968579,1,79,paper8-production-pra-oracle-scope-v1,0.0,0.2392607000656426,join,37,422,8,0.6666666666666666,1.6884287998545915,4201,12005376,198656,0.1491737999022007,250,0.3333333333333333,3,1728512,paper7_native_hybrid,32768,session,8,6,8,
61,0,join-medium-s37,PRA_TASK_LOCAL,medium,0,0,0,0,1,ANSWER= Resolve AcmeAtlas deployment state for scope t7 t7,2.7595107001252472,0.9914553000126034,1,79,paper8-production-pra-oracle-scope-v1,0.0,0.11684260005131364,join,37,61,1,0.0,0.2055649000685662,947,2523136,40960,0.15901759988628328,61,0.0,3,249856,paper7_native_hybrid,4096,task_local,2,1,8,
210,0,join-medium-s37,PRA_TASK_STRUCT,medium,0,1,1,1,1,ANSWER= Resolve AcmeAtlas deployment state for scope t7 t7,2.9797379998490214,3.9619093001820147,1,79,paper8-production-pra-oracle-scope-v1,0.0,0.17466899985447526,join,37,210,4,0.0,0.9456650000065565,3603,9388032,151552,0.18539780005812645,210,1.0,3,860160,paper7_native_hybrid,16384,task_structural,8,4,8,
0,0,join-medium-s37,PRA_SESSION_VISIBLE,medium,0,0,0,0,1,ANSWER=+t7 +t3 +t0,2.656710499897599,4.965037800138816,1,447,paper8-production-pra-oracle-scope-v1,0.0,0.27806379995308816,join,37,422,8,0.6666666666666666,1.7433051001280546,4201,12005376,198656,0.1515067999716848,250,0.3333333333333333,3,1728512,paper7_native_hybrid,32768,session,8,6,8,typed_selected_detail
0,0,join-medium-s37,PRA_TASK_LOCAL_VISIBLE,medium,1,0,0,0,1,ANSWER=+linen.,1.6274471001233906,1.0520446000155061,1,174,paper8-production-pra-oracle-scope-v1,0.0,0.11978919990360737,join,37,61,1,0.0,0.22711690003052354,947,2523136,40960,0.16494080005213618,61,0.0,3,249856,paper7_native_hybrid,4096,task_local,2,1,8,typed_selected_detail
0,0,join-medium-s37,PRA_TASK_STRUCT_VISIBLE,medium,0,1,1,1,1,ANSWER=join-medium-s37:record:t7:7 + join-medium-s37:record:t5,4.896459100069478,4.036958700045943,1,408,paper8-production-pra-oracle-scope-v1,0.0,0.19652780005708337,join,37,210,4,0.0,0.7249080000910908,3603,9388032,151552,0.09704360016621649,210,1.0,3,860160,paper7_native_hybrid,16384,task_structural,8,4,8,typed_selected_detail
0,0,resumption-medium-s53,FULL_SESSION,medium,1,1,1,1,1,ANSWER=willow,1.8251565000973642,0.0,1,550,paper8-production-pra-oracle-scope-v1,0.0,0.0,resumption,53,,,,,,,,,,,,,,,,,,,
0,1,resumption-medium-s53,FULL_TASK_SCOPE,medium,0,1,1,1,1,ANSWER=umber,0.9197730999439955,0.0,1,128,paper8-production-pra-oracle-scope-v1,1.0,0.0,resumption,53,,,,,,,,,,,,,,,,,,,
0,1,resumption-medium-s53,COMPACT_ONLY,medium,0,1,1,1,1,ANSWER=umber,1.711376199964434,0.0,1,527,paper8-production-pra-oracle-scope-v1,1.0,0.0,resumption,53,,,,,,,,,,,,,,,,,,,
233,0,resumption-medium-s53,PRA_SESSION,medium,0,1,1,1,1,ANSWER= <value> resolve_acme>,1.7856075000017881,4.836701099993661,1,73,paper8-production-pra-oracle-scope-v1,0.0,0.23163489997386932,resumption,53,429,8,0.8333333333333334,1.6082386001944542,4119,11726848,192512,0.15909809991717339,233,1.0,1,1757184,paper7_native_hybrid,32768,session,8,6,8,
44,0,resumption-medium-s53,PRA_TASK_LOCAL,medium,0,1,1,1,1,ANSWER= <value> resolve_acme>,1.9932074998505414,0.9670410000253469,1,73,paper8-production-pra-oracle-scope-v1,0.0,0.10566140012815595,resumption,53,44,1,0.0,0.39568280009552836,871,2150400,36864,0.17985800001770258,44,1.0,1,180224,paper7_native_hybrid,4096,task_local,2,1,8,
44,0,resumption-medium-s53,PRA_TASK_STRUCT,medium,0,1,1,1,1,ANSWER= <value> resolve_acme>,1.9369089999236166,0.9547083999495953,1,73,paper8-production-pra-oracle-scope-v1,0.0,0.09698150004260242,resumption,53,44,1,0.0,0.20887560001574457,871,2199552,36864,0.16586360009387136,44,1.0,1,180224,paper7_native_hybrid,4096,task_structural,2,1,8,
