dataset,example_id,condition,kind,question,answer,answer_tokens,prompt_tokens,generated_answer,generation_seconds,active_memory_kv_tokens,evidence_parent_chunks,evidence_guaranteed,chunks_budget_rejected,native_limit_violations,memory_attention_mass,evidence_attention_mass,gold_sequence_logprob,gold_mean_token_logprob,gold_first_token_probability,gold_first_token_rank,teacher_forced_seconds,direct_context_attention_mass,em,f1,answer_contained,gold_logprob_delta_vs_none,gold_mean_logprob_delta_vs_none
hotpotqa,5ab56db7554299494045efc6,oracle_last_2,oracle,Maine State Route 111 connects Alfred to Biddenford but what county is Alfred in?,York County,2,39,Alfred is in the county of Maine,0.7412474000011571,256,4,True,0,0,0.5088055580854416,0.4732681065797806,-21.78264808654785,-10.891324043273926,3.5214142712902685e-10,1876,0.15644970000721514,,0.0,0.22222222222222224,0.0,2.2244129180908203,1.1122064590454102
hotpotqa,5ab56db7554299494045efc6,oracle_last_4,oracle,Maine State Route 111 connects Alfred to Biddenford but what county is Alfred in?,York County,2,39,Alfred is in the county of Maine,0.787861899996642,512,4,True,0,0,0.49184706807136536,0.4615180119872093,-19.648630142211914,-9.824315071105957,2.9785724997566376e-09,926,0.16550929998629726,,0.0,0.22222222222222224,0.0,4.358430862426758,2.179215431213379
hotpotqa,5ab56db7554299494045efc6,oracle_early_late,oracle,Maine State Route 111 connects Alfred to Biddenford but what county is Alfred in?,York County,2,39,Alfred is in the county of Maine,0.7516979000065476,256,4,True,0,0,0.5275112986564636,0.45242907106876373,-21.61073875427246,-10.80536937713623,4.148775767376378e-10,3558,0.15732100000604987,,0.0,0.22222222222222224,0.0,2.396322250366211,1.1981611251831055
hotpotqa,5ab56db7554299494045efc6,direct_text_oracle,direct,Maine State Route 111 connects Alfred to Biddenford but what county is Alfred in?,York County,2,127,"Alfred is in York County, Maine",0.7662002999859396,0,0,True,0,0,,,-21.40660285949707,-10.703301429748535,5.050186380195498e-10,1263,0.3577588000043761,0.02761131525039673,0.0,0.5,1.0,2.6004581451416016,1.3002290725708008
hotpotqa,5ab2b863554299295394685a,no_memory,none,New Hampshire Route 118 runs through a region whose norther boundary begins at which town?,Cushman,2,39,New Hampshire Route 118 runs,0.6979600999911781,0,0,False,0,0,,,-20.987762451171875,-10.493881225585938,8.551282371627167e-05,33,0.15054550001514144,,0.0,0.0,0.0,0.0,0.0
hotpotqa,5ab2b863554299295394685a,learned_router,router,New Hampshire Route 118 runs through a region whose norther boundary begins at which town?,Cushman,2,39,New Hampshire Route 118 runs,0.7698695000144653,96,3,False,0,0,0.23193928599357605,0.0,-21.852798461914062,-10.926399230957031,9.65916333370842e-05,25,0.15889559997594915,,0.0,0.0,0.0,-0.8650360107421875,-0.43251800537109375
hotpotqa,5ab2b863554299295394685a,oracle_last_1,oracle,New Hampshire Route 118 runs through a region whose norther boundary begins at which town?,Cushman,2,39,New Hampshire Route 118 runs,0.7237246000149753,96,3,True,0,0,0.6615732908248901,0.30621856451034546,-21.348285675048828,-10.674142837524414,6.178415060276166e-05,38,0.15361740000662394,,0.0,0.0,0.0,-0.3605232238769531,-0.18026161193847656
hotpotqa,5ab2b863554299295394685a,oracle_last_2,oracle,New Hampshire Route 118 runs through a region whose norther boundary begins at which town?,Cushman,2,39,New Hampshire Route 118 runs,0.7552087999938522,192,3,True,0,0,0.6430334150791168,0.30831076204776764,-21.25925064086914,-10.62962532043457,6.964066415093839e-05,36,0.15797429997473955,,0.0,0.0,0.0,-0.2714881896972656,-0.1357440948486328
hotpotqa,5ab2b863554299295394685a,oracle_last_4,oracle,New Hampshire Route 118 runs through a region whose norther boundary begins at which town?,Cushman,2,39,New Hampshire Route 118 runs,0.7925920000125188,384,3,True,0,0,0.6300271302461624,0.3105447068810463,-18.266952514648438,-9.133476257324219,0.0004576146020554006,15,0.16543880000244826,,0.0,0.0,0.0,2.7208099365234375,1.3604049682617188
hotpotqa,5ab2b863554299295394685a,oracle_early_late,oracle,New Hampshire Route 118 runs through a region whose norther boundary begins at which town?,Cushman,2,39,New Hampshire Route 118 runs,0.7419878999935463,192,3,True,0,0,0.6212434470653534,0.3045075386762619,-25.60017967224121,-12.800089836120605,1.2955825923199882e-06,100,0.15730679998523556,,0.0,0.0,0.0,-4.612417221069336,-2.306208610534668
hotpotqa,5ab2b863554299295394685a,direct_text_oracle,direct,New Hampshire Route 118 runs through a region whose norther boundary begins at which town?,Cushman,2,96,New Hampshire Route 118 runs,0.7434331999975257,0,0,True,0,0,,,-1.606534719467163,-0.8032673597335815,0.20061127841472626,2,0.2193721999938134,0.02649688720703125,0.0,0.0,0.0,19.381227731704712,9.690613865852356
hotpotqa,5a710a915542994082a3e504,no_memory,none,"Which of these men, Scott Treleaven and Edmund Mortimer, is credited with working in both films and photography?",Scott Treleaven,4,43,Edmund Mortimer.,0.5465480999846477,0,0,False,0,0,,,-7.853713512420654,-1.9634283781051636,0.0005700837937183678,2,0.15425099999993108,,0.0,0.0,0.0,0.0,0.0
hotpotqa,5a710a915542994082a3e504,learned_router,router,"Which of these men, Scott Treleaven and Edmund Mortimer, is credited with working in both films and photography?",Scott Treleaven,4,43,Edmund Mortimer.,0.5785779999860097,96,4,False,0,0,0.5318583846092224,0.07837769389152527,-7.836803913116455,-1.9592009782791138,0.0008162100566551089,2,0.1626397999934852,,0.0,0.0,0.0,0.01690959930419922,0.004227399826049805
hotpotqa,5a710a915542994082a3e504,oracle_last_1,oracle,"Which of these men, Scott Treleaven and Edmund Mortimer, is credited with working in both films and photography?",Scott Treleaven,4,43,Edmund Mortimer.,0.5550140000123065,128,4,True,0,0,0.6724703907966614,0.059805866330862045,-7.743150234222412,-1.935787558555603,0.0008553796214982867,2,0.1579298000142444,,0.0,0.0,0.0,0.11056327819824219,0.027640819549560547
hotpotqa,5a710a915542994082a3e504,oracle_last_2,oracle,"Which of these men, Scott Treleaven and Edmund Mortimer, is credited with working in both films and photography?",Scott Treleaven,4,43,Edmund Mortimer.,0.5741960999730509,256,4,True,0,0,0.6527380645275116,0.05683141574263573,-7.87270975112915,-1.9681774377822876,0.0005880740354768932,2,0.1614207999955397,,0.0,0.0,0.0,-0.018996238708496094,-0.0047490596771240234
hotpotqa,5a710a915542994082a3e504,oracle_last_4,oracle,"Which of these men, Scott Treleaven and Edmund Mortimer, is credited with working in both films and photography?",Scott Treleaven,4,43,Edmund Mortimer.,0.6039883000194095,512,4,True,0,0,0.6475036293268204,0.04474681615829468,-11.029139518737793,-2.7572848796844482,9.605975355952978e-05,3,0.16714520001551136,,0.0,0.0,0.0,-3.1754260063171387,-0.7938565015792847
hotpotqa,5a710a915542994082a3e504,oracle_early_late,oracle,"Which of these men, Scott Treleaven and Edmund Mortimer, is credited with working in both films and photography?",Scott Treleaven,4,43,Edmund Mortimer.,0.5773876999737695,256,4,True,0,0,0.6447408497333527,0.12745683453977108,-5.35408878326416,-1.33852219581604,0.006787088233977556,2,0.1600112000014633,,0.0,0.0,0.0,2.499624729156494,0.6249061822891235
hotpotqa,5a710a915542994082a3e504,direct_text_oracle,direct,"Which of these men, Scott Treleaven and Edmund Mortimer, is credited with working in both films and photography?",Scott Treleaven,4,116,Edmund Mortimer.,0.6009963999968022,0,0,True,0,0,,,-3.7296464443206787,-0.9324116110801697,0.026742903515696526,2,0.22630380000919104,0.01368801761418581,0.0,0.0,0.0,4.124067068099976,1.031016767024994
qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,no_memory,none,did they collect their own data?,no,1,26,"Yes, they collected their own data.",0.7393143000081182,0,0,False,0,0,,,-7.124675750732422,-7.124675750732422,0.0008049940806813538,8,0.14048639999236912,,0.0,0.0,0.0,0.0,0.0
qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,learned_router,router,did they collect their own data?,no,1,26,"Yes, they did collect their own data",0.891304000018863,96,3,False,0,0,0.7274602055549622,0.00848022848367691,-7.189646244049072,-7.189646244049072,0.0007543558604083955,7,0.15653330000350252,,0.0,0.0,0.0,-0.06497049331665039,-0.06497049331665039
qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,oracle_last_1,oracle,did they collect their own data?,no,1,26,"Yes, they did collect their own data",0.7162005999998655,96,3,True,0,0,0.5205641388893127,0.5088291764259338,-6.419055938720703,-6.419055938720703,0.0016301944851875305,7,0.14341479999711737,,0.0,0.0,0.0,0.7056198120117188,0.7056198120117188
qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,oracle_last_2,oracle,did they collect their own data?,no,1,26,"Yes, they did collect their own data",0.7325342999829445,192,3,True,0,0,0.5300319492816925,0.4926195740699768,-6.29774284362793,-6.29774284362793,0.0018404544098302722,6,0.14652109998860396,,0.0,0.0,0.0,0.8269329071044922,0.8269329071044922
qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,oracle_last_4,oracle,did they collect their own data?,no,1,26,"Yes, they did collect their own data",0.7755221000115853,384,3,True,0,0,0.5112577676773071,0.46406184881925583,-7.337297439575195,-7.337297439575195,0.000650807109195739,8,0.15417550000711344,,0.0,0.0,0.0,-0.21262168884277344,-0.21262168884277344
qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,oracle_early_late,oracle,did they collect their own data?,no,1,26,"Yes, they did collect their own data",0.8022711999947205,192,3,True,0,0,0.4287716746330261,0.41312944889068604,-5.758054733276367,-5.758054733276367,0.0031572463922202587,5,0.1481078999931924,,0.0,0.0,0.0,1.3666210174560547,1.3666210174560547
qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,direct_text_oracle,direct,did they collect their own data?,no,1,95,"Yes, they collected their own data.",0.7624838999763597,0,0,True,0,0,,,-8.105302810668945,-8.105302810668945,0.0003019336727447808,11,0.21628600000985898,0.02235817164182663,0.0,0.0,0.0,-0.9806270599365234,-0.9806270599365234
qasper,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,no_memory,none,Does the paper clearly establish that the challenges listed here exist in this dataset and task?,yes,1,36,"Yes, the paper clearly establishes that the",0.6999551999906544,0,0,False,0,0,,,-5.925743579864502,-5.925743579864502,0.0026698217261582613,10,0.14931979999528266,,0.0,0.25,1.0,0.0,0.0
qasper,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,learned_router,router,Does the paper clearly establish that the challenges listed here exist in this dataset and task?,yes,1,36,"Yes, the paper clearly establishes that the",0.7594102000002749,96,7,False,0,0,0.4821399748325348,0.4131753444671631,-6.329349517822266,-6.329349517822266,0.0017831933218985796,12,0.15767070002038963,,0.0,0.25,1.0,-0.40360593795776367,-0.40360593795776367
qasper,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,oracle_last_1,oracle,Does the paper clearly establish that the challenges listed here exist in this dataset and task?,yes,1,36,"Yes, the paper clearly establishes that the",0.739345800015144,224,7,True,0,0,0.6544378995895386,0.6434908509254456,-6.246053695678711,-6.246053695678711,0.001938086817972362,12,0.1525969000067562,,0.0,0.25,1.0,-0.320310115814209,-0.320310115814209
qasper,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,oracle_last_2,oracle,Does the paper clearly establish that the challenges listed here exist in this dataset and task?,yes,1,36,"Yes, the paper clearly establishes that the",0.749438700004248,448,7,True,0,0,0.6462889909744263,0.6290713250637054,-6.351855754852295,-6.351855754852295,0.0017435087356716394,10,0.1574994999973569,,0.0,0.25,1.0,-0.42611217498779297,-0.42611217498779297
qasper,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,oracle_last_4,oracle,Does the paper clearly establish that the challenges listed here exist in this dataset and task?,yes,1,36,"Yes, the paper clearly establishes that the",0.7975284999993164,896,7,True,0,0,0.6167319566011429,0.5990682989358902,-6.318136215209961,-6.318136215209961,0.0018033013911917806,8,0.16251959998044185,,0.0,0.25,1.0,-0.392392635345459,-0.392392635345459
qasper,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,oracle_early_late,oracle,Does the paper clearly establish that the challenges listed here exist in this dataset and task?,yes,1,36,"Yes, the paper clearly establishes the challenges",0.754674800002249,448,7,True,0,0,0.5534364581108093,0.5245886147022247,-5.791780471801758,-5.791780471801758,0.0030525424517691135,9,0.15603549999650568,,0.0,0.25,1.0,0.13396310806274414,0.13396310806274414
qasper,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,direct_text_oracle,direct,Does the paper clearly establish that the challenges listed here exist in this dataset and task?,yes,1,232,The paper does not explicitly address whether the,0.9361773999989964,0,0,True,0,0,,,-7.649509429931641,-7.649509429931641,0.0004762775788549334,17,0.43032789998687804,0.016242139041423798,0.0,0.0,0.0,-1.7237658500671387,-1.7237658500671387
qasper,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,no_memory,none,Is the template-based model realistic?  ,yes,1,27,"Yes, the template-based model is realistic",0.7107475999800954,0,0,False,0,0,,,-6.946739196777344,-6.946739196777344,0.0009617661708034575,10,0.14149360000737943,,0.0,0.25,1.0,0.0,0.0
qasper,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,learned_router,router,Is the template-based model realistic?  ,yes,1,27,"Yes, the template-based model is realistic",0.7737601000117138,96,13,False,0,0,0.7001748085021973,0.0,-7.4108195304870605,-7.4108195304870605,0.000604674918577075,17,0.15257320000091568,,0.0,0.25,1.0,-0.4640803337097168,-0.4640803337097168
qasper,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,oracle_last_1,oracle,Is the template-based model realistic?  ,yes,1,27,"Yes, the template-based model is realistic",0.733309500006726,416,13,True,0,0,0.7920234203338623,0.7887325286865234,-7.141805171966553,-7.141805171966553,0.0007913223817013204,12,0.14761410001665354,,0.0,0.25,1.0,-0.19506597518920898,-0.19506597518920898
qasper,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,oracle_last_2,oracle,Is the template-based model realistic?  ,yes,1,27,"Yes, the template-based model is realistic",0.7680057999968994,832,13,True,0,0,0.7922751009464264,0.7841857075691223,-7.215656280517578,-7.215656280517578,0.000734988076146692,11,0.15007540001533926,,0.0,0.25,1.0,-0.2689170837402344,-0.2689170837402344
qasper,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,oracle_last_4,oracle,Is the template-based model realistic?  ,yes,1,27,"Yes, the template-based model is generally",0.846820500009926,1664,13,True,0,0,0.7722414135932922,0.7640029937028885,-7.052605628967285,-7.052605628967285,0.0008651515236124396,13,0.16012829999090172,,0.0,0.25,1.0,-0.1058664321899414,-0.1058664321899414
qasper,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,oracle_early_late,oracle,Is the template-based model realistic?  ,yes,1,27,The template-based model is generally considered realistic,0.7797215000027791,832,13,True,0,0,0.6992319822311401,0.6862318217754364,-7.889444351196289,-7.889444351196289,0.00037467776564881206,18,0.1503538000106346,,0.0,0.0,0.0,-0.9427051544189453,-0.9427051544189453
qasper,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,direct_text_oracle,direct,Is the template-based model realistic?  ,yes,1,420,The template-based model is realistic because it,1.332851599989226,0,0,True,0,0,,,-10.78084945678711,-10.78084945678711,2.0793922885786742e-05,37,0.9181775000179186,0.02864593267440796,0.0,0.0,0.0,-3.8341102600097656,-3.8341102600097656
qasper,1808.10245:da9c0637623885afaf023a319beee87898948fe9,no_memory,none,Does the dataset feature only English language data?,yes,1,28,"No, the dataset does not feature only",0.7147736000188161,0,0,False,0,0,,,-8.724849700927734,-8.724849700927734,0.00016249713371507823,16,0.14136310000321828,,0.0,0.0,0.0,0.0,0.0
qasper,1808.10245:da9c0637623885afaf023a319beee87898948fe9,learned_router,router,Does the dataset feature only English language data?,yes,1,28,"No, the dataset does not feature only",0.770013100001961,96,7,False,0,0,0.10870665311813354,0.0,-9.637091636657715,-9.637091636657715,6.526258221128955e-05,25,0.15244639999582432,,0.0,0.0,0.0,-0.9122419357299805,-0.9122419357299805
qasper,1808.10245:da9c0637623885afaf023a319beee87898948fe9,oracle_last_1,oracle,Does the dataset feature only English language data?,yes,1,28,"No, the dataset does not feature only",0.7440110000025015,224,7,True,0,0,0.6475374102592468,0.6405632495880127,-9.278472900390625,-9.278472900390625,9.341364057036117e-05,22,0.1449113999842666,,0.0,0.0,0.0,-0.5536231994628906,-0.5536231994628906
qasper,1808.10245:da9c0637623885afaf023a319beee87898948fe9,oracle_last_2,oracle,Does the dataset feature only English language data?,yes,1,28,"No, the dataset does not feature only",0.7614130000001751,448,7,True,0,0,0.658219575881958,0.6473118364810944,-9.436064720153809,-9.436064720153809,7.979376096045598e-05,22,0.14884810001240112,,0.0,0.0,0.0,-0.7112150192260742,-0.7112150192260742
qasper,1808.10245:da9c0637623885afaf023a319beee87898948fe9,oracle_last_4,oracle,Does the dataset feature only English language data?,yes,1,28,"No, the dataset does not feature only",0.8112611999968067,896,7,True,0,0,0.6436543464660645,0.6329252570867538,-8.656782150268555,-8.656782150268555,0.00017394314636476338,13,0.1588204999861773,,0.0,0.0,0.0,0.06806755065917969,0.06806755065917969
qasper,1808.10245:da9c0637623885afaf023a319beee87898948fe9,oracle_early_late,oracle,Does the dataset feature only English language data?,yes,1,28,"No, the dataset does not feature only",0.7589218000066467,448,7,True,0,0,0.5604352355003357,0.545022040605545,-9.257366180419922,-9.257366180419922,9.54062634264119e-05,19,0.151263600011589,,0.0,0.0,0.0,-0.5325164794921875,-0.5325164794921875
qasper,1808.10245:da9c0637623885afaf023a319beee87898948fe9,direct_text_oracle,direct,Does the dataset feature only English language data?,yes,1,237,"No, the dataset does not feature only",0.9450432000157889,0,0,True,0,0,,,-9.352282524108887,-9.352282524108887,8.676712604938075e-05,21,0.42984299999079667,0.01967441290616989,0.0,0.0,0.0,-0.6274328231811523,-0.6274328231811523
