channel,evidence_recall,precision,mrr,complete_recovery,top_score,score_gap,score_mean,top1_correct,referential_confidence,selected_chunk_ids,selected_chunks,candidate_chunks,source_tokens,index_bytes,scored_candidates,token_index_queries,model,dataset,example_id,chunk_tokens,routing_layer,routing_layer_offset,chunk_budget,branch_top_k,beam_size
bm25,0.5,0.25,0.5,0,1.0,0.4423828125,-0.519830067952474,0,1.0,interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=640:656|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=0:16|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=384:400|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=400:416,4,48,768,280330,144,3,qwen3_0_6b,hotpotqa,5a7bae20554299294a54aa96,16,27,-1,4,2,2
approximate,0.5,0.5,1.0,0,1.0,0.0,0.22122701009114584,1,1.0,interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=0:16|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=240:256|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=16:32|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=208:224,4,48,768,280330,144,3,qwen3_0_6b,hotpotqa,5a7bae20554299294a54aa96,16,27,-1,4,2,2
hybrid,1.0,0.25,0.3333333333333333,1,0.6923828125,0.005859375,0.33917824427286786,0,0.84619140625,interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=240:256|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=416:432|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=32:48|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=224:240,4,48,768,280330,144,3,qwen3_0_6b,hotpotqa,5a7bae20554299294a54aa96,16,27,-1,4,2,2
ngram,0.5,0.5,1.0,0,-0.2174072265625,0.0626220703125,-0.9152654012044271,1,0.39129638671875,interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=0:16|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=384:400|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=416:432|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=16:32,4,48,768,280330,144,3,qwen3_0_6b,hotpotqa,5a7bae20554299294a54aa96,16,27,-1,4,2,2
edit,0.5,0.5,1.0,0,1.0,0.0,0.21527608235677084,1,1.0,interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=0:16|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=240:256|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=16:32|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=208:224,4,48,768,280330,144,3,qwen3_0_6b,hotpotqa,5a7bae20554299294a54aa96,16,27,-1,4,2,2
embedding,0.5,0.25,0.3333333333333333,0,0.55810546875,0.02099609375,0.37526575724283856,0,0.779052734375,interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=384:400|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=496:512|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=0:16|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=368:384,4,48,768,280330,144,3,qwen3_0_6b,hotpotqa,5a7bae20554299294a54aa96,16,27,-1,4,2,2
semantic,1.0,0.25,1.0,1,0.4970703125,0.0068359375,0.41296641031901044,1,0.74853515625,interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=16:32|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=352:368|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=240:256|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=416:432|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=400:416|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=32:48|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=320:336|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=224:240,8,48,768,280330,240,5,qwen3_0_6b,hotpotqa,5a7bae20554299294a54aa96,16,27,-1,8,4,4
exact,0.5,0.125,0.3333333333333333,0,1.0,0.0,-0.6875,0,1.0,interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=176:192|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=352:368|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=0:16|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=384:400|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=112:128|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=144:160|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=192:208|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=208:224,8,48,768,280330,240,5,qwen3_0_6b,hotpotqa,5a7bae20554299294a54aa96,16,27,-1,8,4,4
bm25,0.5,0.125,0.5,0,1.0,0.4423828125,-0.519830067952474,0,1.0,interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=640:656|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=0:16|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=384:400|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=496:512|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=400:416|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=64:80|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=240:256|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=720:736,8,48,768,280330,240,5,qwen3_0_6b,hotpotqa,5a7bae20554299294a54aa96,16,27,-1,8,4,4
approximate,1.0,0.375,1.0,1,1.0,0.0,0.22122701009114584,1,1.0,interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=0:16|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=240:256|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=32:48|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=384:400|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=16:32|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=208:224|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=224:240|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=272:288,8,48,768,280330,240,5,qwen3_0_6b,hotpotqa,5a7bae20554299294a54aa96,16,27,-1,8,4,4
hybrid,1.0,0.125,0.3333333333333333,1,0.6923828125,0.005859375,0.33917824427286786,0,0.84619140625,interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=240:256|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=416:432|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=32:48|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=480:496|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=224:240|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=272:288|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=320:336|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=352:368,8,48,768,280330,240,5,qwen3_0_6b,hotpotqa,5a7bae20554299294a54aa96,16,27,-1,8,4,4
ngram,0.5,0.25,1.0,0,-0.2174072265625,0.0626220703125,-0.9152654012044271,1,0.39129638671875,interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=0:16|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=384:400|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=640:656|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=496:512|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=624:640|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=416:432|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=656:672|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=16:32,8,48,768,280330,240,5,qwen3_0_6b,hotpotqa,5a7bae20554299294a54aa96,16,27,-1,8,4,4
edit,1.0,0.375,1.0,1,1.0,0.0,0.21527608235677084,1,1.0,interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=0:16|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=240:256|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=32:48|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=384:400|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=16:32|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=208:224|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=224:240|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=272:288,8,48,768,280330,240,5,qwen3_0_6b,hotpotqa,5a7bae20554299294a54aa96,16,27,-1,8,4,4
embedding,1.0,0.25,0.3333333333333333,1,0.55810546875,0.02099609375,0.37526575724283856,0,0.779052734375,interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=384:400|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=496:512|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=0:16|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=32:48|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=416:432|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=368:384|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=336:352|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=672:688,8,48,768,280330,240,5,qwen3_0_6b,hotpotqa,5a7bae20554299294a54aa96,16,27,-1,8,4,4
semantic,0.0,0.0,0.0,0,0.52099609375,0.005859375,0.4461822509765625,0,0.760498046875,interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=208:224|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=352:368,2,48,768,280330,96,2,qwen3_0_6b,hotpotqa,5a7bae20554299294a54aa96,16,24,-4,2,1,1
exact,0.0,0.0,0.0,0,1.0,0.0,-0.6875,0,1.0,interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=176:192|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=112:128,2,48,768,280330,96,2,qwen3_0_6b,hotpotqa,5a7bae20554299294a54aa96,16,24,-4,2,1,1
bm25,0.0,0.0,0.0,0,1.0,0.4423828125,-0.519830067952474,0,1.0,interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=640:656|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=64:80,2,48,768,280330,96,2,qwen3_0_6b,hotpotqa,5a7bae20554299294a54aa96,16,24,-4,2,1,1
approximate,0.5,1.0,1.0,0,1.0,0.0,0.22122701009114584,1,1.0,interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=0:16|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=16:32,2,48,768,280330,96,2,qwen3_0_6b,hotpotqa,5a7bae20554299294a54aa96,16,24,-4,2,1,1
hybrid,0.0,0.0,0.0,0,0.70458984375,0.01318359375,0.35911305745442706,0,0.852294921875,interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=480:496|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=352:368,2,48,768,280330,96,2,qwen3_0_6b,hotpotqa,5a7bae20554299294a54aa96,16,24,-4,2,1,1
ngram,0.5,0.5,1.0,0,-0.2174072265625,0.0626220703125,-0.9152654012044271,1,0.39129638671875,interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=0:16|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=384:400,2,48,768,280330,96,2,qwen3_0_6b,hotpotqa,5a7bae20554299294a54aa96,16,24,-4,2,1,1
edit,0.5,1.0,1.0,0,1.0,0.0,0.21527608235677084,1,1.0,interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=0:16|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=16:32,2,48,768,280330,96,2,qwen3_0_6b,hotpotqa,5a7bae20554299294a54aa96,16,24,-4,2,1,1
embedding,0.5,0.5,0.5,0,0.55810546875,0.02099609375,0.37526575724283856,0,0.779052734375,interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=384:400|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=0:16,2,48,768,280330,96,2,qwen3_0_6b,hotpotqa,5a7bae20554299294a54aa96,16,24,-4,2,1,1
semantic,0.0,0.0,0.0,0,0.52099609375,0.005859375,0.4461822509765625,0,0.760498046875,interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=208:224|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=672:688|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=352:368|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=176:192,4,48,768,280330,144,3,qwen3_0_6b,hotpotqa,5a7bae20554299294a54aa96,16,24,-4,4,2,2
exact,0.0,0.0,0.0,0,1.0,0.0,-0.6875,0,1.0,interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=176:192|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=352:368|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=112:128|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=144:160,4,48,768,280330,144,3,qwen3_0_6b,hotpotqa,5a7bae20554299294a54aa96,16,24,-4,4,2,2
bm25,0.5,0.25,0.5,0,1.0,0.4423828125,-0.519830067952474,0,1.0,interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=640:656|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=0:16|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=384:400|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=400:416,4,48,768,280330,144,3,qwen3_0_6b,hotpotqa,5a7bae20554299294a54aa96,16,24,-4,4,2,2
approximate,0.5,0.5,1.0,0,1.0,0.0,0.22122701009114584,1,1.0,interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=0:16|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=240:256|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=16:32|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=208:224,4,48,768,280330,144,3,qwen3_0_6b,hotpotqa,5a7bae20554299294a54aa96,16,24,-4,4,2,2
hybrid,1.0,0.25,0.3333333333333333,1,0.70458984375,0.01318359375,0.35911305745442706,0,0.852294921875,interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=480:496|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=416:432|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=32:48|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=352:368,4,48,768,280330,144,3,qwen3_0_6b,hotpotqa,5a7bae20554299294a54aa96,16,24,-4,4,2,2
ngram,0.5,0.5,1.0,0,-0.2174072265625,0.0626220703125,-0.9152654012044271,1,0.39129638671875,interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=0:16|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=384:400|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=416:432|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=16:32,4,48,768,280330,144,3,qwen3_0_6b,hotpotqa,5a7bae20554299294a54aa96,16,24,-4,4,2,2
edit,0.5,0.5,1.0,0,1.0,0.0,0.21527608235677084,1,1.0,interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=0:16|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=240:256|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=16:32|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=208:224,4,48,768,280330,144,3,qwen3_0_6b,hotpotqa,5a7bae20554299294a54aa96,16,24,-4,4,2,2
embedding,0.5,0.25,0.3333333333333333,0,0.55810546875,0.02099609375,0.37526575724283856,0,0.779052734375,interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=384:400|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=496:512|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=0:16|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=368:384,4,48,768,280330,144,3,qwen3_0_6b,hotpotqa,5a7bae20554299294a54aa96,16,24,-4,4,2,2
semantic,0.0,0.0,0.0,0,0.52099609375,0.005859375,0.4461822509765625,0,0.760498046875,interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=208:224|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=672:688|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=160:176|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=480:496|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=352:368|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=176:192|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=336:352|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=80:96,8,48,768,280330,240,5,qwen3_0_6b,hotpotqa,5a7bae20554299294a54aa96,16,24,-4,8,4,4
exact,0.5,0.125,0.3333333333333333,0,1.0,0.0,-0.6875,0,1.0,interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=176:192|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=352:368|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=0:16|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=384:400|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=112:128|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=144:160|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=192:208|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=208:224,8,48,768,280330,240,5,qwen3_0_6b,hotpotqa,5a7bae20554299294a54aa96,16,24,-4,8,4,4
bm25,0.5,0.125,0.5,0,1.0,0.4423828125,-0.519830067952474,0,1.0,interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=640:656|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=0:16|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=384:400|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=496:512|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=400:416|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=64:80|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=240:256|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=720:736,8,48,768,280330,240,5,qwen3_0_6b,hotpotqa,5a7bae20554299294a54aa96,16,24,-4,8,4,4
approximate,1.0,0.375,1.0,1,1.0,0.0,0.22122701009114584,1,1.0,interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=0:16|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=240:256|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=32:48|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=384:400|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=16:32|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=208:224|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=224:240|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=272:288,8,48,768,280330,240,5,qwen3_0_6b,hotpotqa,5a7bae20554299294a54aa96,16,24,-4,8,4,4
hybrid,1.0,0.125,0.3333333333333333,1,0.70458984375,0.01318359375,0.35911305745442706,0,0.852294921875,interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=480:496|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=416:432|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=32:48|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=560:576|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=144:160|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=352:368|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=464:480|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=512:528,8,48,768,280330,240,5,qwen3_0_6b,hotpotqa,5a7bae20554299294a54aa96,16,24,-4,8,4,4
ngram,0.5,0.25,1.0,0,-0.2174072265625,0.0626220703125,-0.9152654012044271,1,0.39129638671875,interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=0:16|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=384:400|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=640:656|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=496:512|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=624:640|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=416:432|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=656:672|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=16:32,8,48,768,280330,240,5,qwen3_0_6b,hotpotqa,5a7bae20554299294a54aa96,16,24,-4,8,4,4
edit,1.0,0.375,1.0,1,1.0,0.0,0.21527608235677084,1,1.0,interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=0:16|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=240:256|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=32:48|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=384:400|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=16:32|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=208:224|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=224:240|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=272:288,8,48,768,280330,240,5,qwen3_0_6b,hotpotqa,5a7bae20554299294a54aa96,16,24,-4,8,4,4
embedding,1.0,0.25,0.3333333333333333,1,0.55810546875,0.02099609375,0.37526575724283856,0,0.779052734375,interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=384:400|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=496:512|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=0:16|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=32:48|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=416:432|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=368:384|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=336:352|interaction://hotpotqa/5a7bae20554299294a54aa96#chunk=672:688,8,48,768,280330,240,5,qwen3_0_6b,hotpotqa,5a7bae20554299294a54aa96,16,24,-4,8,4,4
semantic,0.0,0.0,0.0,0,0.466552734375,0.003662109375,0.3766377766927083,0,0.7332763671875,interaction://hotpotqa/5abd332e5542993062266bdd#chunk=224:240|interaction://hotpotqa/5abd332e5542993062266bdd#chunk=496:512,2,48,768,277886,96,2,qwen3_0_6b,hotpotqa,5abd332e5542993062266bdd,16,27,-1,2,1,1
exact,1.0,1.0,1.0,1,1.0,0.0,-0.4166666666666667,1,1.0,interaction://hotpotqa/5abd332e5542993062266bdd#chunk=16:32|interaction://hotpotqa/5abd332e5542993062266bdd#chunk=0:16,2,48,768,277886,96,2,qwen3_0_6b,hotpotqa,5abd332e5542993062266bdd,16,27,-1,2,1,1
bm25,0.5,0.5,1.0,0,1.0,0.052734375,-0.5103174845377604,1,1.0,interaction://hotpotqa/5abd332e5542993062266bdd#chunk=48:64|interaction://hotpotqa/5abd332e5542993062266bdd#chunk=80:96,2,48,768,277886,96,2,qwen3_0_6b,hotpotqa,5abd332e5542993062266bdd,16,27,-1,2,1,1
approximate,1.0,1.0,1.0,1,1.0,0.0,0.092742919921875,1,1.0,interaction://hotpotqa/5abd332e5542993062266bdd#chunk=16:32|interaction://hotpotqa/5abd332e5542993062266bdd#chunk=0:16,2,48,768,277886,96,2,qwen3_0_6b,hotpotqa,5abd332e5542993062266bdd,16,27,-1,2,1,1
hybrid,1.0,1.0,1.0,1,0.67578125,0.00439453125,0.2676852544148763,1,0.837890625,interaction://hotpotqa/5abd332e5542993062266bdd#chunk=48:64|interaction://hotpotqa/5abd332e5542993062266bdd#chunk=16:32,2,48,768,277886,96,2,qwen3_0_6b,hotpotqa,5abd332e5542993062266bdd,16,27,-1,2,1,1
ngram,0.5,0.5,1.0,0,-0.9091796875,0.00390625,-0.9861857096354166,1,0.04541015625,interaction://hotpotqa/5abd332e5542993062266bdd#chunk=48:64|interaction://hotpotqa/5abd332e5542993062266bdd#chunk=352:368,2,48,768,277886,96,2,qwen3_0_6b,hotpotqa,5abd332e5542993062266bdd,16,27,-1,2,1,1
