dataset,example_id,partition,question,answer,question_type,annotated_hops,graph_type,annotated_nodes,annotated_edges,source_characters
musique,3hop2__101809_30152_20999,test,How were those people defied by the use of new coins later removed from where Myint Myint Aye is from?,The dynasty regrouped and defeated the Portuguese,3hop,3,convergent,3,2,12615
musique,3hop2__106842_30645_84681,test,When did the people who first settled the Delaware Valley come to the country which produced the show @Seven?,13 December 1642,3hop,3,convergent,3,2,12857
musique,3hop2__11282_57233_56883,test,The native country of emu birds started conscription. This occurred during the war depicted in The Things They Carried. What year did the draft start?,1964,3hop,3,convergent,3,2,11535
musique,4hop1__105002_17130_70784_61381,validation,When was the region immediately north of the area where the country that released Atalia is located and the Persian Gulf established?,1932,4hop,4,chain,4,3,11093
musique,4hop1__105401_17130_70784_79935,validation,When was the region that lies to the north of the region where Strangers No More took place and the Persian Gulf created?,1930,4hop,4,chain,4,3,11181
musique,4hop1__105773_457883_650651_7262,validation,Country A has an embassy from the country that produces the show Krystala. Who was a prominent figure in the radio division of the network that created a version of the Biggest Loser for country A?,Walter Sabo,4hop,4,chain,4,3,10367
musique,4hop1__105401_17130_70784_61381,test,When was the region immediately north of the region of the country in Strangers No More and the Persian Gulf established?,1932,4hop,4,chain,4,3,11875
musique,4hop1__105688_17130_70784_61381,test,The country that Eyal Golan is from lies within a certain region. When was the area that lies immediately to the north of that region established?,1932,4hop,4,chain,4,3,11870
musique,4hop1__105688_17130_70784_79935,test,When was the region that lies to the north of where Eyal Golan is located and the Persian Gulf created?,1930,4hop,4,chain,4,3,10917
musique,4hop2__103790_14670_8987_8529,validation,"A country's military branch, the equivalent of which in the US contains the Air Defense Artillery, was unprepared for the invasion of Ivo Werner's country. When was the word ""Slavs"" used in the national anthem of the unprepared country?",1943–1992,4hop,4,convergent,4,3,11718
musique,4hop2__105527_14670_8987_8974,validation,Country A developed the ZH-29 and invaded Country B because their military branch that the Air Defense Artillery is a branch of was unprepared. Country B was the only communist country to have an embassy where?,Alfredo Stroessner's Paraguay,4hop,4,convergent,4,3,9264
musique,4hop2__161324_14670_8987_8974,validation,The military group of which the Air Defense Artillery is a branch was unprepared for the invasion of the territory the Nazis occupied. The country of this group was the only communist country to have an embassy where?,Alfredo Stroessner's Paraguay,4hop,4,convergent,4,3,14212
musique,4hop2__103790_14670_8987_8974,test,Ivo Werner is from Country A that invaded Country B because their military branch that Air Defense Artillery is part of was unprepared. Country B was the only communist country to have an embassy where?,Alfredo Stroessner's Paraguay,4hop,4,convergent,4,3,12331
musique,4hop2__103790_39078_8987_8529,test,"Ivo Werner is from Country A that invaded Country B because their military branch that helped the Old West police was unprepared. When was the word ""Slavs"" used in the national anthem of country B?",1943–1992,4hop,4,convergent,4,3,11662
musique,4hop2__105527_14670_8987_8529,test,"A country's military branch, the equivalent of which in the US contains the Air Defense Artillery, was unprepared for the invasion of the country that developed the ZH-29. When was the word ""Slavs"" used in the national anthem of the unprepared country?",1943–1992,4hop,4,convergent,4,3,9968
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,"Did the movies Cock Of The Roost and Nobody'S Perfect, originate from the same country?",yes,comparison,1,independent,2,0,2382
2wikimultihopqa,0063e31f08eb11ebbda7ac1f6bf848b6,validation,"Are both rivers, Santa Cruz River (Santa Catarina) and Anhanduí River, located in the same country?",yes,comparison,1,independent,2,0,1517
2wikimultihopqa,00c2089e089911ebbd77ac1f6bf848b6,validation,"Who was born first, Lamine Fomba or Michael Hagan?",Michael Hagan,comparison,1,independent,2,0,2340
2wikimultihopqa,00ce250d095f11ebbdafac1f6bf848b6,validation,"Which film was released more recently, Royal Treasure or When Love Begins?",Royal Treasure,comparison,1,independent,2,0,3558
2wikimultihopqa,0120a36108d611ebbd98ac1f6bf848b6,validation,Do Samuel Langdon and Emil Aloysius Wcela share the same nationality?,yes,comparison,1,independent,2,0,1898
2wikimultihopqa,016c84f508ab11ebbd81ac1f6bf848b6,validation,Does Eva Kurowski have the same nationality as Sergey Lagodinsky?,yes,comparison,1,independent,2,0,3570
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,Did Frederick Mulder and Earl Mindell have the same nationality?,yes,comparison,1,independent,2,0,6330
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,Are both Eastern Samar State University and Lyceum-Northwestern University located in the same country?,yes,comparison,1,independent,2,0,3443
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,Are Rebecca'S Empire and King Gizzard & The Lizard Wizard from the same country?,yes,comparison,1,independent,2,0,4862
2wikimultihopqa,00310dc8094611ebbdaeac1f6bf848b6,test,"Which film was released earlier, Little Buddha or Course For Collision?",Course For Collision,comparison,1,independent,2,0,3004
2wikimultihopqa,0056b9ff08e711ebbda5ac1f6bf848b6,test,"Who died first, Leslie Alcock or Dara Shikoh?",Dara Shikoh,comparison,1,independent,2,0,5568
2wikimultihopqa,006b525c08e111ebbda2ac1f6bf848b6,test,"Which film came out first, The Warrior'S Husband or Furious 7?",The Warrior'S Husband,comparison,1,independent,2,0,6279
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,What is the date of death of the director of film The Organization (Film)?,"December 12, 2012",compositional,2,chain,2,1,4249
2wikimultihopqa,003f41f80bde11eba7f7acde48001122,validation,Which country the director of film Teza (Film) is from?,United States,compositional,2,chain,2,1,2645
2wikimultihopqa,004430780bde11eba7f7acde48001122,validation,Where was the place of death of Benedict Swingate Calvert's father?,England,compositional,2,chain,2,1,8447
2wikimultihopqa,0051fad20bde11eba7f7acde48001122,validation,"When is Karl, Prince Of Leiningen's father's birthday?",18 January 1866,compositional,2,chain,2,1,6064
2wikimultihopqa,0069c0220bde11eba7f7acde48001122,validation,Where did the composer of song You'Ve Got What Gets Me die?,Hollywood,compositional,2,chain,2,1,8675
2wikimultihopqa,007b76e80bdc11eba7f7acde48001122,validation,Where did the director of film Secret Lives (Film) die?,Nice,compositional,2,chain,2,1,3656
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,"Where did Elisabeth Of Cleves, Countess Of Schwarzburg-Blankenburg's mother die?",Kalkar,compositional,2,chain,2,1,3431
2wikimultihopqa,003285a80bde11eba7f7acde48001122,test,What nationality is Arinjaya Chola's father?,chola kingdom,compositional,2,chain,2,1,7313
2wikimultihopqa,005238da0bde11eba7f7acde48001122,test,Which country the composer of song Cry Over Me is from?,American,compositional,2,chain,2,1,5429
2wikimultihopqa,006d81bc0bde11eba7f7acde48001122,test,What nationality is the performer of song When The Stars Go Blue?,America,compositional,2,chain,2,1,7007
2wikimultihopqa,0083038e0bde11eba7f7acde48001122,test,Where did Prince Ferdinand Of Bavaria's mother die?,Munich,compositional,2,chain,2,1,4013
2wikimultihopqa,008af56e0bdc11eba7f7acde48001122,test,"Which country James, Duke Of Rothesay (Born 1507)'s mother is from?",English,compositional,2,chain,2,1,6181
2wikimultihopqa,00de046a0bb011ebab90acde48001122,validation,Who is Tassilo Ii Of Bavaria's grandchild?,Grifo,inference,2,chain,2,1,5025
2wikimultihopqa,00efceca0bb011ebab90acde48001122,validation,"Who is the father of George, Emperor Of Trebizond?",Manuel I of Trebizond,inference,2,chain,2,1,2703
2wikimultihopqa,0105fd120bb011ebab90acde48001122,validation,"Who is Sir William Lowther, 1St Baronet, Of Marske's paternal grandfather?",Robert Lowther,inference,2,chain,2,1,5860
2wikimultihopqa,01a204d20bb011ebab90acde48001122,validation,Who is the paternal grandfather of James Of Avesnes?,"Walter I, Lord of Avesnes",inference,2,chain,2,1,5785
2wikimultihopqa,024207d40bb011ebab90acde48001122,validation,Who is Marie Christine Felizitas Of Leiningen-Dagsburg-Falkenburg-Heidesheim's maternal grandmother?,Countess Palatine Anna Magdalena of Birkenfeld-Bischweiler,inference,2,chain,2,1,4242
2wikimultihopqa,0290cd840baf11ebab90acde48001122,validation,"Who is Donnchadh Iv, Earl Of Fife's father-in-law?",Ralph de Monthermer,inference,2,chain,2,1,7102
2wikimultihopqa,008b58060baf11ebab90acde48001122,test,"Who is Augustus Berkeley, 4Th Earl Of Berkeley's maternal grandmother?",Anne Brudenell,inference,2,chain,2,1,4638
2wikimultihopqa,00fc38720bb011ebab90acde48001122,test,Who is Maquiztzin's sibling-in-law?,Chimalpopoca,inference,2,chain,2,1,4803
2wikimultihopqa,01057cde0bb011ebab90acde48001122,test,Who is Melisende Of Tripoli's mother?,Hodierna of Jerusalem,inference,2,chain,2,1,4416
2wikimultihopqa,024761e80bb011ebab90acde48001122,test,"Who is Gavin Hamilton, 2Nd Baron Hamilton Of Dalzell's paternal grandfather?",Archibald James Hamilton,inference,2,chain,2,1,6080
2wikimultihopqa,0360770a0baf11ebab90acde48001122,test,Who is Giulio Cybo's paternal grandmother?,Maddalena de' Medici,inference,2,chain,2,1,5213
2wikimultihopqa,036c82480baf11ebab90acde48001122,test,Who is the maternal grandmother of Margaret Of Valois?,Madeleine de La Tour d'Auvergne,inference,2,chain,2,1,8953
2wikimultihopqa,0098436208e011ebbda1ac1f6bf848b6,validation,"Which film has the director born later, Besharam or Desert Hearts?",Desert Hearts,bridge_comparison,2,disconnected,4,2,3069
2wikimultihopqa,00dd3bd608ac11ebbd82ac1f6bf848b6,validation,"Which film whose director is younger, Mr. Fix-It or People Not As Bad As They Seem?",People Not As Bad As They Seem,bridge_comparison,2,disconnected,4,2,4719
2wikimultihopqa,010bdf4408df11ebbd9fac1f6bf848b6,validation,"Which film has the director who was born later, The Third Side Of The River or Escape From L.A.?",The Third Side Of The River,bridge_comparison,2,disconnected,4,2,4038
2wikimultihopqa,010d6cab08c711ebbd91ac1f6bf848b6,validation,"Which film has the director who was born earlier, A Romance Of The Air or How Moscha Came Back?",How Moscha Came Back,bridge_comparison,2,disconnected,4,2,2752
2wikimultihopqa,008c393e088411ebbd6dac1f6bf848b6,test,"Which film has the director born later, Bride For Sale or Veena Meettiya Vilangukal?",Veena Meettiya Vilangukal,bridge_comparison,2,disconnected,4,2,2614
2wikimultihopqa,00a6129c085611ebbd59ac1f6bf848b6,test,"Which film has the director born earlier, A Guy And A Gal or Chakravarthi Thirumagal?",Chakravarthi Thirumagal,bridge_comparison,2,disconnected,4,2,3151
2wikimultihopqa,00fe8ebc08e311ebbda4ac1f6bf848b6,test,"Which film has the director who was born first, Cross Of Love or Ljuvlig Är Sommarnatten?",Cross Of Love,bridge_comparison,2,disconnected,4,2,3322
2wikimultihopqa,01245b60088411ebbd6dac1f6bf848b6,test,"Which film has the director born later, Occhio, Malocchio, Prezzemolo E Finocchio or Jailhouse Rock (Film)?","Occhio, Malocchio, Prezzemolo E Finocchio",bridge_comparison,2,disconnected,4,2,5048
2wikimultihopqa,00a68bf208cc11ebbd93ac1f6bf848b6,validation,Do both films Cool Blue and Legend Of The Ancient Sword have the directors that share the same nationality?,yes,bridge_comparison,2,branching,5,3,2595
2wikimultihopqa,06326df2088611ebbd6dac1f6bf848b6,validation,"Do both films: Tears Were Falling and Hail, Mary! have the directors from the same country?",yes,bridge_comparison,2,branching,5,3,3094
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,Are the directors of both films Adio Kerida and Postcards From London from the same country?,yes,bridge_comparison,2,branching,5,3,3656
2wikimultihopqa,03e971d208d911ebbd9cac1f6bf848b6,test,Do both directors of films The Wrath Of Silence and Legend Of The Fox have the same nationality?,yes,bridge_comparison,2,branching,5,3,3897
