chain_completion,condition,dataset,evidence_recall,example_id,mrr,precision,requested_chunks,source
0.0,B0_gist,hotpotqa,0.2857142857142857,5a84c4bb5542991dd0999dec,1.0,0.5,4.0,Paper 2.6 frozen per-example row
0.0,B1_bm25,hotpotqa,0.2857142857142857,5a84c4bb5542991dd0999dec,1.0,0.5,4.0,Paper 2.6 frozen per-example row
0.0,B2_exact,hotpotqa,0.2857142857142857,5a84c4bb5542991dd0999dec,1.0,0.5,4.0,Paper 2.6 frozen per-example row
0.0,B3_weighted,hotpotqa,0.2857142857142857,5a84c4bb5542991dd0999dec,1.0,0.5,4.0,Paper 2.6 frozen per-example row
0.0,B4_approx,hotpotqa,0.2857142857142857,5a84c4bb5542991dd0999dec,1.0,0.5,4.0,Paper 2.6 frozen per-example row
0.0,H5_iterative_hybrid,hotpotqa,0.14285714285714285,5a84c4bb5542991dd0999dec,1.0,0.25,4.0,Paper 2.6 frozen per-example row
0.0,O1_oracle,hotpotqa,0.5714285714285714,5a84c4bb5542991dd0999dec,1.0,1.0,4.0,Paper 2.6 frozen per-example row
0.0,B0_gist,hotpotqa,0.14285714285714285,5abbd4035542993f40c73bcb,0.3333333333333333,0.25,4.0,Paper 2.6 frozen per-example row
0.0,B1_bm25,hotpotqa,0.42857142857142855,5abbd4035542993f40c73bcb,1.0,0.75,4.0,Paper 2.6 frozen per-example row
0.0,B2_exact,hotpotqa,0.5714285714285714,5abbd4035542993f40c73bcb,1.0,1.0,4.0,Paper 2.6 frozen per-example row
0.0,B3_weighted,hotpotqa,0.5714285714285714,5abbd4035542993f40c73bcb,1.0,1.0,4.0,Paper 2.6 frozen per-example row
0.0,B4_approx,hotpotqa,0.5714285714285714,5abbd4035542993f40c73bcb,1.0,1.0,4.0,Paper 2.6 frozen per-example row
0.0,H5_iterative_hybrid,hotpotqa,0.42857142857142855,5abbd4035542993f40c73bcb,1.0,0.75,4.0,Paper 2.6 frozen per-example row
0.0,O1_oracle,hotpotqa,0.5714285714285714,5abbd4035542993f40c73bcb,1.0,1.0,4.0,Paper 2.6 frozen per-example row
0.0,B0_gist,hotpotqa,0.2,5ae6143f5542996de7b71b2d,0.3333333333333333,0.25,4.0,Paper 2.6 frozen per-example row
0.0,B1_bm25,hotpotqa,0.2,5ae6143f5542996de7b71b2d,1.0,0.25,4.0,Paper 2.6 frozen per-example row
0.0,B2_exact,hotpotqa,0.0,5ae6143f5542996de7b71b2d,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,B3_weighted,hotpotqa,0.0,5ae6143f5542996de7b71b2d,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,B4_approx,hotpotqa,0.2,5ae6143f5542996de7b71b2d,0.25,0.25,4.0,Paper 2.6 frozen per-example row
0.0,H5_iterative_hybrid,hotpotqa,0.0,5ae6143f5542996de7b71b2d,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,O1_oracle,hotpotqa,0.8,5ae6143f5542996de7b71b2d,1.0,1.0,4.0,Paper 2.6 frozen per-example row
0.0,B0_gist,hotpotqa,0.0,5a7e513a5542994959419996,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,B1_bm25,hotpotqa,0.75,5a7e513a5542994959419996,1.0,0.75,4.0,Paper 2.6 frozen per-example row
0.0,B2_exact,hotpotqa,0.5,5a7e513a5542994959419996,1.0,0.5,4.0,Paper 2.6 frozen per-example row
0.0,B3_weighted,hotpotqa,0.5,5a7e513a5542994959419996,1.0,0.5,4.0,Paper 2.6 frozen per-example row
0.0,B4_approx,hotpotqa,0.25,5a7e513a5542994959419996,1.0,0.25,4.0,Paper 2.6 frozen per-example row
0.0,H5_iterative_hybrid,hotpotqa,0.5,5a7e513a5542994959419996,1.0,0.5,4.0,Paper 2.6 frozen per-example row
1.0,O1_oracle,hotpotqa,1.0,5a7e513a5542994959419996,1.0,1.0,4.0,Paper 2.6 frozen per-example row
0.0,B0_gist,hotpotqa,0.0,5a80d6be55429938b6142206,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,B1_bm25,hotpotqa,0.25,5a80d6be55429938b6142206,1.0,0.25,4.0,Paper 2.6 frozen per-example row
0.0,B2_exact,hotpotqa,0.25,5a80d6be55429938b6142206,0.5,0.25,4.0,Paper 2.6 frozen per-example row
0.0,B3_weighted,hotpotqa,0.25,5a80d6be55429938b6142206,0.5,0.25,4.0,Paper 2.6 frozen per-example row
0.0,B4_approx,hotpotqa,0.25,5a80d6be55429938b6142206,1.0,0.25,4.0,Paper 2.6 frozen per-example row
0.0,H5_iterative_hybrid,hotpotqa,0.25,5a80d6be55429938b6142206,1.0,0.25,4.0,Paper 2.6 frozen per-example row
1.0,O1_oracle,hotpotqa,1.0,5a80d6be55429938b6142206,1.0,1.0,4.0,Paper 2.6 frozen per-example row
0.0,B0_gist,hotpotqa,0.0,5ab88c075542991b5579efbe,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,B1_bm25,hotpotqa,0.75,5ab88c075542991b5579efbe,1.0,0.75,4.0,Paper 2.6 frozen per-example row
0.0,B2_exact,hotpotqa,0.0,5ab88c075542991b5579efbe,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,B3_weighted,hotpotqa,0.0,5ab88c075542991b5579efbe,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,B4_approx,hotpotqa,0.25,5ab88c075542991b5579efbe,1.0,0.25,4.0,Paper 2.6 frozen per-example row
0.0,H5_iterative_hybrid,hotpotqa,0.25,5ab88c075542991b5579efbe,0.25,0.25,4.0,Paper 2.6 frozen per-example row
1.0,O1_oracle,hotpotqa,1.0,5ab88c075542991b5579efbe,1.0,1.0,4.0,Paper 2.6 frozen per-example row
0.0,B0_gist,hotpotqa,0.2,5a714b645542994082a3e78b,0.25,0.25,4.0,Paper 2.6 frozen per-example row
0.0,B1_bm25,hotpotqa,0.2,5a714b645542994082a3e78b,0.5,0.25,4.0,Paper 2.6 frozen per-example row
0.0,B2_exact,hotpotqa,0.2,5a714b645542994082a3e78b,0.25,0.25,4.0,Paper 2.6 frozen per-example row
0.0,B3_weighted,hotpotqa,0.2,5a714b645542994082a3e78b,0.25,0.25,4.0,Paper 2.6 frozen per-example row
0.0,B4_approx,hotpotqa,0.2,5a714b645542994082a3e78b,0.5,0.25,4.0,Paper 2.6 frozen per-example row
0.0,H5_iterative_hybrid,hotpotqa,0.0,5a714b645542994082a3e78b,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,O1_oracle,hotpotqa,0.8,5a714b645542994082a3e78b,1.0,1.0,4.0,Paper 2.6 frozen per-example row
0.0,B0_gist,hotpotqa,0.0,5abce85755429959677d6b3e,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,B1_bm25,hotpotqa,0.16666666666666666,5abce85755429959677d6b3e,1.0,0.25,4.0,Paper 2.6 frozen per-example row
0.0,B2_exact,hotpotqa,0.0,5abce85755429959677d6b3e,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,B3_weighted,hotpotqa,0.0,5abce85755429959677d6b3e,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,B4_approx,hotpotqa,0.3333333333333333,5abce85755429959677d6b3e,1.0,0.5,4.0,Paper 2.6 frozen per-example row
0.0,H5_iterative_hybrid,hotpotqa,0.16666666666666666,5abce85755429959677d6b3e,1.0,0.25,4.0,Paper 2.6 frozen per-example row
0.0,O1_oracle,hotpotqa,0.6666666666666666,5abce85755429959677d6b3e,1.0,1.0,4.0,Paper 2.6 frozen per-example row
0.0,B0_gist,qasper,0.0,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,B1_bm25,qasper,0.0,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,B2_exact,qasper,0.6666666666666666,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,1.0,0.5,4.0,Paper 2.6 frozen per-example row
0.0,B3_weighted,qasper,0.0,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,B4_approx,qasper,0.0,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,H5_iterative_hybrid,qasper,0.0,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,0.0,0.0,4.0,Paper 2.6 frozen per-example row
1.0,O1_oracle,qasper,1.0,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,1.0,1.0,3.0,Paper 2.6 frozen per-example row
0.0,B0_gist,qasper,0.14285714285714285,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,1.0,0.25,4.0,Paper 2.6 frozen per-example row
0.0,B1_bm25,qasper,0.14285714285714285,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,0.3333333333333333,0.25,4.0,Paper 2.6 frozen per-example row
0.0,B2_exact,qasper,0.0,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,B3_weighted,qasper,0.0,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,B4_approx,qasper,0.0,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,H5_iterative_hybrid,qasper,0.0,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,O1_oracle,qasper,0.5714285714285714,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,1.0,1.0,4.0,Paper 2.6 frozen per-example row
0.0,B0_gist,qasper,0.0,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,B1_bm25,qasper,0.07692307692307693,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,0.5,0.25,4.0,Paper 2.6 frozen per-example row
0.0,B2_exact,qasper,0.07692307692307693,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,0.25,0.25,4.0,Paper 2.6 frozen per-example row
0.0,B3_weighted,qasper,0.07692307692307693,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,0.25,0.25,4.0,Paper 2.6 frozen per-example row
0.0,B4_approx,qasper,0.07692307692307693,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,0.25,0.25,4.0,Paper 2.6 frozen per-example row
0.0,H5_iterative_hybrid,qasper,0.0,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,O1_oracle,qasper,0.3076923076923077,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,1.0,1.0,4.0,Paper 2.6 frozen per-example row
0.0,B0_gist,qasper,0.14285714285714285,1808.10245:da9c0637623885afaf023a319beee87898948fe9,0.5,0.25,4.0,Paper 2.6 frozen per-example row
0.0,B1_bm25,qasper,0.0,1808.10245:da9c0637623885afaf023a319beee87898948fe9,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,B2_exact,qasper,0.2857142857142857,1808.10245:da9c0637623885afaf023a319beee87898948fe9,0.3333333333333333,0.5,4.0,Paper 2.6 frozen per-example row
0.0,B3_weighted,qasper,0.0,1808.10245:da9c0637623885afaf023a319beee87898948fe9,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,B4_approx,qasper,0.0,1808.10245:da9c0637623885afaf023a319beee87898948fe9,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,H5_iterative_hybrid,qasper,0.0,1808.10245:da9c0637623885afaf023a319beee87898948fe9,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,O1_oracle,qasper,0.5714285714285714,1808.10245:da9c0637623885afaf023a319beee87898948fe9,1.0,1.0,4.0,Paper 2.6 frozen per-example row
0.0,B0_gist,qasper,0.0,2001.02885:96b07373756d7854bccc3c12e8d41454ab8741f5,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,B1_bm25,qasper,0.0,2001.02885:96b07373756d7854bccc3c12e8d41454ab8741f5,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,B2_exact,qasper,0.0,2001.02885:96b07373756d7854bccc3c12e8d41454ab8741f5,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,B3_weighted,qasper,0.0,2001.02885:96b07373756d7854bccc3c12e8d41454ab8741f5,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,B4_approx,qasper,0.0,2001.02885:96b07373756d7854bccc3c12e8d41454ab8741f5,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,H5_iterative_hybrid,qasper,0.0,2001.02885:96b07373756d7854bccc3c12e8d41454ab8741f5,0.0,0.0,4.0,Paper 2.6 frozen per-example row
1.0,O1_oracle,qasper,1.0,2001.02885:96b07373756d7854bccc3c12e8d41454ab8741f5,1.0,1.0,1.0,Paper 2.6 frozen per-example row
0.0,B0_gist,qasper,0.0,1810.12085:c2cb6c4500d9e02fc9a1bdffd22c3df69655189f,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,B1_bm25,qasper,0.0,1810.12085:c2cb6c4500d9e02fc9a1bdffd22c3df69655189f,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,B2_exact,qasper,0.0,1810.12085:c2cb6c4500d9e02fc9a1bdffd22c3df69655189f,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,B3_weighted,qasper,0.0,1810.12085:c2cb6c4500d9e02fc9a1bdffd22c3df69655189f,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,B4_approx,qasper,0.0,1810.12085:c2cb6c4500d9e02fc9a1bdffd22c3df69655189f,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,H5_iterative_hybrid,qasper,0.0,1810.12085:c2cb6c4500d9e02fc9a1bdffd22c3df69655189f,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,O1_oracle,qasper,0.26666666666666666,1810.12085:c2cb6c4500d9e02fc9a1bdffd22c3df69655189f,1.0,1.0,4.0,Paper 2.6 frozen per-example row
0.0,B0_gist,qasper,0.0,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,B1_bm25,qasper,0.0,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,B2_exact,qasper,0.125,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,0.3333333333333333,0.25,4.0,Paper 2.6 frozen per-example row
0.0,B3_weighted,qasper,0.125,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,0.3333333333333333,0.25,4.0,Paper 2.6 frozen per-example row
0.0,B4_approx,qasper,0.0,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,H5_iterative_hybrid,qasper,0.0,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,O1_oracle,qasper,0.5,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,1.0,1.0,4.0,Paper 2.6 frozen per-example row
0.0,B0_gist,qasper,0.0,1912.13337:e97186c51d4af490dba6faaf833d269c8256426c,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,B1_bm25,qasper,0.0,1912.13337:e97186c51d4af490dba6faaf833d269c8256426c,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,B2_exact,qasper,0.04,1912.13337:e97186c51d4af490dba6faaf833d269c8256426c,1.0,0.75,4.0,Paper 2.6 frozen per-example row
0.0,B3_weighted,qasper,0.0,1912.13337:e97186c51d4af490dba6faaf833d269c8256426c,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,B4_approx,qasper,0.0,1912.13337:e97186c51d4af490dba6faaf833d269c8256426c,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,H5_iterative_hybrid,qasper,0.0,1912.13337:e97186c51d4af490dba6faaf833d269c8256426c,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,O1_oracle,qasper,0.05333333333333334,1912.13337:e97186c51d4af490dba6faaf833d269c8256426c,1.0,1.0,4.0,Paper 2.6 frozen per-example row
0.0,B0_gist,qasper,0.0,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,B1_bm25,qasper,0.0,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,B2_exact,qasper,0.0,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,B3_weighted,qasper,0.0,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,B4_approx,qasper,0.0,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,H5_iterative_hybrid,qasper,0.0,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,0.0,0.0,4.0,Paper 2.6 frozen per-example row
1.0,O1_oracle,qasper,1.0,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,1.0,1.0,1.0,Paper 2.6 frozen per-example row
0.0,B0_gist,qasper,0.07142857142857142,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,0.3333333333333333,0.25,4.0,Paper 2.6 frozen per-example row
0.0,B1_bm25,qasper,0.07142857142857142,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,0.3333333333333333,0.25,4.0,Paper 2.6 frozen per-example row
0.0,B2_exact,qasper,0.21428571428571427,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,1.0,0.75,4.0,Paper 2.6 frozen per-example row
0.0,B3_weighted,qasper,0.07142857142857142,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,0.3333333333333333,0.25,4.0,Paper 2.6 frozen per-example row
0.0,B4_approx,qasper,0.07142857142857142,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,0.5,0.25,4.0,Paper 2.6 frozen per-example row
0.0,H5_iterative_hybrid,qasper,0.07142857142857142,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,0.5,0.25,4.0,Paper 2.6 frozen per-example row
0.0,O1_oracle,qasper,0.2857142857142857,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,1.0,1.0,4.0,Paper 2.6 frozen per-example row
0.0,B0_gist,qasper,0.0,1910.14599:ee2c9bc24d70daa0c87e38e0558e09ab97feb4f2,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,B1_bm25,qasper,0.0,1910.14599:ee2c9bc24d70daa0c87e38e0558e09ab97feb4f2,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,B2_exact,qasper,0.4,1910.14599:ee2c9bc24d70daa0c87e38e0558e09ab97feb4f2,0.3333333333333333,0.5,4.0,Paper 2.6 frozen per-example row
0.0,B3_weighted,qasper,0.0,1910.14599:ee2c9bc24d70daa0c87e38e0558e09ab97feb4f2,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,B4_approx,qasper,0.0,1910.14599:ee2c9bc24d70daa0c87e38e0558e09ab97feb4f2,0.0,0.0,4.0,Paper 2.6 frozen per-example row
0.0,H5_iterative_hybrid,qasper,0.2,1910.14599:ee2c9bc24d70daa0c87e38e0558e09ab97feb4f2,0.3333333333333333,0.25,4.0,Paper 2.6 frozen per-example row
0.0,O1_oracle,qasper,0.8,1910.14599:ee2c9bc24d70daa0c87e38e0558e09ab97feb4f2,1.0,1.0,4.0,Paper 2.6 frozen per-example row
0.0,B0_gist,qasper,0.25,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,0.25,0.25,4.0,Paper 2.6 frozen per-example row
